stem,path,mother
P0019__1024__5549___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__5549___0.png,P0019
P0019__1024__5549___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__5549___1648.png,P0019
P0019__1024__5549___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__5549___2472.png,P0019
P0019__1024__5549___2703,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__5549___2703.png,P0019
P0019__1024__5549___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__5549___824.png,P0019
P0019__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__824___0.png,P0019
P0019__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__824___1648.png,P0019
P0019__1024__824___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__824___2472.png,P0019
P0019__1024__824___2703,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__824___2703.png,P0019
P0019__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0019__1024__824___824.png,P0019
P0027__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0027__1024__0___0.png,P0027
P0027__1024__0___750,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0027__1024__0___750.png,P0027
P0027__1024__1322___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0027__1024__1322___0.png,P0027
P0027__1024__1322___750,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0027__1024__1322___750.png,P0027
P0027__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0027__1024__824___0.png,P0027
P0027__1024__824___750,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0027__1024__824___750.png,P0027
P0047__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0047__1024__0___0.png,P0047
P0047__1024__0___1143,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0047__1024__0___1143.png,P0047
P0047__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0047__1024__0___824.png,P0047
P0047__1024__102___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0047__1024__102___0.png,P0047
P0047__1024__102___1143,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0047__1024__102___1143.png,P0047
P0047__1024__102___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0047__1024__102___824.png,P0047
P0053__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0053__1024__0___0.png,P0053
P0053__1024__0___397,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0053__1024__0___397.png,P0053
P0053__1024__385___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0053__1024__385___0.png,P0053
P0053__1024__385___397,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0053__1024__385___397.png,P0053
P0056__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0056__1024__0___0.png,P0056
P0060__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__0___0.png,P0060
P0060__1024__0___1229,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__0___1229.png,P0060
P0060__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__0___824.png,P0060
P0060__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__1648___0.png,P0060
P0060__1024__1648___1229,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__1648___1229.png,P0060
P0060__1024__1648___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__1648___824.png,P0060
P0060__1024__2472___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__2472___0.png,P0060
P0060__1024__2472___1229,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__2472___1229.png,P0060
P0060__1024__2472___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__2472___824.png,P0060
P0060__1024__2475___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__2475___0.png,P0060
P0060__1024__2475___1229,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__2475___1229.png,P0060
P0060__1024__2475___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__2475___824.png,P0060
P0060__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__824___0.png,P0060
P0060__1024__824___1229,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__824___1229.png,P0060
P0060__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0060__1024__824___824.png,P0060
P0075__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0075__1024__0___0.png,P0075
P0079__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0079__1024__0___0.png,P0079
P0081__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0081__1024__0___0.png,P0081
P0086__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0086__1024__0___0.png,P0086
P0086__1024__0___459,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0086__1024__0___459.png,P0086
P0086__1024__133___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0086__1024__133___0.png,P0086
P0086__1024__133___459,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0086__1024__133___459.png,P0086
P0104__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0104__1024__0___0.png,P0104
P0104__1024__0___163,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0104__1024__0___163.png,P0104
P0110__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0110__1024__0___0.png,P0110
P0110__1024__0___1046,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0110__1024__0___1046.png,P0110
P0110__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0110__1024__0___824.png,P0110
P0110__1024__1540___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0110__1024__1540___0.png,P0110
P0110__1024__1540___1046,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0110__1024__1540___1046.png,P0110
P0110__1024__1540___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0110__1024__1540___824.png,P0110
P0110__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0110__1024__824___0.png,P0110
P0110__1024__824___1046,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0110__1024__824___1046.png,P0110
P0110__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0110__1024__824___824.png,P0110
P0117__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0117__1024__0___0.png,P0117
P0117__1024__0___138,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0117__1024__0___138.png,P0117
P0117__1024__345___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0117__1024__345___0.png,P0117
P0117__1024__345___138,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0117__1024__345___138.png,P0117
P0123__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0123__1024__0___0.png,P0123
P0123__1024__0___11,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0123__1024__0___11.png,P0123
P0128__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0128__1024__0___0.png,P0128
P0128__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0128__1024__0___824.png,P0128
P0128__1024__0___994,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0128__1024__0___994.png,P0128
P0128__1024__633___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0128__1024__633___0.png,P0128
P0128__1024__633___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0128__1024__633___824.png,P0128
P0128__1024__633___994,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0128__1024__633___994.png,P0128
P0130__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0130__1024__0___0.png,P0130
P0131__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0131__1024__0___0.png,P0131
P0131__1024__0___256,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0131__1024__0___256.png,P0131
P0131__1024__512___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0131__1024__512___0.png,P0131
P0131__1024__512___256,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0131__1024__512___256.png,P0131
P0143__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0143__1024__0___0.png,P0143
P0146__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__0___0.png,P0146
P0146__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__0___824.png,P0146
P0146__1024__0___860,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__0___860.png,P0146
P0146__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__1648___0.png,P0146
P0146__1024__1648___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__1648___824.png,P0146
P0146__1024__1648___860,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__1648___860.png,P0146
P0146__1024__1667___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__1667___0.png,P0146
P0146__1024__1667___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__1667___824.png,P0146
P0146__1024__1667___860,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__1667___860.png,P0146
P0146__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__824___0.png,P0146
P0146__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__824___824.png,P0146
P0146__1024__824___860,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0146__1024__824___860.png,P0146
P0150__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0150__1024__0___0.png,P0150
P0161__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__0___0.png,P0161
P0161__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__0___1648.png,P0161
P0161__1024__0___1690,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__0___1690.png,P0161
P0161__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__0___824.png,P0161
P0161__1024__1580___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__1580___0.png,P0161
P0161__1024__1580___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__1580___1648.png,P0161
P0161__1024__1580___1690,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__1580___1690.png,P0161
P0161__1024__1580___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__1580___824.png,P0161
P0161__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__824___0.png,P0161
P0161__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__824___1648.png,P0161
P0161__1024__824___1690,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__824___1690.png,P0161
P0161__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0161__1024__824___824.png,P0161
P0168__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0168__1024__0___0.png,P0168
P0168__1024__0___768,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0168__1024__0___768.png,P0168
P0168__1024__1280___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0168__1024__1280___0.png,P0168
P0168__1024__1280___768,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0168__1024__1280___768.png,P0168
P0168__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0168__1024__824___0.png,P0168
P0168__1024__824___768,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0168__1024__824___768.png,P0168
P0170__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0170__1024__0___0.png,P0170
P0170__1024__0___57,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0170__1024__0___57.png,P0170
P0170__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0170__1024__824___0.png,P0170
P0170__1024__824___57,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0170__1024__824___57.png,P0170
P0170__1024__942___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0170__1024__942___0.png,P0170
P0170__1024__942___57,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0170__1024__942___57.png,P0170
P0173__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0173__1024__0___0.png,P0173
P0175__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0175__1024__0___0.png,P0175
P0175__1024__0___38,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0175__1024__0___38.png,P0175
P0179__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__0___0.png,P0179
P0179__1024__0___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__0___1648.png,P0179
P0179__1024__0___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__0___2472.png,P0179
P0179__1024__0___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__0___3296.png,P0179
P0179__1024__0___3518,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__0___3518.png,P0179
P0179__1024__0___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__0___824.png,P0179
P0179__1024__1648___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__1648___0.png,P0179
P0179__1024__1648___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__1648___1648.png,P0179
P0179__1024__1648___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__1648___2472.png,P0179
P0179__1024__1648___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__1648___3296.png,P0179
P0179__1024__1648___3518,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__1648___3518.png,P0179
P0179__1024__1648___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__1648___824.png,P0179
P0179__1024__2472___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__2472___0.png,P0179
P0179__1024__2472___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__2472___1648.png,P0179
P0179__1024__2472___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__2472___2472.png,P0179
P0179__1024__2472___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__2472___3296.png,P0179
P0179__1024__2472___3518,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__2472___3518.png,P0179
P0179__1024__2472___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__2472___824.png,P0179
P0179__1024__3296___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3296___0.png,P0179
P0179__1024__3296___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3296___1648.png,P0179
P0179__1024__3296___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3296___2472.png,P0179
P0179__1024__3296___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3296___3296.png,P0179
P0179__1024__3296___3518,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3296___3518.png,P0179
P0179__1024__3296___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3296___824.png,P0179
P0179__1024__3750___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3750___0.png,P0179
P0179__1024__3750___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3750___1648.png,P0179
P0179__1024__3750___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3750___2472.png,P0179
P0179__1024__3750___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3750___3296.png,P0179
P0179__1024__3750___3518,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3750___3518.png,P0179
P0179__1024__3750___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__3750___824.png,P0179
P0179__1024__824___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__824___0.png,P0179
P0179__1024__824___1648,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__824___1648.png,P0179
P0179__1024__824___2472,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__824___2472.png,P0179
P0179__1024__824___3296,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__824___3296.png,P0179
P0179__1024__824___3518,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__824___3518.png,P0179
P0179__1024__824___824,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0179__1024__824___824.png,P0179
P0186__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0186__1024__0___0.png,P0186
P0186__1024__227___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0186__1024__227___0.png,P0186
P0189__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0189__1024__0___0.png,P0189
P0194__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0194__1024__0___0.png,P0194
P0198__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0198__1024__0___0.png,P0198
P0198__1024__0___300,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0198__1024__0___300.png,P0198
P0198__1024__164___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0198__1024__164___0.png,P0198
P0198__1024__164___300,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0198__1024__164___300.png,P0198
P0199__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0199__1024__0___0.png,P0199
P0199__1024__0___555,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0199__1024__0___555.png,P0199
P0199__1024__148___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0199__1024__148___0.png,P0199
P0199__1024__148___555,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0199__1024__148___555.png,P0199
P0206__1024__0___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0206__1024__0___0.png,P0206
P0206__1024__0___303,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0206__1024__0___303.png,P0206
P0206__1024__140___0,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0206__1024__140___0.png,P0206
P0206__1024__140___303,/home/rspip/cqc/data/dataset/dota/split_ss_dota10_dota15/val/images/P0206__1024__140___303.png,P0206
