ar,dataset,baseline_id,detector,scope,selector,n_audit,NRC,NRC_sizelin,NRC_nl,AURC,Risk@70,Risk@90,p90_at70,p99_at70,ci_lo,ci_hi,nl_better_sig
sens_ar2.0,DOTA-v1.0,20,psc,overall,score_only,6309,0.7166,,,1.5809,1.805,1.875,3.91,6.98,,,
sens_ar2.0,DOTA-v1.0,20,psc,overall,score_ar_linear,6309,0.7199,,,1.5846,1.726,1.848,3.75,6.53,,,
sens_ar2.0,DOTA-v1.0,20,psc,overall,score_ar_size_linear,6309,0.6464,,,1.5006,1.722,1.856,3.71,6.58,,,
sens_ar2.0,DOTA-v1.0,20,psc,overall,nonlinear,6309,0.5538,,,1.3948,1.66,1.82,3.61,6.48,,,
sens_ar2.0,DOTA-v1.0,20,psc,overall,DELTA_sizelin_minus_nl,6309,0.0923,,,,,,,,0.0758,0.1082,True
sens_ar2.0,DOTA-v1.0,20,psc,sizebin_small,DELTA_sizelin_minus_nl,2045,0.1352,0.9052,0.7702,,,,,,0.078,0.19,True
sens_ar2.0,DOTA-v1.0,20,psc,sizebin_medium,DELTA_sizelin_minus_nl,1815,0.097,0.8455,0.7488,,,,,,0.044,0.1467,True
sens_ar2.0,DOTA-v1.0,20,psc,sizebin_large,DELTA_sizelin_minus_nl,2449,0.1461,0.6041,0.4569,,,,,,0.1128,0.1817,True
primary_ar1.6,DIOR-R,22,psc,overall,score_only,10999,0.5629,,,1.0871,1.364,1.556,3.43,7.25,,,
primary_ar1.6,DIOR-R,22,psc,overall,score_ar_linear,10999,0.6686,,,1.2094,1.329,1.521,3.4,6.93,,,
primary_ar1.6,DIOR-R,22,psc,overall,score_ar_size_linear,10999,0.5713,,,1.0969,1.302,1.526,3.32,7.11,,,
primary_ar1.6,DIOR-R,22,psc,overall,nonlinear,10999,0.3563,,,0.8481,1.123,1.396,2.98,6.8,,,
primary_ar1.6,DIOR-R,22,psc,overall,DELTA_sizelin_minus_nl,10999,0.2154,,,,,,,,0.1915,0.2392,True
primary_ar1.6,DIOR-R,22,psc,sizebin_small,DELTA_sizelin_minus_nl,4244,0.3518,0.815,0.4631,,,,,,0.308,0.3956,True
primary_ar1.6,DIOR-R,22,psc,sizebin_medium,DELTA_sizelin_minus_nl,3190,0.2903,0.6492,0.364,,,,,,0.2194,0.3527,True
primary_ar1.6,DIOR-R,22,psc,sizebin_large,DELTA_sizelin_minus_nl,3565,0.2209,0.5449,0.3241,,,,,,0.1805,0.2638,True
primary_ar1.6,DIOR-R,22,psc,perm_importance,nonlinear,,"{""score"": 0.09, ""log_ar"": 0.02, ""log_sqrt_area"": 1.077, ""gv_obb_needed"": 0.252, ""w"": 0.87, ""h"": 2.024}",,,,,,,,,,
sens_ar1.3,DIOR-R,22,psc,overall,score_only,11428,0.5605,,,1.1212,1.425,1.628,3.44,7.44,,,
sens_ar1.3,DIOR-R,22,psc,overall,score_ar_linear,11428,0.6641,,,1.2496,1.335,1.558,3.43,6.98,,,
sens_ar1.3,DIOR-R,22,psc,overall,score_ar_size_linear,11428,0.5785,,,1.1435,1.32,1.577,3.35,7.22,,,
sens_ar1.3,DIOR-R,22,psc,overall,nonlinear,11428,0.3638,,,0.8776,1.156,1.44,3.01,6.97,,,
sens_ar1.3,DIOR-R,22,psc,overall,DELTA_sizelin_minus_nl,11428,0.2151,,,,,,,,0.186,0.2415,True
sens_ar1.3,DIOR-R,22,psc,sizebin_small,DELTA_sizelin_minus_nl,4389,0.3194,0.7933,0.4777,,,,,,0.2448,0.3714,True
sens_ar1.3,DIOR-R,22,psc,sizebin_medium,DELTA_sizelin_minus_nl,3451,0.2677,0.6363,0.369,,,,,,0.1959,0.3332,True
sens_ar1.3,DIOR-R,22,psc,sizebin_large,DELTA_sizelin_minus_nl,3588,0.227,0.5464,0.3182,,,,,,0.1869,0.2773,True
sens_ar2.0,DIOR-R,22,psc,overall,score_only,10278,0.5767,,,1.0712,1.332,1.493,3.41,6.93,,,
sens_ar2.0,DIOR-R,22,psc,overall,score_ar_linear,10278,0.6669,,,1.17,1.327,1.479,3.4,6.93,,,
sens_ar2.0,DIOR-R,22,psc,overall,score_ar_size_linear,10278,0.5828,,,1.0779,1.294,1.47,3.3,6.98,,,
sens_ar2.0,DIOR-R,22,psc,overall,nonlinear,10278,0.353,,,0.826,1.091,1.379,2.96,6.44,,,
sens_ar2.0,DIOR-R,22,psc,overall,DELTA_sizelin_minus_nl,10278,0.2292,,,,,,,,0.2064,0.2539,True
sens_ar2.0,DIOR-R,22,psc,sizebin_small,DELTA_sizelin_minus_nl,4048,0.3704,0.8237,0.4552,,,,,,0.3216,0.4153,True
sens_ar2.0,DIOR-R,22,psc,sizebin_medium,DELTA_sizelin_minus_nl,2892,0.3427,0.7219,0.3785,,,,,,0.287,0.3932,True
sens_ar2.0,DIOR-R,22,psc,sizebin_large,DELTA_sizelin_minus_nl,3338,0.23,0.5412,0.3102,,,,,,0.1929,0.2752,True
primary_ar1.6,FAIR1M-v1.0,24,psc,overall,score_only,13796,0.896,,,2.2197,2.333,2.37,5.33,9.95,,,
primary_ar1.6,FAIR1M-v1.0,24,psc,overall,score_ar_linear,13796,0.7596,,,2.0036,2.257,2.342,5.11,9.59,,,
primary_ar1.6,FAIR1M-v1.0,24,psc,overall,score_ar_size_linear,13796,0.7576,,,2.0005,2.255,2.344,5.1,9.58,,,
primary_ar1.6,FAIR1M-v1.0,24,psc,overall,nonlinear,13796,0.5185,,,1.6216,2.058,2.258,4.82,8.76,,,
primary_ar1.6,FAIR1M-v1.0,24,psc,overall,DELTA_sizelin_minus_nl,13796,0.2394,,,,,,,,0.2188,0.2598,True
primary_ar1.6,FAIR1M-v1.0,24,psc,sizebin_small,DELTA_sizelin_minus_nl,5002,0.3673,0.8958,0.5292,,,,,,0.3227,0.4026,True
primary_ar1.6,FAIR1M-v1.0,24,psc,sizebin_medium,DELTA_sizelin_minus_nl,4448,0.2759,0.8534,0.5769,,,,,,0.2282,0.3191,True
primary_ar1.6,FAIR1M-v1.0,24,psc,sizebin_large,DELTA_sizelin_minus_nl,4346,0.1428,0.6224,0.4798,,,,,,0.1175,0.1692,True
primary_ar1.6,FAIR1M-v1.0,24,psc,perm_importance,nonlinear,,"{""score"": 0.006, ""log_ar"": 0.044, ""log_sqrt_area"": 0.035, ""gv_obb_needed"": 0.114, ""w"": 0.497, ""h"": 0.34}",,,,,,,,,,
sens_ar1.3,FAIR1M-v1.0,24,psc,overall,score_only,14595,0.943,,,2.357,2.411,2.439,5.36,10.35,,,
sens_ar1.3,FAIR1M-v1.0,24,psc,overall,score_ar_linear,14595,0.7573,,,2.0499,2.308,2.389,5.15,9.75,,,
sens_ar1.3,FAIR1M-v1.0,24,psc,overall,score_ar_size_linear,14595,0.7617,,,2.0572,2.304,2.384,5.16,9.79,,,
sens_ar1.3,FAIR1M-v1.0,24,psc,overall,nonlinear,14595,0.5543,,,1.7143,2.066,2.276,4.86,8.95,,,
sens_ar1.3,FAIR1M-v1.0,24,psc,overall,DELTA_sizelin_minus_nl,14595,0.212,,,,,,,,0.139,0.2548,True
sens_ar1.3,FAIR1M-v1.0,24,psc,sizebin_small,DELTA_sizelin_minus_nl,5305,0.3381,0.8954,0.557,,,,,,0.3005,0.3736,True
sens_ar1.3,FAIR1M-v1.0,24,psc,sizebin_medium,DELTA_sizelin_minus_nl,4724,0.3115,0.8723,0.5609,,,,,,0.2712,0.3508,True
sens_ar1.3,FAIR1M-v1.0,24,psc,sizebin_large,DELTA_sizelin_minus_nl,4566,0.075,0.6051,0.5415,,,,,,-0.0737,0.1627,False
sens_ar2.0,FAIR1M-v1.0,24,psc,overall,score_only,10425,0.9317,,,2.1937,2.273,2.289,5.17,9.62,,,
sens_ar2.0,FAIR1M-v1.0,24,psc,overall,score_ar_linear,10425,0.7541,,,1.9265,2.189,2.281,4.98,9.26,,,
sens_ar2.0,FAIR1M-v1.0,24,psc,overall,score_ar_size_linear,10425,0.7494,,,1.9195,2.19,2.279,4.97,9.26,,,
sens_ar2.0,FAIR1M-v1.0,24,psc,overall,nonlinear,10425,0.5203,,,1.5748,1.996,2.184,4.65,8.59,,,
sens_ar2.0,FAIR1M-v1.0,24,psc,overall,DELTA_sizelin_minus_nl,10425,0.2287,,,,,,,,0.2091,0.2531,True
sens_ar2.0,FAIR1M-v1.0,24,psc,sizebin_small,DELTA_sizelin_minus_nl,3719,0.341,0.8595,0.5191,,,,,,0.3017,0.3888,True
sens_ar2.0,FAIR1M-v1.0,24,psc,sizebin_medium,DELTA_sizelin_minus_nl,3371,0.2848,0.8648,0.578,,,,,,0.24,0.3276,True
sens_ar2.0,FAIR1M-v1.0,24,psc,sizebin_large,DELTA_sizelin_minus_nl,3335,0.1043,0.6292,0.526,,,,,,0.0666,0.1363,True
primary_ar1.6,SODA-A,23,psc,overall,score_only,105343,0.9823,,,2.1574,2.065,2.133,4.7,10.91,,,
primary_ar1.6,SODA-A,23,psc,overall,score_ar_linear,105343,0.6184,,,1.6231,1.89,2.036,4.36,9.15,,,
primary_ar1.6,SODA-A,23,psc,overall,score_ar_size_linear,105343,0.6109,,,1.6121,1.874,2.032,4.33,9.07,,,
primary_ar1.6,SODA-A,23,psc,overall,nonlinear,105343,0.389,,,1.2863,1.64,1.943,3.78,8.13,,,
primary_ar1.6,SODA-A,23,psc,overall,DELTA_sizelin_minus_nl,105343,0.2221,,,,,,,,0.2153,0.2276,True
primary_ar1.6,SODA-A,23,psc,sizebin_small,DELTA_sizelin_minus_nl,34020,0.3122,0.8561,0.5441,,,,,,0.2985,0.3243,True
primary_ar1.6,SODA-A,23,psc,sizebin_medium,DELTA_sizelin_minus_nl,38615,0.3244,0.9316,0.6079,,,,,,0.3107,0.3389,True
primary_ar1.6,SODA-A,23,psc,sizebin_large,DELTA_sizelin_minus_nl,32708,0.2001,0.4683,0.2691,,,,,,0.1882,0.2101,True
primary_ar1.6,SODA-A,23,psc,perm_importance,nonlinear,,"{""score"": 0.008, ""log_ar"": 0.084, ""log_sqrt_area"": 0.627, ""gv_obb_needed"": 0.209, ""w"": 1.863, ""h"": 1.183}",,,,,,,,,,
sens_ar1.3,SODA-A,23,psc,overall,score_only,110336,1.0818,,,2.44,2.231,2.269,4.89,13.26,,,
sens_ar1.3,SODA-A,23,psc,overall,score_ar_linear,110336,0.5893,,,1.6552,1.912,2.076,4.41,9.28,,,
sens_ar1.3,SODA-A,23,psc,overall,score_ar_size_linear,110336,0.5999,,,1.672,1.924,2.076,4.43,9.3,,,
sens_ar1.3,SODA-A,23,psc,overall,nonlinear,110336,0.3822,,,1.3252,1.681,1.987,3.88,8.27,,,
sens_ar1.3,SODA-A,23,psc,overall,DELTA_sizelin_minus_nl,110336,0.2178,,,,,,,,0.211,0.2235,True
sens_ar1.3,SODA-A,23,psc,sizebin_small,DELTA_sizelin_minus_nl,36030,0.2824,0.8393,0.5572,,,,,,0.2694,0.2961,True
sens_ar1.3,SODA-A,23,psc,sizebin_medium,DELTA_sizelin_minus_nl,39917,0.3097,0.9109,0.6015,,,,,,0.2976,0.3235,True
sens_ar1.3,SODA-A,23,psc,sizebin_large,DELTA_sizelin_minus_nl,34389,0.1511,0.3975,0.2468,,,,,,0.1413,0.1603,True
sens_ar2.0,SODA-A,23,psc,overall,score_only,88478,0.8598,,,1.7974,1.853,1.934,4.27,9.15,,,
sens_ar2.0,SODA-A,23,psc,overall,score_ar_linear,88478,0.6493,,,1.5225,1.84,1.917,4.26,8.96,,,
sens_ar2.0,SODA-A,23,psc,overall,score_ar_size_linear,88478,0.6309,,,1.4985,1.751,1.892,4.04,8.76,,,
sens_ar2.0,SODA-A,23,psc,overall,nonlinear,88478,0.3907,,,1.1848,1.537,1.792,3.55,7.36,,,
sens_ar2.0,SODA-A,23,psc,overall,DELTA_sizelin_minus_nl,88478,0.2401,,,,,,,,0.2337,0.2455,True
sens_ar2.0,SODA-A,23,psc,sizebin_small,DELTA_sizelin_minus_nl,28822,0.3229,0.8585,0.5358,,,,,,0.3063,0.3385,True
sens_ar2.0,SODA-A,23,psc,sizebin_medium,DELTA_sizelin_minus_nl,32379,0.37,0.9715,0.6017,,,,,,0.3534,0.3861,True
sens_ar2.0,SODA-A,23,psc,sizebin_large,DELTA_sizelin_minus_nl,27277,0.3542,0.6349,0.2807,,,,,,0.3405,0.368,True
primary_ar1.6,SODA-A,4,orcnn,overall,score_only,155468,0.722,,,2.0796,2.32,2.46,5.22,11.23,,,
primary_ar1.6,SODA-A,4,orcnn,overall,score_ar_linear,155468,0.5851,,,1.8532,2.164,2.394,4.89,10.1,,,
primary_ar1.6,SODA-A,4,orcnn,overall,score_ar_size_linear,155468,0.5792,,,1.8436,2.167,2.391,4.88,10.43,,,
primary_ar1.6,SODA-A,4,orcnn,overall,nonlinear,155468,0.399,,,1.5458,1.917,2.272,4.31,8.61,,,
primary_ar1.6,SODA-A,4,orcnn,overall,DELTA_sizelin_minus_nl,155468,0.1801,,,,,,,,0.1762,0.184,True
primary_ar1.6,SODA-A,4,orcnn,sizebin_small,DELTA_sizelin_minus_nl,52456,0.2733,0.8148,0.5414,,,,,,0.2622,0.284,True
primary_ar1.6,SODA-A,4,orcnn,sizebin_medium,DELTA_sizelin_minus_nl,53960,0.2579,0.8117,0.5536,,,,,,0.2475,0.2678,True
primary_ar1.6,SODA-A,4,orcnn,sizebin_large,DELTA_sizelin_minus_nl,49052,0.1829,0.4998,0.3171,,,,,,0.1745,0.1903,True
primary_ar1.6,SODA-A,4,orcnn,perm_importance,nonlinear,,"{""score"": 0.02, ""log_ar"": 0.099, ""log_sqrt_area"": 0.288, ""gv_obb_needed"": 0.206, ""w"": 1.544, ""h"": 1.293}",,,,,,,,,,
sens_ar1.3,SODA-A,4,orcnn,overall,score_only,161654,0.7489,,,2.1924,2.42,2.552,5.36,12.55,,,
sens_ar1.3,SODA-A,4,orcnn,overall,score_ar_linear,161654,0.5704,,,1.882,2.19,2.435,4.95,10.23,,,
sens_ar1.3,SODA-A,4,orcnn,overall,score_ar_size_linear,161654,0.5722,,,1.8852,2.193,2.435,4.95,10.23,,,
sens_ar1.3,SODA-A,4,orcnn,overall,nonlinear,161654,0.3936,,,1.5748,1.941,2.313,4.36,8.74,,,
sens_ar1.3,SODA-A,4,orcnn,overall,DELTA_sizelin_minus_nl,161654,0.1792,,,,,,,,0.1696,0.1856,True
sens_ar1.3,SODA-A,4,orcnn,sizebin_small,DELTA_sizelin_minus_nl,54454,0.2667,0.8106,0.5441,,,,,,0.2564,0.2767,True
sens_ar1.3,SODA-A,4,orcnn,sizebin_medium,DELTA_sizelin_minus_nl,56356,0.2495,0.8093,0.5601,,,,,,0.2394,0.2607,True
sens_ar1.3,SODA-A,4,orcnn,sizebin_large,DELTA_sizelin_minus_nl,50844,0.1422,0.4355,0.2949,,,,,,0.1163,0.1562,True
sens_ar2.0,SODA-A,4,orcnn,overall,score_only,126247,0.7039,,,1.8588,2.096,2.226,4.74,9.75,,,
sens_ar2.0,SODA-A,4,orcnn,overall,score_ar_linear,126247,0.6127,,,1.7239,2.038,2.201,4.61,9.44,,,
sens_ar2.0,SODA-A,4,orcnn,overall,score_ar_size_linear,126247,0.5888,,,1.6886,1.945,2.172,4.4,9.03,,,
sens_ar2.0,SODA-A,4,orcnn,overall,nonlinear,126247,0.4122,,,1.4275,1.78,2.08,4.02,7.89,,,
sens_ar2.0,SODA-A,4,orcnn,overall,DELTA_sizelin_minus_nl,126247,0.1766,,,,,,,,0.1722,0.1814,True
sens_ar2.0,SODA-A,4,orcnn,sizebin_small,DELTA_sizelin_minus_nl,42237,0.2742,0.8063,0.532,,,,,,0.2636,0.2844,True
sens_ar2.0,SODA-A,4,orcnn,sizebin_medium,DELTA_sizelin_minus_nl,44874,0.2604,0.8422,0.5814,,,,,,0.2491,0.2718,True
sens_ar2.0,SODA-A,4,orcnn,sizebin_large,DELTA_sizelin_minus_nl,39136,0.2214,0.5711,0.3498,,,,,,0.2126,0.23,True
primary_ar1.6,DIOR-R,3,orcnn,overall,score_only,13738,0.548,,,1.2494,1.504,1.682,3.45,7.07,,,
primary_ar1.6,DIOR-R,3,orcnn,overall,score_ar_linear,13738,0.7427,,,1.4842,1.584,1.671,3.65,7.16,,,
primary_ar1.6,DIOR-R,3,orcnn,overall,score_ar_size_linear,13738,0.6359,,,1.3554,1.492,1.656,3.36,7.05,,,
primary_ar1.6,DIOR-R,3,orcnn,overall,nonlinear,13738,0.3642,,,1.0277,1.301,1.581,3.02,6.38,,,
primary_ar1.6,DIOR-R,3,orcnn,overall,DELTA_sizelin_minus_nl,13738,0.2703,,,,,,,,0.2453,0.3027,True
primary_ar1.6,DIOR-R,3,orcnn,sizebin_small,DELTA_sizelin_minus_nl,5680,0.2725,0.7081,0.4358,,,,,,0.2367,0.3079,True
primary_ar1.6,DIOR-R,3,orcnn,sizebin_medium,DELTA_sizelin_minus_nl,3761,0.3576,0.7588,0.4007,,,,,,0.3131,0.4114,True
primary_ar1.6,DIOR-R,3,orcnn,sizebin_large,DELTA_sizelin_minus_nl,4297,0.4282,0.7855,0.3563,,,,,,0.3664,0.4878,True
primary_ar1.6,DIOR-R,3,orcnn,perm_importance,nonlinear,,"{""score"": 0.086, ""log_ar"": 0.062, ""log_sqrt_area"": 0.134, ""gv_obb_needed"": 0.237, ""w"": 2.237, ""h"": 2.553}",,,,,,,,,,
sens_ar1.3,DIOR-R,3,orcnn,overall,score_only,14266,0.5345,,,1.2708,1.533,1.725,3.45,7.38,,,
sens_ar1.3,DIOR-R,3,orcnn,overall,score_ar_linear,14266,0.7151,,,1.5012,1.578,1.688,3.65,7.18,,,
sens_ar1.3,DIOR-R,3,orcnn,overall,score_ar_size_linear,14266,0.6292,,,1.3917,1.507,1.674,3.41,7.06,,,
sens_ar1.3,DIOR-R,3,orcnn,overall,nonlinear,14266,0.373,,,1.0648,1.344,1.624,3.04,6.49,,,
sens_ar1.3,DIOR-R,3,orcnn,overall,DELTA_sizelin_minus_nl,14266,0.2571,,,,,,,,0.2226,0.2881,True
sens_ar1.3,DIOR-R,3,orcnn,sizebin_small,DELTA_sizelin_minus_nl,5826,0.2158,0.6791,0.4663,,,,,,0.1483,0.2744,True
sens_ar1.3,DIOR-R,3,orcnn,sizebin_medium,DELTA_sizelin_minus_nl,3985,0.3331,0.7263,0.3959,,,,,,0.284,0.3832,True
sens_ar1.3,DIOR-R,3,orcnn,sizebin_large,DELTA_sizelin_minus_nl,4455,0.4187,0.757,0.3368,,,,,,0.3803,0.4674,True
sens_ar2.0,DIOR-R,3,orcnn,overall,score_only,12794,0.5594,,,1.2332,1.474,1.647,3.42,6.77,,,
sens_ar2.0,DIOR-R,3,orcnn,overall,score_ar_linear,12794,0.7517,,,1.4566,1.575,1.635,3.62,6.97,,,
sens_ar2.0,DIOR-R,3,orcnn,overall,score_ar_size_linear,12794,0.6339,,,1.3198,1.474,1.617,3.33,6.81,,,
sens_ar2.0,DIOR-R,3,orcnn,overall,nonlinear,12794,0.3602,,,1.0018,1.267,1.535,2.96,6.21,,,
sens_ar2.0,DIOR-R,3,orcnn,overall,DELTA_sizelin_minus_nl,12794,0.274,,,,,,,,0.2437,0.3047,True
sens_ar2.0,DIOR-R,3,orcnn,sizebin_small,DELTA_sizelin_minus_nl,5363,0.287,0.7256,0.4398,,,,,,0.2472,0.3275,True
sens_ar2.0,DIOR-R,3,orcnn,sizebin_medium,DELTA_sizelin_minus_nl,3406,0.3746,0.7872,0.4114,,,,,,0.3299,0.4288,True
sens_ar2.0,DIOR-R,3,orcnn,sizebin_large,DELTA_sizelin_minus_nl,4025,0.4339,0.7743,0.3342,,,,,,0.3765,0.4992,True
primary_ar1.6,DIOR-R,10,lsknet,overall,score_only,14108,0.5478,,,1.2275,1.46,1.673,3.46,6.95,,,
primary_ar1.6,DIOR-R,10,lsknet,overall,score_ar_linear,14108,0.7492,,,1.462,1.62,1.637,3.73,7.3,,,
primary_ar1.6,DIOR-R,10,lsknet,overall,score_ar_size_linear,14108,0.61,,,1.2999,1.449,1.632,3.32,7.01,,,
primary_ar1.6,DIOR-R,10,lsknet,overall,nonlinear,14108,0.3501,,,0.9973,1.315,1.561,3.08,6.54,,,
primary_ar1.6,DIOR-R,10,lsknet,overall,DELTA_sizelin_minus_nl,14108,0.2595,,,,,,,,0.2387,0.2831,True
primary_ar1.6,DIOR-R,10,lsknet,sizebin_small,DELTA_sizelin_minus_nl,5790,0.29,0.7385,0.4486,,,,,,0.2569,0.321,True
primary_ar1.6,DIOR-R,10,lsknet,sizebin_medium,DELTA_sizelin_minus_nl,3866,0.3639,0.7562,0.3917,,,,,,0.3204,0.4143,True
primary_ar1.6,DIOR-R,10,lsknet,sizebin_large,DELTA_sizelin_minus_nl,4452,0.4344,0.766,0.3301,,,,,,0.3859,0.4852,True
primary_ar1.6,DIOR-R,10,lsknet,perm_importance,nonlinear,,"{""score"": 0.102, ""log_ar"": 0.035, ""log_sqrt_area"": 0.475, ""gv_obb_needed"": 0.223, ""w"": 2.996, ""h"": 3.615}",,,,,,,,,,
sens_ar1.3,DIOR-R,10,lsknet,overall,score_only,14662,0.5347,,,1.2608,1.481,1.732,3.47,7.14,,,
sens_ar1.3,DIOR-R,10,lsknet,overall,score_ar_linear,14662,0.7116,,,1.4816,1.621,1.675,3.74,7.46,,,
sens_ar1.3,DIOR-R,10,lsknet,overall,score_ar_size_linear,14662,0.6022,,,1.345,1.459,1.664,3.36,6.97,,,
sens_ar1.3,DIOR-R,10,lsknet,overall,nonlinear,14662,0.3403,,,1.0181,1.327,1.601,3.09,6.61,,,
sens_ar1.3,DIOR-R,10,lsknet,overall,DELTA_sizelin_minus_nl,14662,0.2625,,,,,,,,0.2409,0.2856,True
sens_ar1.3,DIOR-R,10,lsknet,sizebin_small,DELTA_sizelin_minus_nl,5973,0.2681,0.7159,0.4475,,,,,,0.2153,0.311,True
sens_ar1.3,DIOR-R,10,lsknet,sizebin_medium,DELTA_sizelin_minus_nl,4086,0.3256,0.7088,0.381,,,,,,0.2881,0.3758,True
sens_ar1.3,DIOR-R,10,lsknet,sizebin_large,DELTA_sizelin_minus_nl,4603,0.3843,0.6918,0.3072,,,,,,0.3443,0.4294,True
sens_ar2.0,DIOR-R,10,lsknet,overall,score_only,13106,0.5607,,,1.2108,1.44,1.628,3.43,6.88,,,
sens_ar2.0,DIOR-R,10,lsknet,overall,score_ar_linear,13106,0.762,,,1.4369,1.615,1.606,3.68,7.22,,,
sens_ar2.0,DIOR-R,10,lsknet,overall,score_ar_size_linear,13106,0.6094,,,1.2656,1.442,1.583,3.31,7.1,,,
sens_ar2.0,DIOR-R,10,lsknet,overall,nonlinear,13106,0.3506,,,0.9749,1.293,1.531,3.03,6.37,,,
sens_ar2.0,DIOR-R,10,lsknet,overall,DELTA_sizelin_minus_nl,13106,0.2573,,,,,,,,0.2343,0.2857,True
sens_ar2.0,DIOR-R,10,lsknet,sizebin_small,DELTA_sizelin_minus_nl,5481,0.2912,0.7493,0.4594,,,,,,0.2573,0.3235,True
sens_ar2.0,DIOR-R,10,lsknet,sizebin_medium,DELTA_sizelin_minus_nl,3489,0.4072,0.8097,0.4025,,,,,,0.3576,0.4667,True
sens_ar2.0,DIOR-R,10,lsknet,sizebin_large,DELTA_sizelin_minus_nl,4136,0.4377,0.7631,0.3273,,,,,,0.3766,0.4984,True
