metric,cell,dataset,detector,score_type,old_ar16_value,new_ar21_value,direction_old,direction_new,conclusion_changed,interpretation
NRC,A,DIOR-R,rotated_retinanet_psc,detection_score,0.5644,0.6082,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,C,DIOR-R,rotated_rtmdet_s,detection_score,1.366,1.3786,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,C,DIOR-R,rotated_rtmdet_s,detection_score,1.6328,1.609,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,C,DIOR-R,rotated_rtmdet_s,detection_score,1.9805,1.9066,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,C,DIOR-R,rotated_rtmdet_s,geometry_upper_bound,0.4167,0.4708,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,C,DIOR-R,rotated_rtmdet_s,geometry_upper_bound,1.3682,1.3866,ar1.6_reference,higher,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,C,DIOR-R,rotated_rtmdet_s,geometry_upper_bound,1.6001,1.5988,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,C,DIOR-R,rotated_rtmdet_s,geometry_upper_bound,1.9019,1.8545,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,0.4495,0.4893,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,1.4126,1.4079,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,1.5622,1.5544,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,1.8388,1.8019,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,0.9059,0.9379,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,2.2949,2.2225,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,2.4029,2.2998,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,2.4368,2.3004,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_upper_bound,0.7043,0.6784,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_upper_bound,1.9682,1.8307,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_upper_bound,2.238,2.077,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_upper_bound,2.3743,2.2375,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,1.0926,1.0563,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,2.5973,2.4013,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,2.326,2.1918,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,2.3759,2.2464,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,1.1179,1.1333,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,2.6383,2.5176,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,2.3893,2.2761,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,2.3772,2.2649,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,0.6623,0.6631,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,1.897,1.8031,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,2.0704,1.9759,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,2.2603,2.1519,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,E,SODA-A,rotated_retinanet_psc,detection_score,0.8963,0.8113,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,E,SODA-A,rotated_retinanet_psc,detection_score,2.1807,1.7827,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,E,SODA-A,rotated_retinanet_psc,detection_score,2.1365,1.8733,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,E,SODA-A,rotated_retinanet_psc,detection_score,2.265,1.9817,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,E,SODA-A,rotated_retinanet_psc,geometry_upper_bound,0.535,0.5599,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,E,SODA-A,rotated_retinanet_psc,geometry_upper_bound,1.6126,1.4462,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,E,SODA-A,rotated_retinanet_psc,geometry_upper_bound,1.9003,1.7119,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,E,SODA-A,rotated_retinanet_psc,geometry_upper_bound,2.1433,1.9019,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,E,SODA-A,rotated_retinanet_psc,negative_phase_mod,1.1845,1.1048,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,E,SODA-A,rotated_retinanet_psc,negative_phase_mod,2.6337,2.1756,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,E,SODA-A,rotated_retinanet_psc,negative_phase_mod,2.1882,1.8941,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,E,SODA-A,rotated_retinanet_psc,negative_phase_mod,2.2571,1.9645,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,E,SODA-A,rotated_retinanet_psc,phase_mod,1.1165,1.1349,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,E,SODA-A,rotated_retinanet_psc,phase_mod,2.5269,2.2158,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,E,SODA-A,rotated_retinanet_psc,phase_mod,2.2095,1.952,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,E,SODA-A,rotated_retinanet_psc,phase_mod,2.2347,1.9718,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,0.5525,0.5664,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,1.6334,1.4497,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,1.8428,1.6456,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,2.0861,1.8504,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,F,SODA-A,oriented_rcnn,detection_score,0.7055,0.6878,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,F,SODA-A,oriented_rcnn,detection_score,2.121,1.8254,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,F,SODA-A,oriented_rcnn,detection_score,2.3637,2.0645,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,F,SODA-A,oriented_rcnn,detection_score,2.523,2.2053,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,F,SODA-A,oriented_rcnn,geometry_upper_bound,0.5335,0.5483,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,F,SODA-A,oriented_rcnn,geometry_upper_bound,1.8262,1.6193,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,F,SODA-A,oriented_rcnn,geometry_upper_bound,2.1478,1.8823,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,F,SODA-A,oriented_rcnn,geometry_upper_bound,2.4282,2.1316,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,F,SODA-A,oriented_rcnn,tta_neg_circular_var,0.6007,0.6178,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,F,SODA-A,oriented_rcnn,tta_neg_circular_var,1.9368,1.7189,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,F,SODA-A,oriented_rcnn,tta_neg_circular_var,2.1231,1.875,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,F,SODA-A,oriented_rcnn,tta_neg_circular_var,2.3668,2.0856,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,G_dota_orcnn,DOTA-v1.0,oriented_rcnn,detection_score,0.6866,0.7544,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,G_dota_orcnn,DOTA-v1.0,oriented_rcnn,detection_score,1.5776,1.5543,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,G_dota_orcnn,DOTA-v1.0,oriented_rcnn,detection_score,1.7438,1.6859,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,G_dota_orcnn,DOTA-v1.0,oriented_rcnn,detection_score,1.8727,1.7716,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,detection_score,0.6353,0.7113,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,detection_score,1.5288,1.4932,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,detection_score,1.7083,1.6363,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,detection_score,1.845,1.7288,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,native_CSL,0.8756,0.8663,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,native_CSL,12.5459,10.9154,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,native_CSL,13.0427,11.3607,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,native_CSL,13.4476,11.7329,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,score_CSL,0.8153,0.8403,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,score_CSL,12.0176,10.7182,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,score_CSL,13.0508,11.4257,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,score_CSL,13.4544,11.8642,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,native_CSL,0.927,0.9254,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,native_CSL,14.0821,11.9127,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,native_CSL,14.4606,12.1879,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,native_CSL,14.6395,12.3349,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,score_CSL,0.8257,0.8651,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,score_CSL,13.2618,11.5295,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,score_CSL,14.0538,12.0753,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,score_CSL,14.4097,12.2798,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,native_CSL,1.1476,1.121,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,native_CSL,16.5426,13.6138,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,native_CSL,15.4731,12.866,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,native_CSL,15.2918,12.7777,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,score_CSL,1.0004,1.0856,near-random,reversed,True,NRC direction changed; old claim superseded
AURC,K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,score_CSL,15.3121,13.3807,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,score_CSL,15.0238,12.766,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,score_CSL,15.1442,12.8706,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,native_CSL,1.0778,1.0046,reversed,near-random,True,NRC direction changed; old claim superseded
AURC,K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,native_CSL,22.0666,18.1814,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,native_CSL,21.5873,18.2389,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,native_CSL,21.3575,18.173,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,score_CSL,1.2176,1.0913,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,score_CSL,23.5243,18.9602,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,score_CSL,21.8982,18.8127,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,score_CSL,21.445,18.3975,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,native_CSL,0.9561,0.9416,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,native_CSL,16.2988,13.9753,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,native_CSL,16.6327,14.3015,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,native_CSL,16.6715,14.3715,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,score_CSL,1.2307,1.1187,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,score_CSL,18.7964,15.3216,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,score_CSL,17.4017,15.0688,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,score_CSL,16.9052,14.6513,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,native_CSL,1.1435,1.1162,reversed,reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,native_CSL,23.0595,19.7197,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,native_CSL,22.1096,19.0017,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,native_CSL,21.6991,18.7328,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,score_CSL,1.0627,0.9564,reversed,non-reversed,True,NRC direction changed; old claim superseded
AURC,K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,score_CSL,22.2037,18.2652,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,score_CSL,21.664,18.8478,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,score_CSL,21.6057,18.8342,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
NRC,K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,native_DCL,0.2479,0.2445,non-reversed,non-reversed,False,ar2.1 value is authoritative; ar1.6 sensitivity only
AURC,K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,native_DCL,1.4051,1.3659,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@70,K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,native_DCL,1.7576,1.6996,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
Risk@90,K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,native_DCL,2.4626,2.3939,ar1.6_reference,lower,True,ar2.1 value is authoritative; ar1.6 sensitivity only
