cell,dataset,baseline_id,detector,selector,source,protocol,near_square_handling,ar_threshold,split,n,nrc,aurc,r70,r90
DIOR#61,DIOR-R,61,rotated_rtmdet_s,detection_score,052_matched_17field_full,masked_ar1.6_all,excluded,1.6,D_cal+D_audit,27382,0.4072,1.1884,1.437,1.742
DIOR#61,DIOR-R,61,rotated_rtmdet_s,detection_score,052_matched_17field_full,masked_ar1.3_all,excluded,1.3,D_cal+D_audit,28550,0.3947,1.2166,1.469,1.809
DIOR#61,DIOR-R,61,rotated_rtmdet_s,detection_score,052_matched_17field_full,masked_ar1.6_Daudit,excluded,1.6,D_audit,14296,0.4191,1.2314,1.501,1.776
DIOR#61,DIOR-R,61,rotated_rtmdet_s,detection_score,052_matched_17field_full,not_near_square_all,excluded,none,D_cal+D_audit,29611,0.3933,1.2047,1.455,1.807
SODA#4,SODA-A,4,oriented_rcnn,detection_score,052_matched_17field_full,unmasked_all,excluded,none,D_cal+D_audit,376756,1.4683,7.1083,5.543,5.204
SODA#4,SODA-A,4,oriented_rcnn,detection_score,052_matched_17field_full,masked_ar1.6_all,excluded,1.6,D_cal+D_audit,331575,0.7114,2.1474,2.387,2.544
SODA#4,SODA-A,4,oriented_rcnn,detection_score,052_matched_17field_full,masked_ar1.3_all,excluded,1.3,D_cal+D_audit,345245,0.7633,2.3682,2.575,2.714
SODA#4,SODA-A,4,oriented_rcnn,detection_score,052_matched_17field_full,masked_ar1.6_Daudit,excluded,1.6,D_audit,169667,0.7062,2.1383,2.378,2.541
SODA#4,SODA-A,4,oriented_rcnn,detection_score,052_matched_17field_full,not_near_square_all,excluded,none,D_cal+D_audit,351702,0.8129,2.5457,2.715,2.826
DIOR#10,DIOR-R,10,oriented_rcnn_lsknet,detection_score,features_v2_prefiltered_ar1.6,masked_ar1.6_all(features_v2),excluded,1.6,D_cal+D_audit,27097,0.5476,1.2057,1.422,1.643
DIOR#10,DIOR-R,10,oriented_rcnn_lsknet,detection_score,features_v2_prefiltered_ar1.6,masked_ar1.6_Daudit(features_v2),excluded,1.6,D_audit,14108,0.5478,1.2275,1.46,1.673
SODA#11,SODA-A,11,oriented_rcnn_lsknet,detection_score,features_v2_prefiltered_ar1.6,masked_ar1.6_all(features_v2),excluded,1.6,D_cal+D_audit,254021,0.7313,1.8789,2.065,2.205
SODA#11,SODA-A,11,oriented_rcnn_lsknet,detection_score,features_v2_prefiltered_ar1.6,masked_ar1.6_Daudit(features_v2),excluded,1.6,D_audit,128950,0.7195,1.8666,2.061,2.209
