cell,dataset,detector,score_type,mask_definition,ar_threshold,retained_count,retained_ratio,nrc,aurc,risk70,risk90,nrc_ci_lo,nrc_ci_hi,source_lineage,metric_completeness,note,evaluation_scope
B,DIOR-R,oriented_rcnn,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,32742,0.683735,0.5271,1.3425,1.5729,1.7996,nan,nan,m069_fullval_same_forward,complete,,D_audit
B,DIOR-R,oriented_rcnn,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,32742,0.683735,0.5229,1.3367,1.5208,1.7196,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
B,DIOR-R,oriented_rcnn,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,32486,0.678389,0.5176,1.3178,1.4381,1.6787,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
B,DIOR-R,oriented_rcnn,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,35456,0.74041,0.5427,1.4357,1.6557,1.8969,nan,nan,m069_fullval_same_forward,complete,,D_audit
B,DIOR-R,oriented_rcnn,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,35456,0.74041,0.5042,1.3778,1.5539,1.8017,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
B,DIOR-R,oriented_rcnn,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,35159,0.734208,0.4804,1.3278,1.4562,1.7135,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
C,DIOR-R,rotated_rtmdet_s,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,32500,0.678766,0.4153,1.366,1.6328,1.9805,nan,nan,m069_fullval_same_forward,complete,,D_audit
C,DIOR-R,rotated_rtmdet_s,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,32500,0.678766,0.4167,1.3682,1.6001,1.9019,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,32312,0.67484,0.4495,1.4126,1.5622,1.8388,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
C,DIOR-R,rotated_rtmdet_s,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,35254,0.736284,0.423,1.4868,1.7828,2.1912,nan,nan,m069_fullval_same_forward,complete,,D_audit
C,DIOR-R,rotated_rtmdet_s,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,35254,0.736284,0.3887,1.423,1.6615,1.9727,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,35044,0.731898,0.4287,1.4877,1.6253,1.9457,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,21713,0.831661,0.9059,2.2949,2.4029,2.4368,nan,nan,m069_fullval_same_forward,complete,,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,21713,0.831661,0.7043,1.9682,2.238,2.3743,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,21449,0.821549,0.6623,1.897,2.0704,2.2603,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,21713,0.831661,1.1179,2.6383,2.3893,2.3772,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,21713,0.831661,1.0926,2.5973,2.326,2.3759,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,22867,0.875862,0.9322,2.4038,2.4622,2.4925,nan,nan,m069_fullval_same_forward,complete,,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,22867,0.875862,0.6892,1.993,2.2632,2.3987,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,22587,0.865137,0.6509,1.9255,2.0964,2.2913,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,22867,0.875862,1.1136,2.7105,2.4516,2.434,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,22867,0.875862,1.1209,2.7228,2.4003,2.4477,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
E,SODA-A,rotated_retinanet_psc,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,136594,0.86679,0.8963,2.1807,2.1365,2.265,nan,nan,m069_fullval_same_forward,complete,,D_audit
E,SODA-A,rotated_retinanet_psc,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,136594,0.86679,0.535,1.6126,1.9003,2.1433,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,135005,0.856707,0.5525,1.6334,1.8428,2.0861,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
E,SODA-A,rotated_retinanet_psc,phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,136594,0.86679,1.1165,2.5269,2.2095,2.2347,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
E,SODA-A,rotated_retinanet_psc,negative_phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,136594,0.86679,1.1845,2.6337,2.1882,2.2571,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
E,SODA-A,rotated_retinanet_psc,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,142550,0.904585,0.9778,2.4265,2.2702,2.3846,nan,nan,m069_fullval_same_forward,complete,,D_audit
E,SODA-A,rotated_retinanet_psc,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,142550,0.904585,0.5145,1.643,1.9385,2.1918,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,140928,0.894293,0.5587,1.7116,1.8864,2.1449,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
E,SODA-A,rotated_retinanet_psc,phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,142550,0.904585,1.1077,2.6461,2.3056,2.3227,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
E,SODA-A,rotated_retinanet_psc,negative_phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,142550,0.904585,1.2235,2.8419,2.3047,2.3721,nan,nan,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
F,SODA-A,oriented_rcnn,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,169497,0.881653,0.7055,2.121,2.3637,2.523,nan,nan,m069_fullval_same_forward,complete,,D_audit
F,SODA-A,oriented_rcnn,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,169497,0.881653,0.5335,1.8262,2.1478,2.4282,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
F,SODA-A,oriented_rcnn,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,167900,0.873347,0.6007,1.9368,2.1231,2.3668,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
F,SODA-A,oriented_rcnn,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,176157,0.916296,0.7295,2.2319,2.4584,2.6121,nan,nan,m069_fullval_same_forward,complete,,D_audit
F,SODA-A,oriented_rcnn,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,176157,0.916296,0.5218,1.8575,2.1884,2.4755,nan,nan,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
F,SODA-A,oriented_rcnn,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,174531,0.907838,0.588,1.9728,2.1658,2.4238,nan,nan,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
G_dota_orcnn,DOTA-v1.0,oriented_rcnn,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,39489,0.807728,0.6866,1.5776,1.7438,1.8727,nan,nan,verified_DOTA_clean_fullval_dump,complete,,clean_fullval_D_audit
G_dota_orcnn,DOTA-v1.0,oriented_rcnn,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,42049,0.860091,0.7005,1.6777,1.8216,1.9757,nan,nan,verified_DOTA_clean_fullval_dump,complete,,clean_fullval_D_audit
H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,41535,0.802826,0.6353,1.5288,1.7083,1.845,nan,nan,verified_DOTA_clean_fullval_dump,complete,,clean_fullval_D_audit
H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,44224,0.854801,0.6271,1.5987,1.7583,1.9496,nan,nan,verified_DOTA_clean_fullval_dump,complete,,clean_fullval_D_audit
K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,57407,0.675059,1.1839,2.0211,1.7334,1.6014,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,57407,0.675059,0.5602,1.1943,1.4347,1.6346,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,62219,0.731644,1.129,2.1656,1.8753,1.7531,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,62219,0.731644,0.5657,1.3027,1.5789,1.7926,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,57227,0.676826,1.1786,2.0041,1.7034,1.5981,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=f285a0f0672e5965cd240c02ccaf97670b5a88eca52a9a76b554aba39ee8baa0,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,57227,0.676826,0.5595,1.1823,1.4234,1.626,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=f285a0f0672e5965cd240c02ccaf97670b5a88eca52a9a76b554aba39ee8baa0,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,61939,0.732555,1.1418,2.1631,1.8606,1.7424,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=f285a0f0672e5965cd240c02ccaf97670b5a88eca52a9a76b554aba39ee8baa0,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,61939,0.732555,0.5628,1.2813,1.5457,1.7682,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=f285a0f0672e5965cd240c02ccaf97670b5a88eca52a9a76b554aba39ee8baa0,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,57355,0.671738,1.1871,2.0053,1.6953,1.5854,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=2931fa9680ab95cee348f694d74cad57ce7f3c39caf67daeef8c0e372e048cfa,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,57355,0.671738,0.5631,1.1783,1.4114,1.601,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=2931fa9680ab95cee348f694d74cad57ce7f3c39caf67daeef8c0e372e048cfa,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,62286,0.729489,1.1357,2.1553,1.863,1.7548,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=2931fa9680ab95cee348f694d74cad57ce7f3c39caf67daeef8c0e372e048cfa,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,62286,0.729489,0.5571,1.2701,1.5309,1.7568,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=2931fa9680ab95cee348f694d74cad57ce7f3c39caf67daeef8c0e372e048cfa,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,260878,0.86184,1.1143,2.5404,2.2636,2.2492,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=141fc28ebdbd57761df34717b643a9b7bfd2414548eca5a274412b52778347e3,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,260878,0.86184,0.9109,2.218,2.1599,2.2868,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=141fc28ebdbd57761df34717b643a9b7bfd2414548eca5a274412b52778347e3,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,272218,0.899303,1.1094,2.6822,2.3856,2.3568,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=141fc28ebdbd57761df34717b643a9b7bfd2414548eca5a274412b52778347e3,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,272218,0.899303,1.001,2.4957,2.3116,2.4225,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=141fc28ebdbd57761df34717b643a9b7bfd2414548eca5a274412b52778347e3,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,264374,0.864142,1.1293,2.62,2.3143,2.2966,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=b76b49e4855e2d1de53da5c5dc9322a83f490675750d05c4ca5d159ffee82cc0,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,264374,0.864142,0.9138,2.272,2.2017,2.326,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=b76b49e4855e2d1de53da5c5dc9322a83f490675750d05c4ca5d159ffee82cc0,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,275446,0.900333,1.1241,2.7431,2.4083,2.38,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=b76b49e4855e2d1de53da5c5dc9322a83f490675750d05c4ca5d159ffee82cc0,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,275446,0.900333,0.9833,2.4991,2.3375,2.445,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=b76b49e4855e2d1de53da5c5dc9322a83f490675750d05c4ca5d159ffee82cc0,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,265887,0.86433,1.1202,2.6048,2.2846,2.3017,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=1cc7246bbaee2bf8d27ace477961bf2190e4c33618d182dfa4863a13a5f69759,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,265887,0.86433,0.9257,2.2903,2.2263,2.3312,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=1cc7246bbaee2bf8d27ace477961bf2190e4c33618d182dfa4863a13a5f69759,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,277163,0.900986,1.1092,2.7214,2.385,2.3947,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=1cc7246bbaee2bf8d27ace477961bf2190e4c33618d182dfa4863a13a5f69759,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,277163,0.900986,0.9964,2.5253,2.3606,2.4516,nan,nan,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=1cc7246bbaee2bf8d27ace477961bf2190e4c33618d182dfa4863a13a5f69759,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,native_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,24748,0.477171,0.8756,12.5459,13.0427,13.4476,nan,nan,m069_psc_phase1_targeted_native_frozen_k2,complete,CSL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=55e417a0226e4d1eae64a43242e5c6f125ec114794b31751f8ba256d0fc18e51,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,score_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.6,24748,0.477171,0.8153,12.0176,13.0508,13.4544,nan,nan,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=55e417a0226e4d1eae64a43242e5c6f125ec114794b31751f8ba256d0fc18e51,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,native_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,29107,0.561218,0.8451,15.4256,16.1465,16.8685,nan,nan,m069_psc_phase1_targeted_native_frozen_k2,complete,CSL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=55e417a0226e4d1eae64a43242e5c6f125ec114794b31751f8ba256d0fc18e51,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,score_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,1.3,29107,0.561218,0.8311,15.2658,16.8286,17.0183,nan,nan,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=55e417a0226e4d1eae64a43242e5c6f125ec114794b31751f8ba256d0fc18e51,frozen_full_validation_endpoint
