dataset,seed,score,score_family,formula,endpoint,mask_definition,risk_event,ar_threshold,retained_count,retained_ratio,n,n_images,reference_score,bootstrap_unit,bootstrap_replicates,comparison_status,source_file,source_sha256,nrc,nrc_ci_lo,nrc_ci_hi,delta_nrc,delta_nrc_ci_lo,delta_nrc_ci_hi,aurc,aurc_ci_lo,aurc_ci_hi,delta_aurc,delta_aurc_ci_lo,delta_aurc_ci_hi,risk70,risk70_ci_lo,risk70_ci_hi,delta_risk70,delta_risk70_ci_lo,delta_risk70_ci_hi,risk90,risk90_ci_lo,risk90_ci_hi,delta_risk90,delta_risk90_ci_lo,delta_risk90_ci_hi
DIOR-R,1,phase_direction_margin,registered_psc_phase1,unwrap_candidate_energy_gap * secondary phase-vector norm,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48152,0.56949569,48152,6929,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed1/matched_phase.jsonl,7850258f6d9b8a833d4cc64348e72f19b5466b81a69af2124c83f9d7c637760c,0.73545116,0.61844915,0.84105632,-0.77439052,-0.96647739,-0.58794421,0.00639436,0.00524047,0.00764256,-0.00669303,-0.00873872,-0.00500739,0.00560714,0.00462436,0.00655806,-0.00228439,-0.00325438,-0.00150457,0.00618409,0.00524768,0.00709119,-0.00269977,-0.00344363,-0.00204588
DIOR-R,2,phase_mod,registered_psc_phase1,phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48195,0.56445662,48195,6920,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,98cdeb2f22b0c95a29ae26fc607c10b5eb22e9fee79a704e97e1b0e68a44b2de,0.92951351,0.82960781,1.04493031,-0.62916165,-0.88070985,-0.34520812,0.00798723,0.00666772,0.00947656,-0.00538123,-0.00783989,-0.00280077,0.00723242,0.00617211,0.00848248,-0.00088923,-0.00189948,0.00033525,0.0068471,0.00587506,0.00789637,-0.0019135,-0.00256279,-0.00121783
DIOR-R,2,negative_phase_mod,registered_psc_phase1,-phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48195,0.56445662,48195,6920,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,98cdeb2f22b0c95a29ae26fc607c10b5eb22e9fee79a704e97e1b0e68a44b2de,1.55867516,1.38595002,1.75031952,0.0,0.0,0.0,0.01336846,0.01098706,0.01635928,0.0,0.0,0.0,0.00812165,0.00694879,0.00946116,0.0,0.0,0.0,0.0087606,0.00767851,0.0099337,0.0,0.0,0.0
DIOR-R,2,detection_score,registered_psc_phase1,post-NMS detection score,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48195,0.56445662,48195,6920,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,98cdeb2f22b0c95a29ae26fc607c10b5eb22e9fee79a704e97e1b0e68a44b2de,0.24459576,0.21594693,0.27657857,-1.3140794,-1.504201,-1.12054227,0.00212912,0.00171398,0.00256841,-0.01123934,-0.01361691,-0.00898033,0.00337908,0.00256039,0.00426703,-0.00474257,-0.00573448,-0.00374991,0.00576356,0.00470818,0.00684846,-0.00299705,-0.00367474,-0.00242216
DIOR-R,2,tta_phase_direction_consistency,registered_psc_phase1,-theta->2theta circular variance over identity/hflip/vflip phase direction,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,0,0.0,0,0,negative_phase_mod,image,800,UNAVAILABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,98cdeb2f22b0c95a29ae26fc607c10b5eb22e9fee79a704e97e1b0e68a44b2de,,,,,,,,,,,,,,,,,,,,,,,,
DIOR-R,2,multi_frequency_consistency,registered_psc_phase1,-multi_frequency_disagreement_deg,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48195,0.56445662,48195,6920,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,98cdeb2f22b0c95a29ae26fc607c10b5eb22e9fee79a704e97e1b0e68a44b2de,0.73319252,0.62877743,0.85328884,-0.82548264,-1.07196229,-0.56854899,0.00630809,0.0051145,0.00768882,-0.00706036,-0.00968991,-0.00468422,0.00575036,0.00483957,0.00676684,-0.00237128,-0.00324517,-0.00146382,0.00670878,0.00575422,0.00765888,-0.00205183,-0.002627,-0.00151683
DIOR-R,2,unwrap_candidate_energy_gap,registered_psc_phase1,abs(cos alignment candidate0 - candidate1),geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48195,0.56445662,48195,6920,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,98cdeb2f22b0c95a29ae26fc607c10b5eb22e9fee79a704e97e1b0e68a44b2de,0.73319252,0.62503729,0.86355302,-0.82548264,-1.06545982,-0.58206396,0.00630809,0.00501608,0.00772466,-0.00706036,-0.00945621,-0.00475611,0.00575036,0.00482326,0.00675948,-0.00237128,-0.00324118,-0.00154517,0.00670878,0.00570426,0.00762916,-0.00205183,-0.00260859,-0.0014831
DIOR-R,2,phase_direction_margin,registered_psc_phase1,unwrap_candidate_energy_gap * secondary phase-vector norm,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,48195,0.56445662,48195,6920,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/DIOR-R/seed2/matched_phase.jsonl,98cdeb2f22b0c95a29ae26fc607c10b5eb22e9fee79a704e97e1b0e68a44b2de,0.7684263,0.64506108,0.91324764,-0.79024886,-0.96001555,-0.61155484,0.00660945,0.00529893,0.00834873,-0.00675901,-0.0085766,-0.00504225,0.00548359,0.00452392,0.00661424,-0.00263805,-0.00349482,-0.00182316,0.00606326,0.00515611,0.00710807,-0.00269734,-0.00335714,-0.00206068
SODA-A,0,phase_mod,registered_psc_phase1,phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,193045,0.63774575,193045,7907,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,09acdd753960b7d935da2f3f09b502ae9134ef16a0f19c6ffdfd547cfb40bdc8,1.00195992,0.89153661,1.10697479,-0.71102997,-0.93577601,-0.50410042,0.00406917,0.00334042,0.00499747,-0.00288178,-0.00394036,-0.00203585,0.00314507,0.00263265,0.00375745,-0.00076222,-0.00120673,-0.00039609,0.00310807,0.00263874,0.00367784,-0.00075975,-0.00101708,-0.0005252
SODA-A,0,negative_phase_mod,registered_psc_phase1,-phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,193045,0.63774575,193045,7907,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,09acdd753960b7d935da2f3f09b502ae9134ef16a0f19c6ffdfd547cfb40bdc8,1.71298988,1.56054739,1.85949829,0.0,0.0,0.0,0.00695095,0.00582447,0.00812748,0.0,0.0,0.0,0.00390729,0.00333611,0.00453237,0.0,0.0,0.0,0.00386783,0.00333428,0.00443989,0.0,0.0,0.0
SODA-A,0,detection_score,registered_psc_phase1,post-NMS detection score,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,193045,0.63774575,193045,7907,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,09acdd753960b7d935da2f3f09b502ae9134ef16a0f19c6ffdfd547cfb40bdc8,0.52554425,0.44694777,0.60936212,-1.18744563,-1.34930466,-1.00959833,0.00213828,0.00179046,0.00249971,-0.00481267,-0.00576158,-0.00383379,0.00171684,0.00146392,0.0019884,-0.00219045,-0.00276169,-0.00168656,0.00273971,0.00235225,0.0031605,-0.00112812,-0.00154556,-0.00074745
SODA-A,0,tta_phase_direction_consistency,registered_psc_phase1,-theta->2theta circular variance over identity/hflip/vflip phase direction,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,190941,0.63079495,190941,7896,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,09acdd753960b7d935da2f3f09b502ae9134ef16a0f19c6ffdfd547cfb40bdc8,0.41002329,0.318784,0.49815576,-1.30020877,-1.48265454,-1.14049573,0.00159351,0.00124056,0.0019685,-0.00502922,-0.00605905,-0.00412122,0.00142901,0.00119096,0.00166637,-0.00232682,-0.00288742,-0.00180778,0.00196105,0.00167901,0.00227742,-0.00174574,-0.00216331,-0.0013762
SODA-A,0,multi_frequency_consistency,registered_psc_phase1,-multi_frequency_disagreement_deg,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,193045,0.63774575,193045,7907,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,09acdd753960b7d935da2f3f09b502ae9134ef16a0f19c6ffdfd547cfb40bdc8,0.43568317,0.38119319,0.49177815,-1.27730671,-1.43130124,-1.12033213,0.00177408,0.0014901,0.00207948,-0.00517687,-0.00622921,-0.00426728,0.00200545,0.00169701,0.00234418,-0.00190184,-0.00241262,-0.00145214,0.00273971,0.00231492,0.00322163,-0.00112812,-0.00135067,-0.0008891
SODA-A,0,unwrap_candidate_energy_gap,registered_psc_phase1,abs(cos alignment candidate0 - candidate1),geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,193045,0.63774575,193045,7907,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,09acdd753960b7d935da2f3f09b502ae9134ef16a0f19c6ffdfd547cfb40bdc8,0.43568317,0.38544476,0.49098582,-1.27730671,-1.42993799,-1.11055785,0.00177408,0.00147732,0.00210289,-0.00517687,-0.0062412,-0.0042461,0.00200545,0.00169631,0.00233315,-0.00190184,-0.00240868,-0.0014686,0.00273971,0.00231637,0.00323857,-0.00112812,-0.00135976,-0.00091086
SODA-A,0,phase_direction_margin,registered_psc_phase1,unwrap_candidate_energy_gap * secondary phase-vector norm,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,193045,0.63774575,193045,7907,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed0/matched_phase.jsonl,09acdd753960b7d935da2f3f09b502ae9134ef16a0f19c6ffdfd547cfb40bdc8,0.58512823,0.4936222,0.66817163,-1.12786166,-1.29896324,-0.9680007,0.00237977,0.00187848,0.00292717,-0.00457118,-0.00554591,-0.00369327,0.00179824,0.00144204,0.00222241,-0.00210905,-0.0026157,-0.00164719,0.00229077,0.00190397,0.00272801,-0.00157706,-0.00184931,-0.00126152
SODA-A,1,phase_mod,registered_psc_phase1,phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,195192,0.63801162,195192,7912,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,8aeeaf2d439098da9045644c7cf99d72bcf8b5c0d3f7144b8893ed7e4cf03b84,1.16833143,1.0547725,1.29388059,-0.40768002,-0.64215746,-0.17670188,0.00515192,0.00433889,0.00602712,-0.00179432,-0.00280337,-0.00076603,0.00345446,0.00295751,0.00402336,-0.00040985,-0.00086614,2.976e-05,0.00347805,0.00302113,0.00403203,-0.00053509,-0.00080588,-0.00027283
SODA-A,1,negative_phase_mod,registered_psc_phase1,-phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,195192,0.63801162,195192,7912,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,8aeeaf2d439098da9045644c7cf99d72bcf8b5c0d3f7144b8893ed7e4cf03b84,1.57601146,1.44404202,1.71142696,0.0,0.0,0.0,0.00694623,0.00596608,0.007994,0.0,0.0,0.0,0.00386431,0.00327827,0.00441499,0.0,0.0,0.0,0.00401314,0.0034626,0.00456043,0.0,0.0,0.0
SODA-A,1,detection_score,registered_psc_phase1,post-NMS detection score,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,195192,0.63801162,195192,7912,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,8aeeaf2d439098da9045644c7cf99d72bcf8b5c0d3f7144b8893ed7e4cf03b84,0.5548908,0.48081977,0.63809865,-1.02112065,-1.17390843,-0.8582478,0.00245199,0.00204594,0.00285622,-0.00449425,-0.00541457,-0.00356745,0.00205657,0.00170472,0.00240397,-0.00180774,-0.00230145,-0.00135041,0.00305682,0.00262869,0.00347969,-0.00095632,-0.00125418,-0.00065583
SODA-A,1,tta_phase_direction_consistency,registered_psc_phase1,-theta->2theta circular variance over identity/hflip/vflip phase direction,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,0,0.0,0,0,negative_phase_mod,image,800,UNAVAILABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,8aeeaf2d439098da9045644c7cf99d72bcf8b5c0d3f7144b8893ed7e4cf03b84,,,,,,,,,,,,,,,,,,,,,,,,
SODA-A,1,multi_frequency_consistency,registered_psc_phase1,-multi_frequency_disagreement_deg,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,195192,0.63801162,195192,7912,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,8aeeaf2d439098da9045644c7cf99d72bcf8b5c0d3f7144b8893ed7e4cf03b84,0.44554028,0.39217594,0.50147605,-1.13047118,-1.28744173,-0.97805917,0.0019707,0.00168872,0.00228777,-0.00497553,-0.00587776,-0.00409796,0.00212244,0.00183665,0.00249887,-0.00174187,-0.00213961,-0.00131074,0.00323328,0.00281023,0.00372885,-0.00077986,-0.00104205,-0.00052242
SODA-A,1,unwrap_candidate_energy_gap,registered_psc_phase1,abs(cos alignment candidate0 - candidate1),geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,195192,0.63801162,195192,7912,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,8aeeaf2d439098da9045644c7cf99d72bcf8b5c0d3f7144b8893ed7e4cf03b84,0.44554028,0.39069025,0.49653648,-1.13047118,-1.28701453,-0.97094379,0.0019707,0.00168275,0.00229016,-0.00497553,-0.0058633,-0.0041466,0.00212244,0.00181568,0.00251634,-0.00174187,-0.0021262,-0.00132066,0.00323328,0.00284133,0.0037141,-0.00077986,-0.0010284,-0.00053125
SODA-A,1,phase_direction_margin,registered_psc_phase1,unwrap_candidate_energy_gap * secondary phase-vector norm,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,195192,0.63801162,195192,7912,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed1/matched_phase.jsonl,8aeeaf2d439098da9045644c7cf99d72bcf8b5c0d3f7144b8893ed7e4cf03b84,0.52269936,0.44814522,0.60564902,-1.05331209,-1.21861344,-0.8910064,0.0023103,0.0019408,0.00275282,-0.00463593,-0.00553721,-0.00376624,0.00181505,0.00153863,0.00214014,-0.00204926,-0.00254508,-0.00158301,0.00253312,0.00216262,0.00295802,-0.00148002,-0.00181642,-0.00116039
SODA-A,2,phase_mod,registered_psc_phase1,phase_mod_primary,geometry_normalized_severe_event,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),2.1,196374,0.63836137,196374,7920,negative_phase_mod,image,800,PAIRED_COMPARABLE,outputs/persistent_artifacts/m069_psc_phase1/SODA-A/seed2/matched_phase.jsonl,01d1fe4614a19dc22bf28cd7356c2e77fae0b8f02f5249567ad2e12c0a8ab057,1.37213714,1.23991341,1.51284569,-0.02017462,-0.25982165,0.21137325,0.00571941,0.00490567,0.00650763,-8.396e-05,-0.00106171,0.00092253,0.00355735,0.0030742,0.00406719,0.00014549,-0.00033143,0.00064367,0.00353633,0.00307594,0.00403625,-3.961e-05,-0.00029535,0.00022339
