run_id,angle_head,dataset,seed,config_source,native_uncertainty_def,planned_gpus,work_dir,launch_status,status
DCL__DIOR-R__seed2,DCL,DIOR-R,2,PSC template + project-local DCLCoder(BCL) via custom_imports (unit-test gated),per-bit sigmoid margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/DCL__DIOR-R__seed2,config_ready_smoke_passed_061,queued
DCL__SODA-A__seed0,DCL,SODA-A,0,PSC template + project-local DCLCoder(BCL) via custom_imports (unit-test gated),per-bit sigmoid margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/DCL__SODA-A__seed0,config_ready_smoke_passed_061,queued
DCL__SODA-A__seed1,DCL,SODA-A,1,PSC template + project-local DCLCoder(BCL) via custom_imports (unit-test gated),per-bit sigmoid margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/DCL__SODA-A__seed1,config_ready_smoke_passed_061,queued
DCL__SODA-A__seed2,DCL,SODA-A,2,PSC template + project-local DCLCoder(BCL) via custom_imports (unit-test gated),per-bit sigmoid margin,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/DCL__SODA-A__seed2,config_ready_smoke_passed_061,queued
direct_regression_le90__DIOR-R__seed0,direct_regression_le90,DIOR-R,0,rotated_retinanet le90 (PseudoAngleCoder/regression) -> author from PSC template minus PSCCoder,NONE (negative control),4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/direct_regression_le90__DIOR-R__seed0,config_ready_smoke_passed_061,queued
direct_regression_le90__DIOR-R__seed1,direct_regression_le90,DIOR-R,1,rotated_retinanet le90 (PseudoAngleCoder/regression) -> author from PSC template minus PSCCoder,NONE (negative control),4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/direct_regression_le90__DIOR-R__seed1,config_ready_smoke_passed_061,queued
direct_regression_le90__DIOR-R__seed2,direct_regression_le90,DIOR-R,2,rotated_retinanet le90 (PseudoAngleCoder/regression) -> author from PSC template minus PSCCoder,NONE (negative control),4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/direct_regression_le90__DIOR-R__seed2,config_ready_smoke_passed_061,queued
direct_regression_le90__SODA-A__seed0,direct_regression_le90,SODA-A,0,rotated_retinanet le90 (PseudoAngleCoder/regression) -> author from PSC template minus PSCCoder,NONE (negative control),4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/direct_regression_le90__SODA-A__seed0,config_ready_smoke_passed_061,queued
direct_regression_le90__SODA-A__seed1,direct_regression_le90,SODA-A,1,rotated_retinanet le90 (PseudoAngleCoder/regression) -> author from PSC template minus PSCCoder,NONE (negative control),4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/direct_regression_le90__SODA-A__seed1,config_ready_smoke_passed_061,queued
direct_regression_le90__SODA-A__seed2,direct_regression_le90,SODA-A,2,rotated_retinanet le90 (PseudoAngleCoder/regression) -> author from PSC template minus PSCCoder,NONE (negative control),4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/direct_regression_le90__SODA-A__seed2,config_ready_smoke_passed_061,queued
KLD__DIOR-R__seed0,KLD,DIOR-R,0,"third_party/{mmrotate_1x,ai4rs}/configs/kld -> needs orientbench copy + dataset align",predicted_angle_variance/distribution_uncertainty,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/KLD__DIOR-R__seed0,config_ready_smoke_passed_061,queued
KLD__DIOR-R__seed1,KLD,DIOR-R,1,"third_party/{mmrotate_1x,ai4rs}/configs/kld -> needs orientbench copy + dataset align",predicted_angle_variance/distribution_uncertainty,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/KLD__DIOR-R__seed1,config_ready_smoke_passed_061,queued
KLD__DIOR-R__seed2,KLD,DIOR-R,2,"third_party/{mmrotate_1x,ai4rs}/configs/kld -> needs orientbench copy + dataset align",predicted_angle_variance/distribution_uncertainty,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/KLD__DIOR-R__seed2,config_ready_smoke_passed_061,queued
KLD__SODA-A__seed0,KLD,SODA-A,0,"third_party/{mmrotate_1x,ai4rs}/configs/kld -> needs orientbench copy + dataset align",predicted_angle_variance/distribution_uncertainty,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/KLD__SODA-A__seed0,config_ready_smoke_passed_061,queued
KLD__SODA-A__seed1,KLD,SODA-A,1,"third_party/{mmrotate_1x,ai4rs}/configs/kld -> needs orientbench copy + dataset align",predicted_angle_variance/distribution_uncertainty,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/KLD__SODA-A__seed1,config_ready_smoke_passed_061,queued
KLD__SODA-A__seed2,KLD,SODA-A,2,"third_party/{mmrotate_1x,ai4rs}/configs/kld -> needs orientbench copy + dataset align",predicted_angle_variance/distribution_uncertainty,4-GPU DDP (world_size=4),top_journal_v3_reaudit_055/work_dirs/r1/KLD__SODA-A__seed2,config_ready_smoke_passed_061,queued
