source_kind,is_proxy,dataset,group_type,group_value,subset_definition,n,mean_deg,median_deg,p90_deg,p95_deg,P_gt5,P_gt10,status,note
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Tugboat,historical K3 proxy stratum,2,3.47,3.47,4.11,4.19,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Van,historical K3 proxy stratum,163,7.89,5.129,15.683,21.985,0.5521,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,Warship,historical K3 proxy stratum,1,1.648,1.648,1.648,1.648,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,other-airplane,historical K3 proxy stratum,15,19.55,20.073,37.328,40.238,0.7333,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,other-ship,historical K3 proxy stratum,3,2.88,2.802,3.655,3.762,0.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,class,other-vehicle,historical K3 proxy stratum,5,8.651,4.667,16.577,19.772,0.4,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,size,large,historical K3 proxy stratum,5,6.555,0.516,15.869,15.892,0.4,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,size,medium,historical K3 proxy stratum,58,13.229,1.617,38.183,39.934,0.4655,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,FAIR1M-v1.0,size,small,historical K3 proxy stratum,437,6.993,4.702,15.5,20.442,0.4302,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,ar,1.6<=ar<2.1,historical K3 proxy stratum,128,12.719,13.551,22.937,24.973,0.7188,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,ar,ar<1.6,historical K3 proxy stratum,50,28.679,33.91,40.696,41.229,0.88,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,ar,ar>=2.1,historical K3 proxy stratum,322,5.856,4.009,14.063,17.68,0.3478,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,class,airplane,historical K3 proxy stratum,18,23.844,27.281,40.625,40.743,0.7778,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,class,container,historical K3 proxy stratum,66,5.346,2.831,16.25,19.563,0.3182,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,class,large-vehicle,historical K3 proxy stratum,8,3.922,2.925,6.888,7.506,0.25,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,class,ship,historical K3 proxy stratum,58,4.357,3.579,6.39,11.783,0.1897,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,class,small-vehicle,historical K3 proxy stratum,311,9.419,5.549,20.848,23.416,0.5563,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,class,storage-tank,historical K3 proxy stratum,20,36.003,36.353,41.232,41.772,1.0,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,class,swimming-pool,historical K3 proxy stratum,8,9.838,2.41,30.686,35.41,0.25,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,class,windmill,historical K3 proxy stratum,11,13.94,2.761,37.982,39.052,0.4545,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,size,medium,historical K3 proxy stratum,11,19.958,15.096,41.272,41.949,0.5455,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
GT_CORNER_JITTER_PROXY,True,SODA-A,size,small,historical K3 proxy stratum,489,9.669,4.89,22.834,33.392,0.4949,,PROXY_REFERENCE_ONLY,"GT corner-jitter proxy only; not human disagreement, annotation variance, or sigma_gt"
