cell,dataset,detector,score,result_role,alpha,selected_threshold_exists,threshold,target_coverage,audit_images,audit_retained_instances,empirical_instance_weighted_risk,image_cluster_bootstrap_ci_lo,image_cluster_bootstrap_ci_hi,formal_guarantee,note
D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,PREREGISTERED_SCORE_MENU,0.03,True,-2.7651774883270264,1.0,2142,15120,0.005621693121693121,0.004251204861915276,0.007055539995432612,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,PREREGISTERED_SCORE_MENU,0.05,True,-2.7651774883270264,1.0,2142,15120,0.005621693121693121,0.0042122579405404915,0.007113984156449148,False,empirical instance-weighted risk with image-cluster bootstrap CI
D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,PREREGISTERED_SCORE_MENU,0.1,True,-2.7651774883270264,1.0,2142,15120,0.005621693121693121,0.004172918188019606,0.007069865023231653,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,detection_score,PRIMARY,0.03,True,0.05006508156657219,1.0,11522,101101,0.003827855313003828,0.0030701262392760584,0.004708823613535333,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,detection_score,PRIMARY,0.05,True,0.05006508156657219,1.0,11522,101101,0.003827855313003828,0.0030656025637669612,0.004687499726520514,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,detection_score,PRIMARY,0.1,True,0.05006508156657219,1.0,11522,101101,0.003827855313003828,0.003068068704231945,0.004772082739628647,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.03,True,-6.550046148613593,1.0,11522,101102,0.0038278174516824595,0.0030484589102988163,0.004727654139472208,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.05,True,-6.550046148613593,1.0,11522,101102,0.0038278174516824595,0.003089779119279345,0.00477141046911832,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.1,True,-6.550046148613593,1.0,11522,101102,0.0038278174516824595,0.0030780865327737386,0.004761530203143586,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.03,True,-0.9941889811785106,1.0,11522,100125,0.0036853932584269664,0.0029565306980173698,0.004575755047713892,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.05,True,-0.9941889811785106,1.0,11522,100125,0.0036853932584269664,0.002984020824956943,0.004568469674107599,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.1,True,-0.9941889811785106,1.0,11522,100125,0.0036853932584269664,0.002944329842038798,0.004606305539315503,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,phase_mod,PREREGISTERED_SCORE_MENU,0.03,True,0.039655283093452454,1.0,11522,101101,0.003827855313003828,0.0030921559337248362,0.004694571020135027,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,phase_mod,PREREGISTERED_SCORE_MENU,0.05,True,0.039655283093452454,1.0,11522,101101,0.003827855313003828,0.0030691723455268825,0.004719411134113321,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,phase_mod,PREREGISTERED_SCORE_MENU,0.1,True,0.039655283093452454,1.0,11522,101101,0.003827855313003828,0.003096785170104009,0.004731979513480207,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,negative_phase_mod,PREREGISTERED_SCORE_MENU,0.03,True,-2.74648380279541,1.0,11522,101099,0.00382793103789355,0.0030934804156080658,0.004811749300370674,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,negative_phase_mod,PREREGISTERED_SCORE_MENU,0.05,True,-2.74648380279541,1.0,11522,101099,0.00382793103789355,0.0030652176069026708,0.004690575186012905,False,empirical instance-weighted risk with image-cluster bootstrap CI
E,SODA-A,rotated_retinanet_psc,negative_phase_mod,PREREGISTERED_SCORE_MENU,0.1,True,-2.74648380279541,1.0,11522,101099,0.00382793103789355,0.0030944142097637435,0.004788864991846797,False,empirical instance-weighted risk with image-cluster bootstrap CI
F,SODA-A,oriented_rcnn,detection_score,PRIMARY,0.03,True,0.050015728920698166,1.0,11522,120923,0.0058053472044193415,0.00482058843065677,0.007091902674935798,False,empirical instance-weighted risk with image-cluster bootstrap CI
F,SODA-A,oriented_rcnn,detection_score,PRIMARY,0.05,True,0.050015728920698166,1.0,11522,120923,0.0058053472044193415,0.00472092986726686,0.0070071805791510795,False,empirical instance-weighted risk with image-cluster bootstrap CI
F,SODA-A,oriented_rcnn,detection_score,PRIMARY,0.1,True,0.050015728920698166,1.0,11522,120923,0.0058053472044193415,0.004738568914911577,0.007276258718935427,False,empirical instance-weighted risk with image-cluster bootstrap CI
F,SODA-A,oriented_rcnn,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.03,True,-15.121714289397614,1.0,11522,120924,0.005797029539214713,0.004631065839013978,0.007134151255951283,False,empirical instance-weighted risk with image-cluster bootstrap CI
F,SODA-A,oriented_rcnn,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.05,True,-15.121714289397614,1.0,11522,120924,0.005797029539214713,0.004680875032136615,0.00705135212465501,False,empirical instance-weighted risk with image-cluster bootstrap CI
F,SODA-A,oriented_rcnn,geometry_score_upper_bound,APPENDIX_GT_FIT_UPPER_BOUND,0.1,True,-15.121714289397614,1.0,11522,120924,0.005797029539214713,0.004741578826488693,0.007097067398779957,False,empirical instance-weighted risk with image-cluster bootstrap CI
F,SODA-A,oriented_rcnn,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.03,True,-0.9658582572494586,1.0,11522,119870,0.005639442729623759,0.004617550824213489,0.006904620087089867,False,empirical instance-weighted risk with image-cluster bootstrap CI
F,SODA-A,oriented_rcnn,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.05,True,-0.9658582572494586,1.0,11522,119870,0.005639442729623759,0.004598405190357331,0.006918113350866684,False,empirical instance-weighted risk with image-cluster bootstrap CI
F,SODA-A,oriented_rcnn,tta_neg_circular_var,PREREGISTERED_SCORE_MENU,0.1,True,-0.9658582572494586,1.0,11522,119870,0.005639442729623759,0.004624262039313325,0.006761933749078205,False,empirical instance-weighted risk with image-cluster bootstrap CI
