dataset,dim,group,P_gt2,P_gt5,mean,median,n,p90,p95,std
FAIR1M-v1.0_val20,class,Dump Truck,1.0,0.1786,4.792,3.926,28,5.957,12.048,3.025
FAIR1M-v1.0_val20,class,Engineering Ship,0.0,0.0,1.082,0.868,3,1.45,1.522,0.365
FAIR1M-v1.0_val20,class,Excavator,1.0,0.0,2.485,2.485,1,2.485,2.485,0.0
FAIR1M-v1.0_val20,class,Fishing Boat,0.7778,0.0,2.828,2.793,9,3.995,4.034,0.895
FAIR1M-v1.0_val20,class,Football Field,0.0,0.0,0.341,0.341,2,0.481,0.499,0.175
FAIR1M-v1.0_val20,class,Intersection,0.4286,0.4286,12.308,1.531,7,32.508,34.639,14.216
FAIR1M-v1.0_val20,class,Liquid Cargo Ship,0.0,0.0,0.937,0.921,6,1.238,1.281,0.256
FAIR1M-v1.0_val20,class,Motorboat,1.0,0.125,4.846,3.231,8,7.941,11.718,4.063
FAIR1M-v1.0_val20,class,Roundabout,1.0,1.0,40.296,40.296,1,40.296,40.296,0.0
FAIR1M-v1.0_val20,class,Small Car,1.0,0.4492,7.139,4.787,187,15.577,20.8,6.097
FAIR1M-v1.0_val20,class,Tennis Court,0.0,0.0,0.935,0.935,1,0.935,0.935,0.0
FAIR1M-v1.0_val20,class,Tractor,0.0,0.0,1.68,1.68,1,1.68,1.68,0.0
FAIR1M-v1.0_val20,class,Trailer,0.0,0.0,1.819,1.819,1,1.819,1.819,0.0
FAIR1M-v1.0_val20,class,Truck Tractor,1.0,0.0,3.693,3.693,1,3.693,3.693,0.0
FAIR1M-v1.0_val20,class,Tugboat,1.0,0.0,3.47,3.47,2,4.11,4.19,0.8
FAIR1M-v1.0_val20,class,Van,1.0,0.5521,7.89,5.129,163,15.683,21.985,6.161
FAIR1M-v1.0_val20,class,Warship,0.0,0.0,1.648,1.648,1,1.648,1.648,0.0
FAIR1M-v1.0_val20,class,other-airplane,0.7333,0.7333,19.55,20.073,15,37.328,40.238,13.707
FAIR1M-v1.0_val20,class,other-ship,0.6667,0.0,2.88,2.802,3,3.655,3.762,0.777
FAIR1M-v1.0_val20,class,other-vehicle,1.0,0.4,8.651,4.667,5,16.577,19.772,7.229
FAIR1M-v1.0_val20,size,large,0.4,0.4,6.555,0.516,5,15.869,15.892,7.596
FAIR1M-v1.0_val20,size,medium,0.4655,0.4655,13.229,1.617,58,38.183,39.934,14.885
FAIR1M-v1.0_val20,size,small,0.9703,0.4302,6.993,4.702,437,15.5,20.442,6.171
SODA-A_val_tiled,ar,1.6<=ar<2.1,0.9844,0.7188,12.719,13.551,128,22.937,24.973,7.896
SODA-A_val_tiled,ar,ar<1.6,0.96,0.88,28.679,33.91,50,40.696,41.229,12.783
SODA-A_val_tiled,ar,ar>=2.1,0.9037,0.3478,5.856,4.009,322,14.063,17.68,4.99
SODA-A_val_tiled,class,airplane,0.9444,0.7778,23.844,27.281,18,40.625,40.743,14.45
SODA-A_val_tiled,class,container,0.6364,0.3182,5.346,2.831,66,16.25,19.563,5.841
SODA-A_val_tiled,class,large-vehicle,0.875,0.25,3.922,2.925,8,6.888,7.506,2.133
SODA-A_val_tiled,class,ship,0.9828,0.1897,4.357,3.579,58,6.39,11.783,2.541
SODA-A_val_tiled,class,small-vehicle,1.0,0.5563,9.419,5.549,311,20.848,23.416,7.188
SODA-A_val_tiled,class,storage-tank,1.0,1.0,36.003,36.353,20,41.232,41.772,5.851
SODA-A_val_tiled,class,swimming-pool,0.5,0.25,9.838,2.41,8,30.686,35.41,14.021
SODA-A_val_tiled,class,windmill,0.6364,0.4545,13.94,2.761,11,37.982,39.052,15.146
SODA-A_val_tiled,size,medium,0.5455,0.5455,19.958,15.096,11,41.272,41.949,18.433
SODA-A_val_tiled,size,small,0.9387,0.4949,9.669,4.89,489,22.834,33.392,9.4
