cell,dataset,detector,score_type,mask_definition,ar_threshold,retained_count,retained_ratio,nrc,aurc,risk70,risk90,nrc_ci_lo,nrc_ci_hi,source_lineage,metric_completeness,note,evaluation_scope
C,DIOR-R,rotated_rtmdet_s,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,27244,0.568994,0.4893,1.4079,1.5544,1.8019,0.4662,0.5141,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,15120,0.579133,0.9379,2.2225,2.2998,2.3004,0.9024,0.9746,m069_fullval_same_forward,complete,,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,15120,0.579133,0.6784,1.8307,2.077,2.2375,0.654,0.7038,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,14926,0.571702,0.6631,1.8031,1.9759,2.1519,0.6357,0.6914,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,15120,0.579133,1.1333,2.5176,2.2761,2.2649,1.0963,1.1728,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
D,FAIR1M-v1.0,rotated_retinanet_psc,negative_phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,15120,0.579133,1.0563,2.4013,2.1918,2.2464,1.0229,1.0893,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
E,SODA-A,rotated_retinanet_psc,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,101102,0.641567,0.8113,1.7827,1.8733,1.9817,0.7883,0.838,m069_fullval_same_forward,complete,,D_audit
E,SODA-A,rotated_retinanet_psc,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,101102,0.641567,0.5599,1.4462,1.7119,1.9019,0.5381,0.5863,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
E,SODA-A,rotated_retinanet_psc,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,100126,0.635374,0.5664,1.4497,1.6456,1.8504,0.5405,0.5928,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
E,SODA-A,rotated_retinanet_psc,phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,101102,0.641567,1.1349,2.2158,1.952,1.9718,1.1089,1.1613,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
E,SODA-A,rotated_retinanet_psc,negative_phase_mod,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,101102,0.641567,1.1048,2.1756,1.8941,1.9645,1.0783,1.1326,m069_fullval_same_forward,complete,PSC native phase magnitude from the same post-NMS forward,D_audit
F,SODA-A,oriented_rcnn,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,120925,0.629002,0.6878,1.8254,2.0645,2.2053,0.6611,0.7147,m069_fullval_same_forward,complete,,D_audit
F,SODA-A,oriented_rcnn,geometry_upper_bound,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,120925,0.629002,0.5483,1.6193,1.8823,2.1316,0.5269,0.5718,m069_fullval_same_forward,complete,target-domain GT-fit calibration/upper-bound; appendix after M2 gate,D_audit
F,SODA-A,oriented_rcnn,tta_neg_circular_var,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,119873,0.62353,0.6178,1.7189,1.875,2.0856,0.5996,0.6367,m069_fullval_same_forward,complete,theta->2theta TTA circular variance; stable same-forward matching key,D_audit
G_dota_orcnn,DOTA-v1.0,oriented_rcnn,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,33029,0.675592,0.7544,1.5543,1.6859,1.7716,0.7253,0.7834,verified_DOTA_clean_fullval_dump,complete,,clean_fullval_D_audit
H_dota_rtmdet,DOTA-v1.0,rotated_rtmdet_m,detection_score,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,34383,0.664586,0.7113,1.4932,1.6363,1.7288,0.6853,0.7377,verified_DOTA_clean_fullval_dump,complete,,clean_fullval_D_audit
K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,48248,0.567357,1.2073,1.9955,1.7035,1.5769,1.1686,1.2464,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed0,DIOR-R,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,48248,0.567357,0.5906,1.2116,1.4402,1.6102,0.5672,0.6123,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=1e0390ce7f00bcddbace9e7d7c88b88fbb058580fb59b27d5d8027cea8918d65,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,48103,0.568916,1.2024,1.9563,1.6549,1.5514,1.1651,1.2382,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=f285a0f0672e5965cd240c02ccaf97670b5a88eca52a9a76b554aba39ee8baa0,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed1,DIOR-R,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,48103,0.568916,0.5972,1.1967,1.4216,1.5808,0.5758,0.6196,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=f285a0f0672e5965cd240c02ccaf97670b5a88eca52a9a76b554aba39ee8baa0,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,48151,0.563941,1.2176,1.95,1.6379,1.5378,1.1817,1.2559,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=2931fa9680ab95cee348f694d74cad57ce7f3c39caf67daeef8c0e372e048cfa,frozen_full_validation_endpoint
K2:K2_final__PSC__DIOR-R__seed2,DIOR-R,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,48151,0.563941,0.6049,1.1887,1.4131,1.5724,0.584,0.6272,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=2931fa9680ab95cee348f694d74cad57ce7f3c39caf67daeef8c0e372e048cfa,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,192944,0.637412,1.1316,2.2169,1.9931,1.977,1.1106,1.1534,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=141fc28ebdbd57761df34717b643a9b7bfd2414548eca5a274412b52778347e3,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed0,SODA-A,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,192944,0.637412,0.8065,1.7795,1.875,1.9859,0.7881,0.8244,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=141fc28ebdbd57761df34717b643a9b7bfd2414548eca5a274412b52778347e3,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,195031,0.637485,1.1338,2.2721,2.0274,2.0168,1.1127,1.1551,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=b76b49e4855e2d1de53da5c5dc9322a83f490675750d05c4ca5d159ffee82cc0,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed1,SODA-A,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,195031,0.637485,0.8409,1.8691,1.9248,2.0277,0.8216,0.8604,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=b76b49e4855e2d1de53da5c5dc9322a83f490675750d05c4ca5d159ffee82cc0,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,native_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,196214,0.637841,1.1259,2.2645,1.9986,2.0246,1.1075,1.1459,m069_psc_phase1_frozen_k2_per_instance,complete,PSC primary phase_mod from frozen K2 per-instance Phase-1 base; all metrics completed without K2 rerun; source_manifest_sha256=1cc7246bbaee2bf8d27ace477961bf2190e4c33618d182dfa4863a13a5f69759,frozen_full_validation_endpoint
K2:K2_final__PSC__SODA-A__seed2,SODA-A,k2_PSC,score_PSC,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,196214,0.637841,0.8595,1.897,1.9606,2.0376,0.8352,0.8827,m069_psc_phase1_frozen_k2_per_instance,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=1cc7246bbaee2bf8d27ace477961bf2190e4c33618d182dfa4863a13a5f69759,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,native_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,19053,0.367365,0.8663,10.9154,11.3607,11.7329,0.8337,0.8963,m069_psc_phase1_targeted_native_frozen_k2,complete,CSL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=55e417a0226e4d1eae64a43242e5c6f125ec114794b31751f8ba256d0fc18e51,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed0,DIOR-R,k2_CSL,score_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,19053,0.367365,0.8403,10.7182,11.4257,11.8642,0.8042,0.8758,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=55e417a0226e4d1eae64a43242e5c6f125ec114794b31751f8ba256d0fc18e51,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,native_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,16602,0.341774,0.9254,11.9127,12.1879,12.3349,0.9024,0.9508,m069_psc_phase1_targeted_native_frozen_k2,complete,CSL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=8a8fe6df4c6d12003bf36d33fe5d0402cbd9114b28c7ca721b42f2753752f72b,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed1,DIOR-R,k2_CSL,score_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,16602,0.341774,0.8651,11.5295,12.0753,12.2798,0.8303,0.9012,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=8a8fe6df4c6d12003bf36d33fe5d0402cbd9114b28c7ca721b42f2753752f72b,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,native_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,18432,0.361717,1.121,13.6138,12.866,12.7777,1.0964,1.1469,m069_psc_phase1_targeted_native_frozen_k2,complete,CSL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=fbd389d685d0cb1a12ec840a23ab1290e642c853bf9af1945a45051131f9620d,frozen_full_validation_endpoint
K2:K2_final__CSL__DIOR-R__seed2,DIOR-R,k2_CSL,score_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,18432,0.361717,1.0856,13.3807,12.766,12.8706,1.0543,1.1176,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=fbd389d685d0cb1a12ec840a23ab1290e642c853bf9af1945a45051131f9620d,frozen_full_validation_endpoint
K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,native_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,41077,0.402767,1.0046,18.1814,18.2389,18.173,0.9799,1.0272,m069_psc_phase1_targeted_native_frozen_k2,complete,CSL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=31fdafb2493bd6b82d8733bc5c2efb195808364e7e2a4b397cd489c0d3150bfe,frozen_full_validation_endpoint
K2:K2_final__CSL__SODA-A__seed0,SODA-A,k2_CSL,score_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,41077,0.402767,1.0913,18.9602,18.8127,18.3975,1.0618,1.1193,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=31fdafb2493bd6b82d8733bc5c2efb195808364e7e2a4b397cd489c0d3150bfe,frozen_full_validation_endpoint
K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,native_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,50109,0.433743,0.9416,13.9753,14.3015,14.3715,0.9218,0.9589,m069_psc_phase1_targeted_native_frozen_k2,complete,CSL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=5c2b1fe950692dc5a5d111d42808fea24e08a0203e56cf5edf924b4e0f09490f,frozen_full_validation_endpoint
K2:K2_final__CSL__SODA-A__seed1,SODA-A,k2_CSL,score_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,50109,0.433743,1.1187,15.3216,15.0688,14.6513,1.0933,1.1415,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=5c2b1fe950692dc5a5d111d42808fea24e08a0203e56cf5edf924b4e0f09490f,frozen_full_validation_endpoint
K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,native_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,50553,0.44655,1.1162,19.7197,19.0017,18.7328,1.0892,1.1418,m069_psc_phase1_targeted_native_frozen_k2,complete,CSL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=9cd9b24511aebf9b9b789dc193fd4c1f32f1349dce6cafb4c8eedc37dd701ab2,frozen_full_validation_endpoint
K2:K2_final__CSL__SODA-A__seed2,SODA-A,k2_CSL,score_CSL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,50553,0.44655,0.9564,18.2652,18.8478,18.8342,0.9265,0.9861,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=9cd9b24511aebf9b9b789dc193fd4c1f32f1349dce6cafb4c8eedc37dd701ab2,frozen_full_validation_endpoint
K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,native_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,41286,0.572201,0.2445,1.3659,1.6996,2.3939,0.229,0.2609,m069_psc_phase1_targeted_native_frozen_k2,complete,DCL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=8f284209df9511d4c8128008c75dd34914b8e0575caa0b779833c8ffe493ad36,frozen_full_validation_endpoint
K2:K2_final__DCL__DIOR-R__seed0,DIOR-R,k2_DCL,score_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,41286,0.572201,0.6375,2.1463,2.515,2.7498,0.6133,0.6639,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=8f284209df9511d4c8128008c75dd34914b8e0575caa0b779833c8ffe493ad36,frozen_full_validation_endpoint
K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,native_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,40898,0.550481,0.2436,1.3638,1.6848,2.3686,0.2292,0.2595,m069_psc_phase1_targeted_native_frozen_k2,complete,DCL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=df75fdab1a0d0363a894b24086bd58d0e3401174097c9602b0e8b66ef04ffb1f,frozen_full_validation_endpoint
K2:K2_final__DCL__DIOR-R__seed1,DIOR-R,k2_DCL,score_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,40898,0.550481,0.6436,2.1539,2.522,2.7441,0.6175,0.6706,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=df75fdab1a0d0363a894b24086bd58d0e3401174097c9602b0e8b66ef04ffb1f,frozen_full_validation_endpoint
K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,native_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,41041,0.555757,0.2599,1.3985,1.7672,2.4407,0.2457,0.2762,m069_psc_phase1_targeted_native_frozen_k2,complete,DCL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=7c6d5cefea4d6370a8e9fc171d42d9b69c0d000998a3f277d64c8a3e76917d7a,frozen_full_validation_endpoint
K2:K2_final__DCL__DIOR-R__seed2,DIOR-R,k2_DCL,score_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,41041,0.555757,0.6315,2.1273,2.4918,2.7296,0.6066,0.6555,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=7c6d5cefea4d6370a8e9fc171d42d9b69c0d000998a3f277d64c8a3e76917d7a,frozen_full_validation_endpoint
K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,native_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,179896,0.638543,0.3699,1.8356,2.3883,2.7984,0.3551,0.3858,m069_psc_phase1_targeted_native_frozen_k2,complete,DCL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=6842a92fd63387088a53248bd7676164935c2084cf03c5d56e8c7621c2ba59a4,frozen_full_validation_endpoint
K2:K2_final__DCL__SODA-A__seed0,SODA-A,k2_DCL,score_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,179896,0.638543,0.8892,2.8765,2.9274,3.0406,0.8685,0.9095,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=6842a92fd63387088a53248bd7676164935c2084cf03c5d56e8c7621c2ba59a4,frozen_full_validation_endpoint
K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,native_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,178720,0.63693,0.3781,1.8649,2.4334,2.8226,0.3647,0.3924,m069_psc_phase1_targeted_native_frozen_k2,complete,DCL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=75496c84e3e36d7543f6f04421160297fb0122b926403bef2e25ba48381d8952,frozen_full_validation_endpoint
K2:K2_final__DCL__SODA-A__seed1,SODA-A,k2_DCL,score_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,178720,0.63693,0.8945,2.8986,2.9473,3.0535,0.8728,0.9166,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=75496c84e3e36d7543f6f04421160297fb0122b926403bef2e25ba48381d8952,frozen_full_validation_endpoint
K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,native_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,178820,0.636703,0.3702,1.8236,2.387,2.7899,0.3561,0.3849,m069_psc_phase1_targeted_native_frozen_k2,complete,DCL native signal from targeted frozen-K2 identity endpoint; all metrics complete; source_manifest_sha256=f1cfaaaf9c2f4885cf3b8c84fb3018d8cd8cba00758cc467983805e98c432391,frozen_full_validation_endpoint
K2:K2_final__DCL__SODA-A__seed2,SODA-A,k2_DCL,score_DCL,matched_gt_ar_ge_thr_exclude_pred_or_gt_near_square,2.1,178820,0.636703,0.89,2.8617,2.9115,3.0214,0.8676,0.9118,m069_psc_phase1_targeted_native_frozen_k2,complete,frozen K2 detection score on the same persisted matched endpoint; source_manifest_sha256=f1cfaaaf9c2f4885cf3b8c84fb3018d8cd8cba00758cc467983805e98c432391,frozen_full_validation_endpoint
