analysis_id,analysis_name,dataset,seed,mask_definition,risk_event,group_type,group_value,statistic,estimate,n,status,note,evidence_json
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D7,mean_angle_error_deg,1.70098867,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D7,severe_event_rate,0.0057995,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D8,mean_angle_error_deg,2.46984392,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D8,severe_event_rate,0.01056338,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D9,mean_angle_error_deg,2.58004545,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D9,severe_event_rate,0.01159901,4828,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D10,mean_angle_error_deg,2.21351934,4829,COMPLETE,,
1,phase_mod_x_angle_error,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),phase_mod_decile,D10,severe_event_rate,0.00869745,4829,COMPLETE,,
2,phase_mod_x_phase_angle,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),all,all,spearman_cos_phase,-0.12944162143136487,48282,COMPLETE,,
2,phase_mod_x_phase_angle,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),all,all,spearman_sin_phase,-0.09130490535198423,48282,COMPLETE,,
3,phase_mod_x_objectness,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),all,all,availability,,0,UNAVAILABLE,UNAVAILABLE: frozen PSC RetinaNet has no separate objectness output; detection score is reported only in the registered score comparison.,
4,phase_mod_x_feature_norm,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),all,all,spearman,-0.5148683850932881,48282,COMPLETE,Feature norm is the actual shared regression/angle-tower feature at the post-NMS-selected FPN location.,
5,phase_mod_x_size,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),all,all,spearman,-0.043361648544190654,48282,COMPLETE,Size statistic uses log(GT box area) for preregistered diagnostic conditioning only.,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,Expressway-Service-area,median_phase_mod,2.28154584,512,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,Expressway-Service-area,severe_event_rate,0.00585938,512,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,Expressway-toll-station,median_phase_mod,2.30152191,259,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,Expressway-toll-station,severe_event_rate,0.0,259,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,airplane,median_phase_mod,2.24542468,11,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,airplane,severe_event_rate,0.0,11,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,airport,median_phase_mod,2.26625313,217,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,airport,severe_event_rate,0.03225806,217,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,baseballfield,median_phase_mod,2.28067311,1,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,baseballfield,severe_event_rate,0.0,1,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,basketballcourt,median_phase_mod,2.26392186,36,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,basketballcourt,severe_event_rate,0.0,36,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,bridge,median_phase_mod,2.28916209,937,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,bridge,severe_event_rate,0.0298826,937,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,dam,median_phase_mod,2.22995834,154,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,dam,severe_event_rate,0.02597403,154,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,golffield,median_phase_mod,2.23898724,42,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,golffield,severe_event_rate,0.38095238,42,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,groundtrackfield,median_phase_mod,2.23471492,528,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,groundtrackfield,severe_event_rate,0.0,528,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,harbor,median_phase_mod,2.23900351,783,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,harbor,severe_event_rate,0.01660281,783,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,overpass,median_phase_mod,2.23742153,893,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,overpass,severe_event_rate,0.01903695,893,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,ship,median_phase_mod,2.24703861,28318,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,ship,severe_event_rate,0.00377852,28318,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,stadium,median_phase_mod,2.35375091,1,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,stadium,severe_event_rate,0.0,1,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,storagetank,median_phase_mod,2.24453134,7,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,storagetank,severe_event_rate,0.0,7,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,tenniscourt,median_phase_mod,2.23321754,3901,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,tenniscourt,severe_event_rate,0.0,3901,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,trainstation,median_phase_mod,2.23104348,246,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,trainstation,severe_event_rate,0.00406504,246,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,vehicle,median_phase_mod,2.24723458,10980,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,vehicle,severe_event_rate,0.01575592,10980,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,windmill,median_phase_mod,2.2390222,456,COMPLETE,,
6,phase_mod_x_class,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),class,windmill,severe_event_rate,0.15131579,456,COMPLETE,,
7,phase_mod_x_boundary_wrapping,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),all,all,spearman_boundary_distance,-0.11824509626451454,48282,COMPLETE,,
7,phase_mod_x_boundary_wrapping,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),wrapping_condition,False,severe_event_rate,0.0090717,48282,COMPLETE,,
7,phase_mod_x_boundary_wrapping,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),wrapping_condition,True,severe_event_rate,,0,UNAVAILABLE,,
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,1,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 29.90206184, ""class"": ""vehicle"", ""delta_theta_075_deg"": 14.35674951, ""image_id"": ""20438"", ""phase_mod"": 2.45540906, ""pred_id"": ""6""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,2,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 29.58147416, ""class"": ""vehicle"", ""delta_theta_075_deg"": 13.11884671, ""image_id"": ""19352"", ""phase_mod"": 2.47537088, ""pred_id"": ""16""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,3,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 19.75305302, ""class"": ""vehicle"", ""delta_theta_075_deg"": 14.55351268, ""image_id"": ""20767"", ""phase_mod"": 2.48154237, ""pred_id"": ""20""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,4,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 16.97746142, ""class"": ""golffield"", ""delta_theta_075_deg"": 13.4178074, ""image_id"": ""13318"", ""phase_mod"": 2.48394215, ""pred_id"": ""0""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,5,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 16.838882, ""class"": ""vehicle"", ""delta_theta_075_deg"": 10.45206978, ""image_id"": ""16954"", ""phase_mod"": 2.45806994, ""pred_id"": ""42""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,6,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 16.21121243, ""class"": ""ship"", ""delta_theta_075_deg"": 12.9829988, ""image_id"": ""20392"", ""phase_mod"": 2.46271005, ""pred_id"": ""13""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,7,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 15.88803088, ""class"": ""ship"", ""delta_theta_075_deg"": 11.37744153, ""image_id"": ""13336"", ""phase_mod"": 2.44995758, ""pred_id"": ""37""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,8,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 15.87458907, ""class"": ""vehicle"", ""delta_theta_075_deg"": 13.63999115, ""image_id"": ""12601"", ""phase_mod"": 2.50733252, ""pred_id"": ""14""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,9,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 15.01613423, ""class"": ""vehicle"", ""delta_theta_075_deg"": 12.21131454, ""image_id"": ""17897"", ""phase_mod"": 2.4440321, ""pred_id"": ""20""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,10,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 14.99347497, ""class"": ""vehicle"", ""delta_theta_075_deg"": 12.94598687, ""image_id"": ""14010"", ""phase_mod"": 2.44672521, ""pred_id"": ""61""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,11,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 14.42405838, ""class"": ""ship"", ""delta_theta_075_deg"": 13.15751329, ""image_id"": ""15373"", ""phase_mod"": 2.44434677, ""pred_id"": ""133""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,12,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 13.81744446, ""class"": ""vehicle"", ""delta_theta_075_deg"": 13.74988581, ""image_id"": ""19783"", ""phase_mod"": 2.50555888, ""pred_id"": ""16""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,13,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 13.64195129, ""class"": ""ship"", ""delta_theta_075_deg"": 11.05333378, ""image_id"": ""20893"", ""phase_mod"": 2.45676539, ""pred_id"": ""19""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,14,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 12.80907039, ""class"": ""windmill"", ""delta_theta_075_deg"": 7.33459496, ""image_id"": ""18578"", ""phase_mod"": 2.44153397, ""pred_id"": ""1""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,15,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 12.46562879, ""class"": ""vehicle"", ""delta_theta_075_deg"": 10.90512743, ""image_id"": ""12479"", ""phase_mod"": 2.44705394, ""pred_id"": ""15""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,16,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 12.37387544, ""class"": ""ship"", ""delta_theta_075_deg"": 7.41112647, ""image_id"": ""20025"", ""phase_mod"": 2.55929074, ""pred_id"": ""138""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,17,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 12.2307881, ""class"": ""ship"", ""delta_theta_075_deg"": 5.87822468, ""image_id"": ""18315"", ""phase_mod"": 2.57245132, ""pred_id"": ""10""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,18,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 11.33981554, ""class"": ""ship"", ""delta_theta_075_deg"": 7.09171283, ""image_id"": ""20660"", ""phase_mod"": 2.44553415, ""pred_id"": ""10""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,19,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 10.82832919, ""class"": ""ship"", ""delta_theta_075_deg"": 7.12327937, ""image_id"": ""17093"", ""phase_mod"": 2.53752927, ""pred_id"": ""9""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,20,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 10.7172883, ""class"": ""vehicle"", ""delta_theta_075_deg"": 9.22653406, ""image_id"": ""13056"", ""phase_mod"": 2.45131974, ""pred_id"": ""12""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,21,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 10.35041061, ""class"": ""ship"", ""delta_theta_075_deg"": 9.07346226, ""image_id"": ""13472"", ""phase_mod"": 2.45577387, ""pred_id"": ""13""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,22,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 10.29764478, ""class"": ""vehicle"", ""delta_theta_075_deg"": 8.87111275, ""image_id"": ""12241"", ""phase_mod"": 2.51975867, ""pred_id"": ""34""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,23,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 10.18974498, ""class"": ""ship"", ""delta_theta_075_deg"": 9.75461057, ""image_id"": ""22901"", ""phase_mod"": 2.4659086, ""pred_id"": ""16""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,24,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 9.76780914, ""class"": ""overpass"", ""delta_theta_075_deg"": 5.43118589, ""image_id"": ""13464"", ""phase_mod"": 2.50223867, ""pred_id"": ""1""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,25,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 9.4892475, ""class"": ""ship"", ""delta_theta_075_deg"": 8.03944419, ""image_id"": ""16848"", ""phase_mod"": 2.53439211, ""pred_id"": ""7""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,26,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 9.48732229, ""class"": ""ship"", ""delta_theta_075_deg"": 9.46782103, ""image_id"": ""17858"", ""phase_mod"": 2.44962505, ""pred_id"": ""14""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,27,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 9.20764392, ""class"": ""ship"", ""delta_theta_075_deg"": 7.96052735, ""image_id"": ""22287"", ""phase_mod"": 2.53991529, ""pred_id"": ""30""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,28,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 8.65693485, ""class"": ""bridge"", ""delta_theta_075_deg"": 7.25679992, ""image_id"": ""21346"", ""phase_mod"": 2.4766763, ""pred_id"": ""5""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,29,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 8.57509669, ""class"": ""vehicle"", ""delta_theta_075_deg"": 8.03857444, ""image_id"": ""13157"", ""phase_mod"": 2.54437529, ""pred_id"": ""6""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,30,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 8.50936135, ""class"": ""overpass"", ""delta_theta_075_deg"": 7.20748848, ""image_id"": ""15033"", ""phase_mod"": 2.50227025, ""pred_id"": ""2""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,31,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 8.05820163, ""class"": ""vehicle"", ""delta_theta_075_deg"": 7.8926271, ""image_id"": ""12241"", ""phase_mod"": 2.51272567, ""pred_id"": ""31""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,32,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 7.9265682, ""class"": ""overpass"", ""delta_theta_075_deg"": 3.85536713, ""image_id"": ""21814"", ""phase_mod"": 2.46814215, ""pred_id"": ""0""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,33,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 7.34011743, ""class"": ""vehicle"", ""delta_theta_075_deg"": 6.46357616, ""image_id"": ""23054"", ""phase_mod"": 2.48169535, ""pred_id"": ""6""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,34,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 6.9196949, ""class"": ""bridge"", ""delta_theta_075_deg"": 4.75880009, ""image_id"": ""22983"", ""phase_mod"": 2.51311535, ""pred_id"": ""2""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,35,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 6.4333142, ""class"": ""bridge"", ""delta_theta_075_deg"": 6.40819237, ""image_id"": ""11989"", ""phase_mod"": 2.62876811, ""pred_id"": ""2""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,36,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 5.4272927, ""class"": ""vehicle"", ""delta_theta_075_deg"": 4.13654812, ""image_id"": ""20787"", ""phase_mod"": 2.48254241, ""pred_id"": ""5""}"
8,high_phase_mod_large_error_board,DIOR-R,0,aspect_ratio>=2.1,angle_error>delta_theta_0.75(aspect_ratio),instance_rank,37,listed_instance,1,1,COMPLETE,Top phase-mod decile and geometry-normalized severe event.,"{""angle_error_deg"": 5.07805782, ""class"": ""bridge"", ""delta_theta_075_deg"": 4.58845755, ""image_id"": ""22280"", ""phase_mod"": 2.76313197, ""pred_id"": ""15""}"
