unit,eligibility,class_id,rows,fraction
F,all-AR,2,119429,0.6212203964650012
F,all-AR,3,2614,0.013596949789075627
F,all-AR,4,19819,0.10309026314831286
F,all-AR,5,22730,0.1182320844321687
F,all-AR,6,6692,0.034809023714037525
F,all-AR,7,7358,0.038273281005362834
F,all-AR,8,5417,0.02817699962028411
G,AR>=2.1,0,4,0.00012110202845897669
G,AR>=2.1,2,295,0.00893127459884953
G,AR>=2.1,3,53,0.001604601877081441
G,AR>=2.1,4,4740,0.14350590372388738
G,AR>=2.1,5,7911,0.23950953678474116
G,AR>=2.1,6,16995,0.5145322434150772
G,AR>=2.1,7,755,0.02285800787163185
G,AR>=2.1,10,17,0.000514683620950651
G,AR>=2.1,12,2140,0.06478958522555253
G,AR>=2.1,13,92,0.002785346654556464
G,AR>=2.1,14,28,0.0008477141992128368
G,all-AR,0,4125,0.08437480823907219
G,all-AR,1,310,0.006340894679784818
G,all-AR,2,545,0.011147701937041052
G,all-AR,3,192,0.003927263801673178
G,all-AR,4,8705,0.17805641350815113
G,all-AR,5,8084,0.16535416964961444
G,all-AR,6,17442,0.3567673709832478
G,all-AR,7,1423,0.029106752030109023
G,all-AR,8,229,0.004684080263453946
G,all-AR,9,3349,0.06850211704064309
G,all-AR,10,200,0.0040908997934095605
G,all-AR,11,210,0.004295444783080038
G,all-AR,12,3446,0.07048620344044673
G,all-AR,13,540,0.011045429442205813
G,all-AR,14,89,0.0018204504080672544
H,AR>=2.1,0,2,5.816489748436818e-05
H,AR>=2.1,2,326,0.009480878289952014
H,AR>=2.1,3,50,0.0014541224371092047
H,AR>=2.1,4,5289,0.15381707139741166
H,AR>=2.1,5,8123,0.2362367311327614
H,AR>=2.1,6,17465,0.5079249672822451
H,AR>=2.1,7,767,0.0223062381852552
H,AR>=2.1,8,1,2.908244874218409e-05
H,AR>=2.1,10,10,0.0002908244874218409
H,AR>=2.1,12,2231,0.06488294314381271
H,AR>=2.1,13,93,0.0027046677330231205
H,AR>=2.1,14,28,0.0008143085647811546
H,all-AR,0,4180,0.08079480439152621
H,all-AR,1,316,0.0061079325807948046
H,all-AR,2,574,0.011094788928405753
H,all-AR,3,188,0.003633833307561466
H,all-AR,4,9897,0.19129812896242462
H,all-AR,5,8353,0.16145430647904746
H,all-AR,6,17970,0.34734034328127417
H,all-AR,7,1422,0.02748569661357662
H,all-AR,8,218,0.004213700324725529
H,all-AR,9,3974,0.0768130508736663
H,all-AR,10,184,0.003556517705272924
H,all-AR,11,204,0.003943095716715633
H,all-AR,12,3600,0.06958404205968764
H,all-AR,13,546,0.01055357971238596
H,all-AR,14,110,0.0021261790629349
