aspect_ratio,delta_theta_deg,iou
2.0,75.0,0.349198
2.0,76.0,0.34708
2.0,77.0,0.345127
2.0,78.0,0.343337
2.0,79.0,0.341704
2.0,80.0,0.340225
2.0,81.0,0.338897
2.0,82.0,0.337715
2.0,83.0,0.336679
2.0,84.0,0.335786
2.0,85.0,0.335033
2.0,86.0,0.33442
2.0,87.0,0.333944
2.0,88.0,0.333604
2.0,89.0,0.333401
2.0,90.0,0.333333
4.0,0.0,1.0
4.0,1.0,0.963874
4.0,2.0,0.929561
4.0,3.0,0.896905
4.0,4.0,0.865766
4.0,5.0,0.836018
4.0,6.0,0.807547
4.0,7.0,0.780251
4.0,8.0,0.754036
4.0,9.0,0.728817
4.0,10.0,0.704514
4.0,11.0,0.681058
4.0,12.0,0.658381
4.0,13.0,0.636423
4.0,14.0,0.615129
4.0,15.0,0.594446
4.0,16.0,0.574326
4.0,17.0,0.554723
4.0,18.0,0.535597
4.0,19.0,0.516907
4.0,20.0,0.498617
4.0,21.0,0.480691
4.0,22.0,0.463098
4.0,23.0,0.445805
4.0,24.0,0.428784
4.0,25.0,0.412006
4.0,26.0,0.395445
4.0,27.0,0.379074
4.0,28.0,0.362871
4.0,29.0,0.347406
4.0,30.0,0.333333
4.0,31.0,0.320482
4.0,32.0,0.308704
4.0,33.0,0.297875
4.0,34.0,0.28789
4.0,35.0,0.278659
4.0,36.0,0.270104
4.0,37.0,0.262156
4.0,38.0,0.254758
4.0,39.0,0.247858
4.0,40.0,0.241412
4.0,41.0,0.235379
4.0,42.0,0.229724
4.0,43.0,0.224417
4.0,44.0,0.21943
4.0,45.0,0.214737
4.0,46.0,0.210317
4.0,47.0,0.20615
4.0,48.0,0.202218
4.0,49.0,0.198504
4.0,50.0,0.194994
4.0,51.0,0.191675
4.0,52.0,0.188534
4.0,53.0,0.18556
4.0,54.0,0.182744
4.0,55.0,0.180076
4.0,56.0,0.177547
4.0,57.0,0.175151
4.0,58.0,0.172879
4.0,59.0,0.170726
4.0,60.0,0.168685
4.0,61.0,0.166751
4.0,62.0,0.164919
4.0,63.0,0.163184
4.0,64.0,0.161542
4.0,65.0,0.159988
4.0,66.0,0.15852
4.0,67.0,0.157133
4.0,68.0,0.155825
4.0,69.0,0.154592
4.0,70.0,0.153432
4.0,71.0,0.152343
4.0,72.0,0.151321
4.0,73.0,0.150366
4.0,74.0,0.149475
4.0,75.0,0.148646
4.0,76.0,0.147877
4.0,77.0,0.147168
4.0,78.0,0.146516
4.0,79.0,0.145921
4.0,80.0,0.145381
4.0,81.0,0.144896
4.0,82.0,0.144464
4.0,83.0,0.144085
4.0,84.0,0.143757
4.0,85.0,0.143481
4.0,86.0,0.143256
4.0,87.0,0.143081
4.0,88.0,0.142957
4.0,89.0,0.142882
4.0,90.0,0.142857
8.0,0.0,1.0
8.0,1.0,0.931796
8.0,2.0,0.868557
8.0,3.0,0.809703
8.0,4.0,0.75474
8.0,5.0,0.703243
8.0,6.0,0.654847
8.0,7.0,0.609231
8.0,8.0,0.566119
8.0,9.0,0.525267
8.0,10.0,0.486459
8.0,11.0,0.449507
8.0,12.0,0.414243
8.0,13.0,0.380515
8.0,14.0,0.348191
8.0,15.0,0.318359
8.0,16.0,0.293238
8.0,17.0,0.271891
8.0,18.0,0.253532
8.0,19.0,0.237581
8.0,20.0,0.223597
8.0,21.0,0.211243
8.0,22.0,0.200252
8.0,23.0,0.190415
8.0,24.0,0.181561
8.0,25.0,0.173554
8.0,26.0,0.16628
8.0,27.0,0.159646
8.0,28.0,0.153573
8.0,29.0,0.147996
8.0,30.0,0.142857
8.0,31.0,0.13811
8.0,32.0,0.133713
8.0,33.0,0.129631
8.0,34.0,0.125832
8.0,35.0,0.122291
8.0,36.0,0.118983
8.0,37.0,0.115888
8.0,38.0,0.112987
8.0,39.0,0.110264
8.0,40.0,0.107705
8.0,41.0,0.105297
8.0,42.0,0.103028
8.0,43.0,0.100888
8.0,44.0,0.098868
8.0,45.0,0.096958
8.0,46.0,0.095153
8.0,47.0,0.093443
8.0,48.0,0.091825
8.0,49.0,0.090291
8.0,50.0,0.088836
8.0,51.0,0.087456
8.0,52.0,0.086146
8.0,53.0,0.084903
8.0,54.0,0.083722
8.0,55.0,0.082601
8.0,56.0,0.081535
8.0,57.0,0.080524
8.0,58.0,0.079562
8.0,59.0,0.078649
8.0,60.0,0.077782
8.0,61.0,0.076959
8.0,62.0,0.076178
8.0,63.0,0.075437
8.0,64.0,0.074734
8.0,65.0,0.074069
8.0,66.0,0.073439
8.0,67.0,0.072843
8.0,68.0,0.072281
8.0,69.0,0.07175
8.0,70.0,0.07125
8.0,71.0,0.07078
8.0,72.0,0.070339
8.0,73.0,0.069926
8.0,74.0,0.06954
8.0,75.0,0.069181
8.0,76.0,0.068848
8.0,77.0,0.06854
8.0,78.0,0.068258
8.0,79.0,0.067999
8.0,80.0,0.067765
8.0,81.0,0.067554
8.0,82.0,0.067366
8.0,83.0,0.067201
8.0,84.0,0.067059
8.0,85.0,0.066938
8.0,86.0,0.06684
8.0,87.0,0.066764
8.0,88.0,0.06671
8.0,89.0,0.066677
8.0,90.0,0.066667
