dataset,cluster,cluster_index
DIOR-R,12409,340
DIOR-R,12415,341
DIOR-R,12416,342
DIOR-R,12417,343
DIOR-R,12419,344
DIOR-R,12421,345
DIOR-R,12422,346
DIOR-R,12423,347
DIOR-R,12426,348
DIOR-R,12427,349
DIOR-R,12429,350
DIOR-R,12430,351
DIOR-R,12431,352
DIOR-R,12432,353
DIOR-R,12434,354
DIOR-R,12435,355
DIOR-R,12441,356
DIOR-R,12443,357
DIOR-R,12445,358
DIOR-R,12446,359
DIOR-R,12449,360
DIOR-R,12456,361
DIOR-R,12458,362
DIOR-R,12460,363
DIOR-R,12461,364
DIOR-R,12463,365
DIOR-R,12465,366
DIOR-R,12466,367
DIOR-R,12468,368
DIOR-R,12469,369
DIOR-R,12470,370
DIOR-R,12471,371
DIOR-R,12473,372
DIOR-R,12474,373
DIOR-R,12475,374
DIOR-R,12480,375
DIOR-R,12485,376
DIOR-R,12486,377
DIOR-R,12487,378
DIOR-R,12488,379
DIOR-R,12490,380
DIOR-R,12491,381
DIOR-R,12492,382
DIOR-R,12493,383
DIOR-R,12494,384
DIOR-R,12495,385
DIOR-R,12497,386
DIOR-R,12500,387
DIOR-R,12501,388
DIOR-R,12502,389
DIOR-R,12503,390
DIOR-R,12504,391
DIOR-R,12505,392
DIOR-R,12510,393
DIOR-R,12512,394
DIOR-R,12513,395
DIOR-R,12514,396
DIOR-R,12515,397
DIOR-R,12517,398
DIOR-R,12520,399
DIOR-R,12521,400
DIOR-R,12523,401
DIOR-R,12526,402
DIOR-R,12527,403
DIOR-R,12531,404
DIOR-R,12533,405
DIOR-R,12534,406
DIOR-R,12540,407
DIOR-R,12541,408
DIOR-R,12543,409
DIOR-R,12544,410
DIOR-R,12545,411
DIOR-R,12546,412
DIOR-R,12547,413
DIOR-R,12549,414
DIOR-R,12550,415
DIOR-R,12551,416
DIOR-R,12554,417
DIOR-R,12556,418
DIOR-R,12558,419
DIOR-R,12559,420
DIOR-R,12561,421
DIOR-R,12562,422
DIOR-R,12564,423
DIOR-R,12566,424
DIOR-R,12569,425
DIOR-R,12570,426
DIOR-R,12571,427
DIOR-R,12572,428
DIOR-R,12573,429
DIOR-R,12574,430
DIOR-R,12577,431
DIOR-R,12578,432
DIOR-R,12579,433
DIOR-R,12585,434
DIOR-R,12586,435
DIOR-R,12590,436
DIOR-R,12592,437
DIOR-R,12593,438
DIOR-R,12594,439
DIOR-R,12597,440
DIOR-R,12598,441
DIOR-R,12599,442
DIOR-R,12601,443
DIOR-R,12605,444
DIOR-R,12607,445
DIOR-R,12608,446
DIOR-R,12610,447
DIOR-R,12612,448
DIOR-R,12613,449
DIOR-R,12614,450
DIOR-R,12617,451
DIOR-R,12618,452
DIOR-R,12620,453
DIOR-R,12626,454
DIOR-R,12627,455
DIOR-R,12628,456
DIOR-R,12629,457
DIOR-R,12630,458
DIOR-R,12632,459
DIOR-R,12636,460
DIOR-R,12637,461
DIOR-R,12639,462
DIOR-R,12640,463
DIOR-R,12641,464
DIOR-R,12642,465
DIOR-R,12645,466
DIOR-R,12650,467
DIOR-R,12654,468
DIOR-R,12655,469
DIOR-R,12657,470
DIOR-R,12661,471
DIOR-R,12663,472
DIOR-R,12664,473
DIOR-R,12667,474
DIOR-R,12670,475
DIOR-R,12671,476
DIOR-R,12675,477
DIOR-R,12677,478
DIOR-R,12679,479
DIOR-R,12680,480
DIOR-R,12681,481
DIOR-R,12682,482
DIOR-R,12693,483
DIOR-R,12695,484
DIOR-R,12697,485
DIOR-R,12698,486
DIOR-R,12702,487
DIOR-R,12705,488
DIOR-R,12709,489
DIOR-R,12710,490
DIOR-R,12714,491
DIOR-R,12716,492
DIOR-R,12717,493
DIOR-R,12719,494
DIOR-R,12721,495
DIOR-R,12722,496
DIOR-R,12725,497
DIOR-R,12726,498
DIOR-R,12727,499
DIOR-R,12729,500
DIOR-R,12730,501
DIOR-R,12731,502
DIOR-R,12733,503
DIOR-R,12734,504
DIOR-R,12735,505
DIOR-R,12739,506
DIOR-R,12740,507
DIOR-R,12742,508
DIOR-R,12743,509
DIOR-R,12744,510
DIOR-R,12745,511
DIOR-R,12746,512
DIOR-R,12749,513
DIOR-R,12750,514
DIOR-R,12751,515
DIOR-R,12754,516
DIOR-R,12755,517
DIOR-R,12757,518
DIOR-R,12758,519
DIOR-R,12759,520
DIOR-R,12767,521
DIOR-R,12769,522
DIOR-R,12770,523
DIOR-R,12771,524
DIOR-R,12780,525
DIOR-R,12782,526
DIOR-R,12783,527
DIOR-R,12785,528
DIOR-R,12787,529
DIOR-R,12788,530
DIOR-R,12789,531
DIOR-R,12790,532
DIOR-R,12793,533
DIOR-R,12794,534
DIOR-R,12800,535
DIOR-R,12801,536
DIOR-R,12803,537
DIOR-R,12808,538
DIOR-R,12809,539
DIOR-R,12813,540
DIOR-R,12814,541
DIOR-R,12815,542
DIOR-R,12817,543
DIOR-R,12819,544
DIOR-R,12821,545
DIOR-R,12823,546
DIOR-R,12824,547
DIOR-R,12826,548
DIOR-R,12829,549
DIOR-R,12830,550
DIOR-R,12833,551
DIOR-R,12835,552
DIOR-R,12837,553
DIOR-R,12841,554
DIOR-R,12842,555
DIOR-R,12844,556
DIOR-R,12845,557
DIOR-R,12847,558
DIOR-R,12848,559
DIOR-R,12850,560
DIOR-R,12851,561
DIOR-R,12853,562
DIOR-R,12854,563
DIOR-R,12856,564
DIOR-R,12858,565
DIOR-R,12861,566
DIOR-R,12862,567
DIOR-R,12864,568
DIOR-R,12865,569
DIOR-R,12866,570
DIOR-R,12869,571
DIOR-R,12872,572
DIOR-R,12875,573
DIOR-R,12879,574
DIOR-R,12880,575
DIOR-R,12882,576
DIOR-R,12883,577
DIOR-R,12892,578
DIOR-R,12894,579
DIOR-R,12895,580
DIOR-R,12896,581
DIOR-R,12897,582
DIOR-R,12900,583
DIOR-R,12901,584
DIOR-R,12903,585
DIOR-R,12908,586
DIOR-R,12909,587
DIOR-R,12911,588
DIOR-R,12912,589
DIOR-R,12913,590
DIOR-R,12916,591
DIOR-R,12917,592
DIOR-R,12920,593
DIOR-R,12922,594
DIOR-R,12923,595
DIOR-R,12928,596
DIOR-R,12929,597
DIOR-R,12930,598
DIOR-R,12931,599
DIOR-R,12932,600
DIOR-R,12933,601
DIOR-R,12934,602
DIOR-R,12937,603
DIOR-R,12938,604
DIOR-R,12939,605
DIOR-R,12940,606
DIOR-R,12941,607
DIOR-R,12942,608
DIOR-R,12949,609
DIOR-R,12951,610
DIOR-R,12956,611
DIOR-R,12958,612
DIOR-R,12959,613
DIOR-R,12960,614
DIOR-R,12964,615
DIOR-R,12965,616
DIOR-R,12967,617
DIOR-R,12970,618
DIOR-R,12972,619
DIOR-R,12976,620
DIOR-R,12978,621
DIOR-R,12979,622
DIOR-R,12980,623
DIOR-R,12982,624
DIOR-R,12984,625
DIOR-R,12985,626
DIOR-R,12986,627
DIOR-R,12988,628
DIOR-R,12989,629
DIOR-R,12990,630
DIOR-R,12993,631
DIOR-R,12999,632
DIOR-R,13000,633
DIOR-R,13003,634
DIOR-R,13005,635
DIOR-R,13006,636
DIOR-R,13007,637
DIOR-R,13008,638
DIOR-R,13011,639
DIOR-R,13013,640
DIOR-R,13015,641
DIOR-R,13016,642
DIOR-R,13017,643
DIOR-R,13018,644
DIOR-R,13019,645
DIOR-R,13020,646
DIOR-R,13021,647
DIOR-R,13022,648
DIOR-R,13024,649
DIOR-R,13027,650
DIOR-R,13030,651
DIOR-R,13032,652
DIOR-R,13033,653
DIOR-R,13034,654
DIOR-R,13035,655
DIOR-R,13036,656
DIOR-R,13037,657
DIOR-R,13040,658
DIOR-R,13041,659
DIOR-R,13042,660
DIOR-R,13043,661
DIOR-R,13044,662
DIOR-R,13045,663
DIOR-R,13047,664
DIOR-R,13048,665
DIOR-R,13049,666
DIOR-R,13051,667
DIOR-R,13052,668
DIOR-R,13053,669
DIOR-R,13055,670
DIOR-R,13058,671
DIOR-R,13064,672
DIOR-R,13065,673
DIOR-R,13069,674
DIOR-R,13070,675
DIOR-R,13072,676
DIOR-R,13074,677
DIOR-R,13076,678
DIOR-R,13078,679
DIOR-R,13079,680
DIOR-R,13081,681
DIOR-R,13084,682
DIOR-R,13085,683
DIOR-R,13088,684
DIOR-R,13091,685
DIOR-R,13095,686
DIOR-R,13096,687
DIOR-R,13098,688
DIOR-R,13099,689
DIOR-R,13100,690
DIOR-R,13102,691
DIOR-R,13104,692
DIOR-R,13106,693
DIOR-R,13107,694
DIOR-R,13113,695
DIOR-R,13116,696
DIOR-R,13117,697
DIOR-R,13118,698
DIOR-R,13121,699
DIOR-R,13124,700
DIOR-R,13126,701
DIOR-R,13130,702
DIOR-R,13131,703
DIOR-R,13133,704
DIOR-R,13137,705
DIOR-R,13141,706
DIOR-R,13142,707
DIOR-R,13145,708
DIOR-R,13150,709
DIOR-R,13153,710
DIOR-R,13156,711
DIOR-R,13157,712
DIOR-R,13159,713
DIOR-R,13160,714
DIOR-R,13163,715
DIOR-R,13166,716
DIOR-R,13168,717
DIOR-R,13169,718
DIOR-R,13170,719
DIOR-R,13172,720
DIOR-R,13173,721
DIOR-R,13177,722
DIOR-R,13178,723
DIOR-R,13180,724
DIOR-R,13181,725
DIOR-R,13183,726
DIOR-R,13184,727
DIOR-R,13185,728
DIOR-R,13187,729
DIOR-R,13188,730
DIOR-R,13189,731
DIOR-R,13193,732
DIOR-R,13196,733
DIOR-R,13197,734
DIOR-R,13201,735
DIOR-R,13202,736
DIOR-R,13206,737
DIOR-R,13207,738
DIOR-R,13208,739
DIOR-R,13212,740
DIOR-R,13213,741
DIOR-R,13214,742
DIOR-R,13215,743
DIOR-R,13216,744
DIOR-R,13217,745
DIOR-R,13220,746
DIOR-R,13221,747
DIOR-R,13222,748
DIOR-R,13223,749
DIOR-R,13228,750
DIOR-R,13230,751
DIOR-R,13231,752
DIOR-R,13234,753
DIOR-R,13235,754
DIOR-R,13238,755
DIOR-R,13240,756
DIOR-R,13241,757
DIOR-R,13243,758
DIOR-R,13245,759
DIOR-R,13246,760
DIOR-R,13247,761
DIOR-R,13251,762
DIOR-R,13252,763
DIOR-R,13253,764
DIOR-R,13256,765
DIOR-R,13258,766
DIOR-R,13260,767
DIOR-R,13261,768
DIOR-R,13264,769
DIOR-R,13265,770
DIOR-R,13266,771
DIOR-R,13268,772
DIOR-R,13269,773
DIOR-R,13271,774
DIOR-R,13272,775
DIOR-R,13274,776
DIOR-R,13275,777
DIOR-R,13276,778
DIOR-R,13277,779
DIOR-R,13278,780
DIOR-R,13282,781
DIOR-R,13283,782
DIOR-R,13286,783
DIOR-R,13287,784
DIOR-R,13295,785
DIOR-R,13296,786
DIOR-R,13298,787
DIOR-R,13299,788
DIOR-R,13300,789
DIOR-R,13301,790
DIOR-R,13302,791
DIOR-R,13303,792
DIOR-R,13306,793
DIOR-R,13315,794
DIOR-R,13318,795
DIOR-R,13320,796
DIOR-R,13321,797
DIOR-R,13324,798
DIOR-R,13326,799
DIOR-R,13327,800
DIOR-R,13328,801
DIOR-R,13330,802
DIOR-R,13332,803
DIOR-R,13333,804
DIOR-R,13334,805
DIOR-R,13337,806
DIOR-R,13338,807
DIOR-R,13342,808
DIOR-R,13346,809
DIOR-R,13347,810
DIOR-R,13348,811
DIOR-R,13350,812
DIOR-R,13351,813
DIOR-R,13352,814
DIOR-R,13353,815
DIOR-R,13356,816
DIOR-R,13357,817
DIOR-R,13359,818
DIOR-R,13361,819
DIOR-R,13365,820
DIOR-R,13366,821
DIOR-R,13368,822
DIOR-R,13369,823
DIOR-R,13371,824
DIOR-R,13372,825
DIOR-R,13373,826
DIOR-R,13374,827
DIOR-R,13376,828
DIOR-R,13378,829
DIOR-R,13382,830
DIOR-R,13384,831
DIOR-R,13385,832
DIOR-R,13388,833
DIOR-R,13389,834
DIOR-R,13390,835
DIOR-R,13397,836
DIOR-R,13398,837
DIOR-R,13399,838
DIOR-R,13402,839
DIOR-R,13403,840
DIOR-R,13409,841
DIOR-R,13412,842
DIOR-R,13413,843
DIOR-R,13414,844
DIOR-R,13415,845
DIOR-R,13418,846
DIOR-R,13427,847
DIOR-R,13429,848
DIOR-R,13430,849
DIOR-R,13432,850
DIOR-R,13433,851
DIOR-R,13434,852
DIOR-R,13435,853
DIOR-R,13438,854
DIOR-R,13439,855
DIOR-R,13440,856
DIOR-R,13443,857
DIOR-R,13444,858
DIOR-R,13445,859
DIOR-R,13447,860
DIOR-R,13452,861
DIOR-R,13454,862
DIOR-R,13457,863
DIOR-R,13459,864
DIOR-R,13460,865
DIOR-R,13461,866
DIOR-R,13463,867
DIOR-R,13465,868
DIOR-R,13466,869
DIOR-R,13471,870
DIOR-R,13472,871
DIOR-R,13474,872
DIOR-R,13475,873
DIOR-R,13479,874
DIOR-R,13483,875
DIOR-R,13485,876
DIOR-R,13490,877
DIOR-R,13492,878
DIOR-R,13493,879
DIOR-R,13494,880
DIOR-R,13495,881
DIOR-R,13497,882
DIOR-R,13498,883
DIOR-R,13504,884
DIOR-R,13505,885
DIOR-R,13506,886
DIOR-R,13508,887
DIOR-R,13510,888
DIOR-R,13512,889
DIOR-R,13513,890
DIOR-R,13514,891
DIOR-R,13516,892
DIOR-R,13517,893
DIOR-R,13518,894
DIOR-R,13519,895
DIOR-R,13522,896
DIOR-R,13523,897
DIOR-R,13525,898
DIOR-R,13527,899
DIOR-R,13531,900
DIOR-R,13533,901
DIOR-R,13534,902
DIOR-R,13535,903
DIOR-R,13537,904
DIOR-R,13539,905
DIOR-R,13541,906
DIOR-R,13548,907
DIOR-R,13549,908
DIOR-R,13551,909
DIOR-R,13553,910
DIOR-R,13554,911
DIOR-R,13556,912
DIOR-R,13557,913
DIOR-R,13558,914
DIOR-R,13560,915
DIOR-R,13561,916
DIOR-R,13562,917
DIOR-R,13568,918
DIOR-R,13570,919
DIOR-R,13571,920
DIOR-R,13573,921
DIOR-R,13576,922
DIOR-R,13577,923
DIOR-R,13578,924
DIOR-R,13579,925
DIOR-R,13580,926
DIOR-R,13583,927
DIOR-R,13584,928
DIOR-R,13587,929
DIOR-R,13588,930
DIOR-R,13590,931
DIOR-R,13591,932
DIOR-R,13597,933
DIOR-R,13603,934
DIOR-R,13606,935
DIOR-R,13608,936
DIOR-R,13611,937
DIOR-R,13612,938
DIOR-R,13614,939
DIOR-R,13615,940
DIOR-R,13617,941
DIOR-R,13620,942
DIOR-R,13623,943
DIOR-R,13624,944
DIOR-R,13626,945
DIOR-R,13630,946
DIOR-R,13631,947
DIOR-R,13635,948
DIOR-R,13638,949
DIOR-R,13639,950
DIOR-R,13640,951
DIOR-R,13645,952
DIOR-R,13646,953
DIOR-R,13650,954
DIOR-R,13652,955
DIOR-R,13657,956
DIOR-R,13658,957
DIOR-R,13663,958
DIOR-R,13664,959
DIOR-R,13665,960
DIOR-R,13666,961
DIOR-R,13669,962
DIOR-R,13672,963
DIOR-R,13675,964
DIOR-R,13681,965
DIOR-R,13683,966
DIOR-R,13685,967
DIOR-R,13686,968
DIOR-R,13689,969
DIOR-R,13690,970
DIOR-R,13692,971
DIOR-R,13693,972
DIOR-R,13697,973
DIOR-R,13698,974
DIOR-R,13699,975
DIOR-R,13702,976
DIOR-R,13706,977
DIOR-R,13708,978
DIOR-R,13712,979
DIOR-R,13713,980
DIOR-R,13714,981
DIOR-R,13715,982
DIOR-R,13718,983
DIOR-R,13719,984
DIOR-R,13720,985
DIOR-R,13730,986
DIOR-R,13731,987
DIOR-R,13735,988
DIOR-R,13736,989
DIOR-R,13737,990
DIOR-R,13738,991
DIOR-R,13739,992
DIOR-R,13740,993
DIOR-R,13741,994
DIOR-R,13742,995
DIOR-R,13743,996
DIOR-R,13745,997
DIOR-R,13746,998
DIOR-R,13752,999
DIOR-R,13756,1000
DIOR-R,13757,1001
DIOR-R,13760,1002
DIOR-R,13761,1003
DIOR-R,13764,1004
DIOR-R,13766,1005
DIOR-R,13767,1006
DIOR-R,13771,1007
DIOR-R,13772,1008
DIOR-R,13776,1009
DIOR-R,13777,1010
DIOR-R,13779,1011
DIOR-R,13780,1012
DIOR-R,13781,1013
DIOR-R,13782,1014
DIOR-R,13785,1015
DIOR-R,13786,1016
DIOR-R,13790,1017
DIOR-R,13792,1018
DIOR-R,13794,1019
DIOR-R,13800,1020
DIOR-R,13801,1021
DIOR-R,13804,1022
DIOR-R,13805,1023
DIOR-R,13807,1024
DIOR-R,13808,1025
DIOR-R,13810,1026
DIOR-R,13812,1027
DIOR-R,13814,1028
DIOR-R,13822,1029
DIOR-R,13823,1030
DIOR-R,13825,1031
DIOR-R,13826,1032
DIOR-R,13827,1033
DIOR-R,13829,1034
DIOR-R,13830,1035
DIOR-R,13831,1036
DIOR-R,13837,1037
DIOR-R,13839,1038
DIOR-R,13840,1039
DIOR-R,13841,1040
DIOR-R,13842,1041
DIOR-R,13843,1042
DIOR-R,13844,1043
DIOR-R,13846,1044
DIOR-R,13850,1045
DIOR-R,13852,1046
DIOR-R,13855,1047
DIOR-R,13857,1048
DIOR-R,13858,1049
DIOR-R,13862,1050
DIOR-R,13866,1051
DIOR-R,13872,1052
DIOR-R,13874,1053
DIOR-R,13878,1054
DIOR-R,13879,1055
DIOR-R,13881,1056
DIOR-R,13882,1057
DIOR-R,13888,1058
DIOR-R,13889,1059
DIOR-R,13891,1060
DIOR-R,13892,1061
DIOR-R,13894,1062
DIOR-R,13895,1063
DIOR-R,13896,1064
DIOR-R,13897,1065
DIOR-R,13900,1066
DIOR-R,13902,1067
DIOR-R,13903,1068
DIOR-R,13907,1069
DIOR-R,13908,1070
DIOR-R,13909,1071
DIOR-R,13910,1072
DIOR-R,13911,1073
DIOR-R,13913,1074
DIOR-R,13914,1075
DIOR-R,13919,1076
DIOR-R,13920,1077
DIOR-R,13922,1078
DIOR-R,13925,1079
DIOR-R,13931,1080
DIOR-R,13932,1081
DIOR-R,13933,1082
DIOR-R,13934,1083
DIOR-R,13935,1084
DIOR-R,13937,1085
DIOR-R,13938,1086
DIOR-R,13941,1087
DIOR-R,13942,1088
DIOR-R,13943,1089
DIOR-R,13949,1090
DIOR-R,13950,1091
DIOR-R,13952,1092
DIOR-R,13953,1093
DIOR-R,13954,1094
DIOR-R,13955,1095
DIOR-R,13957,1096
DIOR-R,13958,1097
DIOR-R,13959,1098
DIOR-R,13960,1099
DIOR-R,13961,1100
DIOR-R,13966,1101
DIOR-R,13968,1102
DIOR-R,13971,1103
DIOR-R,13974,1104
DIOR-R,13975,1105
DIOR-R,13976,1106
DIOR-R,13979,1107
DIOR-R,13985,1108
DIOR-R,13986,1109
DIOR-R,13989,1110
DIOR-R,13990,1111
DIOR-R,13991,1112
DIOR-R,13993,1113
DIOR-R,13994,1114
DIOR-R,13995,1115
DIOR-R,13997,1116
DIOR-R,13998,1117
DIOR-R,13999,1118
DIOR-R,14000,1119
DIOR-R,14002,1120
DIOR-R,14004,1121
DIOR-R,14005,1122
DIOR-R,14010,1123
DIOR-R,14013,1124
DIOR-R,14015,1125
DIOR-R,14016,1126
DIOR-R,14017,1127
DIOR-R,14018,1128
DIOR-R,14020,1129
DIOR-R,14021,1130
DIOR-R,14023,1131
DIOR-R,14025,1132
DIOR-R,14030,1133
DIOR-R,14032,1134
DIOR-R,14033,1135
DIOR-R,14034,1136
DIOR-R,14039,1137
DIOR-R,14040,1138
DIOR-R,14047,1139
DIOR-R,14048,1140
DIOR-R,14049,1141
DIOR-R,14050,1142
DIOR-R,14053,1143
DIOR-R,14055,1144
DIOR-R,14057,1145
DIOR-R,14059,1146
DIOR-R,14060,1147
DIOR-R,14062,1148
DIOR-R,14063,1149
DIOR-R,14064,1150
