dataset,seed,intervention,parameter,AP50,AP75,delta_AP50,delta_AP75,AP_invariant,evidence_role
SODA-A,1,RADIAL_FULL_EVALUATOR,1.5,0.573159,0.249091,1.999999999946489e-06,-8.900000000000574e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,2.0,0.573165,0.24909,8.000000000008e-06,-9.000000000000674e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,1,RADIAL_FULL_EVALUATOR,4.0,0.573164,0.249092,6.999999999979245e-06,-8.800000000000474e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,0.25,0.520788,0.180177,-0.06742300000000001,-0.08358499999999999,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,0.5,0.587641,0.262373,-0.0005700000000000705,-0.0013889999999999736,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,0.75,0.588212,0.263734,9.999999999177334e-07,-2.799999999997249e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,0.9,0.588227,0.263771,1.6000000000016e-05,8.999999999981245e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,1.0,0.588211,0.263762,0.0,0.0,True,RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,1.1,0.588232,0.263771,2.0999999999937735e-05,8.999999999981245e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,1.25,0.588232,0.263763,2.0999999999937735e-05,1.0000000000287557e-06,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,1.5,0.588232,0.26378,2.0999999999937735e-05,1.8000000000018e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,2.0,0.588232,0.263776,2.0999999999937735e-05,1.4000000000014001e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
SODA-A,2,RADIAL_FULL_EVALUATOR,4.0,0.588232,0.263774,2.0999999999937735e-05,1.2000000000012001e-05,False,MECHANISM_ONLY_NOT_RANKING_ONLY
FAIR1M-v1.0,0,OFFLINE_VECTOR_INTERVENTIONS,all,0.3500738308546278,0.25011846890972256,NOT_EVALUATED,NOT_EVALUATED,False,MECHANISM_ONLY_NOT_RANKING_ONLY
FAIR1M-v1.0,1,OFFLINE_VECTOR_INTERVENTIONS,all,0.3536850124665611,0.2568252543698562,NOT_EVALUATED,NOT_EVALUATED,False,MECHANISM_ONLY_NOT_RANKING_ONLY
FAIR1M-v1.0,2,OFFLINE_VECTOR_INTERVENTIONS,all,0.34175841872588414,0.24394305035556207,NOT_EVALUATED,NOT_EVALUATED,False,MECHANISM_ONLY_NOT_RANKING_ONLY
