dataset,host,seed,score,endpoint,n,event_base_rate,NRC,AURC,Risk70,Risk90,retained_count,retained_ratio,prediction_identity,AP_invariance
DOTA-v1.0,RotatedFCOS,0,phase_direction_margin,endpoint_severe_event,33363,0.0019182927194796632,0.47137430490355275,0.0009052223478063023,0.0008135651280294596,0.0009325251448744421,33363,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,phase_mod,endpoint_continuous,33182,0.002682177083961184,0.950091596022078,1.7346553536044078,1.7166538375427907,1.7309187217099697,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,phase_mod,endpoint_severe_event,33182,0.002682177083961184,0.7416012858706461,0.001990046719614237,0.0015929736944073707,0.0016073401868532968,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,negative_phase_mod,endpoint_continuous,33182,0.002682177083961184,1.1834106130878237,1.9901694993699115,1.8130561314293205,1.7901475489605725,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,negative_phase_mod,endpoint_severe_event,33182,0.002682177083961184,2.3557312205393863,0.006313552521683848,0.003099840702630559,0.0026119278036366073,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,detection_score,endpoint_continuous,33182,0.002682177083961184,0.8235175373682563,1.596040581093642,1.6798768895830536,1.71972611767354,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,detection_score,endpoint_severe_event,33182,0.002682177083961184,0.1308689732856426,0.00035417798299078074,0.0003013734016446377,0.0010715601245688644,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,multi_frequency_consistency,endpoint_continuous,33182,0.002682177083961184,0.9094664800588838,1.6901656590544136,1.6992445960233382,1.740672032012074,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,multi_frequency_consistency,endpoint_severe_event,33182,0.002682177083961184,0.5258887332723434,0.00141225279317336,0.0015499203513152796,0.0017747714563171818,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,unwrap_candidate_energy_gap,endpoint_continuous,33182,0.002682177083961184,0.9094664800588838,1.6901656590544136,1.6992445960233382,1.740672032012074,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,unwrap_candidate_energy_gap,endpoint_severe_event,33182,0.002682177083961184,0.5258887332723434,0.00141225279317336,0.0015499203513152796,0.0017747714563171818,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,phase_direction_margin,endpoint_continuous,33182,0.002682177083961184,0.8503740424273211,1.6254518868445154,1.6384193969236667,1.6909886109126848,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,1,phase_direction_margin,endpoint_severe_event,33182,0.002682177083961184,0.6385913719557128,0.0017141309145007504,0.001291600292762733,0.0012724776479255265,33182,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,phase_mod,endpoint_continuous,33218,0.002619061954362093,0.9173080253027589,1.7151770455360924,1.7156613637731857,1.7428075112399706,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,phase_mod,endpoint_severe_event,33218,0.002619061954362093,0.7325496966547969,0.001919521671197797,0.0013332186478582488,0.001639015252876639,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,negative_phase_mod,endpoint_continuous,33218,0.002619061954362093,1.2051673598659034,2.034829402186297,1.8447872376837324,1.8171125665047179,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,negative_phase_mod,endpoint_severe_event,33218,0.002619061954362093,2.3417113131147222,0.006128428368090059,0.0029244796146568035,0.0025755953973775757,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,detection_score,endpoint_continuous,33218,0.002619061954362093,0.7957635227525821,1.5802083924020789,1.6876065928439206,1.7306965693460865,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,detection_score,endpoint_severe_event,33218,0.002619061954362093,0.14792682679134345,0.0003903880609033199,0.0004730775847238947,0.001036928017126037,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,multi_frequency_consistency,endpoint_continuous,33218,0.002619061954362093,0.9337835371956875,1.7334722181126057,1.7392702612877406,1.7578670419786522,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,multi_frequency_consistency,endpoint_severe_event,33218,0.002619061954362093,0.5232831811506057,0.001372166309541472,0.001591260966798555,0.0017393631255017393,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,unwrap_candidate_energy_gap,endpoint_continuous,33218,0.002619061954362093,0.9337835371956875,1.7334722181126057,1.7392702612877406,1.7578670419786522,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,unwrap_candidate_energy_gap,endpoint_severe_event,33218,0.002619061954362093,0.5232831811506057,0.001372166309541472,0.001591260966798555,0.0017393631255017393,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,phase_direction_margin,endpoint_continuous,33218,0.002619061954362093,0.8757694317678627,1.6690506646232928,1.6891582500900735,1.7249746396268164,33218,1.0,unchanged,True
DOTA-v1.0,RotatedFCOS,2,phase_direction_margin,endpoint_severe_event,33218,0.002619061954362093,0.6590924613437826,0.001727387676406219,0.0014192327541716842,0.001404870216751405,33218,1.0,unchanged,True
