radial_norm,noise_level,modulation_threshold,boundary_mass,radial_risk_coupling,unwrap_ambiguity,frequency_ratio,n,decoded_angle_mean_deg,angle_error_mean_deg,phase_mod_mean,negative_phase_mod_nrc_continuous,phase_mod_nrc_continuous,phase_mod_nrc_severe_event,direction_margin_nrc_continuous,multi_frequency_disagreement_nrc_continuous,unwrap_energy_gap_nrc_continuous,candidate_switch_rate,severe_event_rate,phase_mod_direction
0.55,0.03,0.47,0.1,0.8,0.05,1:2,512,-0.79808908,39.00839672,0.35039909,1.3834019,0.39142953,0.20278651,0.39172148,1.16253277,1.16253277,0.0,0.73242188,INFORMATIVE
0.55,0.03,0.47,0.1,0.8,0.45,1:2,512,0.0,51.50076131,0.35357009,0.97709847,0.9470383,0.84629301,0.9368619,0.96218656,0.96218656,0.0,0.92578125,NEAR_RANDOM
0.55,0.03,0.47,0.1,0.8,0.85,1:2,512,0.0,48.60423268,0.35013755,0.87568515,1.04879634,1.00198101,1.02840291,0.98741917,0.98741917,0.0,0.8984375,NEAR_RANDOM
0.55,0.03,0.47,0.4,-0.8,0.05,1:2,512,-2.61335695,50.05323468,0.3477607,1.29400832,0.36027258,0.14464903,0.36019622,0.8384071,0.8384071,0.0,0.76757812,INFORMATIVE
0.55,0.03,0.47,0.4,-0.8,0.45,1:2,512,0.0,62.80627205,0.35698931,1.00937478,0.96720129,0.93851542,0.98049737,0.92132532,0.92132532,0.0,0.92773438,NEAR_RANDOM
0.55,0.03,0.47,0.4,-0.8,0.85,1:2,512,0.0,62.0891821,0.3725359,0.89691998,1.03342788,1.05707722,1.05095428,1.01281096,1.01281096,0.0,0.92773438,NEAR_RANDOM
0.55,0.03,0.47,0.4,0.0,0.05,1:2,512,0.0,59.28086394,0.3025,1.02204588,1.02204588,1.02901097,0.95874557,1.00400304,1.00400304,0.0,0.91796875,NEAR_RANDOM
0.55,0.03,0.47,0.4,0.0,0.45,1:2,512,0.0,62.93263172,0.3025,1.01540341,1.01540341,1.10603979,1.00196784,0.89344063,0.89344063,0.0,0.94921875,NEAR_RANDOM
0.55,0.03,0.47,0.4,0.0,0.85,1:2,512,0.0,61.92418947,0.3025,0.93683195,0.93683195,1.0032509,0.92442316,0.90970672,0.90970672,0.0,0.94335938,NEAR_RANDOM
0.55,0.03,0.47,0.4,0.8,0.05,1:2,512,1.90519289,49.54555763,0.35495151,1.36084498,0.31822642,0.10195279,0.31811419,1.06536266,1.06536266,0.0,0.75390625,INFORMATIVE
0.55,0.03,0.47,0.4,0.8,0.45,1:2,512,0.0,61.54435674,0.34172192,0.95857585,1.01914284,1.08835176,1.02658677,1.0037461,1.0037461,0.0,0.91992188,NEAR_RANDOM
0.55,0.03,0.47,0.4,0.8,0.85,1:2,512,0.0,61.59316851,0.36159781,0.98143467,0.99493428,0.98398171,1.00087005,1.01024677,1.01024677,0.0,0.92382812,NEAR_RANDOM
0.55,0.03,0.47,0.75,-0.8,0.05,1:2,512,2.26770345,61.39707706,0.36406041,1.40245581,0.22396238,0.08665755,0.22397062,0.86010192,0.86010192,0.0,0.76953125,INFORMATIVE
0.55,0.03,0.47,0.75,-0.8,0.45,1:2,512,0.0,77.09049842,0.36042246,0.93637984,1.04382732,0.94621466,1.03044558,0.98909461,0.98909461,0.0,0.9765625,NEAR_RANDOM
0.55,0.03,0.47,0.75,-0.8,0.85,1:2,512,0.0,74.46465452,0.34399108,0.96866465,0.96318789,0.9911968,1.02130718,1.00607204,1.00607204,0.0,0.96679688,NEAR_RANDOM
0.55,0.03,0.47,0.75,0.0,0.05,1:2,512,0.0,76.67323321,0.3025,0.96006108,0.96006108,1.03495865,0.91017017,0.90604628,0.90604628,0.0,0.97070312,NEAR_RANDOM
0.55,0.03,0.47,0.75,0.0,0.45,1:2,512,0.0,77.50936649,0.3025,1.04511165,1.04511165,0.9710148,1.01327098,1.01137799,1.01137799,0.0,0.98046875,NEAR_RANDOM
0.55,0.03,0.47,0.75,0.0,0.85,1:2,512,0.0,76.51170077,0.3025,0.920113,0.920113,0.9129449,1.02154173,1.06841273,1.06841273,0.0,0.96679688,NEAR_RANDOM
0.55,0.03,0.47,0.75,0.8,0.05,1:2,512,-0.67149361,61.84750518,0.36141001,1.47667254,0.16327715,0.05607456,0.16316721,1.17512029,1.17512029,0.0,0.765625,INFORMATIVE
0.55,0.03,0.47,0.75,0.8,0.45,1:2,512,0.0,75.36820186,0.3641131,0.88510537,1.11716204,1.13461027,1.10402221,1.03847885,1.03847885,0.0,0.9609375,REVERSE
0.55,0.03,0.47,0.75,0.8,0.85,1:2,512,0.0,74.60897766,0.36134405,0.99718976,0.96068943,0.7987022,0.90778935,0.99911887,0.99911887,0.0,0.96875,NEAR_RANDOM
0.55,0.03,0.8,0.1,-0.8,0.05,1:2,512,0.24993482,45.08231156,0.34965969,1.11101867,0.72641336,0.61946891,0.72566663,0.98764641,0.98764641,0.0,0.85351562,INFORMATIVE
0.55,0.03,0.8,0.1,-0.8,0.45,1:2,512,0.0,48.98504206,0.35196187,0.96239049,0.98332596,1.07265174,0.97846795,0.97449145,0.97449145,0.0,0.89648438,NEAR_RANDOM
0.55,0.03,0.8,0.1,-0.8,0.85,1:2,512,0.0,48.63562596,0.35789054,0.96339546,1.00466238,1.03298014,1.07186081,0.98336149,0.98336149,0.0,0.88867188,NEAR_RANDOM
0.55,0.03,0.8,0.1,0.0,0.05,1:2,512,0.0,48.56722178,0.3025,0.9825149,0.9825149,1.05638018,0.93619883,0.94876853,0.94876853,0.0,0.90429688,NEAR_RANDOM
0.55,0.03,0.8,0.1,0.0,0.45,1:2,512,0.0,50.44927797,0.3025,0.92613128,0.92613128,0.96838129,1.02416762,1.07597363,1.07597363,0.0,0.90039062,NEAR_RANDOM
0.55,0.03,0.8,0.1,0.0,0.85,1:2,512,0.0,50.09497795,0.3025,0.92547242,0.92547242,0.84874065,0.93691074,1.04678841,1.04678841,0.0,0.8984375,NEAR_RANDOM
0.55,0.03,0.8,0.1,0.8,0.05,1:2,512,0.18520257,49.76543606,0.32929809,0.96144871,0.89070056,0.68357073,0.89039716,0.99738069,0.99738069,0.0,0.90820312,INFORMATIVE
0.55,0.03,0.8,0.1,0.8,0.45,1:2,512,0.0,49.82106026,0.35773109,1.03485254,0.97039706,0.94493375,1.00074059,1.09102928,1.09102928,0.0,0.90429688,NEAR_RANDOM
0.55,0.03,0.8,0.1,0.8,0.85,1:2,512,0.0,47.16470927,0.34571229,0.97228533,1.05277765,1.08939813,1.09586632,1.09081777,1.09081777,0.0,0.87109375,NEAR_RANDOM
0.55,0.03,0.8,0.4,-0.8,0.05,1:2,512,-0.75362116,59.617775,0.36766136,1.06011255,0.73084216,0.50503585,0.73067566,0.90206286,0.90206286,0.0,0.88085938,INFORMATIVE
0.55,0.03,0.8,0.4,-0.8,0.45,1:2,512,0.0,60.65300454,0.36747928,0.95073299,1.09902442,1.09163872,1.09580088,1.06114033,1.06114033,0.0,0.9375,NEAR_RANDOM
0.55,0.03,0.8,0.4,-0.8,0.85,1:2,512,0.0,60.421821,0.36510324,1.0122829,0.94498877,0.98736606,0.97889072,0.95611176,0.95611176,0.0,0.921875,NEAR_RANDOM
0.55,0.03,0.8,0.4,0.0,0.05,1:2,512,0.0,62.14232005,0.3025,0.98690709,0.98690709,0.88491431,0.99611485,1.03229051,1.03229051,0.0,0.92382812,NEAR_RANDOM
0.55,0.03,0.8,0.4,0.0,0.45,1:2,512,0.0,61.2599737,0.3025,0.93643582,0.93643582,0.99717285,1.02422172,1.03349412,1.03349412,0.0,0.92382812,NEAR_RANDOM
0.55,0.03,0.8,0.4,0.0,0.85,1:2,512,0.0,59.78815771,0.3025,0.89189081,0.89189081,0.8782562,0.95507943,0.9483427,0.9483427,0.0,0.91601562,INFORMATIVE
0.55,0.03,0.8,0.4,0.8,0.05,1:2,512,0.58656417,59.31410171,0.34111107,1.00331549,0.84059068,0.63541229,0.84131305,1.0708282,1.0708282,0.0,0.90234375,INFORMATIVE
0.55,0.03,0.8,0.4,0.8,0.45,1:2,512,0.0,60.3363798,0.36214458,0.97945178,0.97601766,0.97458266,0.97344708,1.04361089,1.04361089,0.0,0.94335938,NEAR_RANDOM
0.55,0.03,0.8,0.4,0.8,0.85,1:2,512,0.0,60.8163823,0.35759201,0.99179927,0.99591463,0.98199492,1.01891232,0.97454457,0.97454457,0.0,0.92773438,NEAR_RANDOM
0.55,0.03,0.8,0.75,-0.8,0.05,1:2,512,1.48946576,71.90551257,0.35285673,1.06539523,0.71749674,0.39580937,0.71744646,1.02984424,1.02984424,0.0,0.94335938,INFORMATIVE
0.55,0.03,0.8,0.75,-0.8,0.45,1:2,512,0.0,75.5897127,0.35535035,0.99696505,1.00269035,0.84162672,1.01661476,0.99975168,0.99975168,0.0,0.97070312,NEAR_RANDOM
0.55,0.03,0.8,0.75,-0.8,0.85,1:2,512,0.0,75.05542075,0.35303449,0.9943117,0.98930803,1.13070505,0.9740126,1.07158651,1.07158651,0.0,0.97265625,NEAR_RANDOM
0.55,0.03,0.8,0.75,0.0,0.05,1:2,512,0.0,77.06357603,0.3025,0.90760414,0.90760414,0.99021411,0.95039195,0.97368317,0.97368317,0.0,0.98242188,NEAR_RANDOM
0.55,0.03,0.8,0.75,0.0,0.45,1:2,512,0.0,75.87924859,0.3025,1.00767584,1.00767584,0.94540717,1.01721829,0.99953157,0.99953157,0.0,0.96875,NEAR_RANDOM
0.55,0.03,0.8,0.75,0.0,0.85,1:2,512,0.0,76.38937058,0.3025,1.01521933,1.01521933,1.09040227,1.10807695,0.9834882,0.9834882,0.0,0.98242188,NEAR_RANDOM
0.55,0.03,0.8,0.75,0.8,0.05,1:2,512,-0.03023836,74.75740898,0.34357399,1.0405675,0.69770761,0.49789688,0.69835526,1.09451075,1.09451075,0.0,0.93945312,INFORMATIVE
0.55,0.03,0.8,0.75,0.8,0.45,1:2,512,0.0,76.57804924,0.35064196,1.02335512,0.99269768,1.04179566,1.02825486,1.04496576,1.04496576,0.0,0.97265625,NEAR_RANDOM
0.55,0.03,0.8,0.75,0.8,0.85,1:2,512,0.0,76.88662881,0.34558376,1.01512832,0.97462247,1.07428648,0.93272694,1.01264369,1.01264369,0.0,0.98242188,NEAR_RANDOM
0.55,0.12,0.3,0.1,-0.8,0.05,1:2,512,-1.61351066,27.42574374,0.34283289,1.79614798,0.16956289,0.0554309,0.17020365,0.74705763,0.74705763,0.0,0.46289062,INFORMATIVE
0.55,0.12,0.3,0.1,-0.8,0.45,1:2,512,2.11290304,26.21033329,0.35573763,1.79005519,0.21357799,0.1612618,0.19307198,0.74573143,0.74573143,0.0,0.49023438,INFORMATIVE
0.55,0.12,0.3,0.1,-0.8,0.85,1:2,512,-0.07526317,46.49721252,0.34474033,0.97467337,1.09727166,1.03908571,0.842735,0.98691556,0.98691556,0.0,0.86523438,NEAR_RANDOM
0.55,0.12,0.3,0.1,0.0,0.05,1:2,512,0.02213039,40.50869604,0.3025,1.09987067,1.09987067,1.05367986,0.5983931,0.94903795,0.94903795,0.0,0.74804688,NEAR_RANDOM
0.55,0.12,0.3,0.1,0.0,0.45,1:2,512,0.17805991,50.59761723,0.3025,0.8968643,0.8968643,0.94742268,0.86897136,1.04450434,1.04450434,0.0,0.88671875,INFORMATIVE
0.55,0.12,0.3,0.1,0.0,0.85,1:2,512,-0.08681998,49.17059115,0.3025,1.0584834,1.0584834,0.97336509,1.08541032,1.04594835,1.04594835,0.0,0.90625,NEAR_RANDOM
0.55,0.12,0.3,0.1,0.8,0.05,1:2,512,-1.14396473,24.84272476,0.36226801,1.874708,0.17107951,0.03877129,0.17168726,1.27936041,1.27936041,0.0,0.4453125,INFORMATIVE
0.55,0.12,0.3,0.1,0.8,0.45,1:2,512,-0.87890349,27.84617734,0.35437767,1.73462109,0.2412747,0.23637001,0.22793359,1.00308586,1.00308586,0.0,0.5,INFORMATIVE
0.55,0.12,0.3,0.1,0.8,0.85,1:2,512,0.18507696,44.66556741,0.34043735,0.95895067,1.0433462,1.07575628,0.76162661,0.82670742,0.82670742,0.0,0.85742188,NEAR_RANDOM
0.55,0.12,0.3,0.4,-0.8,0.05,1:2,512,-1.28612066,33.43388431,0.34792265,1.89357782,0.11765011,0.02874062,0.11719098,0.71303548,0.71303548,0.0,0.47851562,INFORMATIVE
0.55,0.12,0.3,0.4,-0.8,0.45,1:2,512,-3.35384439,34.02591536,0.3478899,1.82048126,0.18249461,0.17356473,0.1684303,0.82532343,0.82532343,0.0,0.52734375,INFORMATIVE
0.55,0.12,0.3,0.4,-0.8,0.85,1:2,512,-0.17120997,61.76055237,0.35090274,1.06098427,1.02408212,0.94650009,0.78087607,1.00784676,1.00784676,0.0,0.92578125,NEAR_RANDOM
0.55,0.12,0.3,0.4,0.0,0.05,1:2,512,-0.04367384,52.19494141,0.3025,0.87921255,0.87921255,0.90861229,0.57989147,1.01674924,1.01674924,0.0,0.77148438,INFORMATIVE
0.55,0.12,0.3,0.4,0.0,0.45,1:2,512,-0.07234223,61.87062903,0.3025,1.02949029,1.02949029,1.00974147,0.88568109,0.89924836,0.89924836,0.0,0.92773438,NEAR_RANDOM
0.55,0.12,0.3,0.4,0.0,0.85,1:2,512,0.03053739,61.06005924,0.3025,0.96241981,0.96241981,1.06642411,0.96424828,0.98612418,0.98612418,0.0,0.9375,NEAR_RANDOM
0.55,0.12,0.3,0.4,0.8,0.05,1:2,512,3.4699479,33.37513289,0.34533271,1.68404185,0.19047196,0.06332423,0.19045569,1.22003115,1.22003115,0.0,0.4921875,INFORMATIVE
0.55,0.12,0.3,0.4,0.8,0.45,1:2,512,2.04432925,34.26049027,0.35227332,1.72266571,0.20244998,0.19865251,0.20294394,1.05742733,1.05742733,0.0,0.56054688,INFORMATIVE
0.55,0.12,0.3,0.4,0.8,0.85,1:2,512,3.30430436,58.41410691,0.35922571,1.10279993,1.03800209,1.08315021,0.6850626,0.99082748,0.99082748,0.0,0.88085938,NEAR_RANDOM
0.55,0.12,0.3,0.75,-0.8,0.05,1:2,512,-2.93575023,39.79372254,0.3489103,1.89795931,0.08127276,0.01772927,0.0839426,0.9079886,0.9079886,0.0,0.49414062,INFORMATIVE
0.55,0.12,0.3,0.75,-0.8,0.45,1:2,512,-2.75812243,41.93454971,0.35839592,1.87600118,0.09932773,0.10535873,0.0907334,0.80794178,0.80794178,0.0,0.54101562,INFORMATIVE
0.55,0.12,0.3,0.75,-0.8,0.85,1:2,512,-0.41687555,71.2766568,0.3715,1.04399019,1.05559667,1.0745819,0.66488194,0.9815308,0.9815308,0.0,0.91210938,NEAR_RANDOM
0.55,0.12,0.3,0.75,0.0,0.05,1:2,512,1.92618898,64.04130557,0.3025,1.02071951,1.02071951,1.04419302,0.44607016,1.0041898,1.0041898,0.0,0.79492188,NEAR_RANDOM
0.55,0.12,0.3,0.75,0.0,0.45,1:2,512,-0.1035146,74.00430021,0.3025,0.9762304,0.9762304,1.06251789,0.7966212,1.02683447,1.02683447,0.0,0.95898438,NEAR_RANDOM
0.55,0.12,0.3,0.75,0.0,0.85,1:2,512,0.03928369,74.39724445,0.3025,1.0766816,1.0766816,1.11727939,0.87852649,0.99221792,0.99221792,0.0,0.95507812,NEAR_RANDOM
0.55,0.12,0.3,0.75,0.8,0.05,1:2,512,0.89506961,38.65374394,0.35830812,1.94358002,0.09204161,0.007991,0.09274019,1.35361316,1.35361316,0.0,0.47851562,INFORMATIVE
0.55,0.12,0.3,0.75,0.8,0.45,1:2,512,2.21995883,41.93644577,0.37128994,1.8804892,0.11810691,0.24007916,0.12316874,1.10665628,1.10665628,0.0,0.5703125,INFORMATIVE
0.55,0.12,0.3,0.75,0.8,0.85,1:2,512,0.6397608,70.56777455,0.35374282,1.06114343,1.01929366,1.06348633,0.71690657,0.94922377,0.94922377,0.0,0.91601562,NEAR_RANDOM
0.55,0.12,0.47,0.1,-0.8,0.05,1:2,512,-0.40674953,39.09157177,0.37028941,1.29300419,0.38755054,0.21335314,0.38561807,0.87002763,0.87002763,0.0,0.69726562,INFORMATIVE
0.55,0.12,0.47,0.1,-0.8,0.45,1:2,512,0.0,48.4614518,0.3589691,0.95989163,0.97479826,0.89835347,0.97474332,0.98592116,0.98592116,0.0,0.89257812,NEAR_RANDOM
0.55,0.12,0.47,0.1,-0.8,0.85,1:2,512,0.0,48.18906072,0.36003223,0.87081501,1.07728795,0.96367036,1.07079642,1.04625812,1.04625812,0.00195312,0.88867188,NEAR_RANDOM
0.55,0.12,0.47,0.1,0.0,0.05,1:2,512,0.0,49.61125724,0.3025,0.98431217,0.98431217,1.01701285,0.9822078,1.00758526,1.00758526,0.0,0.90429688,NEAR_RANDOM
0.55,0.12,0.47,0.1,0.0,0.45,1:2,512,0.0,48.74462012,0.3025,1.00500991,1.00500991,0.98522557,1.0053802,1.04693704,1.04693704,0.0,0.90429688,NEAR_RANDOM
0.55,0.12,0.47,0.1,0.0,0.85,1:2,512,0.0,47.81975638,0.3025,0.93332676,0.93332676,0.96580857,0.96142758,0.99014528,0.99014528,0.0,0.88867188,NEAR_RANDOM
0.55,0.12,0.47,0.1,0.8,0.05,1:2,512,0.07381508,40.66798602,0.34802536,1.32034825,0.40149458,0.17947846,0.4021611,1.15585558,1.15585558,0.0,0.7265625,INFORMATIVE
0.55,0.12,0.47,0.1,0.8,0.45,1:2,512,0.0,50.51082328,0.33586937,1.03502812,0.92967705,1.00688948,0.94188041,0.99218109,0.99218109,0.0,0.91796875,NEAR_RANDOM
0.55,0.12,0.47,0.1,0.8,0.85,1:2,512,0.0,48.41218366,0.3476623,1.01033398,0.99503154,1.06458083,0.89140909,0.9595946,0.9595946,0.0,0.90234375,NEAR_RANDOM
0.55,0.12,0.47,0.4,-0.8,0.05,1:2,512,-0.48684957,49.38799789,0.36732201,1.32631462,0.39501289,0.18199077,0.39791614,0.95127252,0.95127252,0.0,0.74609375,INFORMATIVE
0.55,0.12,0.47,0.4,-0.8,0.45,1:2,512,0.0,62.60501669,0.33707859,1.00448621,1.04336685,1.09358828,1.03431632,0.9648352,0.9648352,0.0,0.94726562,NEAR_RANDOM
0.55,0.12,0.47,0.4,-0.8,0.85,1:2,512,0.0,61.38894901,0.35539916,1.00326184,0.96546353,0.98674351,1.07791419,1.02873506,1.02873506,0.0,0.91992188,NEAR_RANDOM
0.55,0.12,0.47,0.4,0.0,0.05,1:2,512,0.0,63.54305935,0.3025,1.00794287,1.00794287,0.94578173,1.05607507,1.05635804,1.05635804,0.0,0.93945312,NEAR_RANDOM
0.55,0.12,0.47,0.4,0.0,0.45,1:2,512,0.0,61.29864952,0.3025,1.02454134,1.02454134,1.05082461,1.06635831,1.03307883,1.03307883,0.0,0.9296875,NEAR_RANDOM
0.55,0.12,0.47,0.4,0.0,0.85,1:2,512,0.0,59.82273024,0.3025,1.03265804,1.03265804,1.02441156,0.98853041,0.9611963,0.9611963,0.0,0.91601562,NEAR_RANDOM
0.55,0.12,0.47,0.4,0.8,0.05,1:2,512,-0.07383143,48.92820045,0.35139393,1.38388579,0.32793746,0.16241962,0.33092607,1.16537189,1.16537189,0.0,0.74414062,INFORMATIVE
0.55,0.12,0.47,0.4,0.8,0.45,1:2,512,0.0,60.22249661,0.354852,0.97799963,1.03555712,1.03193851,0.99693114,0.94462288,0.94462288,0.0,0.92773438,NEAR_RANDOM
0.55,0.12,0.47,0.4,0.8,0.85,1:2,512,0.0,61.11809006,0.35399535,1.01620783,1.04882552,1.08096793,1.05072516,1.00239798,1.00239798,0.0,0.93164062,NEAR_RANDOM
0.55,0.12,0.47,0.75,-0.8,0.05,1:2,512,2.11552084,62.01506937,0.35515214,1.4771792,0.17968399,0.0362732,0.18006703,0.8717157,0.8717157,0.0,0.78125,INFORMATIVE
0.55,0.12,0.47,0.75,-0.8,0.45,1:2,512,0.0,75.75589907,0.35118481,1.04745378,0.90961701,0.93443946,0.88220941,0.97617274,0.97617274,0.0,0.96484375,NEAR_RANDOM
0.55,0.12,0.47,0.75,-0.8,0.85,1:2,512,0.0,75.87429723,0.35406669,1.06638479,0.92165083,0.74705074,0.96009538,0.8948831,0.8948831,0.0,0.97851562,NEAR_RANDOM
0.55,0.12,0.47,0.75,0.0,0.05,1:2,512,0.0,75.08570626,0.3025,0.8886502,0.8886502,0.93252676,0.93308024,1.03519942,1.03519942,0.0,0.95703125,INFORMATIVE
0.55,0.12,0.47,0.75,0.0,0.45,1:2,512,0.0,75.45060672,0.3025,1.00786447,1.00786447,1.00741381,1.03006142,0.83862146,0.83862146,0.0,0.97851562,NEAR_RANDOM
