dataset,seed,endpoint,analysis,factor,estimate,uncontrolled,n,status
DIOR-R,1,endpoint_continuous,availability,objectness,nan,0.1719066188738413,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
DIOR-R,1,endpoint_continuous,within_bin,size,0.171576171460539,0.1719066188738413,48152,COMPLETE
DIOR-R,1,endpoint_continuous,within_bin,aspect_ratio,0.17518527336144402,0.1719066188738413,48152,COMPLETE
DIOR-R,1,endpoint_continuous,within_bin,detection_score,0.2053092929570831,0.1719066188738413,48152,COMPLETE
DIOR-R,1,endpoint_continuous,within_bin,feature_norm,0.06047240486996605,0.1719066188738413,48152,COMPLETE
DIOR-R,1,endpoint_continuous,within_bin,boundary,0.01901055283487134,0.1719066188738413,48152,COMPLETE
DIOR-R,1,endpoint_continuous,within_class,class,0.021315120470498956,0.1719066188738413,48152,max_class_share=0.587971
DIOR-R,1,endpoint_continuous,boundary_interaction,boundary_near,nan,0.1719066188738413,0,INSUFFICIENT
DIOR-R,1,endpoint_continuous,boundary_interaction,boundary_intermediate,nan,0.1719066188738413,0,INSUFFICIENT
DIOR-R,1,endpoint_continuous,boundary_interaction,boundary_far,0.1719066188738413,0.1719066188738413,48152,COMPLETE
DIOR-R,1,endpoint_severe_event,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,-0.021382851722302705,-0.011239803629359465,48152,COMPLETE
DIOR-R,1,endpoint_severe_event,availability,objectness,nan,-0.011239803629359465,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
DIOR-R,1,endpoint_severe_event,within_bin,size,-0.01226388690568951,-0.011239803629359465,48152,COMPLETE
DIOR-R,1,endpoint_severe_event,within_bin,aspect_ratio,-0.011841792823162611,-0.011239803629359465,48152,COMPLETE
DIOR-R,1,endpoint_severe_event,within_bin,detection_score,-0.00342520844260932,-0.011239803629359465,48152,COMPLETE
DIOR-R,1,endpoint_severe_event,within_bin,feature_norm,-0.005963207600444361,-0.011239803629359465,48152,COMPLETE
DIOR-R,1,endpoint_severe_event,within_bin,boundary,0.004381206104840909,-0.011239803629359465,48152,COMPLETE
DIOR-R,1,endpoint_severe_event,within_class,class,-0.01956927234453955,-0.011239803629359465,48152,max_class_share=0.587971
DIOR-R,1,endpoint_severe_event,boundary_interaction,boundary_near,nan,-0.011239803629359465,0,INSUFFICIENT
DIOR-R,1,endpoint_severe_event,boundary_interaction,boundary_intermediate,nan,-0.011239803629359465,0,INSUFFICIENT
DIOR-R,1,endpoint_severe_event,boundary_interaction,boundary_far,-0.011239803629359465,-0.011239803629359465,48152,COMPLETE
DIOR-R,2,endpoint_continuous,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.1176300090204406,0.18144830978253376,48195,COMPLETE
DIOR-R,2,endpoint_continuous,availability,objectness,nan,0.18144830978253376,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
DIOR-R,2,endpoint_continuous,within_bin,size,0.1785568899934301,0.18144830978253376,48195,COMPLETE
DIOR-R,2,endpoint_continuous,within_bin,aspect_ratio,0.1834647229497737,0.18144830978253376,48195,COMPLETE
DIOR-R,2,endpoint_continuous,within_bin,detection_score,0.2124929136535198,0.18144830978253376,48195,COMPLETE
DIOR-R,2,endpoint_continuous,within_bin,feature_norm,0.08988000747053954,0.18144830978253376,48195,COMPLETE
DIOR-R,2,endpoint_continuous,within_bin,boundary,0.05268551352815627,0.18144830978253376,48195,COMPLETE
DIOR-R,2,endpoint_continuous,within_class,class,0.0992232098967144,0.18144830978253376,48195,max_class_share=0.588713
DIOR-R,2,endpoint_continuous,boundary_interaction,boundary_near,nan,0.18144830978253376,0,INSUFFICIENT
DIOR-R,2,endpoint_continuous,boundary_interaction,boundary_intermediate,nan,0.18144830978253376,0,INSUFFICIENT
DIOR-R,2,endpoint_continuous,boundary_interaction,boundary_far,0.18144830978253376,0.18144830978253376,48195,COMPLETE
DIOR-R,2,endpoint_severe_event,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,-0.028490871006227624,-0.017016290350936575,48195,COMPLETE
DIOR-R,2,endpoint_severe_event,availability,objectness,nan,-0.017016290350936575,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
DIOR-R,2,endpoint_severe_event,within_bin,size,-0.02227152260408744,-0.017016290350936575,48195,COMPLETE
DIOR-R,2,endpoint_severe_event,within_bin,aspect_ratio,-0.016361403999034258,-0.017016290350936575,48195,COMPLETE
DIOR-R,2,endpoint_severe_event,within_bin,detection_score,-0.012441774085090434,-0.017016290350936575,48195,COMPLETE
DIOR-R,2,endpoint_severe_event,within_bin,feature_norm,-0.010342473853183409,-0.017016290350936575,48195,COMPLETE
DIOR-R,2,endpoint_severe_event,within_bin,boundary,-0.005664921539793778,-0.017016290350936575,48195,COMPLETE
DIOR-R,2,endpoint_severe_event,within_class,class,-0.02302655792042502,-0.017016290350936575,48195,max_class_share=0.588713
DIOR-R,2,endpoint_severe_event,boundary_interaction,boundary_near,nan,-0.017016290350936575,0,INSUFFICIENT
DIOR-R,2,endpoint_severe_event,boundary_interaction,boundary_intermediate,nan,-0.017016290350936575,0,INSUFFICIENT
DIOR-R,2,endpoint_severe_event,boundary_interaction,boundary_far,-0.017016290350936575,-0.017016290350936575,48195,COMPLETE
SODA-A,0,endpoint_continuous,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.02048949670382485,0.06466800072538767,193045,COMPLETE
SODA-A,0,endpoint_continuous,availability,objectness,nan,0.06466800072538767,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
SODA-A,0,endpoint_continuous,within_bin,size,0.06294592692832174,0.06466800072538767,193045,COMPLETE
SODA-A,0,endpoint_continuous,within_bin,aspect_ratio,0.06159267413629112,0.06466800072538767,193045,COMPLETE
SODA-A,0,endpoint_continuous,within_bin,detection_score,0.0769521872762508,0.06466800072538767,193045,COMPLETE
SODA-A,0,endpoint_continuous,within_bin,feature_norm,0.052354418604900185,0.06466800072538767,193045,COMPLETE
SODA-A,0,endpoint_continuous,within_bin,boundary,0.044531312141650736,0.06466800072538767,193045,COMPLETE
SODA-A,0,endpoint_continuous,within_class,class,0.015373659638627066,0.06466800072538767,193045,max_class_share=0.610785
SODA-A,0,endpoint_continuous,boundary_interaction,boundary_near,nan,0.06466800072538767,0,INSUFFICIENT
SODA-A,0,endpoint_continuous,boundary_interaction,boundary_intermediate,nan,0.06466800072538767,0,INSUFFICIENT
SODA-A,0,endpoint_continuous,boundary_interaction,boundary_far,0.06466800072538767,0.06466800072538767,193045,COMPLETE
SODA-A,0,endpoint_severe_event,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,-0.0006142802389760555,-0.014829556853388234,193045,COMPLETE
SODA-A,0,endpoint_severe_event,availability,objectness,nan,-0.014829556853388234,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
SODA-A,0,endpoint_severe_event,within_bin,size,-0.014135937896425543,-0.014829556853388234,193045,COMPLETE
SODA-A,0,endpoint_severe_event,within_bin,aspect_ratio,-0.014765550180506229,-0.014829556853388234,193045,COMPLETE
SODA-A,0,endpoint_severe_event,within_bin,detection_score,-0.010957277077602847,-0.014829556853388234,193045,COMPLETE
SODA-A,0,endpoint_severe_event,within_bin,feature_norm,-0.013278518016560423,-0.014829556853388234,193045,COMPLETE
SODA-A,0,endpoint_severe_event,within_bin,boundary,-0.0145643743250379,-0.014829556853388234,193045,COMPLETE
SODA-A,0,endpoint_severe_event,within_class,class,-0.02992414111317797,-0.014829556853388234,193045,max_class_share=0.610785
SODA-A,0,endpoint_severe_event,boundary_interaction,boundary_near,nan,-0.014829556853388234,0,INSUFFICIENT
SODA-A,0,endpoint_severe_event,boundary_interaction,boundary_intermediate,nan,-0.014829556853388234,0,INSUFFICIENT
SODA-A,0,endpoint_severe_event,boundary_interaction,boundary_far,-0.014829556853388234,-0.014829556853388234,193045,COMPLETE
SODA-A,1,endpoint_continuous,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.034486299093887104,0.056715634372199786,195192,COMPLETE
SODA-A,1,endpoint_continuous,availability,objectness,nan,0.056715634372199786,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
SODA-A,1,endpoint_continuous,within_bin,size,0.04983074420142014,0.056715634372199786,195192,COMPLETE
SODA-A,1,endpoint_continuous,within_bin,aspect_ratio,0.053222927584521754,0.056715634372199786,195192,COMPLETE
SODA-A,1,endpoint_continuous,within_bin,detection_score,0.053683830496640036,0.056715634372199786,195192,COMPLETE
SODA-A,1,endpoint_continuous,within_bin,feature_norm,0.0441764267714951,0.056715634372199786,195192,COMPLETE
SODA-A,1,endpoint_continuous,within_bin,boundary,0.03834408036063945,0.056715634372199786,195192,COMPLETE
SODA-A,1,endpoint_continuous,within_class,class,0.0321578614054531,0.056715634372199786,195192,max_class_share=0.616152
SODA-A,1,endpoint_continuous,boundary_interaction,boundary_near,nan,0.056715634372199786,0,INSUFFICIENT
SODA-A,1,endpoint_continuous,boundary_interaction,boundary_intermediate,nan,0.056715634372199786,0,INSUFFICIENT
SODA-A,1,endpoint_continuous,boundary_interaction,boundary_far,0.056715634372199786,0.056715634372199786,195192,COMPLETE
SODA-A,1,endpoint_severe_event,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,-0.009444317881371874,-0.009213773781505286,195192,COMPLETE
SODA-A,1,endpoint_severe_event,availability,objectness,nan,-0.009213773781505286,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
SODA-A,1,endpoint_severe_event,within_bin,size,-0.010372057190211486,-0.009213773781505286,195192,COMPLETE
SODA-A,1,endpoint_severe_event,within_bin,aspect_ratio,-0.008203149561674006,-0.009213773781505286,195192,COMPLETE
SODA-A,1,endpoint_severe_event,within_bin,detection_score,-0.010089330106242191,-0.009213773781505286,195192,COMPLETE
SODA-A,1,endpoint_severe_event,within_bin,feature_norm,-0.009416135163708298,-0.009213773781505286,195192,COMPLETE
SODA-A,1,endpoint_severe_event,within_bin,boundary,-0.01130352125921831,-0.009213773781505286,195192,COMPLETE
SODA-A,1,endpoint_severe_event,within_class,class,-0.01834138457516602,-0.009213773781505286,195192,max_class_share=0.616152
SODA-A,1,endpoint_severe_event,boundary_interaction,boundary_near,nan,-0.009213773781505286,0,INSUFFICIENT
SODA-A,1,endpoint_severe_event,boundary_interaction,boundary_intermediate,nan,-0.009213773781505286,0,INSUFFICIENT
SODA-A,1,endpoint_severe_event,boundary_interaction,boundary_far,-0.009213773781505286,-0.009213773781505286,195192,COMPLETE
SODA-A,2,endpoint_continuous,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.02101373371106614,0.025880657337585475,196374,COMPLETE
SODA-A,2,endpoint_continuous,availability,objectness,nan,0.025880657337585475,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
SODA-A,2,endpoint_continuous,within_bin,size,0.02189124749860467,0.025880657337585475,196374,COMPLETE
SODA-A,2,endpoint_continuous,within_bin,aspect_ratio,0.028404998127270795,0.025880657337585475,196374,COMPLETE
SODA-A,2,endpoint_continuous,within_bin,detection_score,0.025294860678769605,0.025880657337585475,196374,COMPLETE
SODA-A,2,endpoint_continuous,within_bin,feature_norm,0.02289206420454379,0.025880657337585475,196374,COMPLETE
SODA-A,2,endpoint_continuous,within_bin,boundary,0.01803218689044911,0.025880657337585475,196374,COMPLETE
SODA-A,2,endpoint_continuous,within_class,class,0.036661362466653635,0.025880657337585475,196374,max_class_share=0.614913
SODA-A,2,endpoint_continuous,boundary_interaction,boundary_near,nan,0.025880657337585475,0,INSUFFICIENT
SODA-A,2,endpoint_continuous,boundary_interaction,boundary_intermediate,nan,0.025880657337585475,0,INSUFFICIENT
SODA-A,2,endpoint_continuous,boundary_interaction,boundary_far,0.025880657337585475,0.025880657337585475,196374,COMPLETE
SODA-A,2,endpoint_severe_event,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.0017628266750132086,0.0015255608038703,196374,COMPLETE
SODA-A,2,endpoint_severe_event,availability,objectness,nan,0.0015255608038703,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
SODA-A,2,endpoint_severe_event,within_bin,size,0.0005678446700668528,0.0015255608038703,196374,COMPLETE
SODA-A,2,endpoint_severe_event,within_bin,aspect_ratio,0.001811711231434893,0.0015255608038703,196374,COMPLETE
SODA-A,2,endpoint_severe_event,within_bin,detection_score,-0.0009821425386914123,0.0015255608038703,196374,COMPLETE
SODA-A,2,endpoint_severe_event,within_bin,feature_norm,0.001872156935402181,0.0015255608038703,196374,COMPLETE
SODA-A,2,endpoint_severe_event,within_bin,boundary,-0.0015953889970090583,0.0015255608038703,196374,COMPLETE
SODA-A,2,endpoint_severe_event,within_class,class,-0.018044738380609163,0.0015255608038703,196374,max_class_share=0.614913
SODA-A,2,endpoint_severe_event,boundary_interaction,boundary_near,nan,0.0015255608038703,0,INSUFFICIENT
SODA-A,2,endpoint_severe_event,boundary_interaction,boundary_intermediate,nan,0.0015255608038703,0,INSUFFICIENT
SODA-A,2,endpoint_severe_event,boundary_interaction,boundary_far,0.0015255608038703,0.0015255608038703,196374,COMPLETE
FAIR1M-v1.0,0,endpoint_continuous,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.03364368655819896,0.03893381262775809,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_continuous,availability,objectness,nan,0.03893381262775809,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
FAIR1M-v1.0,0,endpoint_continuous,within_bin,size,0.03555987355026191,0.03893381262775809,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_continuous,within_bin,aspect_ratio,0.03408084583523917,0.03893381262775809,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_continuous,within_bin,detection_score,0.04110415995739709,0.03893381262775809,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_continuous,within_bin,feature_norm,nan,0.03893381262775809,0,UNAVAILABLE
FAIR1M-v1.0,0,endpoint_continuous,within_bin,boundary,-0.011399422472028874,0.03893381262775809,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_continuous,within_class,class,0.017433022408203006,0.03893381262775809,31813,max_class_share=0.377959
FAIR1M-v1.0,0,endpoint_continuous,boundary_interaction,boundary_near,0.08790054306404085,0.03893381262775809,2435,COMPLETE
FAIR1M-v1.0,0,endpoint_continuous,boundary_interaction,boundary_intermediate,0.020953910546189752,0.03893381262775809,3535,COMPLETE
FAIR1M-v1.0,0,endpoint_continuous,boundary_interaction,boundary_far,0.03502814557941201,0.03893381262775809,25843,COMPLETE
FAIR1M-v1.0,0,endpoint_severe_event,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,-0.0005082897089929149,0.014041198140330223,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_severe_event,availability,objectness,nan,0.014041198140330223,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
FAIR1M-v1.0,0,endpoint_severe_event,within_bin,size,0.014378504962006693,0.014041198140330223,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_severe_event,within_bin,aspect_ratio,0.014217813111134618,0.014041198140330223,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_severe_event,within_bin,detection_score,0.012574692357465198,0.014041198140330223,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_severe_event,within_bin,feature_norm,nan,0.014041198140330223,0,UNAVAILABLE
FAIR1M-v1.0,0,endpoint_severe_event,within_bin,boundary,0.005617194120799347,0.014041198140330223,31813,COMPLETE
FAIR1M-v1.0,0,endpoint_severe_event,within_class,class,0.007126124347378454,0.014041198140330223,31813,max_class_share=0.377959
FAIR1M-v1.0,0,endpoint_severe_event,boundary_interaction,boundary_near,-0.014450146647991885,0.014041198140330223,2435,COMPLETE
FAIR1M-v1.0,0,endpoint_severe_event,boundary_interaction,boundary_intermediate,0.03768773317141558,0.014041198140330223,3535,COMPLETE
FAIR1M-v1.0,0,endpoint_severe_event,boundary_interaction,boundary_far,0.012529625702590006,0.014041198140330223,25843,COMPLETE
FAIR1M-v1.0,1,endpoint_continuous,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.034250564998335065,0.042173270394590776,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_continuous,availability,objectness,nan,0.042173270394590776,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
FAIR1M-v1.0,1,endpoint_continuous,within_bin,size,0.03750379289530669,0.042173270394590776,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_continuous,within_bin,aspect_ratio,0.03323057124179026,0.042173270394590776,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_continuous,within_bin,detection_score,0.044374906722819414,0.042173270394590776,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_continuous,within_bin,feature_norm,nan,0.042173270394590776,0,UNAVAILABLE
FAIR1M-v1.0,1,endpoint_continuous,within_bin,boundary,0.0014873231159241163,0.042173270394590776,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_continuous,within_class,class,0.021953282510093455,0.042173270394590776,31978,max_class_share=0.377979
FAIR1M-v1.0,1,endpoint_continuous,boundary_interaction,boundary_near,0.07170026767057287,0.042173270394590776,2429,COMPLETE
FAIR1M-v1.0,1,endpoint_continuous,boundary_interaction,boundary_intermediate,0.01785932470246163,0.042173270394590776,3570,COMPLETE
FAIR1M-v1.0,1,endpoint_continuous,boundary_interaction,boundary_far,0.03937432078671153,0.042173270394590776,25979,COMPLETE
FAIR1M-v1.0,1,endpoint_severe_event,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,-0.004321194994314136,-0.0016713310177033358,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_severe_event,availability,objectness,nan,-0.0016713310177033358,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
FAIR1M-v1.0,1,endpoint_severe_event,within_bin,size,-0.002892605434691108,-0.0016713310177033358,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_severe_event,within_bin,aspect_ratio,0.003465380632808887,-0.0016713310177033358,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_severe_event,within_bin,detection_score,0.0012768832449692271,-0.0016713310177033358,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_severe_event,within_bin,feature_norm,nan,-0.0016713310177033358,0,UNAVAILABLE
FAIR1M-v1.0,1,endpoint_severe_event,within_bin,boundary,-0.005858655152979556,-0.0016713310177033358,31978,COMPLETE
FAIR1M-v1.0,1,endpoint_severe_event,within_class,class,0.014738991676514126,-0.0016713310177033358,31978,max_class_share=0.377979
FAIR1M-v1.0,1,endpoint_severe_event,boundary_interaction,boundary_near,0.04351915975301729,-0.0016713310177033358,2429,COMPLETE
FAIR1M-v1.0,1,endpoint_severe_event,boundary_interaction,boundary_intermediate,-0.01553054290992645,-0.0016713310177033358,3570,COMPLETE
FAIR1M-v1.0,1,endpoint_severe_event,boundary_interaction,boundary_far,-0.003059807635677975,-0.0016713310177033358,25979,COMPLETE
FAIR1M-v1.0,2,endpoint_continuous,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,0.04231075602787249,0.04593870708363924,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_continuous,availability,objectness,nan,0.04593870708363924,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
FAIR1M-v1.0,2,endpoint_continuous,within_bin,size,0.04380196899049935,0.04593870708363924,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_continuous,within_bin,aspect_ratio,0.042110863985155914,0.04593870708363924,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_continuous,within_bin,detection_score,0.04760698679986154,0.04593870708363924,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_continuous,within_bin,feature_norm,nan,0.04593870708363924,0,UNAVAILABLE
FAIR1M-v1.0,2,endpoint_continuous,within_bin,boundary,0.004918575110826561,0.04593870708363924,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_continuous,within_class,class,0.02105316137769718,0.04593870708363924,31658,max_class_share=0.379651
FAIR1M-v1.0,2,endpoint_continuous,boundary_interaction,boundary_near,0.10160395105901072,0.04593870708363924,2475,COMPLETE
FAIR1M-v1.0,2,endpoint_continuous,boundary_interaction,boundary_intermediate,-0.007176827342828963,0.04593870708363924,3417,COMPLETE
FAIR1M-v1.0,2,endpoint_continuous,boundary_interaction,boundary_far,0.045240585052187594,0.04593870708363924,25766,COMPLETE
FAIR1M-v1.0,2,endpoint_severe_event,partial_rank,log_ar;log_size;detection_score;feature_norm;boundary;class_FE,-0.007860767045619228,-0.011141856144840189,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_severe_event,availability,objectness,nan,-0.011141856144840189,0,UNAVAILABLE_RETINANET_HAS_NO_SEPARATE_OBJECTNESS
FAIR1M-v1.0,2,endpoint_severe_event,within_bin,size,-0.011445806826918713,-0.011141856144840189,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_severe_event,within_bin,aspect_ratio,-0.01045629901342924,-0.011141856144840189,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_severe_event,within_bin,detection_score,-0.006875853462407048,-0.011141856144840189,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_severe_event,within_bin,feature_norm,nan,-0.011141856144840189,0,UNAVAILABLE
FAIR1M-v1.0,2,endpoint_severe_event,within_bin,boundary,-0.01434186569940602,-0.011141856144840189,31658,COMPLETE
FAIR1M-v1.0,2,endpoint_severe_event,within_class,class,-0.004716229127447969,-0.011141856144840189,31658,max_class_share=0.379651
FAIR1M-v1.0,2,endpoint_severe_event,boundary_interaction,boundary_near,0.0097416760170307,-0.011141856144840189,2475,COMPLETE
FAIR1M-v1.0,2,endpoint_severe_event,boundary_interaction,boundary_intermediate,-0.032213232239290526,-0.011141856144840189,3417,COMPLETE
FAIR1M-v1.0,2,endpoint_severe_event,boundary_interaction,boundary_far,-0.010195474869983569,-0.011141856144840189,25766,COMPLETE
