dataset,cluster_index,cluster
DIOR-R,207,12129
DIOR-R,208,12131
DIOR-R,209,12133
DIOR-R,210,12134
DIOR-R,211,12135
DIOR-R,212,12137
DIOR-R,213,12140
DIOR-R,214,12143
DIOR-R,215,12144
DIOR-R,216,12145
DIOR-R,217,12146
DIOR-R,218,12147
DIOR-R,219,12152
DIOR-R,220,12156
DIOR-R,221,12157
DIOR-R,222,12159
DIOR-R,223,12160
DIOR-R,224,12161
DIOR-R,225,12163
DIOR-R,226,12164
DIOR-R,227,12168
DIOR-R,228,12169
DIOR-R,229,12170
DIOR-R,230,12172
DIOR-R,231,12173
DIOR-R,232,12174
DIOR-R,233,12175
DIOR-R,234,12176
DIOR-R,235,12178
DIOR-R,236,12181
DIOR-R,237,12182
DIOR-R,238,12183
DIOR-R,239,12185
DIOR-R,240,12186
DIOR-R,241,12187
DIOR-R,242,12188
DIOR-R,243,12190
DIOR-R,244,12191
DIOR-R,245,12195
DIOR-R,246,12196
DIOR-R,247,12200
DIOR-R,248,12202
DIOR-R,249,12203
DIOR-R,250,12204
DIOR-R,251,12205
DIOR-R,252,12206
DIOR-R,253,12210
DIOR-R,254,12212
DIOR-R,255,12214
DIOR-R,256,12215
DIOR-R,257,12216
DIOR-R,258,12218
DIOR-R,259,12220
DIOR-R,260,12221
DIOR-R,261,12224
DIOR-R,262,12226
DIOR-R,263,12227
DIOR-R,264,12230
DIOR-R,265,12236
DIOR-R,266,12237
DIOR-R,267,12241
DIOR-R,268,12243
DIOR-R,269,12250
DIOR-R,270,12253
DIOR-R,271,12254
DIOR-R,272,12255
DIOR-R,273,12260
DIOR-R,274,12263
DIOR-R,275,12264
DIOR-R,276,12265
DIOR-R,277,12268
DIOR-R,278,12270
DIOR-R,279,12273
DIOR-R,280,12277
DIOR-R,281,12278
DIOR-R,282,12279
DIOR-R,283,12280
DIOR-R,284,12283
DIOR-R,285,12284
DIOR-R,286,12286
DIOR-R,287,12288
DIOR-R,288,12289
DIOR-R,289,12290
DIOR-R,290,12291
DIOR-R,291,12292
DIOR-R,292,12294
DIOR-R,293,12297
DIOR-R,294,12300
DIOR-R,295,12301
DIOR-R,296,12302
DIOR-R,297,12303
DIOR-R,298,12304
DIOR-R,299,12306
DIOR-R,300,12312
DIOR-R,301,12313
DIOR-R,302,12314
DIOR-R,303,12319
DIOR-R,304,12323
DIOR-R,305,12324
DIOR-R,306,12325
DIOR-R,307,12326
DIOR-R,308,12327
DIOR-R,309,12328
DIOR-R,310,12330
DIOR-R,311,12332
DIOR-R,312,12334
DIOR-R,313,12335
DIOR-R,314,12338
DIOR-R,315,12339
DIOR-R,316,12340
DIOR-R,317,12341
DIOR-R,318,12344
DIOR-R,319,12345
DIOR-R,320,12346
DIOR-R,321,12347
DIOR-R,322,12352
DIOR-R,323,12358
DIOR-R,324,12360
DIOR-R,325,12363
DIOR-R,326,12364
DIOR-R,327,12368
DIOR-R,328,12370
DIOR-R,329,12374
DIOR-R,330,12376
DIOR-R,331,12377
DIOR-R,332,12378
DIOR-R,333,12381
DIOR-R,334,12382
DIOR-R,335,12385
DIOR-R,336,12386
DIOR-R,337,12388
DIOR-R,338,12389
DIOR-R,339,12391
DIOR-R,340,12392
DIOR-R,341,12393
DIOR-R,342,12395
DIOR-R,343,12396
DIOR-R,344,12399
DIOR-R,345,12400
DIOR-R,346,12401
DIOR-R,347,12405
DIOR-R,348,12406
DIOR-R,349,12409
DIOR-R,350,12415
DIOR-R,351,12416
DIOR-R,352,12417
DIOR-R,353,12419
DIOR-R,354,12421
DIOR-R,355,12422
DIOR-R,356,12423
DIOR-R,357,12426
DIOR-R,358,12427
DIOR-R,359,12429
DIOR-R,360,12430
DIOR-R,361,12431
DIOR-R,362,12432
DIOR-R,363,12434
DIOR-R,364,12435
DIOR-R,365,12441
DIOR-R,366,12443
DIOR-R,367,12445
DIOR-R,368,12446
DIOR-R,369,12447
DIOR-R,370,12449
DIOR-R,371,12456
DIOR-R,372,12458
DIOR-R,373,12460
DIOR-R,374,12461
DIOR-R,375,12463
DIOR-R,376,12465
DIOR-R,377,12466
DIOR-R,378,12468
DIOR-R,379,12469
DIOR-R,380,12470
DIOR-R,381,12471
DIOR-R,382,12473
DIOR-R,383,12474
DIOR-R,384,12475
DIOR-R,385,12480
DIOR-R,386,12485
DIOR-R,387,12486
DIOR-R,388,12487
DIOR-R,389,12488
DIOR-R,390,12490
DIOR-R,391,12491
DIOR-R,392,12492
DIOR-R,393,12493
DIOR-R,394,12494
DIOR-R,395,12495
DIOR-R,396,12497
DIOR-R,397,12500
DIOR-R,398,12501
DIOR-R,399,12502
DIOR-R,400,12503
DIOR-R,401,12504
DIOR-R,402,12505
DIOR-R,403,12510
DIOR-R,404,12512
DIOR-R,405,12513
DIOR-R,406,12514
DIOR-R,407,12515
DIOR-R,408,12517
DIOR-R,409,12520
DIOR-R,410,12521
DIOR-R,411,12523
DIOR-R,412,12526
DIOR-R,413,12527
DIOR-R,414,12531
DIOR-R,415,12532
DIOR-R,416,12533
DIOR-R,417,12534
DIOR-R,418,12539
DIOR-R,419,12540
DIOR-R,420,12541
DIOR-R,421,12543
DIOR-R,422,12544
DIOR-R,423,12545
DIOR-R,424,12546
DIOR-R,425,12547
DIOR-R,426,12549
DIOR-R,427,12550
DIOR-R,428,12551
DIOR-R,429,12554
DIOR-R,430,12556
DIOR-R,431,12558
DIOR-R,432,12559
DIOR-R,433,12561
DIOR-R,434,12562
DIOR-R,435,12564
DIOR-R,436,12566
DIOR-R,437,12568
DIOR-R,438,12569
DIOR-R,439,12570
DIOR-R,440,12571
DIOR-R,441,12572
DIOR-R,442,12573
DIOR-R,443,12574
DIOR-R,444,12577
DIOR-R,445,12578
DIOR-R,446,12579
DIOR-R,447,12585
DIOR-R,448,12586
DIOR-R,449,12590
DIOR-R,450,12592
DIOR-R,451,12593
DIOR-R,452,12594
DIOR-R,453,12597
DIOR-R,454,12598
DIOR-R,455,12599
DIOR-R,456,12601
DIOR-R,457,12604
DIOR-R,458,12605
DIOR-R,459,12607
DIOR-R,460,12608
DIOR-R,461,12610
DIOR-R,462,12612
DIOR-R,463,12613
DIOR-R,464,12614
DIOR-R,465,12617
DIOR-R,466,12618
DIOR-R,467,12620
DIOR-R,468,12623
DIOR-R,469,12626
DIOR-R,470,12627
DIOR-R,471,12628
DIOR-R,472,12629
DIOR-R,473,12630
DIOR-R,474,12632
DIOR-R,475,12634
DIOR-R,476,12636
DIOR-R,477,12637
DIOR-R,478,12639
DIOR-R,479,12640
DIOR-R,480,12641
DIOR-R,481,12642
DIOR-R,482,12645
DIOR-R,483,12650
DIOR-R,484,12654
DIOR-R,485,12655
DIOR-R,486,12657
DIOR-R,487,12660
DIOR-R,488,12661
DIOR-R,489,12663
DIOR-R,490,12664
DIOR-R,491,12667
DIOR-R,492,12670
DIOR-R,493,12671
DIOR-R,494,12673
DIOR-R,495,12675
DIOR-R,496,12677
DIOR-R,497,12679
DIOR-R,498,12680
DIOR-R,499,12681
DIOR-R,500,12682
DIOR-R,501,12693
DIOR-R,502,12695
DIOR-R,503,12697
DIOR-R,504,12698
DIOR-R,505,12702
DIOR-R,506,12705
DIOR-R,507,12709
DIOR-R,508,12710
DIOR-R,509,12714
DIOR-R,510,12716
DIOR-R,511,12717
DIOR-R,512,12718
DIOR-R,513,12719
DIOR-R,514,12721
DIOR-R,515,12722
DIOR-R,516,12725
DIOR-R,517,12726
DIOR-R,518,12727
DIOR-R,519,12729
DIOR-R,520,12730
DIOR-R,521,12731
DIOR-R,522,12733
DIOR-R,523,12734
DIOR-R,524,12735
DIOR-R,525,12739
DIOR-R,526,12740
DIOR-R,527,12742
DIOR-R,528,12743
DIOR-R,529,12744
DIOR-R,530,12745
DIOR-R,531,12746
DIOR-R,532,12749
DIOR-R,533,12750
DIOR-R,534,12751
DIOR-R,535,12754
DIOR-R,536,12755
DIOR-R,537,12757
DIOR-R,538,12758
DIOR-R,539,12759
DIOR-R,540,12767
DIOR-R,541,12769
DIOR-R,542,12770
DIOR-R,543,12771
DIOR-R,544,12780
DIOR-R,545,12782
DIOR-R,546,12783
DIOR-R,547,12784
DIOR-R,548,12785
DIOR-R,549,12787
DIOR-R,550,12788
DIOR-R,551,12789
DIOR-R,552,12790
DIOR-R,553,12793
DIOR-R,554,12794
DIOR-R,555,12800
DIOR-R,556,12801
DIOR-R,557,12803
DIOR-R,558,12808
DIOR-R,559,12809
DIOR-R,560,12813
DIOR-R,561,12814
DIOR-R,562,12815
DIOR-R,563,12817
DIOR-R,564,12819
DIOR-R,565,12821
DIOR-R,566,12823
DIOR-R,567,12824
DIOR-R,568,12826
DIOR-R,569,12829
DIOR-R,570,12830
DIOR-R,571,12833
DIOR-R,572,12835
DIOR-R,573,12837
DIOR-R,574,12841
DIOR-R,575,12842
DIOR-R,576,12844
DIOR-R,577,12845
DIOR-R,578,12847
DIOR-R,579,12848
DIOR-R,580,12850
DIOR-R,581,12851
DIOR-R,582,12853
DIOR-R,583,12854
DIOR-R,584,12856
DIOR-R,585,12858
DIOR-R,586,12861
DIOR-R,587,12862
DIOR-R,588,12864
DIOR-R,589,12865
DIOR-R,590,12866
DIOR-R,591,12869
DIOR-R,592,12872
DIOR-R,593,12875
DIOR-R,594,12879
DIOR-R,595,12880
DIOR-R,596,12882
DIOR-R,597,12883
DIOR-R,598,12884
DIOR-R,599,12887
DIOR-R,600,12888
DIOR-R,601,12890
DIOR-R,602,12892
DIOR-R,603,12894
DIOR-R,604,12895
DIOR-R,605,12896
DIOR-R,606,12897
DIOR-R,607,12900
DIOR-R,608,12901
DIOR-R,609,12903
DIOR-R,610,12908
DIOR-R,611,12909
DIOR-R,612,12911
DIOR-R,613,12912
DIOR-R,614,12913
DIOR-R,615,12916
DIOR-R,616,12917
DIOR-R,617,12920
DIOR-R,618,12922
DIOR-R,619,12923
DIOR-R,620,12928
DIOR-R,621,12929
DIOR-R,622,12930
DIOR-R,623,12931
DIOR-R,624,12932
DIOR-R,625,12933
DIOR-R,626,12934
DIOR-R,627,12935
DIOR-R,628,12937
DIOR-R,629,12938
DIOR-R,630,12939
DIOR-R,631,12940
DIOR-R,632,12941
DIOR-R,633,12942
DIOR-R,634,12949
DIOR-R,635,12951
DIOR-R,636,12956
DIOR-R,637,12958
DIOR-R,638,12959
DIOR-R,639,12960
DIOR-R,640,12964
DIOR-R,641,12965
DIOR-R,642,12967
DIOR-R,643,12970
DIOR-R,644,12972
DIOR-R,645,12976
DIOR-R,646,12978
DIOR-R,647,12979
DIOR-R,648,12980
DIOR-R,649,12982
DIOR-R,650,12984
DIOR-R,651,12985
DIOR-R,652,12986
DIOR-R,653,12988
DIOR-R,654,12989
DIOR-R,655,12990
DIOR-R,656,12993
DIOR-R,657,12999
DIOR-R,658,13000
DIOR-R,659,13001
DIOR-R,660,13003
DIOR-R,661,13005
DIOR-R,662,13006
DIOR-R,663,13007
DIOR-R,664,13008
DIOR-R,665,13011
DIOR-R,666,13013
DIOR-R,667,13015
DIOR-R,668,13016
DIOR-R,669,13017
DIOR-R,670,13018
DIOR-R,671,13019
DIOR-R,672,13020
DIOR-R,673,13021
DIOR-R,674,13022
DIOR-R,675,13024
DIOR-R,676,13025
DIOR-R,677,13027
DIOR-R,678,13030
DIOR-R,679,13032
DIOR-R,680,13033
DIOR-R,681,13034
DIOR-R,682,13035
DIOR-R,683,13036
DIOR-R,684,13037
DIOR-R,685,13040
DIOR-R,686,13041
DIOR-R,687,13042
DIOR-R,688,13043
DIOR-R,689,13044
DIOR-R,690,13045
DIOR-R,691,13047
DIOR-R,692,13048
DIOR-R,693,13049
DIOR-R,694,13051
DIOR-R,695,13052
DIOR-R,696,13053
DIOR-R,697,13055
DIOR-R,698,13058
DIOR-R,699,13064
DIOR-R,700,13065
DIOR-R,701,13069
DIOR-R,702,13070
DIOR-R,703,13072
DIOR-R,704,13074
DIOR-R,705,13076
DIOR-R,706,13078
DIOR-R,707,13079
DIOR-R,708,13081
DIOR-R,709,13084
DIOR-R,710,13085
DIOR-R,711,13088
DIOR-R,712,13091
DIOR-R,713,13094
DIOR-R,714,13095
DIOR-R,715,13096
DIOR-R,716,13098
DIOR-R,717,13099
DIOR-R,718,13100
DIOR-R,719,13102
DIOR-R,720,13104
DIOR-R,721,13106
DIOR-R,722,13107
DIOR-R,723,13111
DIOR-R,724,13113
DIOR-R,725,13116
DIOR-R,726,13117
DIOR-R,727,13118
DIOR-R,728,13121
DIOR-R,729,13124
DIOR-R,730,13126
DIOR-R,731,13130
DIOR-R,732,13131
DIOR-R,733,13133
DIOR-R,734,13137
DIOR-R,735,13141
DIOR-R,736,13142
DIOR-R,737,13145
DIOR-R,738,13150
DIOR-R,739,13153
DIOR-R,740,13156
DIOR-R,741,13157
DIOR-R,742,13159
DIOR-R,743,13160
DIOR-R,744,13163
DIOR-R,745,13166
DIOR-R,746,13168
DIOR-R,747,13169
DIOR-R,748,13170
DIOR-R,749,13172
DIOR-R,750,13173
DIOR-R,751,13177
DIOR-R,752,13178
DIOR-R,753,13180
DIOR-R,754,13181
DIOR-R,755,13183
DIOR-R,756,13184
DIOR-R,757,13185
DIOR-R,758,13187
DIOR-R,759,13188
DIOR-R,760,13189
DIOR-R,761,13193
DIOR-R,762,13196
DIOR-R,763,13197
DIOR-R,764,13201
DIOR-R,765,13202
DIOR-R,766,13206
DIOR-R,767,13207
DIOR-R,768,13208
DIOR-R,769,13212
DIOR-R,770,13213
DIOR-R,771,13214
DIOR-R,772,13215
DIOR-R,773,13216
DIOR-R,774,13217
DIOR-R,775,13220
DIOR-R,776,13221
DIOR-R,777,13222
DIOR-R,778,13223
DIOR-R,779,13228
DIOR-R,780,13230
DIOR-R,781,13231
DIOR-R,782,13234
DIOR-R,783,13235
DIOR-R,784,13238
DIOR-R,785,13240
DIOR-R,786,13241
DIOR-R,787,13243
DIOR-R,788,13245
DIOR-R,789,13246
DIOR-R,790,13247
DIOR-R,791,13251
DIOR-R,792,13252
DIOR-R,793,13253
DIOR-R,794,13256
DIOR-R,795,13258
DIOR-R,796,13260
DIOR-R,797,13261
DIOR-R,798,13264
DIOR-R,799,13265
DIOR-R,800,13266
DIOR-R,801,13268
DIOR-R,802,13269
DIOR-R,803,13271
DIOR-R,804,13272
DIOR-R,805,13274
DIOR-R,806,13275
DIOR-R,807,13276
DIOR-R,808,13277
DIOR-R,809,13278
DIOR-R,810,13282
DIOR-R,811,13283
DIOR-R,812,13286
DIOR-R,813,13287
DIOR-R,814,13290
DIOR-R,815,13295
DIOR-R,816,13296
DIOR-R,817,13298
DIOR-R,818,13299
DIOR-R,819,13300
DIOR-R,820,13301
DIOR-R,821,13302
DIOR-R,822,13303
DIOR-R,823,13306
DIOR-R,824,13313
DIOR-R,825,13315
DIOR-R,826,13318
DIOR-R,827,13320
DIOR-R,828,13321
DIOR-R,829,13324
DIOR-R,830,13326
DIOR-R,831,13327
DIOR-R,832,13328
DIOR-R,833,13330
DIOR-R,834,13332
DIOR-R,835,13333
DIOR-R,836,13334
DIOR-R,837,13337
DIOR-R,838,13338
DIOR-R,839,13342
DIOR-R,840,13343
DIOR-R,841,13346
DIOR-R,842,13347
DIOR-R,843,13348
DIOR-R,844,13350
DIOR-R,845,13351
DIOR-R,846,13352
DIOR-R,847,13353
DIOR-R,848,13356
DIOR-R,849,13357
DIOR-R,850,13359
DIOR-R,851,13361
DIOR-R,852,13365
DIOR-R,853,13366
DIOR-R,854,13368
DIOR-R,855,13369
DIOR-R,856,13371
DIOR-R,857,13372
DIOR-R,858,13373
DIOR-R,859,13374
DIOR-R,860,13376
DIOR-R,861,13378
DIOR-R,862,13382
DIOR-R,863,13384
DIOR-R,864,13385
DIOR-R,865,13388
DIOR-R,866,13389
DIOR-R,867,13390
DIOR-R,868,13397
DIOR-R,869,13398
DIOR-R,870,13399
DIOR-R,871,13402
DIOR-R,872,13403
DIOR-R,873,13409
DIOR-R,874,13412
DIOR-R,875,13413
DIOR-R,876,13414
DIOR-R,877,13415
DIOR-R,878,13417
DIOR-R,879,13418
DIOR-R,880,13427
DIOR-R,881,13429
DIOR-R,882,13430
DIOR-R,883,13432
DIOR-R,884,13433
DIOR-R,885,13434
DIOR-R,886,13435
DIOR-R,887,13438
DIOR-R,888,13439
DIOR-R,889,13440
DIOR-R,890,13443
DIOR-R,891,13444
DIOR-R,892,13445
DIOR-R,893,13447
DIOR-R,894,13452
DIOR-R,895,13454
DIOR-R,896,13457
DIOR-R,897,13459
DIOR-R,898,13460
DIOR-R,899,13461
DIOR-R,900,13463
DIOR-R,901,13465
DIOR-R,902,13466
DIOR-R,903,13471
DIOR-R,904,13472
DIOR-R,905,13474
DIOR-R,906,13475
DIOR-R,907,13479
DIOR-R,908,13483
DIOR-R,909,13485
DIOR-R,910,13490
DIOR-R,911,13492
DIOR-R,912,13493
DIOR-R,913,13494
DIOR-R,914,13495
DIOR-R,915,13497
DIOR-R,916,13498
DIOR-R,917,13504
DIOR-R,918,13505
DIOR-R,919,13506
DIOR-R,920,13508
DIOR-R,921,13510
DIOR-R,922,13512
DIOR-R,923,13513
DIOR-R,924,13514
DIOR-R,925,13516
DIOR-R,926,13517
DIOR-R,927,13518
DIOR-R,928,13519
DIOR-R,929,13522
DIOR-R,930,13523
DIOR-R,931,13525
DIOR-R,932,13527
DIOR-R,933,13531
DIOR-R,934,13533
DIOR-R,935,13534
DIOR-R,936,13535
DIOR-R,937,13537
DIOR-R,938,13539
DIOR-R,939,13541
DIOR-R,940,13543
DIOR-R,941,13548
DIOR-R,942,13549
DIOR-R,943,13551
DIOR-R,944,13553
DIOR-R,945,13554
DIOR-R,946,13556
DIOR-R,947,13557
DIOR-R,948,13558
DIOR-R,949,13560
DIOR-R,950,13561
DIOR-R,951,13562
DIOR-R,952,13564
DIOR-R,953,13568
DIOR-R,954,13570
DIOR-R,955,13571
DIOR-R,956,13573
DIOR-R,957,13576
DIOR-R,958,13577
DIOR-R,959,13578
DIOR-R,960,13579
DIOR-R,961,13580
DIOR-R,962,13583
DIOR-R,963,13584
DIOR-R,964,13587
DIOR-R,965,13588
DIOR-R,966,13590
DIOR-R,967,13591
DIOR-R,968,13597
DIOR-R,969,13603
DIOR-R,970,13606
DIOR-R,971,13608
DIOR-R,972,13611
DIOR-R,973,13612
DIOR-R,974,13614
DIOR-R,975,13615
DIOR-R,976,13617
DIOR-R,977,13620
DIOR-R,978,13623
DIOR-R,979,13624
DIOR-R,980,13626
DIOR-R,981,13630
DIOR-R,982,13631
DIOR-R,983,13635
DIOR-R,984,13638
DIOR-R,985,13639
DIOR-R,986,13640
DIOR-R,987,13642
DIOR-R,988,13645
DIOR-R,989,13646
DIOR-R,990,13650
DIOR-R,991,13652
DIOR-R,992,13657
DIOR-R,993,13658
DIOR-R,994,13663
DIOR-R,995,13664
DIOR-R,996,13665
DIOR-R,997,13666
DIOR-R,998,13669
DIOR-R,999,13672
DIOR-R,1000,13675
DIOR-R,1001,13681
DIOR-R,1002,13683
DIOR-R,1003,13685
DIOR-R,1004,13686
DIOR-R,1005,13689
DIOR-R,1006,13690
DIOR-R,1007,13692
DIOR-R,1008,13693
DIOR-R,1009,13697
DIOR-R,1010,13698
DIOR-R,1011,13699
DIOR-R,1012,13702
DIOR-R,1013,13706
DIOR-R,1014,13708
DIOR-R,1015,13712
DIOR-R,1016,13713
DIOR-R,1017,13714
DIOR-R,1018,13715
DIOR-R,1019,13718
DIOR-R,1020,13719
DIOR-R,1021,13720
DIOR-R,1022,13730
DIOR-R,1023,13731
DIOR-R,1024,13734
DIOR-R,1025,13735
DIOR-R,1026,13736
DIOR-R,1027,13737
DIOR-R,1028,13738
DIOR-R,1029,13739
DIOR-R,1030,13740
DIOR-R,1031,13741
DIOR-R,1032,13742
DIOR-R,1033,13743
DIOR-R,1034,13745
DIOR-R,1035,13746
DIOR-R,1036,13752
DIOR-R,1037,13756
DIOR-R,1038,13757
DIOR-R,1039,13760
DIOR-R,1040,13761
DIOR-R,1041,13764
DIOR-R,1042,13766
DIOR-R,1043,13767
DIOR-R,1044,13771
DIOR-R,1045,13772
DIOR-R,1046,13776
DIOR-R,1047,13777
DIOR-R,1048,13779
DIOR-R,1049,13780
DIOR-R,1050,13781
DIOR-R,1051,13782
DIOR-R,1052,13785
DIOR-R,1053,13786
DIOR-R,1054,13790
DIOR-R,1055,13792
DIOR-R,1056,13794
DIOR-R,1057,13800
DIOR-R,1058,13801
DIOR-R,1059,13804
DIOR-R,1060,13805
DIOR-R,1061,13807
DIOR-R,1062,13808
DIOR-R,1063,13810
DIOR-R,1064,13812
DIOR-R,1065,13814
DIOR-R,1066,13818
DIOR-R,1067,13822
DIOR-R,1068,13823
DIOR-R,1069,13825
DIOR-R,1070,13826
DIOR-R,1071,13827
DIOR-R,1072,13829
DIOR-R,1073,13830
DIOR-R,1074,13831
DIOR-R,1075,13837
DIOR-R,1076,13839
DIOR-R,1077,13840
DIOR-R,1078,13841
DIOR-R,1079,13842
DIOR-R,1080,13843
DIOR-R,1081,13844
DIOR-R,1082,13846
DIOR-R,1083,13850
DIOR-R,1084,13852
DIOR-R,1085,13855
DIOR-R,1086,13857
DIOR-R,1087,13858
DIOR-R,1088,13862
DIOR-R,1089,13866
DIOR-R,1090,13872
DIOR-R,1091,13874
DIOR-R,1092,13878
DIOR-R,1093,13879
DIOR-R,1094,13881
DIOR-R,1095,13882
DIOR-R,1096,13888
DIOR-R,1097,13889
DIOR-R,1098,13891
DIOR-R,1099,13892
DIOR-R,1100,13894
DIOR-R,1101,13895
DIOR-R,1102,13896
DIOR-R,1103,13897
DIOR-R,1104,13900
DIOR-R,1105,13902
DIOR-R,1106,13903
DIOR-R,1107,13907
DIOR-R,1108,13908
DIOR-R,1109,13909
DIOR-R,1110,13910
DIOR-R,1111,13911
DIOR-R,1112,13913
DIOR-R,1113,13914
DIOR-R,1114,13919
DIOR-R,1115,13920
DIOR-R,1116,13922
DIOR-R,1117,13925
DIOR-R,1118,13931
DIOR-R,1119,13932
DIOR-R,1120,13933
DIOR-R,1121,13934
DIOR-R,1122,13935
DIOR-R,1123,13937
DIOR-R,1124,13938
DIOR-R,1125,13941
DIOR-R,1126,13942
DIOR-R,1127,13943
DIOR-R,1128,13949
DIOR-R,1129,13950
DIOR-R,1130,13952
DIOR-R,1131,13953
DIOR-R,1132,13954
DIOR-R,1133,13955
DIOR-R,1134,13957
DIOR-R,1135,13958
DIOR-R,1136,13959
DIOR-R,1137,13960
DIOR-R,1138,13961
DIOR-R,1139,13966
DIOR-R,1140,13968
DIOR-R,1141,13971
DIOR-R,1142,13974
DIOR-R,1143,13975
DIOR-R,1144,13976
DIOR-R,1145,13979
DIOR-R,1146,13980
DIOR-R,1147,13985
DIOR-R,1148,13986
DIOR-R,1149,13989
DIOR-R,1150,13990
