assignment_version,annotator_slot,task_order,task_id,dataset,crop_relpath,long_side_angle_deg_le90,ambiguous,skip,annotator_id,annotation_timestamp_utc
m4-070-final-v1,A,72,00d0ab1dc283c0deaf2f,SODA-A,crops/00d0ab1dc283c0deaf2f.jpg,,,,,
m4-070-final-v1,A,73,6244584d7f357a8d2527,FAIR1M-v1.0,crops/6244584d7f357a8d2527.jpg,,,,,
m4-070-final-v1,A,74,785c5e076ddf845a7720,DIOR-R,crops/785c5e076ddf845a7720.jpg,,,,,
m4-070-final-v1,A,75,c1476467d6c9446c1259,DIOR-R,crops/c1476467d6c9446c1259.jpg,,,,,
m4-070-final-v1,A,76,77f5e9731fd6460c4f72,SODA-A,crops/77f5e9731fd6460c4f72.jpg,,,,,
m4-070-final-v1,A,77,c5a46a59e9f7c9f5f023,FAIR1M-v1.0,crops/c5a46a59e9f7c9f5f023.jpg,,,,,
m4-070-final-v1,A,78,dc9e169490ff725c126f,FAIR1M-v1.0,crops/dc9e169490ff725c126f.jpg,,,,,
m4-070-final-v1,A,79,d09efdb8254e97a2c6a3,DIOR-R,crops/d09efdb8254e97a2c6a3.jpg,,,,,
m4-070-final-v1,A,80,787fd4d6347ad1869a9a,DIOR-R,crops/787fd4d6347ad1869a9a.jpg,,,,,
m4-070-final-v1,A,81,e4ae8e31c49166cf0ebe,FAIR1M-v1.0,crops/e4ae8e31c49166cf0ebe.jpg,,,,,
m4-070-final-v1,A,82,64c234e3a73dc4d1d090,SODA-A,crops/64c234e3a73dc4d1d090.jpg,,,,,
m4-070-final-v1,A,83,3e3ea413d2af1cb8676e,SODA-A,crops/3e3ea413d2af1cb8676e.jpg,,,,,
m4-070-final-v1,A,84,f290f561dc097a2c91c9,FAIR1M-v1.0,crops/f290f561dc097a2c91c9.jpg,,,,,
m4-070-final-v1,A,85,d16b697f28204632bd5a,DIOR-R,crops/d16b697f28204632bd5a.jpg,,,,,
m4-070-final-v1,A,86,f36ad5a8acd7d9fed316,SODA-A,crops/f36ad5a8acd7d9fed316.jpg,,,,,
m4-070-final-v1,A,87,8d13fc8ff58098c7ede7,FAIR1M-v1.0,crops/8d13fc8ff58098c7ede7.jpg,,,,,
m4-070-final-v1,A,88,bc8be805a04f845d14e9,DIOR-R,crops/bc8be805a04f845d14e9.jpg,,,,,
m4-070-final-v1,A,89,3127b4e5b40fa420fbb2,FAIR1M-v1.0,crops/3127b4e5b40fa420fbb2.jpg,,,,,
m4-070-final-v1,A,90,8473d6811795393dbc80,FAIR1M-v1.0,crops/8473d6811795393dbc80.jpg,,,,,
m4-070-final-v1,A,91,470e5427b3fde06cce4e,DIOR-R,crops/470e5427b3fde06cce4e.jpg,,,,,
m4-070-final-v1,A,92,8936370234a8a9a1611e,FAIR1M-v1.0,crops/8936370234a8a9a1611e.jpg,,,,,
m4-070-final-v1,A,93,5b21ca9b0ffbbe2b08ed,FAIR1M-v1.0,crops/5b21ca9b0ffbbe2b08ed.jpg,,,,,
m4-070-final-v1,A,94,112d9301d6c31deb785b,SODA-A,crops/112d9301d6c31deb785b.jpg,,,,,
m4-070-final-v1,A,95,fe7436f7c617d60fa5e8,FAIR1M-v1.0,crops/fe7436f7c617d60fa5e8.jpg,,,,,
m4-070-final-v1,A,96,62b037d0f5281a585b4a,FAIR1M-v1.0,crops/62b037d0f5281a585b4a.jpg,,,,,
m4-070-final-v1,A,97,b6e0551484a741c50545,SODA-A,crops/b6e0551484a741c50545.jpg,,,,,
m4-070-final-v1,A,98,a0f05ef5266e491873c2,DIOR-R,crops/a0f05ef5266e491873c2.jpg,,,,,
m4-070-final-v1,A,99,96b62f5f11118d444fc5,SODA-A,crops/96b62f5f11118d444fc5.jpg,,,,,
m4-070-final-v1,A,100,46a3562675bca3043666,FAIR1M-v1.0,crops/46a3562675bca3043666.jpg,,,,,
m4-070-final-v1,A,101,dc12d022de71dfec4eb8,DIOR-R,crops/dc12d022de71dfec4eb8.jpg,,,,,
m4-070-final-v1,A,102,21582ed77722636826e7,SODA-A,crops/21582ed77722636826e7.jpg,,,,,
m4-070-final-v1,A,103,4dd632ca0557d0fe6616,SODA-A,crops/4dd632ca0557d0fe6616.jpg,,,,,
m4-070-final-v1,A,104,2a16f396024da7794427,FAIR1M-v1.0,crops/2a16f396024da7794427.jpg,,,,,
m4-070-final-v1,A,105,4312c5f45b9ea388a93d,FAIR1M-v1.0,crops/4312c5f45b9ea388a93d.jpg,,,,,
m4-070-final-v1,A,106,33edd268cca58f79f7d4,SODA-A,crops/33edd268cca58f79f7d4.jpg,,,,,
m4-070-final-v1,A,107,69892b6bdbb8da1482ee,SODA-A,crops/69892b6bdbb8da1482ee.jpg,,,,,
m4-070-final-v1,A,108,3fd98bdfaee5bbd9eb96,DIOR-R,crops/3fd98bdfaee5bbd9eb96.jpg,,,,,
m4-070-final-v1,A,109,aded389f8c467e659503,FAIR1M-v1.0,crops/aded389f8c467e659503.jpg,,,,,
m4-070-final-v1,A,110,cfbb076261ee24969511,SODA-A,crops/cfbb076261ee24969511.jpg,,,,,
m4-070-final-v1,A,111,8835850b8538842ed455,SODA-A,crops/8835850b8538842ed455.jpg,,,,,
m4-070-final-v1,A,112,efdd91fd8d873dd3ac42,FAIR1M-v1.0,crops/efdd91fd8d873dd3ac42.jpg,,,,,
m4-070-final-v1,A,113,26899feda5f49b282fe7,FAIR1M-v1.0,crops/26899feda5f49b282fe7.jpg,,,,,
m4-070-final-v1,A,114,37ae45a541d007fa3bdf,SODA-A,crops/37ae45a541d007fa3bdf.jpg,,,,,
m4-070-final-v1,A,115,2212bf59740024a51a12,FAIR1M-v1.0,crops/2212bf59740024a51a12.jpg,,,,,
m4-070-final-v1,A,116,8867ac56cc3f9c549601,DIOR-R,crops/8867ac56cc3f9c549601.jpg,,,,,
m4-070-final-v1,A,117,3543f25666d949546492,FAIR1M-v1.0,crops/3543f25666d949546492.jpg,,,,,
m4-070-final-v1,A,118,12d07770f7bf38eaf92a,DIOR-R,crops/12d07770f7bf38eaf92a.jpg,,,,,
m4-070-final-v1,A,119,1b8058054d82d9bc5f4c,FAIR1M-v1.0,crops/1b8058054d82d9bc5f4c.jpg,,,,,
m4-070-final-v1,A,120,7aa03533c90bc9806488,SODA-A,crops/7aa03533c90bc9806488.jpg,,,,,
m4-070-final-v1,A,121,f73d869ce2813d5f5443,DIOR-R,crops/f73d869ce2813d5f5443.jpg,,,,,
m4-070-final-v1,A,122,d2dbbfa3e9285dc86aae,DIOR-R,crops/d2dbbfa3e9285dc86aae.jpg,,,,,
m4-070-final-v1,A,123,d7014780c9421d7876f9,SODA-A,crops/d7014780c9421d7876f9.jpg,,,,,
m4-070-final-v1,A,124,76846c13482f8979fa27,SODA-A,crops/76846c13482f8979fa27.jpg,,,,,
m4-070-final-v1,A,125,a7a0afdd6ee7e97946fb,FAIR1M-v1.0,crops/a7a0afdd6ee7e97946fb.jpg,,,,,
m4-070-final-v1,A,126,ffe67605b450f7e51752,SODA-A,crops/ffe67605b450f7e51752.jpg,,,,,
m4-070-final-v1,A,127,2de226d82dc4c2e528c9,DIOR-R,crops/2de226d82dc4c2e528c9.jpg,,,,,
m4-070-final-v1,A,128,efdbc43944ab4aa4cbc6,DIOR-R,crops/efdbc43944ab4aa4cbc6.jpg,,,,,
m4-070-final-v1,A,129,58823abfdfeb573584d0,SODA-A,crops/58823abfdfeb573584d0.jpg,,,,,
m4-070-final-v1,A,130,d5b2520d4055dbc6c74c,SODA-A,crops/d5b2520d4055dbc6c74c.jpg,,,,,
m4-070-final-v1,A,131,22f706246cebc5fc5691,SODA-A,crops/22f706246cebc5fc5691.jpg,,,,,
m4-070-final-v1,A,132,eae7e684a671e9ee7478,SODA-A,crops/eae7e684a671e9ee7478.jpg,,,,,
m4-070-final-v1,A,133,691c7ce14c191af5234c,DIOR-R,crops/691c7ce14c191af5234c.jpg,,,,,
m4-070-final-v1,A,134,e91779a06a71a4ccf212,FAIR1M-v1.0,crops/e91779a06a71a4ccf212.jpg,,,,,
m4-070-final-v1,A,135,d78be38013cd62f23b53,SODA-A,crops/d78be38013cd62f23b53.jpg,,,,,
m4-070-final-v1,A,136,bfa8f754d048d76ebb5d,DIOR-R,crops/bfa8f754d048d76ebb5d.jpg,,,,,
m4-070-final-v1,A,137,226c7da938f217fe15f6,SODA-A,crops/226c7da938f217fe15f6.jpg,,,,,
m4-070-final-v1,A,138,5e29d8ca7ddf6c05dada,FAIR1M-v1.0,crops/5e29d8ca7ddf6c05dada.jpg,,,,,
m4-070-final-v1,A,139,efe357a7cefa3e91db54,FAIR1M-v1.0,crops/efe357a7cefa3e91db54.jpg,,,,,
m4-070-final-v1,A,140,1c4d7252723058026bc6,SODA-A,crops/1c4d7252723058026bc6.jpg,,,,,
m4-070-final-v1,A,141,43809dd20dab5a159c44,SODA-A,crops/43809dd20dab5a159c44.jpg,,,,,
m4-070-final-v1,A,142,7d861f95db49e0f8c862,DIOR-R,crops/7d861f95db49e0f8c862.jpg,,,,,
m4-070-final-v1,A,143,ea086a9e7214080e3571,FAIR1M-v1.0,crops/ea086a9e7214080e3571.jpg,,,,,
m4-070-final-v1,A,144,2d77ffec15bd1dc4be81,FAIR1M-v1.0,crops/2d77ffec15bd1dc4be81.jpg,,,,,
m4-070-final-v1,A,145,8caa97efbf73e8dd178d,DIOR-R,crops/8caa97efbf73e8dd178d.jpg,,,,,
m4-070-final-v1,A,146,4c38e8566ea2e24fc86c,DIOR-R,crops/4c38e8566ea2e24fc86c.jpg,,,,,
m4-070-final-v1,A,147,93f99ed731b5d29f74fe,DIOR-R,crops/93f99ed731b5d29f74fe.jpg,,,,,
m4-070-final-v1,A,148,429adddc97e9caed32dc,DIOR-R,crops/429adddc97e9caed32dc.jpg,,,,,
m4-070-final-v1,A,149,5aca7b95b775fdbbe36b,SODA-A,crops/5aca7b95b775fdbbe36b.jpg,,,,,
m4-070-final-v1,A,150,3dac6eeedfda338288d1,SODA-A,crops/3dac6eeedfda338288d1.jpg,,,,,
m4-070-final-v1,A,151,76e644249b7f15f2a7dc,FAIR1M-v1.0,crops/76e644249b7f15f2a7dc.jpg,,,,,
m4-070-final-v1,A,152,ffae625f26a6203241de,FAIR1M-v1.0,crops/ffae625f26a6203241de.jpg,,,,,
m4-070-final-v1,A,153,f79659417d58c7403ddb,FAIR1M-v1.0,crops/f79659417d58c7403ddb.jpg,,,,,
m4-070-final-v1,A,154,85ae93ae869f79cc8ec1,FAIR1M-v1.0,crops/85ae93ae869f79cc8ec1.jpg,,,,,
m4-070-final-v1,A,155,8fcc6dfcb48f1670c963,DIOR-R,crops/8fcc6dfcb48f1670c963.jpg,,,,,
m4-070-final-v1,A,156,33c2993e38144bfe8264,FAIR1M-v1.0,crops/33c2993e38144bfe8264.jpg,,,,,
m4-070-final-v1,A,157,7289f142d344609a7e4f,DIOR-R,crops/7289f142d344609a7e4f.jpg,,,,,
m4-070-final-v1,A,158,8de0ce643e3aff87a241,FAIR1M-v1.0,crops/8de0ce643e3aff87a241.jpg,,,,,
m4-070-final-v1,A,159,b9140efa8102c30d0799,DIOR-R,crops/b9140efa8102c30d0799.jpg,,,,,
m4-070-final-v1,A,160,edcea1f23a8e5a7bb539,DIOR-R,crops/edcea1f23a8e5a7bb539.jpg,,,,,
m4-070-final-v1,A,161,dd8cdbfe02c8e658ddad,FAIR1M-v1.0,crops/dd8cdbfe02c8e658ddad.jpg,,,,,
m4-070-final-v1,A,162,8873673e8bd481498d34,DIOR-R,crops/8873673e8bd481498d34.jpg,,,,,
m4-070-final-v1,A,163,02c402fdf7ec2443686a,SODA-A,crops/02c402fdf7ec2443686a.jpg,,,,,
m4-070-final-v1,A,164,1f200899993408563222,DIOR-R,crops/1f200899993408563222.jpg,,,,,
m4-070-final-v1,A,165,fd2b41712e310f7026a4,FAIR1M-v1.0,crops/fd2b41712e310f7026a4.jpg,,,,,
m4-070-final-v1,A,166,6aa010e069bbba148f7b,FAIR1M-v1.0,crops/6aa010e069bbba148f7b.jpg,,,,,
m4-070-final-v1,A,167,0024d51a21e1a4c7f23b,DIOR-R,crops/0024d51a21e1a4c7f23b.jpg,,,,,
m4-070-final-v1,A,168,92fe5d8caeafc979a16b,FAIR1M-v1.0,crops/92fe5d8caeafc979a16b.jpg,,,,,
m4-070-final-v1,A,169,c1acbbe8ba3ab7dd1e8f,SODA-A,crops/c1acbbe8ba3ab7dd1e8f.jpg,,,,,
m4-070-final-v1,A,170,19bd8bd9daab17c10a4c,DIOR-R,crops/19bd8bd9daab17c10a4c.jpg,,,,,
m4-070-final-v1,A,171,85c183a3391bc46bcd9d,DIOR-R,crops/85c183a3391bc46bcd9d.jpg,,,,,
m4-070-final-v1,A,172,89f07a7525a1ac00ebd3,SODA-A,crops/89f07a7525a1ac00ebd3.jpg,,,,,
m4-070-final-v1,A,173,82d6f1865ec8096f5883,FAIR1M-v1.0,crops/82d6f1865ec8096f5883.jpg,,,,,
m4-070-final-v1,A,174,ced8afd45f2c62d84d66,FAIR1M-v1.0,crops/ced8afd45f2c62d84d66.jpg,,,,,
m4-070-final-v1,A,175,919e0b7131ee5a58726d,FAIR1M-v1.0,crops/919e0b7131ee5a58726d.jpg,,,,,
m4-070-final-v1,A,176,9b9f26bf5eb35a1815d7,FAIR1M-v1.0,crops/9b9f26bf5eb35a1815d7.jpg,,,,,
m4-070-final-v1,A,177,fe2c5714c48f8ca61dbe,FAIR1M-v1.0,crops/fe2c5714c48f8ca61dbe.jpg,,,,,
m4-070-final-v1,A,178,af0dcad8f3e350078133,FAIR1M-v1.0,crops/af0dcad8f3e350078133.jpg,,,,,
m4-070-final-v1,A,179,d92602b6a4f1dc2eaf83,SODA-A,crops/d92602b6a4f1dc2eaf83.jpg,,,,,
m4-070-final-v1,A,180,40fb6b3e7d95d62cbb37,FAIR1M-v1.0,crops/40fb6b3e7d95d62cbb37.jpg,,,,,
m4-070-final-v1,A,181,576b0ed649fa3cdfd4f5,DIOR-R,crops/576b0ed649fa3cdfd4f5.jpg,,,,,
m4-070-final-v1,A,182,4fcd0130927277a83750,SODA-A,crops/4fcd0130927277a83750.jpg,,,,,
m4-070-final-v1,A,183,33c4bc409bb51d46fe50,FAIR1M-v1.0,crops/33c4bc409bb51d46fe50.jpg,,,,,
m4-070-final-v1,A,184,54eac71ba3e778a1a443,FAIR1M-v1.0,crops/54eac71ba3e778a1a443.jpg,,,,,
m4-070-final-v1,A,185,fa5f3ce20cf75e2922b6,FAIR1M-v1.0,crops/fa5f3ce20cf75e2922b6.jpg,,,,,
m4-070-final-v1,A,186,dc159aec240f98e02654,FAIR1M-v1.0,crops/dc159aec240f98e02654.jpg,,,,,
m4-070-final-v1,A,187,f6a348e3c1498d150273,FAIR1M-v1.0,crops/f6a348e3c1498d150273.jpg,,,,,
m4-070-final-v1,A,188,d1e3b9d8711bef29242b,SODA-A,crops/d1e3b9d8711bef29242b.jpg,,,,,
m4-070-final-v1,A,189,169d6c0401378be1e327,SODA-A,crops/169d6c0401378be1e327.jpg,,,,,
m4-070-final-v1,A,190,75b7fe1ae37d802f0afe,SODA-A,crops/75b7fe1ae37d802f0afe.jpg,,,,,
m4-070-final-v1,A,191,5c2569b37171441e36e8,DIOR-R,crops/5c2569b37171441e36e8.jpg,,,,,
m4-070-final-v1,A,192,b637b24e6a775f14e5a7,DIOR-R,crops/b637b24e6a775f14e5a7.jpg,,,,,
m4-070-final-v1,A,193,0b75bb0a1f8f0b81fb52,SODA-A,crops/0b75bb0a1f8f0b81fb52.jpg,,,,,
m4-070-final-v1,A,194,726bfa09358f0564996f,FAIR1M-v1.0,crops/726bfa09358f0564996f.jpg,,,,,
m4-070-final-v1,A,195,3ede395d673d316b5c90,FAIR1M-v1.0,crops/3ede395d673d316b5c90.jpg,,,,,
m4-070-final-v1,A,196,97e1e2948d61f3716031,DIOR-R,crops/97e1e2948d61f3716031.jpg,,,,,
m4-070-final-v1,A,197,4db1eb21bd301182999e,DIOR-R,crops/4db1eb21bd301182999e.jpg,,,,,
m4-070-final-v1,A,198,1febbfbe328ce283d199,FAIR1M-v1.0,crops/1febbfbe328ce283d199.jpg,,,,,
m4-070-final-v1,A,199,45639b37f863c96aa93e,FAIR1M-v1.0,crops/45639b37f863c96aa93e.jpg,,,,,
m4-070-final-v1,A,200,f69c4aca94b2f515e2b3,DIOR-R,crops/f69c4aca94b2f515e2b3.jpg,,,,,
m4-070-final-v1,A,201,e980b1775c4ee9c95ba1,FAIR1M-v1.0,crops/e980b1775c4ee9c95ba1.jpg,,,,,
m4-070-final-v1,A,202,6af35bcb279b38f65768,DIOR-R,crops/6af35bcb279b38f65768.jpg,,,,,
m4-070-final-v1,A,203,8df18db53e41d157026f,DIOR-R,crops/8df18db53e41d157026f.jpg,,,,,
m4-070-final-v1,A,204,5533956495883626cd75,SODA-A,crops/5533956495883626cd75.jpg,,,,,
m4-070-final-v1,A,205,0bc7dbcbe88b269187d0,FAIR1M-v1.0,crops/0bc7dbcbe88b269187d0.jpg,,,,,
m4-070-final-v1,A,206,01d008b384da8377ba2c,FAIR1M-v1.0,crops/01d008b384da8377ba2c.jpg,,,,,
m4-070-final-v1,A,207,2b5a80b71507252da7e7,FAIR1M-v1.0,crops/2b5a80b71507252da7e7.jpg,,,,,
m4-070-final-v1,A,208,d3ed622f379c08f0b81c,DIOR-R,crops/d3ed622f379c08f0b81c.jpg,,,,,
m4-070-final-v1,A,209,4ffedfa4a297585735ff,DIOR-R,crops/4ffedfa4a297585735ff.jpg,,,,,
m4-070-final-v1,A,210,3d3cc7029e0709e330e1,FAIR1M-v1.0,crops/3d3cc7029e0709e330e1.jpg,,,,,
m4-070-final-v1,A,211,8b4870e4de64016e6bf4,FAIR1M-v1.0,crops/8b4870e4de64016e6bf4.jpg,,,,,
m4-070-final-v1,A,212,91758e4251bfc4c486c9,SODA-A,crops/91758e4251bfc4c486c9.jpg,,,,,
m4-070-final-v1,A,213,627e96c96d7b48990402,DIOR-R,crops/627e96c96d7b48990402.jpg,,,,,
m4-070-final-v1,A,214,2d9a4f6bbd8471e5ccae,DIOR-R,crops/2d9a4f6bbd8471e5ccae.jpg,,,,,
m4-070-final-v1,A,215,66f470dc78a276c3a500,FAIR1M-v1.0,crops/66f470dc78a276c3a500.jpg,,,,,
m4-070-final-v1,A,216,3860ce2abd650b682522,SODA-A,crops/3860ce2abd650b682522.jpg,,,,,
m4-070-final-v1,A,217,c337f841f41da40e8d7a,SODA-A,crops/c337f841f41da40e8d7a.jpg,,,,,
m4-070-final-v1,A,218,7553319eb4022b1e43e1,SODA-A,crops/7553319eb4022b1e43e1.jpg,,,,,
m4-070-final-v1,A,219,7b1c10ca91e938f920ac,SODA-A,crops/7b1c10ca91e938f920ac.jpg,,,,,
