archetype,detector_family,dataset,representative_baseline_id,required_env,env_installed,status,formal_capability,formal_scope
rotated_detr_rhino,RHINO_host,HRSC2016,,ai4rs_train,True,not_applicable,formal_capable_locked_host,cross_dataset_exploratory
rotated_detr_rhino,RHINO_host,FAIR1M-v1.0,,ai4rs_train,True,not_applicable,formal_capable_locked_host,cross_dataset_exploratory
hybrid_encoder_oriented_detr_a4,O2RTDETR_host,DOTA-v1.0,,ai4rs_train,True,not_applicable,formal_capable_locked_host,formal_compatible
hybrid_encoder_oriented_detr_a4,O2RTDETR_host,DOTA-v1.5,a4_host,ai4rs_train,True,already_available,formal_capable_locked_host,formal_compatible
hybrid_encoder_oriented_detr_a4,O2RTDETR_host,DIOR-R,,ai4rs_train,True,not_applicable,formal_capable_locked_host,cross_dataset_exploratory
hybrid_encoder_oriented_detr_a4,O2RTDETR_host,HRSC2016,,ai4rs_train,True,not_applicable,formal_capable_locked_host,cross_dataset_exploratory
hybrid_encoder_oriented_detr_a4,O2RTDETR_host,FAIR1M-v1.0,,ai4rs_train,True,not_applicable,formal_capable_locked_host,cross_dataset_exploratory
lsknet_backbone,oriented_rcnn_lsknet_s_fpn,DOTA-v1.0,7,ai4rs_train,True,already_available,formal_capable,formal_compatible
lsknet_backbone,oriented_rcnn_lsknet_s_fpn,DOTA-v1.5,8,ai4rs_train,True,ready_to_run,formal_capable,formal_compatible
lsknet_backbone,oriented_rcnn_lsknet_s_fpn,DIOR-R,10,ai4rs_train,True,ready_to_run,formal_capable,cross_dataset_exploratory
lsknet_backbone,oriented_rcnn_lsknet_s_fpn,HRSC2016,,ai4rs_train,True,not_applicable,formal_capable,cross_dataset_exploratory
lsknet_backbone,oriented_rcnn_lsknet_s_fpn,FAIR1M-v1.0,12,ai4rs_train,True,ready_to_run,formal_capable,cross_dataset_exploratory
strip_rcnn,strip_rcnn_s_fpn,DOTA-v1.0,35,ai4rs_train,True,already_available,formal_capable,formal_compatible
strip_rcnn,strip_rcnn_s_fpn,DOTA-v1.5,36,ai4rs_train,True,ready_to_run,formal_capable,formal_compatible
strip_rcnn,strip_rcnn_s_fpn,DIOR-R,47,ai4rs_train,True,ready_to_run,formal_capable,cross_dataset_exploratory
strip_rcnn,strip_rcnn_s_fpn,HRSC2016,,ai4rs_train,True,not_applicable,formal_capable,cross_dataset_exploratory
strip_rcnn,strip_rcnn_s_fpn,FAIR1M-v1.0,,ai4rs_train,True,not_applicable,formal_capable,cross_dataset_exploratory
weakly_supervised_h2rbox,h2rbox_v2,DOTA-v1.0,70,ai4rs_train,True,already_available,weak_or_pseudo_nonformal,nonformal
weakly_supervised_h2rbox,h2rbox_v2,DOTA-v1.5,,ai4rs_train,True,not_applicable,weak_or_pseudo_nonformal,nonformal
weakly_supervised_h2rbox,h2rbox_v2,DIOR-R,,ai4rs_train,True,not_applicable,weak_or_pseudo_nonformal,cross_dataset_exploratory
weakly_supervised_h2rbox,h2rbox_v2,HRSC2016,,ai4rs_train,True,not_applicable,weak_or_pseudo_nonformal,cross_dataset_exploratory
weakly_supervised_h2rbox,h2rbox_v2,FAIR1M-v1.0,,ai4rs_train,True,not_applicable,weak_or_pseudo_nonformal,cross_dataset_exploratory
pseudo_point2rbox,point2rbox_v2,DOTA-v1.0,64,unknown,False,weak_nonformal_blocked_dependency,weak_or_pseudo_nonformal_blocked_network_init,nonformal
pseudo_point2rbox,point2rbox_v2,DOTA-v1.5,,unknown,False,weak_nonformal_blocked_dependency,weak_or_pseudo_nonformal_blocked_network_init,nonformal
pseudo_point2rbox,point2rbox_v2,DIOR-R,,unknown,False,weak_nonformal_blocked_dependency,weak_or_pseudo_nonformal_blocked_network_init,cross_dataset_exploratory
pseudo_point2rbox,point2rbox_v2,HRSC2016,,unknown,False,weak_nonformal_blocked_dependency,weak_or_pseudo_nonformal_blocked_network_init,cross_dataset_exploratory
pseudo_point2rbox,point2rbox_v2,FAIR1M-v1.0,,unknown,False,weak_nonformal_blocked_dependency,weak_or_pseudo_nonformal_blocked_network_init,cross_dataset_exploratory
rotated_detr_arsdetr_distinct,arsdetr,DOTA-v1.0,14,ars,False,blocked_dependency_not_installed,formal_capable_NOT_rhino_substitute,formal_compatible
rotated_detr_arsdetr_distinct,arsdetr,DOTA-v1.5,15,ars,False,blocked_dependency_not_installed,formal_capable_NOT_rhino_substitute,formal_compatible
rotated_detr_arsdetr_distinct,arsdetr,DIOR-R,16,ars,False,blocked_dependency_not_installed,formal_capable_NOT_rhino_substitute,cross_dataset_exploratory
rotated_detr_arsdetr_distinct,arsdetr,HRSC2016,19,ars,False,blocked_dependency_not_installed,formal_capable_NOT_rhino_substitute,cross_dataset_exploratory
rotated_detr_arsdetr_distinct,arsdetr,FAIR1M-v1.0,18,ars,False,blocked_dependency_not_installed,formal_capable_NOT_rhino_substitute,cross_dataset_exploratory
all,all,SODA-A,,-,False,blocked_missing_dataset,-,out_of_scope_current
all,all,ICDAR-MLT,,-,False,blocked_missing_dataset,-,out_of_scope_current
