ar_threshold,dataset,baseline_id,selector,n_cal,n_audit,NRC,AURC,AURC_oracle,Risk@70,Risk@90,p90_at70cov,p95_at70cov,p99_at70cov,delta_ci_lo,delta_ci_hi,p3_better_sig
sens_ar1.3,FAIR1M-v1.0,24,DELTA_linear_minus_p3,,14595,0.2017,,,,,,,,0.1322,0.2435,True
sens_ar1.3,FAIR1M-v1.0,24,p3_perm_importance,,,"{""score"": 0.037, ""log_ar"": 0.035, ""sqrt_area"": 0.217, ""gv_obb_needed"": 0.118, ""w"": 0.665, ""h"": 0.614}",,,,,,,,,,
sens_ar1.3,SODA-A,23,score_only,107839,110336,1.0818,2.44,0.716,2.231,2.269,4.89,6.75,13.26,,,
sens_ar1.3,SODA-A,23,score_ar_linear,107839,110336,0.5893,1.6552,0.716,1.912,2.076,4.41,5.82,9.28,,,
sens_ar1.3,SODA-A,23,p3_nonlinear,107839,110336,0.3822,1.3252,0.716,1.681,1.987,3.88,5.09,8.28,,,
sens_ar1.3,SODA-A,23,DELTA_linear_minus_p3,,110336,0.2071,,,,,,,,0.2005,0.2131,True
sens_ar1.3,SODA-A,23,p3_perm_importance,,,"{""score"": 0.045, ""log_ar"": 0.102, ""sqrt_area"": 1.811, ""gv_obb_needed"": 0.225, ""w"": 2.581, ""h"": 1.363}",,,,,,,,,,
sens_ar2.0,DOTA-v1.0,20,score_only,6654,6309,0.7166,1.5809,0.7617,1.805,1.875,3.91,4.87,6.98,,,
sens_ar2.0,DOTA-v1.0,20,score_ar_linear,6654,6309,0.7199,1.5846,0.7617,1.726,1.848,3.75,4.67,6.53,,,
sens_ar2.0,DOTA-v1.0,20,p3_nonlinear,6654,6309,0.5538,1.3947,0.7617,1.66,1.822,3.61,4.46,6.48,,,
sens_ar2.0,DOTA-v1.0,20,DELTA_linear_minus_p3,,6309,0.1664,,,,,,,,0.1438,0.187,True
sens_ar2.0,DOTA-v1.0,20,p3_perm_importance,,,"{""score"": 0.042, ""log_ar"": 0.05, ""sqrt_area"": 0.119, ""gv_obb_needed"": 0.03, ""w"": 0.403, ""h"": 0.083}",,,,,,,,,,
sens_ar2.0,DIOR-R,22,score_only,9930,10278,0.5767,1.0712,0.439,1.332,1.493,3.41,4.49,6.93,,,
sens_ar2.0,DIOR-R,22,score_ar_linear,9930,10278,0.6669,1.17,0.439,1.327,1.479,3.4,4.49,6.93,,,
sens_ar2.0,DIOR-R,22,p3_nonlinear,9930,10278,0.3518,0.8247,0.439,1.09,1.374,2.96,4.0,6.43,,,
sens_ar2.0,DIOR-R,22,DELTA_linear_minus_p3,,10278,0.3166,,,,,,,,0.2901,0.3411,True
sens_ar2.0,DIOR-R,22,p3_perm_importance,,,"{""score"": 0.105, ""log_ar"": 0.019, ""sqrt_area"": 1.264, ""gv_obb_needed"": 0.283, ""w"": 2.116, ""h"": 3.127}",,,,,,,,,,
sens_ar2.0,FAIR1M-v1.0,24,score_only,11359,10425,0.9317,2.1937,0.7922,2.273,2.289,5.17,6.43,9.62,,,
sens_ar2.0,FAIR1M-v1.0,24,score_ar_linear,11359,10425,0.7541,1.9265,0.7922,2.189,2.281,4.98,6.19,9.26,,,
sens_ar2.0,FAIR1M-v1.0,24,p3_nonlinear,11359,10425,0.5133,1.5644,0.7922,1.991,2.189,4.65,5.89,8.5,,,
sens_ar2.0,FAIR1M-v1.0,24,DELTA_linear_minus_p3,,10425,0.2416,,,,,,,,0.219,0.2641,True
sens_ar2.0,FAIR1M-v1.0,24,p3_perm_importance,,,"{""score"": 0.003, ""log_ar"": 0.077, ""sqrt_area"": 0.222, ""gv_obb_needed"": 0.123, ""w"": 0.607, ""h"": 0.518}",,,,,,,,,,
sens_ar2.0,SODA-A,23,score_only,86326,88478,0.8598,1.7974,0.6745,1.853,1.934,4.27,5.64,9.15,,,
sens_ar2.0,SODA-A,23,score_ar_linear,86326,88478,0.6493,1.5225,0.6745,1.84,1.917,4.26,5.61,8.96,,,
sens_ar2.0,SODA-A,23,p3_nonlinear,86326,88478,0.3904,1.1844,0.6745,1.534,1.792,3.54,4.61,7.32,,,
sens_ar2.0,SODA-A,23,DELTA_linear_minus_p3,,88478,0.2591,,,,,,,,0.2532,0.265,True
sens_ar2.0,SODA-A,23,p3_perm_importance,,,"{""score"": 0.004, ""log_ar"": 0.103, ""sqrt_area"": 0.144, ""gv_obb_needed"": 0.178, ""w"": 0.049, ""h"": 0.122}",,,,,,,,,,
primary_ar1.6,POOLED,all_psc,score_only,135995,136834,0.8378,1.9106,0.6975,2.016,2.096,4.6,6.13,10.45,,,
primary_ar1.6,POOLED,all_psc,score_ar_linear,135995,136834,0.6256,1.6034,0.6975,1.877,2.037,4.34,5.69,9.18,,,
primary_ar1.6,POOLED,all_psc,p3_nonlinear,135995,136834,0.4092,1.2899,0.6975,1.63,1.923,3.8,4.98,7.8,,,
primary_ar1.6,POOLED,all_psc,DELTA_linear_minus_p3,,136834,0.2166,,,,,,,,0.2114,0.2214,True
sens_ar1.3,POOLED,all_psc,score_only,142100,143312,0.9069,2.1154,0.6975,2.162,2.22,4.75,6.45,12.35,,,
sens_ar1.3,POOLED,all_psc,score_ar_linear,142100,143312,0.601,1.6373,0.6975,1.885,2.074,4.36,5.72,9.11,,,
sens_ar1.3,POOLED,all_psc,p3_nonlinear,142100,143312,0.4022,1.3263,0.6975,1.674,1.966,3.88,5.1,8.11,,,
sens_ar1.3,POOLED,all_psc,DELTA_linear_minus_p3,,143312,0.1988,,,,,,,,0.1927,0.2049,True
sens_ar2.0,POOLED,all_psc,score_only,114269,115490,0.7813,1.6804,0.6629,1.83,1.921,4.24,5.55,8.92,,,
sens_ar2.0,POOLED,all_psc,score_ar_linear,114269,115490,0.646,1.5042,0.6629,1.797,1.898,4.16,5.45,8.71,,,
sens_ar2.0,POOLED,all_psc,p3_nonlinear,114269,115490,0.4165,1.2053,0.6629,1.549,1.796,3.61,4.71,7.36,,,
sens_ar2.0,POOLED,all_psc,DELTA_linear_minus_p3,,115490,0.2298,,,,,,,,0.2238,0.2357,True
