baseline_id,model_id,dataset,box_type,angle_version,theta_unit,source,config_path,warnings
32,rotated_rtmdet_s_fpn_3x_le90,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_3x_le90/DOTA10_train_val_taos/config.py,
33,rotated_rtmdet_s_fpn_3x_le90,DOTA-v1.5,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_3x_le90/DOTA15_train_val_taos/config.py,
34,rotated_rtmdet_s_fpn_9x_le90,HRSC2016,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_9x_le90/HRSC_trainval_test_taos/config.py,
35,strip_rcnn_s_fpn_1x_le90,DOTA-v1.0,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA10_train_val/config.py,
36,strip_rcnn_s_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA15_train_val/config.py,
37,strip_rcnn_s_fpn_3x_le90,HRSC2016,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_3x_le90/HRSC_trainval_test/config.py,
38,rotated_rtmdet_m_fpn_3x_le90,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_3x_le90/DOTA10_train_val/config.py,
39,rotated_rtmdet_m_fpn_3x_le90,DOTA-v1.5,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_3x_le90/DOTA15_train_val/config.py,
40,rotated_rtmdet_m_fpn_9x_le90,HRSC2016,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_9x_le90/HRSC_trainval_test/config.py,
41,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val_archive/config.py,
42,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_archive/config.py,
43,oriented_rcnn_r50_fpn_1x_le90,HRSC2016,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/HRSC_trainval_test_archive/config.py,
44,arsdetr_r50_fpn_36e_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DIOR_trainval_test_z4_seed0/config.py,
45,oriented_rcnn_r50_fpn_1x_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test_z4/config.py,
46,rotated_rtmdet_m_fpn_3x_le90,DIOR-R,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_3x_le90/DIOR_trainval_test_z4/config.py,
47,strip_rcnn_s_fpn_1x_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_z4_seed0/config.py,
48,strip_rcnn_s_fpn_1x_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_z4_seed1/config.py,
49,strip_rcnn_s_fpn_1x_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_z4_seed2/config.py,
50,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_seed100/config.py,
51,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_seed200/config.py,
52,strip_rcnn_s_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA15_train_val_naood_seed100/config.py,
53,strip_rcnn_s_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA15_train_val_naood_seed200/config.py,
54,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_adamw_seed123/config.py,
55,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_adamw_seed777/config.py,
56,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_sgd_seed123/config.py,
57,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_naood_multiseed_sgd_seed777/config.py,
58,oriented_rcnn_r50_fpn_1x_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test_naood_full_seed0_lr005/config.py,
59,oriented_rcnn_r50_fpn_1x_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test_naood_seed0_full/config.py,
60,strip_rcnn_s_fpn_1x_le90,DIOR-R,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DIOR_trainval_test_naood_seed0_aligned/config.py,
61,rotated_rtmdet_s_fpn_3x_le90,DIOR-R,rbox,le90,unknown,model_id_suffix,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_3x_le90/DIOR_trainval_test_taos_pad32/config.py,angle_version from model_id suffix (config token absent)
62,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5 exact_iof01,unknown,le90,unknown,model_id_suffix,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_exact_iof01_train_val_taos_12ep/config.py,angle_version from model_id suffix (config token absent)
63,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5 exact_iof01,unknown,le90,unknown,model_id_suffix,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_exact_iof01_train_val_taos_12ep_bs1_accum2/config.py,angle_version from model_id suffix (config token absent)
64,point2rbox_v2_r50_fpn_1x_le90,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_point2rbox_v2_r50_fpn_1x_le90/DOTA10_train_val/config.py,
65,rotated_fcos_r50_fpn_1x_le90_pseudo,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_fcos_r50_fpn_1x_le90_pseudo/DOTA10_train_val/config.py,
66,rotated_retinanet_psc_r50_fpn_1x_le90,DOTA-v1.5 SS,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DOTA15_SS_train_val/config.py,
67,oriented_rcnn_r50_fpn_1x_le90,ICDAR-MLT (跨域 probe M11),rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/ICDAR_MLT_train_val/config.py,
68,rotated_retinanet_psc_r50_fpn_1x_le90,ICDAR-MLT (跨域 probe M11),rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/ICDAR_MLT_train_val/config.py,
69,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_geosense/config.py,
70,h2rbox_v2_r50_fpn_1x_le90,DOTA-v1.0,rbox,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_h2rbox_v2_r50_fpn_1x_le90/DOTA10_train_val/config.py,
71,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val_censored/config.py,
72,arsdetr_r50_fpn_36e_le90,ICDAR-MLT 2019,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/ICDAR_MLT_train_val/config.py,
73,oriented_rcnn_lsknet_s_fpn_1x_le90,ICDAR-MLT 2019,unknown,le90,rad_inferred,config_scan,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/ICDAR_MLT_retrain_v2_nanfix/config.py,
