baseline_id,model_id,dataset,config,checkpoint,repo_env_clue,gpu_suggestion,expected_output_path,needs_prediction_schema_conversion,blocked_reason,executable_now
11,oriented_rcnn_lsknet_s_fpn_1x_le90,SODA-A,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/SODA_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/SODA_train_val/best_mAP_7196_epoch_12.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,,True,blocked_missing_dataset: SODA-A,False
12,oriented_rcnn_lsknet_s_fpn_1x_le90,FAIR1M-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/FAIR1M_train_only_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/FAIR1M_train_only_val/best_mAP_6711_epoch_12.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline12_FAIR1M-v1.0.pkl,True,(none — inference approval-gated),False
13,oriented_rcnn_lsknet_s_fpn_3x_le90,HRSC2016,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_3x_le90/HRSC_trainval_test/cell13_lsknet_hrsc_3x_lr2e-4.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_3x_le90/HRSC_trainval_test/best_mAP_epoch_33.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline13_HRSC2016.pkl,True,(none — inference approval-gated),False
14,arsdetr_r50_fpn_36e_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DOTA10_train_val/best_mAP_6745_epoch_36.pth,ARS-DETR fork mmrotate 0.1.0 / env=ars,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline14_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
15,arsdetr_r50_fpn_36e_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DOTA15_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DOTA15_train_val/best_mAP_6184_epoch_35.pth,ARS-DETR fork mmrotate 0.1.0 / env=ars,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline15_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
16,arsdetr_r50_fpn_36e_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DIOR_trainval_test/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DIOR_trainval_test/best_mAP_4158_epoch_35.pth,ARS-DETR fork mmrotate 0.1.0 / env=ars,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline16_DIOR-R.pkl,True,(none — inference approval-gated),False
17,arsdetr_r50_fpn_36e_le90,SODA-A,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/SODA_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/SODA_train_val/best_mAP_6969_epoch_33.pth,ARS-DETR fork mmrotate 0.1.0 / env=ars,1-4x A30 (single-gpu test first); reproducible multi-proc,,True,blocked_missing_dataset: SODA-A,False
18,arsdetr_r50_fpn_36e_le90,FAIR1M-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/FAIR1M_train_only_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/FAIR1M_train_only_val/best_mAP_6933_epoch_36.pth,ARS-DETR fork mmrotate 0.1.0 / env=ars,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline18_FAIR1M-v1.0.pkl,True,(none — inference approval-gated),False
19,arsdetr_r50_fpn_36e_le90,HRSC2016,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/HRSC_trainval_test/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/HRSC_trainval_test/best_mAP_5135_epoch_36.pth,ARS-DETR fork mmrotate 0.1.0 / env=ars,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline19_HRSC2016.pkl,True,(none — inference approval-gated),False
20,rotated_retinanet_psc_r50_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DOTA10_train_val/best_mAP_5562_epoch_12.pth,onedl-mmrotate 1.1.1 (PSC components) / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline20_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
21,rotated_retinanet_psc_r50_fpn_1x_le90,DOTA-v1.5 MS,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DOTA15_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DOTA15_train_val/best_mAP_4648_epoch_12.pth,onedl-mmrotate 1.1.1 (PSC components) / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline21_DOTA-v1.5.pkl,True,not_applicable: baseline invalid,False
22,rotated_retinanet_psc_r50_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DIOR_trainval_test/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/DIOR_trainval_test/best_mAP_5368_epoch_12.pth,onedl-mmrotate 1.1.1 (PSC components) / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline22_DIOR-R.pkl,True,(none — inference approval-gated),False
23,rotated_retinanet_psc_r50_fpn_1x_le90,SODA-A,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/SODA_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/SODA_train_val/best_mAP_5991_epoch_12.pth,onedl-mmrotate 1.1.1 (PSC components) / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,,True,blocked_missing_dataset: SODA-A,False
24,rotated_retinanet_psc_r50_fpn_1x_le90,FAIR1M-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/FAIR1M_train_only_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_1x_le90/FAIR1M_train_only_val/best_mAP_3462_epoch_12.pth,onedl-mmrotate 1.1.1 (PSC components) / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline24_FAIR1M-v1.0.pkl,True,(none — inference approval-gated),False
25,faa_oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_faa_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_faa_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val/best_mAP_7376_epoch_14.pth,mmrotate 1.x (Phase-Tiny-OBB) / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline25_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
26,rotated_retinanet_r50_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_r50_fpn_1x_le90/DOTA10_train_val/cell26_retinanet_dota10_lr5e-3.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_r50_fpn_1x_le90/DOTA10_train_val/best_dota_mAP_epoch_12.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline26_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
27,rotated_retinanet_psc_r50_fpn_loadfrom_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_loadfrom_le90/DOTA10_train_val/cell27_v2_24ep.resolved.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_retinanet_psc_r50_fpn_loadfrom_le90/DOTA10_train_val/best_dota_mAP_epoch_23.pth,onedl-mmrotate 1.1.1 (PSC components) / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline27_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
28,oriented_rcnn_lsknet_s_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test_taos/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DIOR_trainval_test_taos/best_mAP_5811_epoch_11.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline28_DIOR-R.pkl,True,(none — inference approval-gated),False
29,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val_taos/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA10_train_val_taos/best_mAP_7448_epoch_10.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline29_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
30,oriented_rcnn_lsknet_s_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_train_val_taos_filtered_oom/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_lsknet_s_fpn_1x_le90/DOTA15_train_val_taos_filtered_oom/best_mAP_6862_epoch_11.pth,mmrotate 0.3.4 (LSKNet repo / pcp-obb-soda env) / env=pcp-obb-soda,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline30_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
31,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val_taos_linear_lr/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val_taos_linear_lr/best_mAP_7144_epoch_12.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline31_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
32,rotated_rtmdet_s_fpn_3x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_3x_le90/DOTA10_train_val_taos/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_3x_le90/DOTA10_train_val_taos/best_mAP_7023_epoch_36.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline32_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
33,rotated_rtmdet_s_fpn_3x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_3x_le90/DOTA15_train_val_taos/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_3x_le90/DOTA15_train_val_taos/best_mAP_6570_epoch_36.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline33_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
34,rotated_rtmdet_s_fpn_9x_le90,HRSC2016,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_9x_le90/HRSC_trainval_test_taos/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_s_fpn_9x_le90/HRSC_trainval_test_taos/best_mAP_9054_epoch_28.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline34_HRSC2016.pkl,True,(none — inference approval-gated),False
35,strip_rcnn_s_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA10_train_val/best_mAP_7544_epoch_09.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline35_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
36,strip_rcnn_s_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA15_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_1x_le90/DOTA15_train_val/best_mAP_6986_epoch_10.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline36_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
37,strip_rcnn_s_fpn_3x_le90,HRSC2016,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_3x_le90/HRSC_trainval_test/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_strip_rcnn_s_fpn_3x_le90/HRSC_trainval_test/best_mAP_7232_epoch_36.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline37_HRSC2016.pkl,True,(none — inference approval-gated),False
38,rotated_rtmdet_m_fpn_3x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_3x_le90/DOTA10_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_3x_le90/DOTA10_train_val/best_mAP_7161_epoch_31.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline38_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
39,rotated_rtmdet_m_fpn_3x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_3x_le90/DOTA15_train_val/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_3x_le90/DOTA15_train_val/best_mAP_6744_epoch_30.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline39_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
40,rotated_rtmdet_m_fpn_9x_le90,HRSC2016,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_9x_le90/HRSC_trainval_test/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_9x_le90/HRSC_trainval_test/best_mAP_9065_epoch_32.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline40_HRSC2016.pkl,True,(none — inference approval-gated),False
41,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.0,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val_archive/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA10_train_val_archive/best_mAP_7149_epoch_12.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline41_DOTA-v1.0.pkl,True,(none — inference approval-gated),False
42,oriented_rcnn_r50_fpn_1x_le90,DOTA-v1.5,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_archive/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DOTA15_train_val_archive/best_mAP_6778_epoch_10.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline42_DOTA-v1.5.pkl,True,(none — inference approval-gated),False
43,oriented_rcnn_r50_fpn_1x_le90,HRSC2016,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/HRSC_trainval_test_archive/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/HRSC_trainval_test_archive/best_mAP_6619_epoch_34.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline43_HRSC2016.pkl,True,(none — inference approval-gated),False
44,arsdetr_r50_fpn_36e_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DIOR_trainval_test_z4_seed0/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_arsdetr_r50_fpn_36e_le90/DIOR_trainval_test_z4_seed0/best_mAP_4540_epoch_36.pth,ARS-DETR fork mmrotate 0.1.0 / env=ars,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline44_DIOR-R.pkl,True,(none — inference approval-gated),False
45,oriented_rcnn_r50_fpn_1x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test_z4/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_oriented_rcnn_r50_fpn_1x_le90/DIOR_trainval_test_z4/best_mAP_3969_epoch_11.pth,onedl-mmrotate 1.1.1 / env=pcp-obb,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline45_DIOR-R.pkl,True,(none — inference approval-gated),False
46,rotated_rtmdet_m_fpn_3x_le90,DIOR-R,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_3x_le90/DIOR_trainval_test_z4/config.py,/home/rspip/cqc/pro/study/pth_data/baseline_rotated_rtmdet_m_fpn_3x_le90/DIOR_trainval_test_z4/best_mAP_4577_epoch_35.pth,unknown / env=unknown,1-4x A30 (single-gpu test first); reproducible multi-proc,/home/rspip/cqc/pro/study/orientbench/outputs/bench_core/predictions/real/pred_baseline46_DIOR-R.pkl,True,(none — inference approval-gated),False
