dataset,split,class_name,n,score_definition,score_mean,score_median,score_p10,score_p90,score_mode,not_detector_prediction,not_formal_calibration,not_official_result
DOTA-v1.0,train,large-vehicle,1521,calibrated_gv_obliquity_proxy,0.45551,0.37819,0.23804,0.88683,dry_run,True,True,True
DOTA-v1.0,train,plane,95,calibrated_gv_obliquity_proxy,0.6912,0.58509,0.54603,0.94543,dry_run,True,True,True
DOTA-v1.0,train,ship,46,calibrated_gv_obliquity_proxy,0.79739,0.83759,0.55447,0.9654,dry_run,True,True,True
DOTA-v1.0,train,small-vehicle,837,calibrated_gv_obliquity_proxy,0.58539,0.48371,0.42168,0.94337,dry_run,True,True,True
DOTA-v1.0,train,soccer-ball-field,2,calibrated_gv_obliquity_proxy,0.94125,0.94125,0.94125,0.94125,dry_run,True,True,True
DOTA-v1.0,train,tennis-court,11,calibrated_gv_obliquity_proxy,0.9249,0.92368,0.91639,0.92759,dry_run,True,True,True
DOTA-v1.5,train,baseball-diamond,4,calibrated_gv_obliquity_proxy,0.9077,0.9041,0.90177,0.9165,dry_run,True,True,True
DOTA-v1.5,train,harbor,274,calibrated_gv_obliquity_proxy,0.6926,0.74045,0.33409,0.96594,dry_run,True,True,True
DOTA-v1.5,train,large-vehicle,1705,calibrated_gv_obliquity_proxy,0.49487,0.40732,0.24085,0.95337,dry_run,True,True,True
DOTA-v1.5,train,plane,94,calibrated_gv_obliquity_proxy,0.6946,0.60103,0.53744,0.94548,dry_run,True,True,True
DOTA-v1.5,train,ship,187,calibrated_gv_obliquity_proxy,0.75254,0.79085,0.46424,1.0,dry_run,True,True,True
DOTA-v1.5,train,small-vehicle,4443,calibrated_gv_obliquity_proxy,0.76659,0.86804,0.44695,1.0,dry_run,True,True,True
DOTA-v1.5,train,soccer-ball-field,2,calibrated_gv_obliquity_proxy,0.94125,0.94125,0.94125,0.94125,dry_run,True,True,True
DOTA-v1.5,train,storage-tank,5,calibrated_gv_obliquity_proxy,1.0,1.0,1.0,1.0,dry_run,True,True,True
DOTA-v1.5,train,swimming-pool,2,calibrated_gv_obliquity_proxy,0.95697,0.95697,0.95697,0.95697,dry_run,True,True,True
DOTA-v1.5,train,tennis-court,11,calibrated_gv_obliquity_proxy,0.9249,0.92368,0.91639,0.92759,dry_run,True,True,True
FAIR1M-v1.0,train,A220,77,calibrated_gv_obliquity_proxy,0.58875,0.51984,0.50142,0.84156,dry_run,True,True,True
FAIR1M-v1.0,train,A321,24,calibrated_gv_obliquity_proxy,0.60596,0.55375,0.49754,0.81292,dry_run,True,True,True
FAIR1M-v1.0,train,A330,5,calibrated_gv_obliquity_proxy,0.63101,0.6336,0.52289,0.75499,dry_run,True,True,True
FAIR1M-v1.0,train,A350,5,calibrated_gv_obliquity_proxy,0.60454,0.54075,0.52644,0.74331,dry_run,True,True,True
FAIR1M-v1.0,train,Baseball Field,6,calibrated_gv_obliquity_proxy,0.73891,0.7325,0.60569,0.87854,dry_run,True,True,True
FAIR1M-v1.0,train,Basketball Court,18,calibrated_gv_obliquity_proxy,0.55837,0.49168,0.46284,0.87928,dry_run,True,True,True
FAIR1M-v1.0,train,Boeing737,40,calibrated_gv_obliquity_proxy,0.58641,0.5327,0.50134,0.79734,dry_run,True,True,True
FAIR1M-v1.0,train,Boeing747,10,calibrated_gv_obliquity_proxy,0.5852,0.53023,0.50251,0.74452,dry_run,True,True,True
FAIR1M-v1.0,train,Boeing777,5,calibrated_gv_obliquity_proxy,0.61443,0.54051,0.51811,0.76699,dry_run,True,True,True
FAIR1M-v1.0,train,Boeing787,8,calibrated_gv_obliquity_proxy,0.5779,0.53877,0.51147,0.65743,dry_run,True,True,True
FAIR1M-v1.0,train,Bridge,11,calibrated_gv_obliquity_proxy,0.52403,0.49385,0.21806,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Bus,10,calibrated_gv_obliquity_proxy,0.50136,0.4467,0.32756,0.72402,dry_run,True,True,True
FAIR1M-v1.0,train,C919,4,calibrated_gv_obliquity_proxy,0.79354,0.85764,0.60423,0.93158,dry_run,True,True,True
FAIR1M-v1.0,train,Cargo Truck,46,calibrated_gv_obliquity_proxy,0.67294,0.62989,0.40485,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Dry Cargo Ship,77,calibrated_gv_obliquity_proxy,0.41297,0.36302,0.23272,0.70756,dry_run,True,True,True
FAIR1M-v1.0,train,Dump Truck,226,calibrated_gv_obliquity_proxy,0.66536,0.59544,0.41197,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Engineering Ship,6,calibrated_gv_obliquity_proxy,0.4214,0.41836,0.37474,0.47111,dry_run,True,True,True
FAIR1M-v1.0,train,Excavator,2,calibrated_gv_obliquity_proxy,0.82979,0.82979,0.69363,0.96596,dry_run,True,True,True
FAIR1M-v1.0,train,Fishing Boat,24,calibrated_gv_obliquity_proxy,0.51763,0.4367,0.25382,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Football Field,9,calibrated_gv_obliquity_proxy,0.73947,0.82606,0.50678,0.95474,dry_run,True,True,True
FAIR1M-v1.0,train,Intersection,70,calibrated_gv_obliquity_proxy,0.68496,0.59781,0.52148,0.95746,dry_run,True,True,True
FAIR1M-v1.0,train,Liquid Cargo Ship,23,calibrated_gv_obliquity_proxy,0.42732,0.34181,0.25727,0.76852,dry_run,True,True,True
FAIR1M-v1.0,train,Motorboat,21,calibrated_gv_obliquity_proxy,0.53024,0.43998,0.37496,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Passenger Ship,8,calibrated_gv_obliquity_proxy,0.6036,0.5,0.41442,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Roundabout,7,calibrated_gv_obliquity_proxy,0.93023,1.0,0.80465,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Small Car,1026,calibrated_gv_obliquity_proxy,0.6744,0.60331,0.4355,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Tennis Court,53,calibrated_gv_obliquity_proxy,0.67751,0.57621,0.44636,0.97293,dry_run,True,True,True
FAIR1M-v1.0,train,Tractor,2,calibrated_gv_obliquity_proxy,1.0,1.0,1.0,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Truck Tractor,2,calibrated_gv_obliquity_proxy,0.90075,0.90075,0.89622,0.90529,dry_run,True,True,True
FAIR1M-v1.0,train,Tugboat,4,calibrated_gv_obliquity_proxy,0.50013,0.46478,0.415,0.61353,dry_run,True,True,True
FAIR1M-v1.0,train,Van,942,calibrated_gv_obliquity_proxy,0.70034,0.66257,0.43824,1.0,dry_run,True,True,True
FAIR1M-v1.0,train,Warship,2,calibrated_gv_obliquity_proxy,0.87144,0.87144,0.8196,0.92328,dry_run,True,True,True
FAIR1M-v1.0,train,other-airplane,63,calibrated_gv_obliquity_proxy,0.62497,0.53739,0.49999,0.87143,dry_run,True,True,True
FAIR1M-v1.0,train,other-ship,31,calibrated_gv_obliquity_proxy,0.48931,0.45066,0.34345,0.57905,dry_run,True,True,True
FAIR1M-v1.0,train,other-vehicle,7,calibrated_gv_obliquity_proxy,0.67831,0.6246,0.51253,0.86264,dry_run,True,True,True
HRSC2016,trainval,100000001,149,calibrated_gv_obliquity_proxy,0.42076,0.33614,0.25168,0.74347,dry_run,True,True,True
HRSC2016,trainval,100000003,12,calibrated_gv_obliquity_proxy,0.35136,0.35713,0.26725,0.4821,dry_run,True,True,True
HRSC2016,trainval,100000005,18,calibrated_gv_obliquity_proxy,0.50324,0.43735,0.32127,0.85226,dry_run,True,True,True
HRSC2016,trainval,100000007,87,calibrated_gv_obliquity_proxy,0.35703,0.25525,0.22256,0.65996,dry_run,True,True,True
HRSC2016,trainval,100000008,33,calibrated_gv_obliquity_proxy,0.3813,0.29631,0.2419,0.63963,dry_run,True,True,True
HRSC2016,trainval,100000009,37,calibrated_gv_obliquity_proxy,0.35185,0.26961,0.2065,0.63321,dry_run,True,True,True
HRSC2016,trainval,100000010,8,calibrated_gv_obliquity_proxy,0.31541,0.27635,0.2552,0.43386,dry_run,True,True,True
HRSC2016,trainval,100000011,67,calibrated_gv_obliquity_proxy,0.321,0.21438,0.18938,0.61673,dry_run,True,True,True
HRSC2016,trainval,100000013,8,calibrated_gv_obliquity_proxy,0.58679,0.51912,0.35747,0.84627,dry_run,True,True,True
HRSC2016,trainval,100000015,37,calibrated_gv_obliquity_proxy,0.4195,0.31936,0.26693,0.74838,dry_run,True,True,True
HRSC2016,trainval,100000016,45,calibrated_gv_obliquity_proxy,0.42257,0.34719,0.25435,0.75646,dry_run,True,True,True
HRSC2016,trainval,100000018,2,calibrated_gv_obliquity_proxy,0.54905,0.54905,0.51035,0.58775,dry_run,True,True,True
HRSC2016,trainval,100000019,22,calibrated_gv_obliquity_proxy,0.42791,0.38584,0.2507,0.66626,dry_run,True,True,True
HRSC2016,trainval,100000022,23,calibrated_gv_obliquity_proxy,0.65919,0.75588,0.43342,0.86816,dry_run,True,True,True
HRSC2016,trainval,100000025,19,calibrated_gv_obliquity_proxy,0.44958,0.39196,0.25864,0.71568,dry_run,True,True,True
HRSC2016,trainval,100000026,4,calibrated_gv_obliquity_proxy,0.51609,0.44981,0.32118,0.76401,dry_run,True,True,True
HRSC2016,trainval,100000027,13,calibrated_gv_obliquity_proxy,0.31311,0.24215,0.17521,0.64736,dry_run,True,True,True
HRSC2016,trainval,100000029,11,calibrated_gv_obliquity_proxy,0.36532,0.25371,0.22519,0.67554,dry_run,True,True,True
HRSC2016,trainval,100000030,7,calibrated_gv_obliquity_proxy,0.33167,0.29894,0.26347,0.42839,dry_run,True,True,True
HRSC2016,trainval,100000032,11,calibrated_gv_obliquity_proxy,0.46199,0.40323,0.35858,0.66303,dry_run,True,True,True
