endpoint,relative_path,bytes,sha256
DOTA-v2.0 val annotations,P0305.txt,1849,f1552a808d81ee7dda76cee8762a8f29dedbe6e9b3f1fbd62367d96b497d4334
DOTA-v2.0 val annotations,P0309.txt,537,f625c0dce509d38b65dfa66a5833460eaca8d6140e3b23d7fe1adbd06d85d057
DOTA-v2.0 val annotations,P0329.txt,1575,a088e944c50f8c714a9aabef34049bd3e20b0544e1c50854adb046e5a164d59d
DOTA-v2.0 val annotations,P0331.txt,3053,0b17bc937724ce70e3e2daf19b8c21a78e3845c47b43ea800bf99dc569114f81
DOTA-v2.0 val annotations,P0336.txt,1784,d67c2c53e87595b3658418e5376ca2f3e0ae90af32136356b4d99e62677fb282
DOTA-v2.0 val annotations,P0342.txt,2593,53a4f7aada21b3dd4c9b2494d99bca89343a29bc5cef0a5fe001194a39588eb6
DOTA-v2.0 val annotations,P0347.txt,1541,91e7581a5fe9e351e35373fd1739b8e31dac762ee2e09b9776d422c77832164f
DOTA-v2.0 val annotations,P0348.txt,415,6e975e37b2c9e1ebd221c821a43acac1b92b62fa774ad0137159ea4822aa95bb
DOTA-v2.0 val annotations,P0352.txt,1472,02ac460f0957c3d11c6c12373dc6d36d1a64054358f008130137cd45ebed1c77
DOTA-v2.0 val annotations,P0353.txt,3910,38ce39fa24a749f8d9fb3d8ea6e9e955d58ebd575353d0aa8500a60715397681
DOTA-v2.0 val annotations,P0359.txt,443,d9f4be37a0345c6665064500c9b652b2c3d1eb6ecadb66c8cf93932a93b996c6
DOTA-v2.0 val annotations,P0368.txt,1732,1554472b01bd08cfe70426568c09de40f76cf7f4933e229de82ff8e16cdbf556
DOTA-v2.0 val annotations,P0374.txt,2215,f95eab59d0c23deedcfa269b8bf0b318b33fc687f162e700d708dcd359c9b79c
DOTA-v2.0 val annotations,P0375.txt,3620,b9167dbdb1e3bd5a63a0314b4dec0ccdf5bd34f5c4a26afec3cc7a3a15d6b474
DOTA-v2.0 val annotations,P0377.txt,386,5adc187856c86e4a7d60b9db3deaf7dc82ebcb5dbd1264bb73f052aeec6fbd95
DOTA-v2.0 val annotations,P0382.txt,1524,371c4d4baa1106395fc0732bb299e4ebee2646131e208651b0409a609e679bbe
DOTA-v2.0 val annotations,P0385.txt,697,8ebf0f30d19c9d8900ffa78653173a9228cd50cc50f1f39a61691ecd3311a7a3
DOTA-v2.0 val annotations,P0396.txt,514,2ff42c4289401c77ce8b9afd1e68c71f7e9b22fcbca87892a842a377c99ef623
DOTA-v2.0 val annotations,P0402.txt,381,08b6cca07372b7ae017f22778207f76adbf9a2f06cb63d76155696f9e3a0d723
DOTA-v2.0 val annotations,P0411.txt,2990,01eb17f4be33f592b2f0b6b01bb6298d7691a49068d1cc43adc7faa98f5392a8
DOTA-v2.0 val annotations,P0414.txt,1950,1b751bdd968be8ae49456f43b454057832c7473ea0e77728bbf531d37860f6de
DOTA-v2.0 val annotations,P0420.txt,1628,9ad48546f9c15281b39496f846a904a6f5f724c43f5b038ae5b32508113e589b
DOTA-v2.0 val annotations,P0432.txt,949,e4ec70b716830d295479b3cbd6a684deac63e75dd7836c0213a2d219579d6531
DOTA-v2.0 val annotations,P0454.txt,8981,578e18779607917525b7d37fe58f322ff6eea76217681e2c0f3e68cf40993c14
DOTA-v2.0 val annotations,P0457.txt,800,d425308af22766c028b4e87d47a63c909d34008dc2e0f11b792b6dcc7d2c4e18
DOTA-v2.0 val annotations,P0466.txt,1039,a93b1ba67b049c94c105bc45fa4446819fb7d2858011d416353228962c3674c2
DOTA-v2.0 val annotations,P0476.txt,5371,1e249275b7228f0648abeeca762fd9b711b54a32bf8b7201486b1df114483878
DOTA-v2.0 val annotations,P0486.txt,4207,2a4067b727a362cba5c827b7e28b3f4d5e07fa85340a1f559a214fb1c9c888b7
DOTA-v2.0 val annotations,P0491.txt,572,5e34d3a5a9d65dafa8f7a5bd80546c4fcfbacb00797a24290caa2379c3bb0455
DOTA-v2.0 val annotations,P0499.txt,782,3acc736f2ea415e4d8309436de7b851a9da605406cddf1bb48f3725fed3278b8
DOTA-v2.0 val annotations,P0518.txt,532,7501e1bc1ab1af8c930a96699dd1da9beb26f13516346b621098b441f4cf9c25
DOTA-v2.0 val annotations,P0524.txt,862,e288310494209a7406cf990a2e20358dd750831cbac3c3193ce94239cf7e14c7
DOTA-v2.0 val annotations,P0525.txt,535,1ee11c600ce3b0c403cd0c98926662b1a27417126304c32b652c1a0b8fc73a1b
DOTA-v2.0 val annotations,P0526.txt,793,629de2b58b8ea2ccdd50f1db6e1d284f34b190a89897240cd216a8888664f5be
DOTA-v2.0 val annotations,P0543.txt,418,1079de7a0f843f347ef7e3d8f532fd40522ca666661644510e9b41b9b379d72a
DOTA-v2.0 val annotations,P0547.txt,3354,1b82f8841536fc2fcddbf6c4f530f0ed4ffc8b36257fbb70d9745f6e11eacff5
DOTA-v2.0 val annotations,P0550.txt,1414,79b157501e683a4d541a61b9af54b4b1d7c3daee0ff8113b7b4cc50f55bc88a6
DOTA-v2.0 val annotations,P0551.txt,552,ce8ef254a054e4a4f1f8fdb0c198516e65fb648737e9ba2258cf4dbb9a248328
DOTA-v2.0 val annotations,P0557.txt,827,6f79cc99db8aff9774d9776095dea3ce99b5d3eb38a522016e3e621219162549
DOTA-v2.0 val annotations,P0558.txt,647,37f5ec425f17d0df8d8fc543bbed15424ce6105f29a8493402a717115cdd0a05
DOTA-v2.0 val annotations,P0559.txt,1851,65c62f4c32112f17057d229e8e10eda4a8b5f2a27c19e9eb64d210039786ae48
DOTA-v2.0 val annotations,P0564.txt,661,efaf9ecd9d915968d38384c37429304a09c4e495260e754b78243b86121b162f
DOTA-v2.0 val annotations,P0577.txt,530,277856d653be3d874ed7becd9bd5450257b63445451bc61b8fd3b2bf859271b2
DOTA-v2.0 val annotations,P0579.txt,718,ad4fe2e84b24d18f99699facc5788759ce1d2b1bd9ad8ca515cf9c316c177ff1
DOTA-v2.0 val annotations,P0583.txt,767,e9525c3f03cf3b73ed32e09eaf9c2aae23908c6f9d5001b63a20d7b85fb632b5
DOTA-v2.0 val annotations,P0589.txt,416,c4c8d83c4a4c4c96290cc97c5089f7eb54947cd01069c42901c14741df4dc1af
DOTA-v2.0 val annotations,P0590.txt,8465,f016fef5e5dacca4c22d643f7fd610d833e2bf02ca3324eaf17f3d15d17de939
DOTA-v2.0 val annotations,P0604.txt,2630,11b324341c91b1ddcd0473fe33e292e07de32d691464dd227dc0b34cdf49c85c
DOTA-v2.0 val annotations,P0613.txt,521,1856f488065e83d8dccc8d35d5b6358d3fbd5cf8dedee696f1a0a287debaa25d
DOTA-v2.0 val annotations,P0615.txt,956,8504d35fb758819f0b1cd8a9e813decad46291b640b2633b19a0d601e7cf6cb2
DOTA-v2.0 val annotations,P0622.txt,647,5670fbb90f4e229762e8f674c633e0f1fd8814c3d8e41bfabdd1bf6f1810f8a7
DOTA-v2.0 val annotations,P0623.txt,3589,f6b6a0bfffe9ff16fd55b332caeeee12ba3c2cc7dd972a49bcad603d7d40eba4
DOTA-v2.0 val annotations,P0643.txt,1661,c0845a12acd79ef511daf60976aa97a8a489a1e6496ac64b99243994e3730a99
DOTA-v2.0 val annotations,P0647.txt,505,d1f89a824ba89a7dd3493002f539da6f697e2f010967feb388e32260a5184a13
DOTA-v2.0 val annotations,P0650.txt,633,c37eb1f38b95afe096d0f2767d581c65ebe3563d3add04f22762a0aeec612558
DOTA-v2.0 val annotations,P0651.txt,1006,4a3547530e9435bfac066d93efa43b951828ae96ba03bd53878055f486d872bd
DOTA-v2.0 val annotations,P0654.txt,1483,84c2c26d09dc81529704421cd16925f94a03e7c4e545d5fcbc048e6ec49c6dcd
DOTA-v2.0 val annotations,P0659.txt,389,0e11b9db99824a6d9f607d7110c54cbd31701d2a9ada96b96c63c4faa698fed3
DOTA-v2.0 val annotations,P0660.txt,962,681968c547957a403b1f2a41e350fd7fe10694ec21fb8d96fb9040ceba63e2aa
DOTA-v2.0 val annotations,P0665.txt,2918,940f16d20050991757cfe1f24702625e7ac632a1294917b32181d0387f5a54e8
DOTA-v2.0 val annotations,P0673.txt,788,75a8d403db3c5a44f281b0749b6f05e45fb21bd66182ac35d4302f9858cad8db
DOTA-v2.0 val annotations,P0683.txt,17633,2b09a2f6e2b3df8ab4f918a45f4e8121be8cdfeaf143ce5165c57b91578429e5
DOTA-v2.0 val annotations,P0684.txt,1017,4ea73c0d76d21f001ae61f3ffba5f79152a5f1e74d0ce03ab9c31a881c463fba
DOTA-v2.0 val annotations,P0696.txt,44914,400e60b1b6021d59df4e62d52970580fbb95f463aa2350be25e299dce39aa46e
DOTA-v2.0 val annotations,P0704.txt,20318,9d138f4f3184c4600b11084927c5acf7807f6f65de3b064124fb6c12480f2ea2
DOTA-v2.0 val annotations,P0706.txt,37786,7ab10b6e2a452d4b8d6b043339f490f0396f1c0f971c9449a0c5bdc339716109
DOTA-v2.0 val annotations,P0712.txt,3527,4c4ec728af658d6227a370f090cca22ccc977d5e56fa692feed855be65cdcf33
DOTA-v2.0 val annotations,P0715.txt,4349,188472ec4203a2103c1b3c9e11d9f8a32dbf335af00eccd3d7b0ee9556d31326
DOTA-v2.0 val annotations,P0725.txt,3370,151bcd2ad63ef9961e70ce78709e4a795878d557bb98b9ca71bdaae1df5564ba
DOTA-v2.0 val annotations,P0729.txt,2158,157ba2035de7948417c62984017abbcc6a28c9c40dfeca455ae0c893adc34fa3
DOTA-v2.0 val annotations,P0749.txt,3828,3ef06374d6fdd7184d3901865d3804fe2d800e750bc406324929252433c6dd1a
DOTA-v2.0 val annotations,P0761.txt,6958,ec75d1af91bd6640912b4e8a3e108f0e84e4ce5ea7fde2d7c719c117b48ac105
DOTA-v2.0 val annotations,P0763.txt,6390,a99ff3e9a0a191f270e2366f322a4c78431f42caaefc39fdaeaf0f72d47b571f
DOTA-v2.0 val annotations,P0764.txt,6117,fadeaee3a6779fc5b0f1c502449894a6ebd97244532aee298660c83e8fe02ffb
DOTA-v2.0 val annotations,P0770.txt,9300,97d5b143af837b984fd3d15cf1a20f57d19f14e9ee7b3fa82ba8fd7f2ee8ea73
DOTA-v2.0 val annotations,P0787.txt,4831,801123d2be5a7e669e781ff04b68e6ed396650f33b0c4cb98dc74c8b6ee11e09
DOTA-v2.0 val annotations,P0789.txt,18990,79d05713751353da82a9e68b314f454c9a3a653e1003dbc9a34b931b640ec8c6
DOTA-v2.0 val annotations,P0791.txt,3881,030d55d8763f050013480bf0206a6f580468aa273a6702dc874ccb385fcc2e06
DOTA-v2.0 val annotations,P0795.txt,21141,2e755e8eb106edb6181e25da7bf2115c43bfb2a70e37511c1804e34e02d830d7
DOTA-v2.0 val annotations,P0796.txt,18274,dbd44b150e261bcaa02273accd9e2747c776e8ec349438095800f7e564a46288
DOTA-v2.0 val annotations,P0799.txt,25200,e0147c7d0b4a94a485cf1c61051308bab8ffff5960aad604f0e9c6f8a28e2055
DOTA-v2.0 val annotations,P0801.txt,28721,e3b63b776db0aa3840073e624d0d1116901b3a009f627e3e56a7f4bc8815398c
DOTA-v2.0 val annotations,P0814.txt,1050,c355da96d228faeed18739cc1f66379624f5fa968cda37d18207af90f0ecb48d
DOTA-v2.0 val annotations,P0815.txt,514,7f149ad5dae80aa092930469e0f2040e9bb19aa2cb9782478d7ab5df1d402022
DOTA-v2.0 val annotations,P0816.txt,1991,1038ac3cc556b1d369afa4b381d04b4daef89d4d8c6c30e33292b811210c4f3e
DOTA-v2.0 val annotations,P0822.txt,516,7ddc0464d400179e67ccc8d7fbbcef5b2231b00e5a5cc0a3a59146d45a627baa
DOTA-v2.0 val annotations,P0833.txt,3511,9f71830757717c920e6120b2babc2faff60aa8c7445fc0eb85ed95e20f898206
DOTA-v2.0 val annotations,P0837.txt,14455,405d729032088bf7ebb1ea7ef61b3d8fba58b81e493c0aa45fe68dc32f7904e1
DOTA-v2.0 val annotations,P0838.txt,39304,ed4cca10d87ca8cfa962f7514d5ce1c8a85d5d134c4d5deac6f422cefbdce415
DOTA-v2.0 val annotations,P0839.txt,26511,bdaf595c40af0fbcc14f51f04df2b922d0c9368c8d4ac3b15a1e535798815f8e
DOTA-v2.0 val annotations,P0841.txt,32998,24fe3875e57b769f73d709cb60896a8692d818d92f8593a06471278b795e35ef
DOTA-v2.0 val annotations,P0844.txt,629,ddd5474e3413c582037c7486708cc1583c12209939a07fdff98972351d10bc6b
DOTA-v2.0 val annotations,P0858.txt,34157,3672cf8bc5039eaceb0dd6f7107825d6dd4e45cb3c07ca3b48023a0ed299fd4f
DOTA-v2.0 val annotations,P0864.txt,43606,81b0a86233bdc0e7b185c7b5ba11c86126d629360dad3783e06a935b486c7670
DOTA-v2.0 val annotations,P0882.txt,4917,35b9c6da3d2938b677690f26f11bccc339ed667e182706743f2082d4ab348475
DOTA-v2.0 val annotations,P0887.txt,16980,aee1c00d6404f9dbcf055d893e0258979847b28d33e4d53f6d73fd29714c8fdc
DOTA-v2.0 val annotations,P0897.txt,128192,4c776a237e579300f9b0bf5e4e04f5c5ba6dc325de124c0fc27e52b2b067bdf7
DOTA-v2.0 val annotations,P0904.txt,1389,b355899f3e9f2755fa10964b033d793110d9326fcad5841f3e1699967537c113
DOTA-v2.0 val annotations,P0910.txt,8911,dc24bc2c7b4a6c2748bf5674fc7db988652c625d6a4111518f1e1d7a2c232c0b
DOTA-v2.0 val annotations,P0929.txt,2018,319de7858424ddc594d922fe97ea2c424200e72be0b264855556fa770927e50c
DOTA-v2.0 val annotations,P0932.txt,864,1b7431fac834296cf654385f6870a5704a392ea267b0aa03e95087c9fbe95c9c
DOTA-v2.0 val annotations,P0936.txt,4350,ee39b057f3d2d6a843c837a87269e119dd48a13cf8eb393277a830d53a19760b
DOTA-v2.0 val annotations,P0945.txt,4623,2c1931117a96815cdfb9928ba02b8a375f05ee9466e4d5d9244fb8ebd4cb6432
DOTA-v2.0 val annotations,P0949.txt,2019,4a241452fec34020e1ad636c0e417853ba2eba71b6585725db7e33ab8189ed5f
DOTA-v2.0 val annotations,P0953.txt,1464,3be9f8762ab938d18afe1bad14cbe23e9bb8ef8534407ec6cdbfeabddb828cde
DOTA-v2.0 val annotations,P0961.txt,7198,3b11dfedce50b10a687dbd023750adfd7d81ac0f04ae683cfc669b79c974ae01
DOTA-v2.0 val annotations,P0962.txt,781,40d5a8d0f0d70ea3bee674035a9f26a041b2d2ac8f122b90e5e9166158e229d0
DOTA-v2.0 val annotations,P0964.txt,1269,e6fa13d780f11ee92a1d3ca586b2e135318735cc47e8e26a79334adaee409b0c
DOTA-v2.0 val annotations,P0968.txt,798,ac2f4300a11c34b997631e1a72d18dbd07f647037ab5c2be511b9a0282176146
DOTA-v2.0 val annotations,P0969.txt,2798,2db6d19b896bed2477551b52a2fd3ffcad135f8ac29e1e8ac105fb759602c40f
DOTA-v2.0 val annotations,P0970.txt,1584,9a875eea2947d5f90388761a8c2bb2167df70f319b20725bfb930f5b6282372f
DOTA-v2.0 val annotations,P0974.txt,708,92bf6788d921f1774c4e0c7a35cf94c67b40a66bfebfbceef2b6619f98444cff
DOTA-v2.0 val annotations,P0977.txt,1783,15a9e00bacf08145bd181a726994334bb4fa6ace53459df54c692054e779ffec
DOTA-v2.0 val annotations,P0989.txt,1974,e9840d1b138b6b3b533106a8fca400dc6890eb4fb730cc26742ab3ceb61c04b4
DOTA-v2.0 val annotations,P0990.txt,6056,eaa79b090538f7a8d3754103817770f772d55598f3a5514814f7888f27cbb712
DOTA-v2.0 val annotations,P0998.txt,2358,17f459ea1b1215ed47ae397a5492e7640c2fc1a81ed77066dd000b3ac407d9af
DOTA-v2.0 val annotations,P1005.txt,4973,3a7602ed41437057b931def7b70a124f691988f4bd2ea206fb4e6f3f6d9451be
DOTA-v2.0 val annotations,P1007.txt,7803,a9d0d781ead35dc41170f63498372bc949003bc1a47607ed782c414ba0983eac
DOTA-v2.0 val annotations,P1009.txt,28161,bbed390cb67b9a3fdfecb313a0bc29c4de48a3381ea94c75714b003dffbf98e3
DOTA-v2.0 val annotations,P10090.txt,110042,3eb23db0c1c61d79e7d857ae58e9f82112148677318dbfe6e7a30b115103771d
DOTA-v2.0 val annotations,P10105.txt,170,9577cc9b219d44714ccaca6b345d2ef3954f948b625a8194abe0f7b5a9d676bc
DOTA-v2.0 val annotations,P10137.txt,397,87dcec21d82a12ced36ed2c2465491bd3760b107b1aa65384f8a77533205583e
DOTA-v2.0 val annotations,P1014.txt,21177,f108e28237aeee1507ccb939ce09bbf90d73181f9e0296596a3005fd3470748e
DOTA-v2.0 val annotations,P10164.txt,113,bebfe648dae7b6f67e16ad4e46fd7319870ae00a53bd6827675b8d990ce490a5
DOTA-v2.0 val annotations,P1021.txt,1253,dda7813d23b3db7e83f944b7ec2cb7cc85807c0c8f46b6253ab98cc4afd8bf92
DOTA-v2.0 val annotations,P10210.txt,113,51af37f367905301c90dba0619e4ec492f0b89672cd643bb131ddcb470bbb7b0
DOTA-v2.0 val annotations,P1022.txt,965,a5bd30b365d371197c2995b73ba8421d341fe48f064bbe136cdfec582bfbc23a
DOTA-v2.0 val annotations,P1023.txt,3150,07dc39140dc348d8b3b4ccbea97485ea1028bcd90a87ea27daa1b4634e1b63f2
DOTA-v2.0 val annotations,P10251.txt,111,f7f50bb58e132131b2e2cbac0d9af5530206f131500247379768226541c5d288
DOTA-v2.0 val annotations,P1029.txt,2941,3185c6af1c6cb8ca129ea6eed30af8476a66b8fe0596aef3e052c20203b67737
DOTA-v2.0 val annotations,P1030.txt,9993,d0c6c464e9ee97013746a0e4b77463a7d254fb1e3e5c197a58acc783e73422dd
DOTA-v2.0 val annotations,P10442.txt,113,78145d0c71e73577b4eda9b47a6e3640a4c6e5fb6dfbf45ae91bf41dfa9a3744
DOTA-v2.0 val annotations,P1051.txt,6007,6efbcad81969f2a728b8f423639c5f156b886c39bd22705bf5ed885b27bc16c7
DOTA-v2.0 val annotations,P1065.txt,6421,f4ba2e7383055b427702a519e6283216823b91e431add185655e927fab664748
DOTA-v2.0 val annotations,P1066.txt,2308,822c29b95d5b195d9ddea362f07444f5bb671934fcd703a31d860e641cd99a3c
DOTA-v2.0 val annotations,P10733.txt,113,0bacae054f4cde03ee30b4d1a5504d74ede11606075a9315811b180bd5a70735
DOTA-v2.0 val annotations,P1075.txt,26533,7e32ccc22d6b5a8cd480983daa51f73623107a5a8c4d570a4a9c760fec5e3f27
DOTA-v2.0 val annotations,P10795.txt,634,37a3761f1b01151c77493a227a977c11c20629126887b77108dabf201a08d2ed
DOTA-v2.0 val annotations,P10802.txt,111,426eb5e85dc5e13871f9927fecb5a87596d05df0d08efed8c9fb6ecef2f767ff
DOTA-v2.0 val annotations,P10810.txt,113,10a4d2a587fa9f5cf55f4c3b4b8b74af16a4cc07f0cfeaaceab19ede0cfe435c
DOTA-v2.0 val annotations,P1086.txt,691,18d4e3f92fb72da74ec1b2ca90425fc631a79fe006e32a9221a44b416b096d9e
DOTA-v2.0 val annotations,P1088.txt,2093,bcbee5a52691bbd1d6d2e1ac2b17c8986621c3c2921f672ca1d08d1b5042e55e
DOTA-v2.0 val annotations,P1090.txt,17723,8928bd0bb7d7f8eb9d95e60ba30a11bcf5355c3e3382af58ffe010514a7e10d4
DOTA-v2.0 val annotations,P1091.txt,2487,5e19bf14755a2e5f9dad63a9a46c0ed3daabcdd6ac6747c3e8a07f009aaaea46
DOTA-v2.0 val annotations,P1095.txt,3621,d91bef7ddbb4abd08443d422c210d90a64a1d9ba43072752460c18de4b2ac3f6
DOTA-v2.0 val annotations,P10956.txt,4363,0b03e991328219fa86964a17801eb538d6319718b43992fa968a3f794fcf9ce4
DOTA-v2.0 val annotations,P1099.txt,706,fa37f286b2e14a0a1eb69c243edd772220a9bf2521bc2bf6c7c0d82c36423a35
DOTA-v2.0 val annotations,P10994.txt,113,775dacc1cdf1a0461700819f85059504301bf757eefd593ee064237f0180b693
DOTA-v2.0 val annotations,P1101.txt,575,0fcd3c605989630c978a0dbf046476e27145373e403cd4c7cc5176aa447bb431
DOTA-v2.0 val annotations,P1103.txt,1873,4651c74023413d1d1f14f82c1a70b34adff625f830a101ae16ffff6ba26dc7ef
DOTA-v2.0 val annotations,P1122.txt,1683,eca68f941e6ede05855b4e65f374576f9346e1f8617ec14ef48d6def212b39a7
DOTA-v2.0 val annotations,P1128.txt,231,8dabbd5c9db3bd10b976adca47cb6985295010b3787d2d874bbde9381dadf193
DOTA-v2.0 val annotations,P1133.txt,177,4df6f83dfb399579cc4258afe980f367c220b6044c8272e456e46b0df08846b9
DOTA-v2.0 val annotations,P1134.txt,250,789ee42a2465121558141b3bfe2ea4d485b0cc9f3fe539849d5062a65cf59d44
DOTA-v2.0 val annotations,P1137.txt,233,f2861e33ddbded61b6b430edd6e8eea674105e41f7eb6569cebc029a67fa40a9
DOTA-v2.0 val annotations,P1138.txt,182,73d27b9ac52a023a87b19b087e72d22b37e3bf521eac36c1387cbff08310ff13
DOTA-v2.0 val annotations,P1143.txt,2599,765d68dbac21027a565b58c805529e5db128b0ac2b11df6d38926bb34388d607
DOTA-v2.0 val annotations,P1147.txt,1220,f36a16814d4e7cc1825de68038759a1c55ec3d800016cc520ebcc4088ded7f14
DOTA-v2.0 val annotations,P1149.txt,1188,3cedd4ef4bd50cc490a9295ae67fd1761310c257f867045363bae91c3623bf9d
