unit,cutoff,endpoint,rows,delta_linear_minus_raw,status,cohort,probe,value
rtmdet,2.1,Risk@70,34385,0.004339282099262071,DESCRIPTIVE,,,
rtmdet,2.2,AUGRC,31722,0.0022780603431900442,DESCRIPTIVE,,,
rtmdet,2.2,Risk@70,31722,0.0042894043182800795,DESCRIPTIVE,,,
rtmdet,2.3,AUGRC,29687,0.0023243179825289256,DESCRIPTIVE,,,
rtmdet,2.3,Risk@70,29687,0.004196955188242202,DESCRIPTIVE,,,
rtmdet,2.4,AUGRC,27832,0.002355009931414735,DESCRIPTIVE,,,
rtmdet,2.4,Risk@70,27832,0.004175563089991438,DESCRIPTIVE,,,
rtmdet,2.5,AUGRC,25666,0.002473637913494045,DESCRIPTIVE,,,
rtmdet,2.5,Risk@70,25666,0.004269330820965686,DESCRIPTIVE,,,
rtmdet,2.6,AUGRC,23558,0.0025939186949408,DESCRIPTIVE,,,
rtmdet,2.6,Risk@70,23558,0.004364175504910306,DESCRIPTIVE,,,
rtmdet,2.7,AUGRC,21406,0.0027721666445306332,DESCRIPTIVE,,,
rtmdet,2.7,Risk@70,21406,0.004672806734827201,DESCRIPTIVE,,,
rtmdet,2.8,AUGRC,19176,0.0029431977749557053,DESCRIPTIVE,,,
rtmdet,2.8,Risk@70,19176,0.004833756081517336,DESCRIPTIVE,,,
rtmdet,2.9,AUGRC,17107,0.0031922090022733704,DESCRIPTIVE,,,
rtmdet,2.9,Risk@70,17107,0.005408306702338543,DESCRIPTIVE,,,
rtmdet,3.0,AUGRC,15128,0.0034509174932904237,DESCRIPTIVE,,,
rtmdet,3.0,Risk@70,15128,0.006186605022310686,DESCRIPTIVE,,,
rtmdet,2.1,AUGRC,34385,,DESCRIPTIVE,MAIN,raw_confidence,0.025077941153996072
rtmdet,2.1,AUGRC,34385,,DESCRIPTIVE,MAIN,linear_source_frozen,0.027440798535929966
rtmdet,2.1,Risk@70,34385,,DESCRIPTIVE,MAIN,raw_confidence,0.05021434716148424
rtmdet,2.1,Risk@70,34385,,DESCRIPTIVE,MAIN,linear_source_frozen,0.05455362926074631
rtmdet,2.1,Risk@90,34385,,DESCRIPTIVE,MAIN,raw_confidence,0.053962722078601304
rtmdet,2.1,Risk@90,34385,,DESCRIPTIVE,MAIN,linear_source_frozen,0.054552752247703666
rtmdet,1.0,AUGRC,51736,,DESCRIPTIVE,ALL_AR,raw_confidence,0.04504209507939958
rtmdet,1.0,AUGRC,51736,,DESCRIPTIVE,ALL_AR,linear_source_frozen,0.0314322300984928
rtmdet,1.0,Risk@70,51736,,DESCRIPTIVE,ALL_AR,raw_confidence,0.0842819114456542
rtmdet,1.0,Risk@70,51736,,DESCRIPTIVE,ALL_AR,linear_source_frozen,0.054678255971630764
rtmdet,1.0,Risk@90,51736,,DESCRIPTIVE,ALL_AR,raw_confidence,0.09265796227897702
rtmdet,1.0,Risk@90,51736,,DESCRIPTIVE,ALL_AR,linear_source_frozen,0.07633603554255236
