dataset,unit,cutoff,endpoint,rows,delta_linear_minus_raw,ci_low,ci_high,bootstrap_replicates,status
DIOR-R,B,1.6,AUGRC,32795,0.0006217322794330321,0.0004850900270428971,0.0007890071332096176,200,DESCRIPTIVE
DIOR-R,B,1.6,Risk@70,32795,0.0008120129140099797,0.0001494534951780098,0.0015224582380353672,200,DESCRIPTIVE
DIOR-R,B,1.6,Risk@90,32795,-6.977336437597598e-05,-0.0004037473685881808,0.00024081084267277481,200,DESCRIPTIVE
DIOR-R,B,1.7,AUGRC,31853,0.0006350348281140006,0.000498965321731584,0.0007944904985874208,200,DESCRIPTIVE
DIOR-R,B,1.7,Risk@70,31853,0.0009796992424011969,0.0004676492157991756,0.00161537737673602,200,DESCRIPTIVE
DIOR-R,B,1.7,Risk@90,31853,-7.034896098634391e-05,-0.0003539658588421809,0.00022935254384449103,200,DESCRIPTIVE
DIOR-R,B,1.8,AUGRC,31116,0.0006406531953015021,0.0005007788041979459,0.0007970962144282407,200,DESCRIPTIVE
DIOR-R,B,1.8,Risk@70,31116,0.0011092636027260974,0.0005235919150584242,0.0017368100846153309,200,DESCRIPTIVE
DIOR-R,B,1.8,Risk@90,31116,-7.329098528565531e-05,-0.00033350129165989165,0.00026531948067113205,200,DESCRIPTIVE
DIOR-R,B,1.9,AUGRC,30303,0.0006574707574075397,0.0005058401157122789,0.0008117287543426186,200,DESCRIPTIVE
DIOR-R,B,1.9,Risk@70,30303,0.001281795561387175,0.0005077653647656211,0.0018120324227598988,200,DESCRIPTIVE
DIOR-R,B,1.9,Risk@90,30303,-1.9541777020744278e-05,-0.00037660354721436186,0.00023446112461871405,200,DESCRIPTIVE
DIOR-R,B,2.0,AUGRC,29635,0.000682744051741728,0.000516698959082692,0.0008316377216766503,200,DESCRIPTIVE
DIOR-R,B,2.0,Risk@70,29635,0.0014130600130144097,0.0005947629382602019,0.0018772810623716427,200,DESCRIPTIVE
DIOR-R,B,2.0,Risk@90,29635,-5.0409233159277866e-05,-0.00037365579806824465,0.00025595000204308474,200,DESCRIPTIVE
DIOR-R,B,2.1,AUGRC,27682,0.0006752137535264158,0.0004912870301953664,0.0008293913024331631,200,DESCRIPTIVE
DIOR-R,B,2.1,Risk@70,27682,0.0013852126690103786,0.00050961511966427,0.0019059994175878259,200,DESCRIPTIVE
DIOR-R,B,2.1,Risk@90,27682,-7.715326599388311e-05,-0.0004378991753022308,0.00028771031947238333,200,DESCRIPTIVE
DIOR-R,B,2.2,AUGRC,24693,0.000673999645652637,0.00048546219427117703,0.000847296294439624,200,DESCRIPTIVE
DIOR-R,B,2.2,Risk@70,24693,0.0011298927926313915,0.0004537427709459519,0.0019385843414236104,200,DESCRIPTIVE
DIOR-R,B,2.2,Risk@90,24693,-0.00014230948948286415,-0.0005249784149200874,0.00028299915293917844,200,DESCRIPTIVE
DIOR-R,B,2.3,AUGRC,23139,0.0006961578727062295,0.00048313258312673423,0.0008887950081987724,200,DESCRIPTIVE
DIOR-R,B,2.3,Risk@70,23139,0.0013794749522550859,0.00045497735029896623,0.0021691262641723038,200,DESCRIPTIVE
DIOR-R,B,2.3,Risk@90,23139,-0.0002059483591123623,-0.0007009714454531069,0.00025782780467128427,200,DESCRIPTIVE
DIOR-R,B,2.4,AUGRC,21532,0.0007213487863159708,0.0005009636886010733,0.0009314498675045914,200,DESCRIPTIVE
DIOR-R,B,2.4,Risk@70,21532,0.0013665757676839321,0.00046255314507954624,0.0022892712302133578,200,DESCRIPTIVE
DIOR-R,B,2.4,Risk@90,21532,-0.00019818650104719976,-0.0007986640037961566,0.00021544363359491395,200,DESCRIPTIVE
DIOR-R,B,2.5,AUGRC,19783,0.0007803739848711022,0.0005421388769804014,0.00103641807681554,200,DESCRIPTIVE
DIOR-R,B,2.5,Risk@70,19783,0.0013743488164106449,0.0003672614494725125,0.002407896148113184,200,DESCRIPTIVE
DIOR-R,B,2.5,Risk@90,19783,-0.0002489917559039337,-0.0008492450478116562,0.00023286488624154922,200,DESCRIPTIVE
DIOR-R,B,2.6,AUGRC,17718,0.0008227577599019403,0.000546803435127145,0.0010966141369807261,200,DESCRIPTIVE
DIOR-R,B,2.6,Risk@70,17718,0.0013909873077947096,0.0005489126880174206,0.002501825351555628,200,DESCRIPTIVE
DIOR-R,B,2.6,Risk@90,17718,-0.00015846129045558877,-0.0008073233725322008,0.0002765558517553001,200,DESCRIPTIVE
DIOR-R,B,2.7,AUGRC,15651,0.0008656251414430258,0.0005964895304691315,0.0011666713884880447,200,DESCRIPTIVE
DIOR-R,B,2.7,Risk@70,15651,0.0015038855399128817,0.0004982570675661353,0.002599835146344736,200,DESCRIPTIVE
DIOR-R,B,2.7,Risk@90,15651,-0.0003210250841388443,-0.0008628121013496122,0.0002199763176766944,200,DESCRIPTIVE
DIOR-R,B,2.8,AUGRC,13703,0.0008753451946028126,0.0005887408438481412,0.0011692432585761823,200,DESCRIPTIVE
DIOR-R,B,2.8,Risk@70,13703,0.001376423923794376,0.00022141789956098436,0.002335761756217358,200,DESCRIPTIVE
DIOR-R,B,2.8,Risk@90,13703,-0.0003806973563824437,-0.0008883610494300064,6.760752387439946e-05,200,DESCRIPTIVE
DIOR-R,B,2.9,AUGRC,11731,0.0008851755283964466,0.0005621332547132872,0.0011784919449434538,200,DESCRIPTIVE
DIOR-R,B,2.9,Risk@70,11731,0.0015192537637820358,0.0002583916842573926,0.00252134619289097,200,DESCRIPTIVE
DIOR-R,B,2.9,Risk@90,11731,-0.0004780260321583171,-0.001098887811582954,-1.221310766812717e-08,200,DESCRIPTIVE
DIOR-R,B,3.0,AUGRC,10316,0.0009804413112976355,0.0006028130125059262,0.0013127693358066692,200,DESCRIPTIVE
DIOR-R,B,3.0,Risk@70,10316,0.0020289968080478213,0.0006673767977323747,0.0030936130400899273,200,DESCRIPTIVE
DIOR-R,B,3.0,Risk@90,10316,-0.00043190916251412137,-0.0010237269887125168,0.00018923290604041574,200,DESCRIPTIVE
DIOR-R,C,1.0,AUGRC,47881,-0.010645076500794812,-0.012063212180820515,-0.00920283980667213,200,DESCRIPTIVE
DIOR-R,C,1.0,Risk@70,47881,-0.02160929366661661,-0.025823311291091708,-0.01764747414016291,200,DESCRIPTIVE
DIOR-R,C,1.0,Risk@90,47881,-0.014001816721302227,-0.015660352557251015,-0.01204498323047469,200,DESCRIPTIVE
DIOR-R,C,1.1,AUGRC,41057,-0.0004197300924686856,-0.0010722717856735127,0.0002965054046310855,200,DESCRIPTIVE
DIOR-R,C,1.1,Risk@70,41057,-0.004263114186363506,-0.0067088211746320885,-0.001954217880257584,200,DESCRIPTIVE
DIOR-R,C,1.1,Risk@90,41057,-0.00907052050744002,-0.010808082351946495,-0.006874241819284212,200,DESCRIPTIVE
DIOR-R,C,1.2,AUGRC,37632,0.0015388983724054228,0.0011217989783804947,0.0019769810689200355,200,DESCRIPTIVE
DIOR-R,C,1.2,Risk@70,37632,0.0011712086785982262,-0.00039395233375623704,0.002643549710295545,200,DESCRIPTIVE
DIOR-R,C,1.2,Risk@90,37632,-0.003879134795347794,-0.005066717353892319,-0.0027202911081526996,200,DESCRIPTIVE
DIOR-R,C,1.3,AUGRC,35661,0.0018819780199982351,0.0015314239641072826,0.0022829098959638748,200,DESCRIPTIVE
DIOR-R,C,1.3,Risk@70,35661,0.001891678492980317,0.0006273735677599693,0.002932000774999241,200,DESCRIPTIVE
DIOR-R,C,1.3,Risk@90,35661,-0.0021295147007187043,-0.0030297183529999928,-0.0012136904144789402,200,DESCRIPTIVE
DIOR-R,C,1.4,AUGRC,34332,0.002184984644638701,0.0019099329732708038,0.0025557387336345616,200,DESCRIPTIVE
DIOR-R,C,1.4,Risk@70,34332,0.0026177843931478456,0.0017101575629991715,0.0035426837428221467,200,DESCRIPTIVE
DIOR-R,C,1.4,Risk@90,34332,-0.0017496723836998365,-0.0025750970323173456,-0.0008690819352733843,200,DESCRIPTIVE
DIOR-R,C,1.5,AUGRC,33408,0.0023632664078812975,0.0020833549575086843,0.002674170347254991,200,DESCRIPTIVE
DIOR-R,C,1.5,Risk@70,33408,0.0030687038304489586,0.002325519418270688,0.003924503552846862,200,DESCRIPTIVE
DIOR-R,C,1.5,Risk@90,33408,-0.0014363659022055275,-0.0023323106698357344,-0.0007977750623327275,200,DESCRIPTIVE
DIOR-R,C,1.6,AUGRC,32609,0.002504828333767188,0.002243513133327141,0.0028128324654285385,200,DESCRIPTIVE
DIOR-R,C,1.6,Risk@70,32609,0.0034529746826220398,0.002769518684964051,0.00419824149535912,200,DESCRIPTIVE
DIOR-R,C,1.6,Risk@90,32609,-0.0013476160908636181,-0.0022317155021070356,-0.0008213401624097167,200,DESCRIPTIVE
DIOR-R,C,1.7,AUGRC,31643,0.002546384762191156,0.0022734041609036105,0.0028560170909598804,200,DESCRIPTIVE
DIOR-R,C,1.7,Risk@70,31643,0.00368175970036045,0.0030940882605371024,0.004401539692088641,200,DESCRIPTIVE
DIOR-R,C,1.7,Risk@90,31643,-0.0012971001524346992,-0.00220377751096145,-0.0007798515291637852,200,DESCRIPTIVE
DIOR-R,C,1.8,AUGRC,30884,0.0026074013980396313,0.0023329814015555263,0.002903524149454195,200,DESCRIPTIVE
DIOR-R,C,1.8,Risk@70,30884,0.003923258101287276,0.0032846843870841655,0.004627990499482166,200,DESCRIPTIVE
DIOR-R,C,1.8,Risk@90,30884,-0.0012701140724973511,-0.0019775324934938076,-0.0006827413346758286,200,DESCRIPTIVE
DIOR-R,C,1.9,AUGRC,30027,0.002729789186519175,0.002439557643909209,0.003037778398286421,200,DESCRIPTIVE
DIOR-R,C,1.9,Risk@70,30027,0.004176071654148704,0.0033972520703849005,0.004752545634656032,200,DESCRIPTIVE
DIOR-R,C,1.9,Risk@90,30027,-0.0010020850671332779,-0.001632901236357935,-0.0004579741252603073,200,DESCRIPTIVE
DIOR-R,C,2.0,AUGRC,29396,0.002806647520306047,0.0025251435101338346,0.0031039160587127855,200,DESCRIPTIVE
DIOR-R,C,2.0,Risk@70,29396,0.004307650740950214,0.003474841428194912,0.004883928298329483,200,DESCRIPTIVE
DIOR-R,C,2.0,Risk@90,29396,-0.0008935248153691608,-0.0016463288949555696,-0.0004386481342260647,200,DESCRIPTIVE
DIOR-R,C,2.1,AUGRC,27410,0.0028443041467217205,0.0025503574425853022,0.0031539937714588277,200,DESCRIPTIVE
DIOR-R,C,2.1,Risk@70,27410,0.004330997512708844,0.003529940443526838,0.00508667408049272,200,DESCRIPTIVE
DIOR-R,C,2.1,Risk@90,27410,-0.0008944808262440623,-0.001569980157443436,-0.00028576767798068383,200,DESCRIPTIVE
DIOR-R,C,2.2,AUGRC,24407,0.00281534185148433,0.0024833897630121738,0.003153835063408192,200,DESCRIPTIVE
DIOR-R,C,2.2,Risk@70,24407,0.004662729286993593,0.003683990119211016,0.00546297748694607,200,DESCRIPTIVE
DIOR-R,C,2.2,Risk@90,24407,-0.0008816251040906706,-0.0016514505006470699,-0.0002492942754755842,200,DESCRIPTIVE
DIOR-R,C,2.3,AUGRC,22843,0.0029449903935351643,0.002597073584416681,0.003298689102078044,200,DESCRIPTIVE
DIOR-R,C,2.3,Risk@70,22843,0.004869449518553212,0.00398988218323639,0.0058764800614247515,200,DESCRIPTIVE
DIOR-R,C,2.3,Risk@90,22843,-0.0008089088299872149,-0.0015234670423635542,-0.00016437138599732377,200,DESCRIPTIVE
DIOR-R,C,2.4,AUGRC,21255,0.0030884267314327044,0.0027244116909989255,0.003439295561631216,200,DESCRIPTIVE
DIOR-R,C,2.4,Risk@70,21255,0.005149842887785347,0.0042151933322915015,0.006187320825173678,200,DESCRIPTIVE
DIOR-R,C,2.4,Risk@90,21255,-0.0006420379731140388,-0.0014160803332797373,3.249645119020862e-05,200,DESCRIPTIVE
DIOR-R,C,2.5,AUGRC,19549,0.0032520568580509703,0.002871073806559936,0.00363175717278757,200,DESCRIPTIVE
DIOR-R,C,2.5,Risk@70,19549,0.005739460610793966,0.004548037593691951,0.006763980599943819,200,DESCRIPTIVE
DIOR-R,C,2.5,Risk@90,19549,-0.0006072971212737893,-0.0015111888674795833,0.0001243026243275224,200,DESCRIPTIVE
DIOR-R,C,2.6,AUGRC,17484,0.0034937123198188515,0.003088830355443553,0.0038926394933857748,200,DESCRIPTIVE
DIOR-R,C,2.6,Risk@70,17484,0.006187981652399151,0.004996793327671403,0.007325933537262465,200,DESCRIPTIVE
DIOR-R,C,2.6,Risk@90,17484,-0.00033770123177964684,-0.0012397393785752036,0.00043420179329403766,200,DESCRIPTIVE
DIOR-R,C,2.7,AUGRC,15408,0.003805407057732798,0.003347232918006537,0.004226617181132475,200,DESCRIPTIVE
DIOR-R,C,2.7,Risk@70,15408,0.006767237893129059,0.00555036980327063,0.00790995451899937,200,DESCRIPTIVE
DIOR-R,C,2.7,Risk@90,15408,-0.0001821545513757683,-0.0010143488001022399,0.0007059747086588654,200,DESCRIPTIVE
DIOR-R,C,2.8,AUGRC,13454,0.0041108253020990665,0.0036403174691618133,0.004562044617984339,200,DESCRIPTIVE
DIOR-R,C,2.8,Risk@70,13454,0.007218952963585934,0.005742047225858202,0.00827893712501596,200,DESCRIPTIVE
DIOR-R,C,2.8,Risk@90,13454,-7.171293940466672e-05,-0.0010723252810260976,0.0006600784551233465,200,DESCRIPTIVE
DIOR-R,C,2.9,AUGRC,11496,0.004360804382369486,0.003849145725038819,0.004849240468293934,200,DESCRIPTIVE
DIOR-R,C,2.9,Risk@70,11496,0.007471327586790123,0.005906428225092341,0.008940460729240872,200,DESCRIPTIVE
DIOR-R,C,2.9,Risk@90,11496,-0.00017947602940332485,-0.001132836136399348,0.0008248867738252604,200,DESCRIPTIVE
DIOR-R,C,3.0,AUGRC,10094,0.004670576852306353,0.004113726766399169,0.005178636203413445,200,DESCRIPTIVE
DIOR-R,C,3.0,Risk@70,10094,0.008221224124281244,0.006251033401227498,0.009294454455620443,200,DESCRIPTIVE
DIOR-R,C,3.0,Risk@90,10094,-0.0003135804968792538,-0.0013327853881496942,0.0005872488235032874,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.0,AUGRC,48889,-0.012315484898133576,-0.017742823530635048,-0.00705626327621735,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.0,Risk@70,48889,-0.022963798751240258,-0.03537715499593841,-0.012060764704066222,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.0,Risk@90,48889,-0.007187210337954261,-0.009709957611237493,-0.004303374361307236,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.1,AUGRC,44859,-0.002399444924565345,-0.004190753392835563,-0.001052612231732044,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.1,Risk@70,44859,-0.005279958168620917,-0.009185904829072715,-0.0025979144084433466,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.1,Risk@90,44859,-0.002730419264214759,-0.00378169534680134,-0.0016342811450893093,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.2,AUGRC,43264,-0.000222437468163892,-0.0009747250238117488,0.00035695505874947393,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.2,Risk@70,43264,-0.0009205172769012893,-0.0025950016150170234,0.00036073429098645,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.2,Risk@90,43264,-0.0011458974654574364,-0.0021064944778654443,-0.00034479365383890417,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.3,AUGRC,42222,0.0001223066664625197,-0.00039392675662353467,0.0005844012950810271,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.3,Risk@70,42222,-0.00016086849678523252,-0.0014817147751985025,0.0009193272080917445,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.3,Risk@90,42222,-0.000617465415860198,-0.0013203788767392958,8.789618719623302e-05,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.4,AUGRC,41095,0.00041626281017432404,-1.1820263705035532e-05,0.0007598175941628557,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.4,Risk@70,41095,0.000600296655927611,-0.0005175448479385227,0.0014145558146067012,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.4,Risk@90,41095,-0.0003041901675439676,-0.0008934386909230988,0.0002651204972438716,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.5,AUGRC,40199,0.0004163069310890166,1.0152153856744666e-06,0.0007721120818998612,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.5,Risk@70,40199,0.0008123112277142602,-9.175748985195252e-05,0.0015989081213012971,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.5,Risk@90,40199,-0.00013628802236956977,-0.0006031693619276818,0.00032989995368472487,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.6,AUGRC,39507,0.00041607951134485857,-2.272019329161121e-05,0.0007741461649681028,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.6,Risk@70,39507,0.0008664969542408058,7.967613158940859e-06,0.0016488400980470416,200,DESCRIPTIVE
DOTA-v1.0,orcnn,1.6,Risk@90,39507,5.8187624627649426e-05,-0.0004210118747595798,0.00039110613770791284,200,DESCRIPTIVE
