dataset,unit,cutoff,endpoint,rows,delta_linear_minus_raw,status
DIOR-R,B,2.2,Risk@70,24693,0.0011298927926313915,DESCRIPTIVE
DIOR-R,B,2.3,AUGRC,23139,0.0006961578727062295,DESCRIPTIVE
DIOR-R,B,2.3,Risk@70,23139,0.0013794749522550859,DESCRIPTIVE
DIOR-R,B,2.4,AUGRC,21532,0.0007213487863159708,DESCRIPTIVE
DIOR-R,B,2.4,Risk@70,21532,0.0013665757676839321,DESCRIPTIVE
DIOR-R,B,2.5,AUGRC,19783,0.0007803739848711022,DESCRIPTIVE
DIOR-R,B,2.5,Risk@70,19783,0.0013743488164106449,DESCRIPTIVE
DIOR-R,B,2.6,AUGRC,17718,0.0008227577599019403,DESCRIPTIVE
DIOR-R,B,2.6,Risk@70,17718,0.0013909873077947096,DESCRIPTIVE
DIOR-R,B,2.7,AUGRC,15651,0.0008656251414430258,DESCRIPTIVE
DIOR-R,B,2.7,Risk@70,15651,0.0015038855399128817,DESCRIPTIVE
DIOR-R,B,2.8,AUGRC,13703,0.0008753451946028126,DESCRIPTIVE
DIOR-R,B,2.8,Risk@70,13703,0.001376423923794376,DESCRIPTIVE
DIOR-R,B,2.9,AUGRC,11731,0.0008851755283964466,DESCRIPTIVE
DIOR-R,B,2.9,Risk@70,11731,0.0015192537637820358,DESCRIPTIVE
DIOR-R,B,3.0,AUGRC,10316,0.0009804413112976355,DESCRIPTIVE
DIOR-R,B,3.0,Risk@70,10316,0.0020289968080478213,DESCRIPTIVE
DIOR-R,C,1.0,AUGRC,47881,-0.010645076500794812,DESCRIPTIVE
DIOR-R,C,1.0,Risk@70,47881,-0.02160929366661661,DESCRIPTIVE
DIOR-R,C,1.1,AUGRC,41057,-0.0004197300924686856,DESCRIPTIVE
DIOR-R,C,1.1,Risk@70,41057,-0.004263114186363506,DESCRIPTIVE
DIOR-R,C,1.2,AUGRC,37632,0.0015388983724054228,DESCRIPTIVE
DIOR-R,C,1.2,Risk@70,37632,0.0011712086785982262,DESCRIPTIVE
DIOR-R,C,1.3,AUGRC,35661,0.0018819780199982351,DESCRIPTIVE
DIOR-R,C,1.3,Risk@70,35661,0.001891678492980317,DESCRIPTIVE
DIOR-R,C,1.4,AUGRC,34332,0.002184984644638701,DESCRIPTIVE
DIOR-R,C,1.4,Risk@70,34332,0.0026177843931478456,DESCRIPTIVE
DIOR-R,C,1.5,AUGRC,33408,0.0023632664078812975,DESCRIPTIVE
DIOR-R,C,1.5,Risk@70,33408,0.0030687038304489586,DESCRIPTIVE
DIOR-R,C,1.6,AUGRC,32609,0.002504828333767188,DESCRIPTIVE
DIOR-R,C,1.6,Risk@70,32609,0.0034529746826220398,DESCRIPTIVE
DIOR-R,C,1.7,AUGRC,31643,0.002546384762191156,DESCRIPTIVE
DIOR-R,C,1.7,Risk@70,31643,0.00368175970036045,DESCRIPTIVE
DIOR-R,C,1.8,AUGRC,30884,0.0026074013980396313,DESCRIPTIVE
DIOR-R,C,1.8,Risk@70,30884,0.003923258101287276,DESCRIPTIVE
DIOR-R,C,1.9,AUGRC,30027,0.002729789186519175,DESCRIPTIVE
DIOR-R,C,1.9,Risk@70,30027,0.004176071654148704,DESCRIPTIVE
DIOR-R,C,2.0,AUGRC,29396,0.002806647520306047,DESCRIPTIVE
DIOR-R,C,2.0,Risk@70,29396,0.004307650740950214,DESCRIPTIVE
DIOR-R,C,2.1,AUGRC,27410,0.0028443041467217205,DESCRIPTIVE
DIOR-R,C,2.1,Risk@70,27410,0.004330997512708844,DESCRIPTIVE
DIOR-R,C,2.2,AUGRC,24407,0.00281534185148433,DESCRIPTIVE
DIOR-R,C,2.2,Risk@70,24407,0.004662729286993593,DESCRIPTIVE
DIOR-R,C,2.3,AUGRC,22843,0.0029449903935351643,DESCRIPTIVE
DIOR-R,C,2.3,Risk@70,22843,0.004869449518553212,DESCRIPTIVE
DIOR-R,C,2.4,AUGRC,21255,0.0030884267314327044,DESCRIPTIVE
DIOR-R,C,2.4,Risk@70,21255,0.005149842887785347,DESCRIPTIVE
DIOR-R,C,2.5,AUGRC,19549,0.0032520568580509703,DESCRIPTIVE
DIOR-R,C,2.5,Risk@70,19549,0.005739460610793966,DESCRIPTIVE
DIOR-R,C,2.6,AUGRC,17484,0.0034937123198188515,DESCRIPTIVE
DIOR-R,C,2.6,Risk@70,17484,0.006187981652399151,DESCRIPTIVE
DIOR-R,C,2.7,AUGRC,15408,0.003805407057732798,DESCRIPTIVE
DIOR-R,C,2.7,Risk@70,15408,0.006767237893129059,DESCRIPTIVE
DIOR-R,C,2.8,AUGRC,13454,0.0041108253020990665,DESCRIPTIVE
DIOR-R,C,2.8,Risk@70,13454,0.007218952963585934,DESCRIPTIVE
DIOR-R,C,2.9,AUGRC,11496,0.004360804382369486,DESCRIPTIVE
DIOR-R,C,2.9,Risk@70,11496,0.007471327586790123,DESCRIPTIVE
DIOR-R,C,3.0,AUGRC,10094,0.004670576852306353,DESCRIPTIVE
DIOR-R,C,3.0,Risk@70,10094,0.008221224124281244,DESCRIPTIVE
FAIR1M,D,1.0,AUGRC,26108,0.0030216308117708146,DESCRIPTIVE
FAIR1M,D,1.0,Risk@70,26108,0.0036715916215352973,DESCRIPTIVE
FAIR1M,D,1.1,AUGRC,24481,0.0013413665435319036,DESCRIPTIVE
FAIR1M,D,1.1,Risk@70,24481,0.0018458824842787352,DESCRIPTIVE
FAIR1M,D,1.2,AUGRC,23456,0.0008768581538837958,DESCRIPTIVE
FAIR1M,D,1.2,Risk@70,23456,0.001299972943451952,DESCRIPTIVE
FAIR1M,D,1.3,AUGRC,22972,0.0007614829579900111,DESCRIPTIVE
FAIR1M,D,1.3,Risk@70,22972,0.0009706216964364273,DESCRIPTIVE
FAIR1M,D,1.4,AUGRC,22674,0.0007505196317647636,DESCRIPTIVE
FAIR1M,D,1.4,Risk@70,22674,0.0009405317700609747,DESCRIPTIVE
FAIR1M,D,1.5,AUGRC,22342,0.0006750589239156654,DESCRIPTIVE
FAIR1M,D,1.5,Risk@70,22342,0.0008428350225487824,DESCRIPTIVE
FAIR1M,D,1.6,AUGRC,21754,0.0006043872039958528,DESCRIPTIVE
FAIR1M,D,1.6,Risk@70,21754,0.0008013852979943947,DESCRIPTIVE
FAIR1M,D,1.7,AUGRC,20850,0.0005171902970764995,DESCRIPTIVE
FAIR1M,D,1.7,Risk@70,20850,0.0006562772334132091,DESCRIPTIVE
FAIR1M,D,1.8,AUGRC,19566,0.0004008147780828822,DESCRIPTIVE
FAIR1M,D,1.8,Risk@70,19566,0.00044004343036514043,DESCRIPTIVE
FAIR1M,D,1.9,AUGRC,18084,0.00036114910017892576,DESCRIPTIVE
FAIR1M,D,1.9,Risk@70,18084,0.00025437582328007025,DESCRIPTIVE
FAIR1M,D,2.0,AUGRC,16815,0.00044061342871239834,DESCRIPTIVE
FAIR1M,D,2.0,Risk@70,16815,0.0006026273478590416,DESCRIPTIVE
FAIR1M,D,2.1,AUGRC,15132,0.00037595931079915934,DESCRIPTIVE
FAIR1M,D,2.1,Risk@70,15132,0.0005714260546512417,DESCRIPTIVE
FAIR1M,D,2.2,AUGRC,13466,0.0003636115697382633,DESCRIPTIVE
FAIR1M,D,2.2,Risk@70,13466,0.0004141291279914361,DESCRIPTIVE
FAIR1M,D,2.3,AUGRC,12075,0.0003811643910525339,DESCRIPTIVE
FAIR1M,D,2.3,Risk@70,12075,0.000683683849018471,DESCRIPTIVE
FAIR1M,D,2.4,AUGRC,10679,0.0004172087672674879,DESCRIPTIVE
FAIR1M,D,2.4,Risk@70,10679,0.0008435565330582734,DESCRIPTIVE
FAIR1M,D,2.5,AUGRC,9391,0.0005167583348800533,DESCRIPTIVE
FAIR1M,D,2.5,Risk@70,9391,0.0012836771968155192,DESCRIPTIVE
FAIR1M,D,2.6,AUGRC,8245,0.0005670918478330525,DESCRIPTIVE
FAIR1M,D,2.6,Risk@70,8245,0.0016842594447476628,DESCRIPTIVE
FAIR1M,D,2.7,AUGRC,7180,0.0006119363690371207,DESCRIPTIVE
FAIR1M,D,2.7,Risk@70,7180,0.001247981984128177,DESCRIPTIVE
FAIR1M,D,2.8,AUGRC,6154,0.0005671787843476231,DESCRIPTIVE
FAIR1M,D,2.8,Risk@70,6154,0.0010150890855934874,DESCRIPTIVE
FAIR1M,D,2.9,AUGRC,5210,0.0005291484310550876,DESCRIPTIVE
FAIR1M,D,2.9,Risk@70,5210,0.0007994964330354098,DESCRIPTIVE
FAIR1M,D,3.0,AUGRC,4587,0.0008255485455079398,DESCRIPTIVE
FAIR1M,D,3.0,Risk@70,4587,0.0011821965321843902,DESCRIPTIVE
SODA-A,E,1.0,AUGRC,157586,0.0025061188485946823,DESCRIPTIVE
SODA-A,E,1.0,Risk@70,157586,0.002916662964218858,DESCRIPTIVE
SODA-A,E,1.1,AUGRC,149796,0.0011657101745288015,DESCRIPTIVE
SODA-A,E,1.1,Risk@70,149796,0.001475718050602176,DESCRIPTIVE
SODA-A,E,1.2,AUGRC,145898,0.00062646916130207,DESCRIPTIVE
SODA-A,E,1.2,Risk@70,145898,0.0008629285933548711,DESCRIPTIVE
SODA-A,E,1.3,AUGRC,143417,0.0004351493846474,DESCRIPTIVE
SODA-A,E,1.3,Risk@70,143417,0.0005799417544836219,DESCRIPTIVE
SODA-A,E,1.4,AUGRC,141289,0.00031336483533100576,DESCRIPTIVE
SODA-A,E,1.4,Risk@70,141289,0.00044316186398410395,DESCRIPTIVE
SODA-A,E,1.5,AUGRC,139159,0.00023933495889622014,DESCRIPTIVE
SODA-A,E,1.5,Risk@70,139159,0.00034725411214093366,DESCRIPTIVE
SODA-A,E,1.6,AUGRC,136919,0.0001941240032864132,DESCRIPTIVE
SODA-A,E,1.6,Risk@70,136919,0.00030535598240391537,DESCRIPTIVE
SODA-A,E,1.7,AUGRC,133232,0.00012460780786867354,DESCRIPTIVE
SODA-A,E,1.7,Risk@70,133232,8.968670398438322e-05,DESCRIPTIVE
SODA-A,E,1.8,AUGRC,128664,7.924555455787394e-05,DESCRIPTIVE
SODA-A,E,1.8,Risk@70,128664,3.1614772424755355e-05,DESCRIPTIVE
SODA-A,E,1.9,AUGRC,121828,5.091205895701653e-05,DESCRIPTIVE
SODA-A,E,1.9,Risk@70,121828,-0.00010560006211786377,DESCRIPTIVE
SODA-A,E,2.0,AUGRC,112715,7.082973599088771e-06,DESCRIPTIVE
SODA-A,E,2.0,Risk@70,112715,-0.00024194350620156818,DESCRIPTIVE
SODA-A,E,2.1,AUGRC,101160,-3.2498770882200684e-05,DESCRIPTIVE
SODA-A,E,2.1,Risk@70,101160,-0.0003176078314260297,DESCRIPTIVE
SODA-A,E,2.2,AUGRC,87062,-4.743869892695832e-05,DESCRIPTIVE
SODA-A,E,2.2,Risk@70,87062,-0.00027569846328488745,DESCRIPTIVE
SODA-A,E,2.3,AUGRC,71133,8.648331692292024e-05,DESCRIPTIVE
SODA-A,E,2.3,Risk@70,71133,-1.3471957584741678e-05,DESCRIPTIVE
SODA-A,E,2.4,AUGRC,59386,0.00012616080016924353,DESCRIPTIVE
SODA-A,E,2.4,Risk@70,59386,0.0001090909319391431,DESCRIPTIVE
SODA-A,E,2.5,AUGRC,48441,0.00014766999294239455,DESCRIPTIVE
SODA-A,E,2.5,Risk@70,48441,0.00017179834435000763,DESCRIPTIVE
SODA-A,E,2.6,AUGRC,40541,0.00014514289172737685,DESCRIPTIVE
SODA-A,E,2.6,Risk@70,40541,0.00029303422237029336,DESCRIPTIVE
SODA-A,E,2.7,AUGRC,34365,0.000176743073515076,DESCRIPTIVE
SODA-A,E,2.7,Risk@70,34365,0.0004415606840274186,DESCRIPTIVE
SODA-A,E,2.8,AUGRC,30687,0.0001361792542324894,DESCRIPTIVE
SODA-A,E,2.8,Risk@70,30687,0.0003668549835815424,DESCRIPTIVE
SODA-A,E,2.9,AUGRC,27550,9.322676341429192e-05,DESCRIPTIVE
SODA-A,E,2.9,Risk@70,27550,0.00034479485922769143,DESCRIPTIVE
SODA-A,E,3.0,AUGRC,25332,4.6611800726858305e-05,DESCRIPTIVE
SODA-A,E,3.0,Risk@70,25332,0.00023185094764786862,DESCRIPTIVE
SODA-A,F,1.0,AUGRC,192249,0.00177189315211463,DESCRIPTIVE
SODA-A,F,1.0,Risk@70,192249,0.001297135717070505,DESCRIPTIVE
SODA-A,F,1.1,AUGRC,183691,0.0008205654358596562,DESCRIPTIVE
SODA-A,F,1.1,Risk@70,183691,0.0007106377730595609,DESCRIPTIVE
SODA-A,F,1.2,AUGRC,179455,0.000429768445066845,DESCRIPTIVE
SODA-A,F,1.2,Risk@70,179455,0.00038117089757876144,DESCRIPTIVE
SODA-A,F,1.3,AUGRC,176826,0.00023826576155175708,DESCRIPTIVE
SODA-A,F,1.3,Risk@70,176826,0.00022926304714853546,DESCRIPTIVE
SODA-A,F,1.4,AUGRC,174621,0.00014058794193012175,DESCRIPTIVE
SODA-A,F,1.4,Risk@70,174621,0.00010254723393525456,DESCRIPTIVE
SODA-A,F,1.5,AUGRC,172288,9.105250427930353e-05,DESCRIPTIVE
SODA-A,F,1.5,Risk@70,172288,3.543658931272342e-05,DESCRIPTIVE
SODA-A,F,1.6,AUGRC,169666,5.087820265844284e-05,DESCRIPTIVE
SODA-A,F,1.6,Risk@70,169666,1.690502118528725e-05,DESCRIPTIVE
SODA-A,F,1.7,AUGRC,164836,9.338559641376004e-06,DESCRIPTIVE
SODA-A,F,1.7,Risk@70,164836,-4.586033732491279e-05,DESCRIPTIVE
SODA-A,F,1.8,AUGRC,158695,-2.9640048912340372e-05,DESCRIPTIVE
SODA-A,F,1.8,Risk@70,158695,-9.879997782434591e-05,DESCRIPTIVE
SODA-A,F,1.9,AUGRC,149035,-4.895656039709262e-05,DESCRIPTIVE
SODA-A,F,1.9,Risk@70,149035,-0.00011053834621668063,DESCRIPTIVE
SODA-A,F,2.0,AUGRC,136479,-6.0478291065087925e-05,DESCRIPTIVE
SODA-A,F,2.0,Risk@70,136479,-0.0001101272650277374,DESCRIPTIVE
SODA-A,F,2.1,AUGRC,120947,-7.496722603664296e-05,DESCRIPTIVE
SODA-A,F,2.1,Risk@70,120947,-0.00019236447595753076,DESCRIPTIVE
SODA-A,F,2.2,AUGRC,102179,-8.695741883020872e-05,DESCRIPTIVE
SODA-A,F,2.2,Risk@70,102179,-0.0002066082542410766,DESCRIPTIVE
SODA-A,F,2.3,AUGRC,83095,-5.625534326210782e-05,DESCRIPTIVE
SODA-A,F,2.3,Risk@70,83095,-3.524222553110551e-05,DESCRIPTIVE
SODA-A,F,2.4,AUGRC,68729,-4.5728289468253275e-05,DESCRIPTIVE
SODA-A,F,2.4,Risk@70,68729,-6.011044746540017e-06,DESCRIPTIVE
SODA-A,F,2.5,AUGRC,55830,-4.862069930521365e-05,DESCRIPTIVE
SODA-A,F,2.5,Risk@70,55830,2.0760559089220976e-05,DESCRIPTIVE
SODA-A,F,2.6,AUGRC,46600,-5.8882411165143284e-05,DESCRIPTIVE
SODA-A,F,2.6,Risk@70,46600,6.233028076398084e-05,DESCRIPTIVE
SODA-A,F,2.7,AUGRC,39648,-5.37468125220153e-05,DESCRIPTIVE
SODA-A,F,2.7,Risk@70,39648,5.4112227479204134e-05,DESCRIPTIVE
SODA-A,F,2.8,AUGRC,35379,-6.678656836923286e-05,DESCRIPTIVE
SODA-A,F,2.8,Risk@70,35379,3.418709459812597e-05,DESCRIPTIVE
SODA-A,F,2.9,AUGRC,31796,-7.65938415897699e-05,DESCRIPTIVE
SODA-A,F,2.9,Risk@70,31796,6.629306813759478e-05,DESCRIPTIVE
SODA-A,F,3.0,AUGRC,29175,-9.188492252589289e-05,DESCRIPTIVE
SODA-A,F,3.0,Risk@70,29175,8.390141892578029e-05,DESCRIPTIVE
