dataset,unit,cohort,probe,rows,AUGRC,Risk@70,Risk@90,status
SODA-A,F,MAIN_AR_GE_2.1,raw_confidence,120947,0.028098070165466477,0.056517490933275925,0.06001456438079993,DESCRIPTIVE
SODA-A,F,MAIN_AR_GE_2.1,linear_source_frozen,120947,0.028023102939429834,0.056325126457318395,0.05954704426903592,DESCRIPTIVE
SODA-A,F,MAIN_AR_GE_2.1,tta_angle,120947,0.026976306613145394,0.053877875031088526,0.05789429919497359,DESCRIPTIVE
SODA-A,F,MAIN_AR_GE_2.1,tta_localization,120947,0.027317216675318994,0.05450941313914778,0.05899060677895974,DESCRIPTIVE
SODA-A,F,ALL_AR,raw_confidence,192249,0.04633545414276302,0.0890165947696256,0.08738598152264385,DESCRIPTIVE
SODA-A,F,ALL_AR,linear_source_frozen,192249,0.04810734729487765,0.09031373048669611,0.08756991472051238,DESCRIPTIVE
SODA-A,F,ALL_AR,tta_angle,192249,0.036758886882240174,0.07004571411325676,0.07224366169169555,DESCRIPTIVE
SODA-A,F,ALL_AR,tta_localization,192249,0.04026157712522344,0.08033250863869776,0.08508281098811447,DESCRIPTIVE
DOTA-v1.0,orcnn,MAIN_AR_GE_2.1,raw_confidence,33030,0.026330781620593387,0.052908569281744616,0.05506771461113228,DESCRIPTIVE
DOTA-v1.0,orcnn,MAIN_AR_GE_2.1,linear_source_frozen,33030,0.026684801848114337,0.05401728439892741,0.055424564847454796,DESCRIPTIVE
DOTA-v1.0,orcnn,MAIN_AR_GE_2.1,tta_angle,33030,0.02476183181585505,0.049369502675163435,0.05272865330618863,DESCRIPTIVE
DOTA-v1.0,orcnn,MAIN_AR_GE_2.1,tta_localization,33030,0.025119075738812502,0.050756567948408,0.053615760793041915,DESCRIPTIVE
DOTA-v1.0,orcnn,ALL_AR,raw_confidence,48889,0.04873665202616412,0.09426208622350205,0.09397268246741969,DESCRIPTIVE
DOTA-v1.0,orcnn,ALL_AR,linear_source_frozen,48889,0.03642116712803054,0.07129828747226179,0.08678547212946543,DESCRIPTIVE
DOTA-v1.0,orcnn,ALL_AR,tta_angle,48889,0.03841004198891206,0.07173962282917545,0.07265635215911788,DESCRIPTIVE
DOTA-v1.0,orcnn,ALL_AR,tta_localization,48889,0.04480238704817566,0.08707535465704905,0.09023791582251003,DESCRIPTIVE
DOTA-v1.0,rtmdet,MAIN_AR_GE_2.1,raw_confidence,34385,0.025077941153996072,0.05021434716148424,0.053962722078601304,DESCRIPTIVE
DOTA-v1.0,rtmdet,MAIN_AR_GE_2.1,linear_source_frozen,34385,0.027440798535929966,0.05455362926074631,0.054552752247703666,DESCRIPTIVE
DOTA-v1.0,rtmdet,MAIN_AR_GE_2.1,tta_angle,34385,0.025144000697009394,0.050089153697008615,0.052764406775438775,DESCRIPTIVE
DOTA-v1.0,rtmdet,MAIN_AR_GE_2.1,tta_localization,34385,0.02459853980577785,0.04924141359217025,0.05288031856825567,DESCRIPTIVE
DOTA-v1.0,rtmdet,ALL_AR,raw_confidence,51736,0.04504209507939958,0.0842819114456542,0.09265796227897702,DESCRIPTIVE
DOTA-v1.0,rtmdet,ALL_AR,linear_source_frozen,51736,0.0314322300984928,0.054678255971630764,0.07633603554255236,DESCRIPTIVE
DOTA-v1.0,rtmdet,ALL_AR,tta_angle,51736,0.04277990134387487,0.08047112802773213,0.07861330061735404,DESCRIPTIVE
DOTA-v1.0,rtmdet,ALL_AR,tta_localization,51736,0.04567108172302796,0.08636610684038194,0.09035107830185815,DESCRIPTIVE
