assignment_version,annotator_slot,task_order,anon_id,dataset,image_id,pred_id,crop_relpath,long_side_angle_deg_le90,cannot_determine,annotator_id,annotation_timestamp_utc
m4-v3-e6479d43f0b9,A,62,9f14b78bfb8df884,SODA-A,01596__800__3000___600,64,crops/9f14b78bfb8df884.jpg,,,,
m4-v3-e6479d43f0b9,A,63,a5ecfdfe9038ed42,FAIR1M-v1.0,2693__1024__0___0,1,crops/a5ecfdfe9038ed42.jpg,,,,
m4-v3-e6479d43f0b9,A,64,86eefdfc61bd02b3,DIOR-R,22687,59,crops/86eefdfc61bd02b3.jpg,,,,
m4-v3-e6479d43f0b9,A,65,044b80d92c00c620,DIOR-R,13051,108,crops/044b80d92c00c620.jpg,,,,
m4-v3-e6479d43f0b9,A,66,898ec530c9c77d7b,FAIR1M-v1.0,12331__1024__0___0,33,crops/898ec530c9c77d7b.jpg,,,,
m4-v3-e6479d43f0b9,A,67,d69040084cfc4879,FAIR1M-v1.0,13814__1024__0___0,17,crops/d69040084cfc4879.jpg,,,,
m4-v3-e6479d43f0b9,A,68,accc454604ef3c90,FAIR1M-v1.0,4116__1024__0___0,5,crops/accc454604ef3c90.jpg,,,,
m4-v3-e6479d43f0b9,A,69,fd3077c02699f26a,FAIR1M-v1.0,10099__1024__0___0,231,crops/fd3077c02699f26a.jpg,,,,
m4-v3-e6479d43f0b9,A,70,a7f804eb2d2b50fa,DIOR-R,17888,19,crops/a7f804eb2d2b50fa.jpg,,,,
m4-v3-e6479d43f0b9,A,71,b2fc0da15109dd5b,DIOR-R,16012,17,crops/b2fc0da15109dd5b.jpg,,,,
m4-v3-e6479d43f0b9,A,72,0cace1b3fad0745d,FAIR1M-v1.0,8593__1024__0___0,101,crops/0cace1b3fad0745d.jpg,,,,
m4-v3-e6479d43f0b9,A,73,7e2bad675c7de4ed,SODA-A,01802__800__1800___1800,0,crops/7e2bad675c7de4ed.jpg,,,,
m4-v3-e6479d43f0b9,A,74,2c8a314650656d41,FAIR1M-v1.0,1066__1024__476___476,1,crops/2c8a314650656d41.jpg,,,,
m4-v3-e6479d43f0b9,A,75,a13704c6a4202608,DIOR-R,16418,19,crops/a13704c6a4202608.jpg,,,,
m4-v3-e6479d43f0b9,A,76,48d75a16f0b27bf6,SODA-A,00498__800__4000___2400,67,crops/48d75a16f0b27bf6.jpg,,,,
m4-v3-e6479d43f0b9,A,77,ce1fdbc2d7401bac,DIOR-R,17806,0,crops/ce1fdbc2d7401bac.jpg,,,,
m4-v3-e6479d43f0b9,A,78,0c4014909d9da55a,DIOR-R,19347,4,crops/0c4014909d9da55a.jpg,,,,
m4-v3-e6479d43f0b9,A,79,4c4bc06dbe1afc33,DIOR-R,19247,0,crops/4c4bc06dbe1afc33.jpg,,,,
m4-v3-e6479d43f0b9,A,80,18c30694b5d32a60,DIOR-R,20191,6,crops/18c30694b5d32a60.jpg,,,,
m4-v3-e6479d43f0b9,A,81,fb2abe5a068e921c,DIOR-R,19095,10,crops/fb2abe5a068e921c.jpg,,,,
m4-v3-e6479d43f0b9,A,82,29f3da55a75e96e9,DIOR-R,12055,4,crops/29f3da55a75e96e9.jpg,,,,
m4-v3-e6479d43f0b9,A,83,4ba074107ca41eeb,FAIR1M-v1.0,962__1024__0___0,77,crops/4ba074107ca41eeb.jpg,,,,
m4-v3-e6479d43f0b9,A,84,bf3e55dbd0603821,DIOR-R,16273,118,crops/bf3e55dbd0603821.jpg,,,,
m4-v3-e6479d43f0b9,A,85,ee4f3f4475be4bb3,DIOR-R,20781,1,crops/ee4f3f4475be4bb3.jpg,,,,
m4-v3-e6479d43f0b9,A,86,b8d86fb8d69e813d,SODA-A,01424__800__4000___600,0,crops/b8d86fb8d69e813d.jpg,,,,
m4-v3-e6479d43f0b9,A,87,f7c44f4079101d5b,DIOR-R,14326,0,crops/f7c44f4079101d5b.jpg,,,,
m4-v3-e6479d43f0b9,A,88,bdc8abbd6b2cc73d,SODA-A,02463__800__3600___1200,3,crops/bdc8abbd6b2cc73d.jpg,,,,
m4-v3-e6479d43f0b9,A,89,86e4898759bfa621,SODA-A,01430__800__600___1935,40,crops/86e4898759bfa621.jpg,,,,
m4-v3-e6479d43f0b9,A,90,31659deca6824bb9,DIOR-R,18454,28,crops/31659deca6824bb9.jpg,,,,
m4-v3-e6479d43f0b9,A,91,fee8da0ae306116b,DIOR-R,18658,45,crops/fee8da0ae306116b.jpg,,,,
m4-v3-e6479d43f0b9,A,92,2f169f35a356eae3,SODA-A,01440__800__600___1985,1,crops/2f169f35a356eae3.jpg,,,,
m4-v3-e6479d43f0b9,A,93,ced37bc8cc8e1210,DIOR-R,21076,2,crops/ced37bc8cc8e1210.jpg,,,,
m4-v3-e6479d43f0b9,A,94,0c8314ed249fe29b,DIOR-R,15291,7,crops/0c8314ed249fe29b.jpg,,,,
m4-v3-e6479d43f0b9,A,95,c97d6709d7d4757a,FAIR1M-v1.0,12808__1024__824___0,1,crops/c97d6709d7d4757a.jpg,,,,
m4-v3-e6479d43f0b9,A,96,4a1617da9d5f8629,SODA-A,01567__800__3600___1800,1,crops/4a1617da9d5f8629.jpg,,,,
m4-v3-e6479d43f0b9,A,97,5ec402e4740e770a,SODA-A,00557__800__1200___1800,50,crops/5ec402e4740e770a.jpg,,,,
m4-v3-e6479d43f0b9,A,98,5d7fc13e57c3b02e,SODA-A,01455__800__3955___1985,24,crops/5d7fc13e57c3b02e.jpg,,,,
m4-v3-e6479d43f0b9,A,99,6e9b4f301e0adfde,SODA-A,01750__800__0___0,23,crops/6e9b4f301e0adfde.jpg,,,,
m4-v3-e6479d43f0b9,A,100,7b779393fba89458,FAIR1M-v1.0,11745__1024__0___0,451,crops/7b779393fba89458.jpg,,,,
m4-v3-e6479d43f0b9,A,101,b90f138c4aaeadde,DIOR-R,15336,79,crops/b90f138c4aaeadde.jpg,,,,
m4-v3-e6479d43f0b9,A,102,8066bc45f2949d87,DIOR-R,11863,29,crops/8066bc45f2949d87.jpg,,,,
m4-v3-e6479d43f0b9,A,103,bd4601fa8026bd76,DIOR-R,18217,38,crops/bd4601fa8026bd76.jpg,,,,
m4-v3-e6479d43f0b9,A,104,8b8309d280df56de,FAIR1M-v1.0,6523__1024__0___0,14,crops/8b8309d280df56de.jpg,,,,
m4-v3-e6479d43f0b9,A,105,d35b3e3d513f52ff,DIOR-R,18844,75,crops/d35b3e3d513f52ff.jpg,,,,
m4-v3-e6479d43f0b9,A,106,b75cfdfdaaa5dd5e,SODA-A,01596__800__1200___1800,77,crops/b75cfdfdaaa5dd5e.jpg,,,,
m4-v3-e6479d43f0b9,A,107,0aba074f8cf61c54,FAIR1M-v1.0,14789__1024__0___0,6,crops/0aba074f8cf61c54.jpg,,,,
m4-v3-e6479d43f0b9,A,108,63fed272d90627cd,DIOR-R,20426,20,crops/63fed272d90627cd.jpg,,,,
m4-v3-e6479d43f0b9,A,109,e9f510e96989097a,DIOR-R,17426,0,crops/e9f510e96989097a.jpg,,,,
m4-v3-e6479d43f0b9,A,110,ead2892285e8f6e4,SODA-A,00283__800__3600___1974,24,crops/ead2892285e8f6e4.jpg,,,,
m4-v3-e6479d43f0b9,A,111,2466f63aa646a99d,FAIR1M-v1.0,6523__1024__0___0,31,crops/2466f63aa646a99d.jpg,,,,
m4-v3-e6479d43f0b9,A,112,48a6332f8e75c54d,FAIR1M-v1.0,5297__1024__0___0,76,crops/48a6332f8e75c54d.jpg,,,,
m4-v3-e6479d43f0b9,A,113,e5fa6bca8439bcec,SODA-A,00996__800__600___1985,20,crops/e5fa6bca8439bcec.jpg,,,,
m4-v3-e6479d43f0b9,A,114,2dae2e2343959b9b,FAIR1M-v1.0,14205__1024__0___0,25,crops/2dae2e2343959b9b.jpg,,,,
m4-v3-e6479d43f0b9,A,115,4b55706923039c89,SODA-A,00498__800__0___3044,1,crops/4b55706923039c89.jpg,,,,
m4-v3-e6479d43f0b9,A,116,4657f67ffc26d39f,FAIR1M-v1.0,2114__1024__0___0,6,crops/4657f67ffc26d39f.jpg,,,,
m4-v3-e6479d43f0b9,A,117,475ee4e80ebfef80,DIOR-R,15617,6,crops/475ee4e80ebfef80.jpg,,,,
m4-v3-e6479d43f0b9,A,118,ee33a99525dec375,FAIR1M-v1.0,8417__1024__0___0,0,crops/ee33a99525dec375.jpg,,,,
m4-v3-e6479d43f0b9,A,119,38a97b6605ff1964,SODA-A,01596__800__3955___600,15,crops/38a97b6605ff1964.jpg,,,,
m4-v3-e6479d43f0b9,A,120,5d0c9d350f83e012,FAIR1M-v1.0,14689__1024__0___0,3,crops/5d0c9d350f83e012.jpg,,,,
m4-v3-e6479d43f0b9,A,121,39ed806efa425f58,DIOR-R,18331,25,crops/39ed806efa425f58.jpg,,,,
m4-v3-e6479d43f0b9,A,122,6f840cbe72d23368,DIOR-R,22704,46,crops/6f840cbe72d23368.jpg,,,,
m4-v3-e6479d43f0b9,A,123,c79c57614de8a778,DIOR-R,13059,153,crops/c79c57614de8a778.jpg,,,,
m4-v3-e6479d43f0b9,A,124,0f5e4239d2b87646,DIOR-R,14906,3,crops/0f5e4239d2b87646.jpg,,,,
m4-v3-e6479d43f0b9,A,125,a0f842e4206d0209,SODA-A,00849__800__0___600,228,crops/a0f842e4206d0209.jpg,,,,
m4-v3-e6479d43f0b9,A,126,315da16412c8d6c9,FAIR1M-v1.0,13811__1024__0___0,159,crops/315da16412c8d6c9.jpg,,,,
m4-v3-e6479d43f0b9,A,127,620ab5d09b775646,DIOR-R,17479,12,crops/620ab5d09b775646.jpg,,,,
m4-v3-e6479d43f0b9,A,128,0c6d0d5f48380ef1,DIOR-R,19308,0,crops/0c6d0d5f48380ef1.jpg,,,,
m4-v3-e6479d43f0b9,A,129,177fddbec1c4c598,SODA-A,01463__800__1800___1800,1,crops/177fddbec1c4c598.jpg,,,,
m4-v3-e6479d43f0b9,A,130,7c3801a99132c6a9,DIOR-R,19964,6,crops/7c3801a99132c6a9.jpg,,,,
m4-v3-e6479d43f0b9,A,131,d18495563d6bd8b9,DIOR-R,21175,122,crops/d18495563d6bd8b9.jpg,,,,
m4-v3-e6479d43f0b9,A,132,bd9484995ab65676,SODA-A,01631__800__1200___1985,15,crops/bd9484995ab65676.jpg,,,,
m4-v3-e6479d43f0b9,A,133,c6b43e9a17a75cca,DIOR-R,14778,46,crops/c6b43e9a17a75cca.jpg,,,,
m4-v3-e6479d43f0b9,A,134,ec0a8f5f9f069c5e,DIOR-R,19708,1,crops/ec0a8f5f9f069c5e.jpg,,,,
m4-v3-e6479d43f0b9,A,135,5019bca6dbfa182a,SODA-A,01542__800__1200___0,40,crops/5019bca6dbfa182a.jpg,,,,
m4-v3-e6479d43f0b9,A,136,a9dec5a374d505a8,DIOR-R,16497,46,crops/a9dec5a374d505a8.jpg,,,,
m4-v3-e6479d43f0b9,A,137,a0feb11d139958ee,FAIR1M-v1.0,3937__1024__824___824,26,crops/a0feb11d139958ee.jpg,,,,
m4-v3-e6479d43f0b9,A,138,330a5c6bc5d7286b,DIOR-R,12809,10,crops/330a5c6bc5d7286b.jpg,,,,
m4-v3-e6479d43f0b9,A,139,f60e8f331e3ff664,FAIR1M-v1.0,4803__1024__0___0,15,crops/f60e8f331e3ff664.jpg,,,,
m4-v3-e6479d43f0b9,A,140,9424c817ee5eb19c,FAIR1M-v1.0,15688__1024__0___0,30,crops/9424c817ee5eb19c.jpg,,,,
m4-v3-e6479d43f0b9,A,141,6a719555a3709573,SODA-A,02114__800__3600___1200,195,crops/6a719555a3709573.jpg,,,,
m4-v3-e6479d43f0b9,A,142,ecd5024abf8fc6a5,SODA-A,00797__800__1800___1200,1,crops/ecd5024abf8fc6a5.jpg,,,,
m4-v3-e6479d43f0b9,A,143,3f2bfa7d8e6debbc,DIOR-R,22107,0,crops/3f2bfa7d8e6debbc.jpg,,,,
m4-v3-e6479d43f0b9,A,144,e2e814745318a24a,DIOR-R,22567,18,crops/e2e814745318a24a.jpg,,,,
m4-v3-e6479d43f0b9,A,145,5c5bb22611136d7c,SODA-A,02512__800__3600___0,356,crops/5c5bb22611136d7c.jpg,,,,
m4-v3-e6479d43f0b9,A,146,57ab41370f125a99,DIOR-R,22185,4,crops/57ab41370f125a99.jpg,,,,
m4-v3-e6479d43f0b9,A,147,ea203777c3f8871a,SODA-A,02249__800__1800___1023,4,crops/ea203777c3f8871a.jpg,,,,
m4-v3-e6479d43f0b9,A,148,fbb315be0bf4ae22,FAIR1M-v1.0,12621__1024__0___0,3,crops/fbb315be0bf4ae22.jpg,,,,
m4-v3-e6479d43f0b9,A,149,367f2f05f5299fbe,SODA-A,00812__800__3600___0,24,crops/367f2f05f5299fbe.jpg,,,,
m4-v3-e6479d43f0b9,A,150,443ffa9d4ed478a3,FAIR1M-v1.0,6540__1024__0___0,65,crops/443ffa9d4ed478a3.jpg,,,,
m4-v3-e6479d43f0b9,A,151,abcf432f121fc278,FAIR1M-v1.0,1845__1024__0___0,87,crops/abcf432f121fc278.jpg,,,,
m4-v3-e6479d43f0b9,A,152,d7a7c6c25a4606c8,FAIR1M-v1.0,4552__1024__0___0,18,crops/d7a7c6c25a4606c8.jpg,,,,
m4-v3-e6479d43f0b9,A,153,406aab3642c5c227,SODA-A,02004__800__0___1200,46,crops/406aab3642c5c227.jpg,,,,
m4-v3-e6479d43f0b9,A,154,075026de07e8fce5,DIOR-R,12407,21,crops/075026de07e8fce5.jpg,,,,
m4-v3-e6479d43f0b9,A,155,87ad0492b57b9f55,FAIR1M-v1.0,12946__1024__0___0,14,crops/87ad0492b57b9f55.jpg,,,,
m4-v3-e6479d43f0b9,A,156,8a38be9d0d108b48,SODA-A,01293__800__3000___0,3,crops/8a38be9d0d108b48.jpg,,,,
m4-v3-e6479d43f0b9,A,157,9cd3e639cd7d0f96,FAIR1M-v1.0,7806__1024__0___0,28,crops/9cd3e639cd7d0f96.jpg,,,,
m4-v3-e6479d43f0b9,A,158,67b62b86c2b79a95,SODA-A,01877__800__3000___1800,85,crops/67b62b86c2b79a95.jpg,,,,
m4-v3-e6479d43f0b9,A,159,4839627f93c3abd9,FAIR1M-v1.0,10284__1024__0___0,2,crops/4839627f93c3abd9.jpg,,,,
m4-v3-e6479d43f0b9,A,160,139ce531458c8075,DIOR-R,13747,4,crops/139ce531458c8075.jpg,,,,
m4-v3-e6479d43f0b9,A,161,4ec7b96a1f145ae4,FAIR1M-v1.0,3389__1024__0___0,118,crops/4ec7b96a1f145ae4.jpg,,,,
m4-v3-e6479d43f0b9,A,162,984012c82e935fe7,SODA-A,01683__800__600___2045,78,crops/984012c82e935fe7.jpg,,,,
m4-v3-e6479d43f0b9,A,163,d73b6a98b1353917,FAIR1M-v1.0,208__1024__0___0,140,crops/d73b6a98b1353917.jpg,,,,
m4-v3-e6479d43f0b9,A,164,6862b2b755efa2de,SODA-A,01757__800__3000___1200,96,crops/6862b2b755efa2de.jpg,,,,
m4-v3-e6479d43f0b9,A,165,c9e6f29e0a36851f,DIOR-R,20332,41,crops/c9e6f29e0a36851f.jpg,,,,
m4-v3-e6479d43f0b9,A,166,d6957cbd89c45d1c,SODA-A,01875__800__3000___1985,38,crops/d6957cbd89c45d1c.jpg,,,,
m4-v3-e6479d43f0b9,A,167,af50f47677da3447,FAIR1M-v1.0,13427__1024__0___0,204,crops/af50f47677da3447.jpg,,,,
m4-v3-e6479d43f0b9,A,168,7316ae9a6971957c,FAIR1M-v1.0,7930__1024__0___0,26,crops/7316ae9a6971957c.jpg,,,,
m4-v3-e6479d43f0b9,A,169,c1d3aec5bbcdda3e,FAIR1M-v1.0,2587__1024__0___0,217,crops/c1d3aec5bbcdda3e.jpg,,,,
m4-v3-e6479d43f0b9,A,170,8f9edc772889336d,DIOR-R,14321,2,crops/8f9edc772889336d.jpg,,,,
m4-v3-e6479d43f0b9,A,171,663f4b88e826e316,FAIR1M-v1.0,5667__1024__0___0,150,crops/663f4b88e826e316.jpg,,,,
m4-v3-e6479d43f0b9,A,172,77b9703a651e2995,SODA-A,02289__800__1800___600,473,crops/77b9703a651e2995.jpg,,,,
m4-v3-e6479d43f0b9,A,173,7f2735416a80b890,FAIR1M-v1.0,9974__1024__0___0,25,crops/7f2735416a80b890.jpg,,,,
m4-v3-e6479d43f0b9,A,174,129446d1fb3b301d,SODA-A,02511__800__600___1200,11,crops/129446d1fb3b301d.jpg,,,,
m4-v3-e6479d43f0b9,A,175,7b664ae18fd24a20,SODA-A,01603__800__2400___0,96,crops/7b664ae18fd24a20.jpg,,,,
m4-v3-e6479d43f0b9,A,176,3d5008c1e3f0e724,SODA-A,00642__800__3000___0,117,crops/3d5008c1e3f0e724.jpg,,,,
m4-v3-e6479d43f0b9,A,177,f6e707898056f88e,SODA-A,00310__800__2400___600,120,crops/f6e707898056f88e.jpg,,,,
m4-v3-e6479d43f0b9,A,178,169b1f1342174b14,DIOR-R,13220,52,crops/169b1f1342174b14.jpg,,,,
m4-v3-e6479d43f0b9,A,179,f3276b3aeb3f4ce5,DIOR-R,12038,60,crops/f3276b3aeb3f4ce5.jpg,,,,
m4-v3-e6479d43f0b9,A,180,0c5d492125098335,FAIR1M-v1.0,8091__1024__0___0,117,crops/0c5d492125098335.jpg,,,,
m4-v3-e6479d43f0b9,A,181,a4706db54eacceb2,DIOR-R,18952,1,crops/a4706db54eacceb2.jpg,,,,
m4-v3-e6479d43f0b9,A,182,32ca6097153f2d46,SODA-A,00283__800__3000___1200,321,crops/32ca6097153f2d46.jpg,,,,
m4-v3-e6479d43f0b9,A,183,7fccbe2f74a4bada,FAIR1M-v1.0,590__1024__0___0,90,crops/7fccbe2f74a4bada.jpg,,,,
m4-v3-e6479d43f0b9,A,184,dfda70f171cc20b8,SODA-A,00812__800__3000___1985,49,crops/dfda70f171cc20b8.jpg,,,,
m4-v3-e6479d43f0b9,A,185,f40dec08970cd145,SODA-A,02205__800__1200___1800,15,crops/f40dec08970cd145.jpg,,,,
m4-v3-e6479d43f0b9,A,186,0ed23620b95ee950,DIOR-R,15152,10,crops/0ed23620b95ee950.jpg,,,,
m4-v3-e6479d43f0b9,A,187,80c86133e2d94948,FAIR1M-v1.0,9635__1024__0___0,4,crops/80c86133e2d94948.jpg,,,,
m4-v3-e6479d43f0b9,A,188,c7b132d46ed2d687,SODA-A,00936__800__3000___600,123,crops/c7b132d46ed2d687.jpg,,,,
m4-v3-e6479d43f0b9,A,189,97ee3f8cca4894de,SODA-A,01699__800__2400___600,59,crops/97ee3f8cca4894de.jpg,,,,
m4-v3-e6479d43f0b9,A,190,30afd0ef2dff8a7b,SODA-A,01145__800__2400___0,22,crops/30afd0ef2dff8a7b.jpg,,,,
m4-v3-e6479d43f0b9,A,191,fe4ce633201f1c5b,DIOR-R,14716,3,crops/fe4ce633201f1c5b.jpg,,,,
m4-v3-e6479d43f0b9,A,192,637de0b07f4d5aab,SODA-A,01600__800__3000___0,71,crops/637de0b07f4d5aab.jpg,,,,
