claim_id,manuscript_location,source_path,source_key,transform,expected,atol
NRC_FAIR_PHASE,section:5.3,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,cell=FAIR1M-v1.0/24&selector=intrinsic_phase_mod|nrc,float,1.1009,0
NRC_SODA_PHASE,section:5.3,top_journal_v3_reaudit_055/reports/a0_masked_nrc_bootstrap_ci_055.csv,cell=SODA-A/23&selector=intrinsic_phase_mod|nrc,float,1.0902,0
LTT_A_UCB,section:5.4,top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv,cell=A&score=detection_score&result_role=PRIMARY&alpha=0.03&selected=True|risk_ucb_calib,round:7,0.0153817,0
LTT_B_UCB,section:5.4,top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv,cell=B&score=detection_score&result_role=PRIMARY&alpha=0.03&selected=True|risk_ucb_calib,round:7,0.0161449,0
LTT_C_UCB,section:5.4,top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv,cell=C&score=detection_score&result_role=PRIMARY&alpha=0.03&selected=True|risk_ucb_calib,round:7,0.0258754,0
LTT_D_UCB,section:5.4,top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv,cell=D&score=detection_score&result_role=PRIMARY&alpha=0.03&selected=True|risk_ucb_calib,round:8,0.00536176,0
LTT_E_UCB,section:5.4,top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv,cell=E&score=detection_score&result_role=PRIMARY&alpha=0.03&selected=True|risk_ucb_calib,round:8,0.00307779,0
LTT_F_UCB,section:5.4,top_journal_v3_reaudit_055/reports/m3_image_level_ltt.csv,cell=F&score=detection_score&result_role=PRIMARY&alpha=0.03&selected=True|risk_ucb_calib,round:8,0.00300844,0
IID_A_UCB,section:5.4,top_journal_v3_reaudit_055/reports/m3_instance_vs_image_comparison.csv,cell=A&score=detection_score&result_role=PRIMARY&alpha=0.03|old_instance_iid_cp_ucb_calib_audit_only,round:8,0.00865956,0
IID_F_UCB,figure:fig5_image_vs_iid_bound,top_journal_v3_reaudit_055/reports/m3_instance_vs_image_comparison.csv,cell=F&score=detection_score&result_role=PRIMARY&alpha=0.03|old_instance_iid_cp_ucb_calib_audit_only,round:8,0.00546719,0
H_N,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=overall|n,float,450,0
H_MEAN,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=overall|mean_deg,float,2.3112,0
H_CILO,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=overall|mean_cluster_ci95_low,float,1.997,0
H_CIHI,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=overall|mean_cluster_ci95_high,float,2.7854,0
H_P90,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=overall|p90_deg,float,4.422,0
H_P95,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=overall|p95_deg,float,5.9359,0
H_P5,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=overall|P_gt5,float,0.08,0
H_P10,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=overall|P_gt10,float,0.008889,0
H_AR_N,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=ar>=2.1|n,float,308,0
H_AR_MEAN,section:5.5,reports/m4_human_annotation_primary_summary_073.csv,subset=ar>=2.1|mean_deg,float,2.2823,0
