artifact_type,path,bytes,sha256,can_recompute
r044_artifact,docs/paper_jprs_r044/evidence_map.csv,3317,c976b4dac9cf50372681a57cecccec0d710a55ae5354cdbbbab3e5859541afe0,yes
r044_artifact,docs/paper_jprs_r044/figures/fig1_accuracy_reliability_separation.png,149558,71493f5d21c47f85390cae92efb80f9732d1d54811f20badb2c362f5c2698477,yes
r044_artifact,docs/paper_jprs_r044/figures/fig1_accuracy_reliability_separation.svg,45213,5f0e20b18c2d4bcf2f16eb87083b084e9664fa72f655936baec4fa592b5105f0,yes
r044_artifact,docs/paper_jprs_r044/figures/fig2_controlled_perturbation.png,83955,c02b09c61b5a245ac91f6d046245157af26707de60b3bbb3ab7d8f68ee9904bf,yes
r044_artifact,docs/paper_jprs_r044/figures/fig2_controlled_perturbation.svg,44587,cf61b9db11727627bae2a8d2cd158190f840c5d26839bd8d23f019054852aaf7,yes
r044_artifact,docs/paper_jprs_r044/figures/fig3_geometry_tolerance.png,87158,1fd4343214937aa49e7384baa40c8a8224a4b81a6c0fd8ee2fc7d4e5b8c01641,yes
r044_artifact,docs/paper_jprs_r044/figures/fig3_geometry_tolerance.svg,36247,7aa7c8a552e6cd1093d4d603722cee41b9f13580cf7d9a8b9058f40e8a500b1a,yes
r044_artifact,docs/paper_jprs_r044/figures/fig4_representative_nrc.png,87679,88d11c638cf6fd0043f4a4a655fe03ca9f344f1e20947bee330873f2b2838335,yes
r044_artifact,docs/paper_jprs_r044/figures/fig4_representative_nrc.svg,46091,c24bca46730673283e672a5ba0306e3bff1af2df93b32ebc73c43f91ecc75196,yes
r044_artifact,docs/paper_jprs_r044/figures/fig5_image_vs_iid_bound.png,57098,1b9a9ef7ce652b1ccfb790f5590cc4a17fee4a34596af1926c39cdeb87776653,yes
r044_artifact,docs/paper_jprs_r044/figures/fig5_image_vs_iid_bound.svg,31504,5a2cacb50dea54ec3e73ab89d9508387a80b37cfff811b370aa77dd52eeb8d88,yes
r044_artifact,docs/paper_jprs_r044/figures/fig6_human_disagreement.png,79630,33d29a397ae3bd1a808e40fd6b7d25755eeafe73a5371f7e0e9a63f156c46e58,yes
r044_artifact,docs/paper_jprs_r044/figures/fig6_human_disagreement.svg,36326,11814dd358a655fa13fcd0f3b6746c1e4f618597f102278d75a6729eee6f6336,yes
r044_artifact,docs/paper_jprs_r044/figures/figure_manifest.csv,3233,8dfe26653d65cd7350a291eb0e3b68f1bce105b0e72c5c71eea2eee7b7e61e2a,yes
r044_artifact,docs/paper_jprs_r044/figures/generate_figures.py,324,f82c2078a9e362ab1a70fcc92598bcf85f2de625c3e8351309e975569acb9824,yes
r044_artifact,docs/paper_jprs_r044/highlights.md,407,440a87e8f53dfcfc7f1f4bd7334bdb7262fde18e9bb57cc7e0d8e2a0087981ff,authored_or_report
r044_artifact,docs/paper_jprs_r044/orientation_reliability_jprs.md,59471,e23077a080af8c3f3ad70606b83bf8d4491503be60d4e442f8c725e13f445317,authored_or_report
r044_artifact,docs/paper_jprs_r044/reference_audit.csv,4975,c146827307c05a60d5cd4fcebf8a70565388ad0e362f1eef4cec819c18e81d62,yes
r044_artifact,docs/paper_jprs_r044/references.bib,8203,d524b675acdf3c0c08153b4b3f2a8b0898e6fc0a58d32ac182b523b4e26080f6,authored_or_report
r044_artifact,docs/paper_jprs_r044/reproducibility_checklist.md,1359,a9395ab1e0df6be5778ccfd55c765913c5b90a9b4c64b4bd579b537a73c15876,authored_or_report
r044_artifact,docs/paper_jprs_r044/reviewer_1_measurement.md,3917,362e8469e924a7e9fb590ff9e624b381e4ab889534851082e84be1219d0b30d9,authored_or_report
r044_artifact,docs/paper_jprs_r044/reviewer_2_remote_sensing.md,3464,8d859bc13dc06c583c74d9294514006a4285b093e3f5ef57deed92f8ce842a50,authored_or_report
r044_artifact,docs/paper_jprs_r044/stale_claims_removed.md,2170,f953a30265148a7a8fe22028acf7723b07a20bf80f3a2806ee6b76a826df50ca,authored_or_report
r044_artifact,docs/paper_jprs_r044/supplement.md,12806,04a6aa7f432c5f496949bea0a312a9df6d6b2e0b5fc88b14d4b655328b7060e0,authored_or_report
r044_artifact,docs/paper_jprs_r044/tables/controlled_perturbation.csv,940,0a504f6141bc30687ef86d48d324f1ffc0769a305f6d0484fafc8e59a8a3c963,yes
r044_artifact,docs/paper_jprs_r044/tables/evidence_identity.csv,900,435617f0a5e6fdbb50ac528dbf7e8871bbe1948f9a7e402928f643727d7a9054,yes
r044_artifact,docs/paper_jprs_r044/tables/geometry_normalized_risk.csv,5723,418931f05262422b4648cf0e46d8bb78143ff093fa607c4d47018546b4cf2ff8,yes
r044_artifact,docs/paper_jprs_r044/tables/geometry_tolerance_curve.csv,14781,ee7b52237309affe8d7cfbd856334af0d96c8883c4ac8203266f9b3735fb1b9f,yes
r044_artifact,docs/paper_jprs_r044/tables/human_disagreement.csv,958,949242408b7a09b76294d8012c8662b8f9fcf5aeb1ff2c596264cb4727837f14,yes
r044_artifact,docs/paper_jprs_r044/tables/image_level_ltt_primary.csv,6590,d0dbdf82d7e45a734fe11f6a9fac3e2f06a5a80c429d87da115aadf99704b302,yes
r044_artifact,docs/paper_jprs_r044/tables/image_vs_iid_bound.csv,5104,29e3f20fc14a5f596898ca81e00fff5e60775d98b4053b4872f25d0ae4e3a5ae,yes
r044_artifact,docs/paper_jprs_r044/tables/representative_nrc.csv,728,c6654dd4f31d0e097083ae1a67e91b7a91bb1085baa0bf3ce2dafa80d3aac1e8,yes
r044_artifact,docs/paper_jprs_r044/tables/reverse_control.csv,786,0ee9f2ca25daff64efcb8429c9a9ffe8a28c100dea22e9acecd375bca69dc1fb,yes
r044_artifact,docs/paper_jprs_r044/venue_readiness.md,1823,20ebea7a40621889f2a32dd55fc7120356583d99e8cf3857e233027db604748a,authored_or_report
r044_artifact,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_package.py,10383,70a037a03caca1d6ec92a8c24f9c43947741db11071ca70ccd314c1574ef92fb,yes
r044_artifact,outputs/persistent_artifacts/orientbench_jprs_manuscript_r044_20260818/build_summary.json,201,fa4ab7a7f73bd20b6766faa4b132abf7ebf13b7453c9838734f94c8f00d16a71,yes
