source_cell,target_cell,setting,threshold,empirical_risk,coverage,violation_rate,strict_shift_guarantee_claimed,source
SODA-A/23,DIOR-R/3,leave-dataset_or_leave-detector_audit,0.12431911813712106,4.577772139000632,0.9913870837349585,0.0,False,052_full_real_matched_tables
SODA-A/23,DIOR-R/61,leave-dataset_or_leave-detector_audit,0.12431911813712106,4.3197148416825994,0.9893259114264742,0.0,False,052_full_real_matched_tables
SODA-A/23,SODA-A/4,leave-dataset_or_leave-detector_audit,0.12431911813712106,5.146781479520404,0.9659036617864082,0.0,False,052_full_real_matched_tables
DIOR-R/3,DOTA-v1.0/20,leave-dataset_or_leave-detector_audit,0.5395266466962576,1.3009046404060711,0.12139917695473251,0.0,False,052_full_real_matched_tables
DIOR-R/3,DIOR-R/22,leave-dataset_or_leave-detector_audit,0.5395266466962576,4.812799495260466,0.6635660465426418,0.0,False,052_full_real_matched_tables
DIOR-R/3,FAIR1M-v1.0/24,leave-dataset_or_leave-detector_audit,0.5395266466962576,13.532659588303968,0.041502337131171484,0.0,False,052_full_real_matched_tables
DIOR-R/3,SODA-A/23,leave-dataset_or_leave-detector_audit,0.5395266466962576,11.687407044408117,0.14210362915483574,0.0,False,052_full_real_matched_tables
DIOR-R/3,DIOR-R/61,leave-dataset_or_leave-detector_audit,0.5395266466962576,3.738765357294036,0.7923599217029607,0.0,False,052_full_real_matched_tables
DIOR-R/3,SODA-A/4,leave-dataset_or_leave-detector_audit,0.5395266466962576,5.338373408523758,0.7698510441771332,0.0,False,052_full_real_matched_tables
DIOR-R/61,DOTA-v1.0/20,leave-dataset_or_leave-detector_audit,0.3257463419612845,1.3645238463086702,0.6563786008230452,0.0,False,052_full_real_matched_tables
DIOR-R/61,DIOR-R/22,leave-dataset_or_leave-detector_audit,0.3257463419612845,4.800036916196748,0.8287990931519638,0.0,False,052_full_real_matched_tables
DIOR-R/61,FAIR1M-v1.0/24,leave-dataset_or_leave-detector_audit,0.3257463419612845,7.786757839548576,0.24293382997370727,0.0,False,052_full_real_matched_tables
DIOR-R/61,SODA-A/23,leave-dataset_or_leave-detector_audit,0.3257463419612845,6.3857706977721795,0.5414141479474028,0.0,False,052_full_real_matched_tables
DIOR-R/61,DIOR-R/3,leave-dataset_or_leave-detector_audit,0.3257463419612845,4.526594989770824,0.9733528186312614,0.0,False,052_full_real_matched_tables
DIOR-R/61,SODA-A/4,leave-dataset_or_leave-detector_audit,0.3257463419612845,5.199565155771684,0.8914894520591576,0.0,False,052_full_real_matched_tables
SODA-A/4,DOTA-v1.0/20,leave-dataset_or_leave-detector_audit,0.17140559115523837,1.3570448091970648,0.9300411522633745,0.0,False,052_full_real_matched_tables
SODA-A/4,DIOR-R/22,leave-dataset_or_leave-detector_audit,0.17140559115523837,4.6771662982674265,0.9393878775755151,0.0,False,052_full_real_matched_tables
SODA-A/4,FAIR1M-v1.0/24,leave-dataset_or_leave-detector_audit,0.17140559115523837,4.742104515628961,0.8927658486707567,0.0,False,052_full_real_matched_tables
SODA-A/4,SODA-A/23,leave-dataset_or_leave-detector_audit,0.17140559115523837,5.291021487403185,0.905189866049195,0.0,False,052_full_real_matched_tables
SODA-A/4,DIOR-R/3,leave-dataset_or_leave-detector_audit,0.17140559115523837,4.565242566734161,0.9873138273063649,0.0,False,052_full_real_matched_tables
SODA-A/4,DIOR-R/61,leave-dataset_or_leave-detector_audit,0.17140559115523837,4.286211183615526,0.9821079031074138,0.0,False,052_full_real_matched_tables
