cell_id,selector,coverage,downstream_risk,abstention_rate,uses_real_matched_predictions,is_proxy,source
DIOR-R/61,score,0.9,0.13124879532402217,0.09999999999999998,True,False,052_full_real_matched_tables
DIOR-R/61,size_linear,0.5,0.08728605945681428,0.5,True,False,052_full_real_matched_tables
DIOR-R/61,size_linear,0.7,0.10615941541419084,0.30000000000000004,True,False,052_full_real_matched_tables
DIOR-R/61,size_linear,0.9,0.13158568321609407,0.09999999999999998,True,False,052_full_real_matched_tables
DIOR-R/61,geometry,0.5,0.08807794837288964,0.5,True,False,052_full_real_matched_tables
DIOR-R/61,geometry,0.7,0.10649570080391471,0.30000000000000004,True,False,052_full_real_matched_tables
DIOR-R/61,geometry,0.9,0.1315876745845652,0.09999999999999998,True,False,052_full_real_matched_tables
SODA-A/4,score,0.5,0.2156025815116415,0.5,True,False,052_full_real_matched_tables
SODA-A/4,score,0.7,0.22730085997042426,0.30000000000000004,True,False,052_full_real_matched_tables
SODA-A/4,score,0.9,0.23847148292001016,0.09999999999999998,True,False,052_full_real_matched_tables
SODA-A/4,size_linear,0.5,0.21393170646253806,0.5,True,False,052_full_real_matched_tables
SODA-A/4,size_linear,0.7,0.22662550714746144,0.30000000000000004,True,False,052_full_real_matched_tables
SODA-A/4,size_linear,0.9,0.2382210796240427,0.09999999999999998,True,False,052_full_real_matched_tables
SODA-A/4,geometry,0.5,0.21367625625072992,0.5,True,False,052_full_real_matched_tables
SODA-A/4,geometry,0.7,0.22670541424942173,0.30000000000000004,True,False,052_full_real_matched_tables
SODA-A/4,geometry,0.9,0.2383727528230718,0.09999999999999998,True,False,052_full_real_matched_tables
