image_id,gt_count,old_r011_n_pred,m069_n_pred,r014_identity_n_pred,r014_hflip_n_pred,r014_vflip_n_pred
11766__1024__0___0,8,127,127,127,138,117
11767__1024__0___0,30,347,347,347,392,353
1176__1024__0___0,9,64,64,64,64,64
11771__1024__0___0,1,23,23,23,19,20
11771__1024__0___824,14,137,137,137,135,131
11771__1024__0___976,14,125,125,125,123,117
11771__1024__824___0,0,MISSING,0,0,0,0
11771__1024__824___824,23,172,172,172,171,176
11771__1024__824___976,27,184,184,184,189,179
11771__1024__976___0,0,MISSING,0,0,0,0
11771__1024__976___824,22,176,176,176,177,176
11771__1024__976___976,25,182,182,182,191,183
11772__1024__0___0,143,391,391,391,378,387
11778__1024__0___0,137,549,549,549,550,532
11779__1024__0___0,2,60,60,60,58,59
1177__1024__0___0,39,243,243,243,240,264
11783__1024__0___0,44,255,255,255,269,246
11790__1024__0___0,4,79,79,79,77,62
11790__1024__0___824,12,91,91,91,90,108
11790__1024__0___976,11,84,84,84,76,94
11790__1024__824___0,2,45,45,45,38,36
11790__1024__824___824,16,137,137,137,122,134
11790__1024__824___976,16,135,135,135,131,132
11790__1024__976___0,3,49,49,49,45,36
11790__1024__976___824,12,137,137,137,139,125
11790__1024__976___976,12,149,149,149,139,118
11801__1024__0___0,2,31,31,31,26,28
11805__1024__0___0,33,272,272,272,282,277
11810__1024__0___0,10,161,161,161,129,166
11818__1024__0___0,47,247,247,247,227,237
11819__1024__0___0,17,184,184,184,159,167
11827__1024__0___0,55,276,276,276,264,260
11832__1024__0___0,3,32,32,32,29,33
11838__1024__0___0,1,10,10,10,14,14
11842__1024__0___0,14,92,92,92,93,99
11848__1024__0___0,2,51,51,51,48,45
11850__1024__0___0,9,72,72,72,73,72
11852__1024__0___0,1,10,10,10,11,8
11864__1024__0___0,1,8,8,8,8,8
11869__1024__0___0,4,56,56,56,43,53
11874__1024__0___0,2,30,30,30,28,31
11875__1024__0___0,1,9,9,9,8,10
11887__1024__0___0,2,10,10,10,14,10
11897__1024__0___0,2,29,29,29,32,31
11908__1024__0___0,3,15,15,15,17,17
11913__1024__0___0,7,50,50,50,47,47
11923__1024__0___0,7,66,66,66,61,60
11928__1024__0___0,21,146,146,146,162,161
11931__1024__0___0,1,13,13,13,16,13
11935__1024__0___0,6,73,73,73,78,75
11936__1024__0___0,46,359,359,359,361,363
11937__1024__0___0,1,35,35,35,32,37
11940__1024__0___0,205,590,590,590,587,609
