cell,track,dose_deg,ar_bin,baseline_cohort_size,same_pair_survival_count,rematched_survival_count,same_pair_survival,rematched_survival,bootstrap_ci_low,bootstrap_ci_high,status
DIOR-R/22,S,15,all,32929,2682,2682,0.08144796380090498,0.08144796380090498,0.07549302732630951,0.08777478543767803,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,S,20,all,32929,1417,1417,0.043031977891827874,0.043031977891827874,0.038941804356826704,0.046880134539382605,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,S,25,all,32929,1400,1400,0.042515715630599166,0.042515715630599166,0.0385171923162027,0.04651917257842917,PASS_BASELINE_COHORT_FIXED
DIOR-R/22,S,30,all,32929,1399,1399,0.0424853472622916,0.0424853472622916,0.03873663474091602,0.0466633265517332,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,P,0,all,42826,42826,42826,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,P,2,all,42826,41885,41885,0.9780273665530286,0.9780273665530286,0.9761767204456246,0.9797539973522295,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,P,5,all,42826,37989,37989,0.8870545930042497,0.8870545930042497,0.88116312895739,0.8921019818719432,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,P,10,all,42826,19878,19878,0.46415728762901043,0.46415728762901043,0.4528999871566465,0.4767103262392587,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,P,15,all,42826,3870,3870,0.09036566571708775,0.09036566571708775,0.08422091360685018,0.09679420047907358,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,P,20,all,42826,2007,2007,0.04686405454630365,0.04686405454630365,0.042609768918933935,0.05127172386527628,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,P,25,all,42826,1970,1970,0.046000093401204874,0.046000093401204874,0.04216751703838274,0.050469985702639636,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,P,30,all,42826,1969,1969,0.04597674309998599,0.04597674309998599,0.04187347416486155,0.05020078560801276,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,D,0,all,42826,42826,42826,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,D,2,all,42826,41146,41146,0.960771493952272,0.960771493952272,0.9578922578648429,0.9635540923559294,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,D,5,all,42826,35030,35030,0.8179610516975669,0.8179610516975669,0.808765249492114,0.8258485687910506,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,D,10,all,42826,11596,11596,0.27077009293419885,0.27077009293419885,0.2583919835348069,0.2848622277198268,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,D,15,all,42826,1999,1999,0.04667725213655256,0.04667725213655256,0.04242760896519387,0.051633326707664885,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,D,20,all,42826,1969,1969,0.04597674309998599,0.04597674309998599,0.042016733912307515,0.05042130553275882,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,D,25,all,42826,1969,1969,0.04597674309998599,0.04597674309998599,0.04193016521252613,0.05040373045022885,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,D,30,all,42826,1969,1969,0.04597674309998599,0.04597674309998599,0.0420161934063651,0.05009638839920338,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,S,0,all,42826,42826,42826,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,S,2,all,42826,41885,41885,0.9780273665530286,0.9780273665530286,0.9762864827968062,0.9798120428892932,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,S,5,all,42826,37989,37989,0.8870545930042497,0.8870545930042497,0.8818140143853536,0.8923253171149068,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,S,10,all,42826,19878,19878,0.46415728762901043,0.46415728762901043,0.45294859415528566,0.47526750923285394,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,S,15,all,42826,3870,3870,0.09036566571708775,0.09036566571708775,0.08461188898252839,0.096723532290533,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,S,20,all,42826,2007,2007,0.04686405454630365,0.04686405454630365,0.04262940452871313,0.05108485146417264,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,S,25,all,42826,1970,1970,0.046000093401204874,0.046000093401204874,0.04171591035451073,0.050460145188734346,PASS_BASELINE_COHORT_FIXED
DIOR-R/3,S,30,all,42826,1969,1969,0.04597674309998599,0.04597674309998599,0.041783806301905355,0.05013938117831075,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,P,0,all,40811,40811,40811,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,P,2,all,40811,39920,39920,0.9781676508784396,0.9781676508784396,0.97632382072834,0.979780914168614,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,P,5,all,40811,36448,36448,0.8930925485775894,0.8930925485775894,0.888197899264506,0.8981212754735626,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,P,10,all,40811,20024,20024,0.49065203008992675,0.49065203008992675,0.4785432869591605,0.5027510945882618,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,P,15,all,40811,4319,4319,0.10582931072504961,0.10582931072504961,0.09838421957931727,0.1140686836870076,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,P,20,all,40811,1777,1777,0.04354218225478425,0.04354218225478425,0.039591000201618695,0.04824463107996918,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,P,25,all,40811,1738,1738,0.04258655754575972,0.04258655754575972,0.038321685553884446,0.046920019937135224,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,P,30,all,40811,1738,1738,0.04258655754575972,0.04258655754575972,0.03881847681034701,0.04728924375536271,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,D,0,all,40811,40811,40811,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,D,2,all,40811,39148,39148,0.9592511822792874,0.9592511822792874,0.9564873548768126,0.9619212730536977,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,D,5,all,40811,33664,33664,0.8248756462718385,0.8248756462718385,0.8178016986651374,0.8317120143099074,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,D,10,all,40811,11437,11437,0.28024307172085955,0.28024307172085955,0.2675969450561121,0.29395759035875507,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,D,15,all,40811,1982,1982,0.04856533777657984,0.04856533777657984,0.04373300851713901,0.05322230403021957,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,D,20,all,40811,1738,1738,0.04258655754575972,0.04258655754575972,0.03845774679696205,0.04707624172347239,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,D,25,all,40811,1738,1738,0.04258655754575972,0.04258655754575972,0.03856917649863252,0.04677929116290374,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,D,30,all,40811,1738,1738,0.04258655754575972,0.04258655754575972,0.03855561045971404,0.04723200554053142,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,S,0,all,40811,40811,40811,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,S,2,all,40811,39920,39920,0.9781676508784396,0.9781676508784396,0.9763493153403371,0.9799480276007632,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,S,5,all,40811,36448,36448,0.8930925485775894,0.8930925485775894,0.8880634632877974,0.8978975309731894,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,S,10,all,40811,20024,20024,0.49065203008992675,0.49065203008992675,0.47825224616724304,0.5032444390477424,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,S,15,all,40811,4319,4319,0.10582931072504961,0.10582931072504961,0.09842335051243503,0.11359664762353643,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,S,20,all,40811,1777,1777,0.04354218225478425,0.04354218225478425,0.03934055213749121,0.048036155843691725,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,S,25,all,40811,1738,1738,0.04258655754575972,0.04258655754575972,0.03839668027736387,0.047128737546137583,PASS_BASELINE_COHORT_FIXED
DIOR-R/61,S,30,all,40811,1738,1738,0.04258655754575972,0.04258655754575972,0.03868272729884519,0.04709877319208811,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,P,0,all,11091,11091,11091,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,P,2,all,11091,10526,10526,0.9490577946082409,0.9490577946082409,0.9447057159047573,0.9536957530582544,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,P,5,all,11091,8416,8416,0.7588134523487512,0.7588134523487512,0.7479455131651565,0.7691818583270972,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,P,10,all,11091,3712,3712,0.334685781264088,0.334685781264088,0.3201526900813428,0.34812088274621644,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,P,15,all,11091,1716,1716,0.15472004327833377,0.15472004327833377,0.14563908523709962,0.1638311754374549,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,P,20,all,11091,1462,1462,0.1318185916508881,0.1318185916508881,0.12279446304488237,0.14072955721174923,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,P,25,all,11091,1454,1454,0.13109728608781895,0.13109728608781895,0.12240069123010748,0.13999927560882527,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,P,30,all,11091,1452,1452,0.13091695969705167,0.13091695969705167,0.121733177663994,0.13998325338048764,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,D,0,all,11091,11091,11091,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,D,2,all,11091,10040,10040,0.9052384816517898,0.9052384816517898,0.8991752538518593,0.9110036239970286,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,D,5,all,11091,6767,6767,0.6101343431611216,0.6101343431611216,0.5983808474806059,0.6215383898239666,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,D,10,all,11091,2017,2017,0.18185916508881075,0.18185916508881075,0.17241662062772234,0.19200980416276037,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,D,15,all,11091,1452,1452,0.13091695969705167,0.13091695969705167,0.12241138115503598,0.13981926270598347,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,D,20,all,11091,1452,1452,0.13091695969705167,0.13091695969705167,0.12218211030945342,0.14000057062593277,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,D,25,all,11091,1452,1452,0.13091695969705167,0.13091695969705167,0.1213205595900638,0.13973103228886685,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,D,30,all,11091,1452,1452,0.13091695969705167,0.13091695969705167,0.12221088188314201,0.14034631687452706,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,S,0,all,11091,11091,11091,1.0,1.0,1.0,1.0,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,S,2,all,11091,10526,10526,0.9490577946082409,0.9490577946082409,0.9446350119615867,0.9532826408988839,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,S,5,all,11091,8416,8416,0.7588134523487512,0.7588134523487512,0.7473939849958251,0.7693894319806832,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,S,10,all,11091,3712,3712,0.334685781264088,0.334685781264088,0.3218658360505636,0.34883730948244945,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,S,15,all,11091,1716,1716,0.15472004327833377,0.15472004327833377,0.14544151901704144,0.16484542947546976,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,S,20,all,11091,1462,1462,0.1318185916508881,0.1318185916508881,0.12359676799824408,0.14081894341772938,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,S,25,all,11091,1454,1454,0.13109728608781895,0.13109728608781895,0.12181209581645723,0.13930875368838702,PASS_BASELINE_COHORT_FIXED
FAIR1M-v1.0/24,S,30,all,11091,1452,1452,0.13091695969705167,0.13091695969705167,0.1223111365457258,0.13982362263427292,PASS_BASELINE_COHORT_FIXED
SODA-A/23,P,0,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,P,2,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,P,5,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,P,10,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,P,15,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,P,20,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,P,25,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,P,30,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,D,0,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,D,2,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,D,5,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,D,10,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,D,15,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,D,20,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,D,25,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,D,30,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,S,0,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,S,2,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,S,5,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,S,10,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,S,15,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,S,20,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,S,25,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,S,30,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,P,0,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,P,2,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,P,5,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,P,10,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,P,15,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,P,20,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,P,25,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,P,30,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,D,0,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,D,2,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,D,5,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,D,10,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,D,15,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,D,20,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,D,25,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,D,30,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,S,0,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,S,2,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,S,5,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,S,10,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,S,15,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,S,20,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,S,25,all,,,,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,S,30,all,,,,,,,,NOT_RUN_EVALUATOR_R010
