evaluation_unit,dataset,risk_endpoint,alpha_label,alpha_type,alpha,coverage,fit_threshold,selected_calibration_instances,nonempty_calibration_scenes,conditional_scene_risk,hb_ucb,pointwise_pass,prefix_open_before,prefix_open_after,after_first_failure_pointwise_pass
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.050000,1.000001,525,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.100000,1.000001,1778,159,0.000000,0.014377,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.200000,1.000001,2986,336,0.000000,0.006830,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.300000,1.000001,4179,504,0.000000,0.004558,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.400000,1.000001,5009,681,0.000000,0.003375,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.500000,1.000000,6753,877,0.000000,0.002622,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.600000,1.000000,7656,1014,0.000000,0.002268,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.700000,1.000000,8901,1188,0.000000,0.001936,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.800000,1.000000,10378,1395,0.000000,0.001649,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.900000,1.000000,12283,1617,0.000000,0.001423,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1.000000,0.000000,13289,1794,0.018426,0.025712,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.010000,1.000001,55,15,0.000000,0.142304,False,True,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.025000,1.000001,56,16,0.000000,0.134036,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.050000,1.000001,525,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.100000,1.000001,1778,159,0.000000,0.014377,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.200000,1.000001,2986,336,0.000000,0.006830,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.300000,1.000001,4179,504,0.000000,0.004558,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.400000,1.000001,5009,681,0.000000,0.003375,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.500000,1.000000,6753,877,0.000000,0.002622,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.600000,1.000000,7656,1014,0.000000,0.002268,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.700000,1.000000,8901,1188,0.000000,0.001936,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.800000,1.000000,10378,1395,0.000000,0.001649,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.900000,1.000000,12283,1617,0.000000,0.001423,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1.000000,0.000000,13289,1794,0.018426,0.025712,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.010000,1.000001,55,15,0.000000,0.142304,False,True,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.025000,1.000001,56,16,0.000000,0.134036,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.050000,1.000001,525,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.100000,1.000001,1778,159,0.000000,0.014377,False,False,False,False
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.200000,1.000001,2986,336,0.000000,0.006830,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.300000,1.000001,4179,504,0.000000,0.004558,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.400000,1.000001,5009,681,0.000000,0.003375,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.500000,1.000000,6753,877,0.000000,0.002622,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.600000,1.000000,7656,1014,0.000000,0.002268,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.700000,1.000000,8901,1188,0.000000,0.001936,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.800000,1.000000,10378,1395,0.000000,0.001649,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.900000,1.000000,12283,1617,0.000000,0.001423,True,False,False,True
A,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1.000000,0.000000,13289,1794,0.018426,0.025712,False,False,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.010000,1.000001,55,15,0.000000,0.142304,False,True,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.025000,1.000001,56,16,0.000000,0.134036,False,False,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.050000,1.000001,525,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.100000,1.000001,1778,159,0.000000,0.014377,False,False,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.200000,1.000001,2986,336,0.000000,0.006830,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.300000,1.000001,4179,504,0.000000,0.004558,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.400000,1.000001,5009,681,0.000000,0.003375,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.500000,1.000000,6753,877,0.000000,0.002622,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.600000,1.000000,7656,1014,0.000000,0.002268,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.700000,1.000000,8901,1188,0.000000,0.001936,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.800000,1.000000,10378,1395,0.000000,0.001649,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.900000,1.000000,12283,1617,0.000000,0.001423,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,1.000000,0.000000,13289,1794,0.018426,0.025712,False,False,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.010000,1.000001,55,15,0.000000,0.142304,False,True,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.025000,1.000001,56,16,0.000000,0.134036,False,False,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.050000,1.000001,525,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.100000,1.000001,1778,159,0.000000,0.014377,False,False,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.200000,1.000001,2986,336,0.000000,0.006830,False,False,False,False
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.300000,1.000001,4179,504,0.000000,0.004558,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.400000,1.000001,5009,681,0.000000,0.003375,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.500000,1.000000,6753,877,0.000000,0.002622,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.600000,1.000000,7656,1014,0.000000,0.002268,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.700000,1.000000,8901,1188,0.000000,0.001936,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.800000,1.000000,10378,1395,0.000000,0.001649,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.900000,1.000000,12283,1617,0.000000,0.001423,True,False,False,True
A,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,1.000000,0.000000,13289,1794,0.018426,0.025712,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.010000,1.000001,51,14,0.000000,0.151657,False,True,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.025000,1.000001,56,17,0.000000,0.126674,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.050000,1.000001,488,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.100000,1.000001,1693,168,0.000000,0.013612,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.200000,1.000001,3034,357,0.000000,0.006429,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.300000,1.000001,4014,516,0.000000,0.004452,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.400000,1.000001,5137,716,0.000000,0.003211,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.500000,1.000000,6759,919,0.000000,0.002502,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.600000,1.000000,7963,1095,0.000000,0.002101,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.700000,1.000000,9283,1274,0.000000,0.001806,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.800000,1.000000,10728,1471,0.000000,0.001564,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.900000,1.000000,11758,1639,0.000000,0.001404,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1.000000,0.000000,13288,1794,0.076345,0.088467,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.010000,1.000001,51,14,0.000000,0.151657,False,True,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.025000,1.000001,56,17,0.000000,0.126674,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.050000,1.000001,488,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.100000,1.000001,1693,168,0.000000,0.013612,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.200000,1.000001,3034,357,0.000000,0.006429,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.300000,1.000001,4014,516,0.000000,0.004452,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.400000,1.000001,5137,716,0.000000,0.003211,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.500000,1.000000,6759,919,0.000000,0.002502,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.600000,1.000000,7963,1095,0.000000,0.002101,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.700000,1.000000,9283,1274,0.000000,0.001806,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.800000,1.000000,10728,1471,0.000000,0.001564,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.900000,1.000000,11758,1639,0.000000,0.001404,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1.000000,0.000000,13288,1794,0.076345,0.088467,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.010000,1.000001,51,14,0.000000,0.151657,False,True,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.025000,1.000001,56,17,0.000000,0.126674,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.050000,1.000001,488,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.100000,1.000001,1693,168,0.000000,0.013612,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.200000,1.000001,3034,357,0.000000,0.006429,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.300000,1.000001,4014,516,0.000000,0.004452,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.400000,1.000001,5137,716,0.000000,0.003211,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.500000,1.000000,6759,919,0.000000,0.002502,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.600000,1.000000,7963,1095,0.000000,0.002101,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.700000,1.000000,9283,1274,0.000000,0.001806,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.800000,1.000000,10728,1471,0.000000,0.001564,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.900000,1.000000,11758,1639,0.000000,0.001404,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1.000000,0.000000,13288,1794,0.076345,0.088467,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.010000,1.000001,51,14,0.000000,0.151657,False,True,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.025000,1.000001,56,17,0.000000,0.126674,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.050000,1.000001,488,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.100000,1.000001,1693,168,0.000000,0.013612,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.200000,1.000001,3034,357,0.000000,0.006429,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.300000,1.000001,4014,516,0.000000,0.004452,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.400000,1.000001,5137,716,0.000000,0.003211,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.500000,1.000000,6759,919,0.000000,0.002502,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.600000,1.000000,7963,1095,0.000000,0.002101,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.700000,1.000000,9283,1274,0.000000,0.001806,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.800000,1.000000,10728,1471,0.000000,0.001564,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.900000,1.000000,11758,1639,0.000000,0.001404,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1.000000,0.000000,13288,1794,0.076345,0.088467,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.010000,1.000001,51,14,0.000000,0.151657,False,True,False,False
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.025000,1.000001,56,17,0.000000,0.126674,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.050000,1.000001,488,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.100000,1.000001,1693,168,0.000000,0.013612,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.200000,1.000001,3034,357,0.000000,0.006429,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.300000,1.000001,4014,516,0.000000,0.004452,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.400000,1.000001,5137,716,0.000000,0.003211,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.500000,1.000000,6759,919,0.000000,0.002502,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.600000,1.000000,7963,1095,0.000000,0.002101,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.700000,1.000000,9283,1274,0.000000,0.001806,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.800000,1.000000,10728,1471,0.000000,0.001564,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.900000,1.000000,11758,1639,0.000000,0.001404,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,1.000000,0.000000,13288,1794,0.076345,0.088467,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.010000,1.000001,51,14,0.000000,0.151657,False,True,False,False
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.025000,1.000001,56,17,0.000000,0.126674,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.050000,1.000001,488,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.100000,1.000001,1693,168,0.000000,0.013612,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.200000,1.000001,3034,357,0.000000,0.006429,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.300000,1.000001,4014,516,0.000000,0.004452,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.400000,1.000001,5137,716,0.000000,0.003211,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.500000,1.000000,6759,919,0.000000,0.002502,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.600000,1.000000,7963,1095,0.000000,0.002101,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.700000,1.000000,9283,1274,0.000000,0.001806,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.800000,1.000000,10728,1471,0.000000,0.001564,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.900000,1.000000,11758,1639,0.000000,0.001404,True,False,False,True
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,1.000000,0.000000,13288,1794,0.076345,0.088467,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.010000,1.000001,54,15,0.000000,0.142304,False,True,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.025000,1.000001,56,17,0.000000,0.126674,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.050000,1.000001,527,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.100000,1.000001,1783,161,0.000000,0.014200,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.200000,1.000001,2984,337,0.000000,0.006809,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.300000,1.000001,4174,505,0.000000,0.004549,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.400000,1.000001,5040,687,0.000000,0.003346,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.500000,1.000000,6745,876,0.000000,0.002625,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.600000,1.000000,7645,1013,0.000000,0.002270,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.700000,1.000000,8887,1186,0.000000,0.001940,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.800000,1.000000,10371,1398,0.000000,0.001646,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.900000,1.000000,12262,1616,0.000000,0.001424,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1.000000,0.000000,13289,1794,0.020310,0.027622,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.010000,1.000001,54,15,0.000000,0.142304,False,True,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.025000,1.000001,56,17,0.000000,0.126674,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.050000,1.000001,527,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.100000,1.000001,1783,161,0.000000,0.014200,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.200000,1.000001,2984,337,0.000000,0.006809,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.300000,1.000001,4174,505,0.000000,0.004549,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.400000,1.000001,5040,687,0.000000,0.003346,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.500000,1.000000,6745,876,0.000000,0.002625,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.600000,1.000000,7645,1013,0.000000,0.002270,True,False,False,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.700000,1.000000,8887,1186,0.000000,0.001940,True,False,False,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.800000,1.000000,10371,1398,0.000000,0.001646,True,False,False,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.900000,1.000000,12262,1616,0.000000,0.001424,True,False,False,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1.000000,0.000000,13289,1794,0.020310,0.027622,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.010000,1.000001,54,15,0.000000,0.142304,False,True,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.025000,1.000001,56,17,0.000000,0.126674,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.050000,1.000001,527,52,0.000000,0.043314,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.100000,1.000001,1783,161,0.000000,0.014200,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.200000,1.000001,2984,337,0.000000,0.006809,False,False,False,False
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.300000,1.000001,4174,505,0.000000,0.004549,True,False,False,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.400000,1.000001,5040,687,0.000000,0.003346,True,False,False,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.500000,1.000000,6745,876,0.000000,0.002625,True,False,False,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.600000,1.000000,7645,1013,0.000000,0.002270,True,False,False,True
