cell,track,dose_deg,ar_bin,reps,seed,status,ci_low,ci_high
DIOR-R/3,S,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.45294859415528566,0.47526750923285394
DIOR-R/3,S,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.08461188898252839,0.096723532290533
DIOR-R/3,S,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.04262940452871313,0.05108485146417264
DIOR-R/3,S,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.04171591035451073,0.050460145188734346
DIOR-R/3,S,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.041783806301905355,0.05013938117831075
DIOR-R/61,P,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
DIOR-R/61,P,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.97632382072834,0.979780914168614
DIOR-R/61,P,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.888197899264506,0.8981212754735626
DIOR-R/61,P,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.4785432869591605,0.5027510945882618
DIOR-R/61,P,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.09838421957931727,0.1140686836870076
DIOR-R/61,P,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.039591000201618695,0.04824463107996918
DIOR-R/61,P,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.038321685553884446,0.046920019937135224
DIOR-R/61,P,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03881847681034701,0.04728924375536271
DIOR-R/61,D,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
DIOR-R/61,D,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9564873548768126,0.9619212730536977
DIOR-R/61,D,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.8178016986651374,0.8317120143099074
DIOR-R/61,D,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.2675969450561121,0.29395759035875507
DIOR-R/61,D,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.04373300851713901,0.05322230403021957
DIOR-R/61,D,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03845774679696205,0.04707624172347239
DIOR-R/61,D,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03856917649863252,0.04677929116290374
DIOR-R/61,D,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03855561045971404,0.04723200554053142
DIOR-R/61,S,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
DIOR-R/61,S,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9763493153403371,0.9799480276007632
DIOR-R/61,S,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.8880634632877974,0.8978975309731894
DIOR-R/61,S,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.47825224616724304,0.5032444390477424
DIOR-R/61,S,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.09842335051243503,0.11359664762353643
DIOR-R/61,S,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03934055213749121,0.048036155843691725
DIOR-R/61,S,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03839668027736387,0.047128737546137583
DIOR-R/61,S,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.03868272729884519,0.04709877319208811
FAIR1M-v1.0/24,P,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
FAIR1M-v1.0/24,P,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9447057159047573,0.9536957530582544
FAIR1M-v1.0/24,P,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.7479455131651565,0.7691818583270972
FAIR1M-v1.0/24,P,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.3201526900813428,0.34812088274621644
FAIR1M-v1.0/24,P,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.14563908523709962,0.1638311754374549
FAIR1M-v1.0/24,P,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.12279446304488237,0.14072955721174923
FAIR1M-v1.0/24,P,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.12240069123010748,0.13999927560882527
FAIR1M-v1.0/24,P,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.121733177663994,0.13998325338048764
FAIR1M-v1.0/24,D,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
FAIR1M-v1.0/24,D,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.8991752538518593,0.9110036239970286
FAIR1M-v1.0/24,D,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.5983808474806059,0.6215383898239666
FAIR1M-v1.0/24,D,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.17241662062772234,0.19200980416276037
FAIR1M-v1.0/24,D,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.12241138115503598,0.13981926270598347
FAIR1M-v1.0/24,D,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.12218211030945342,0.14000057062593277
FAIR1M-v1.0/24,D,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.1213205595900638,0.13973103228886685
FAIR1M-v1.0/24,D,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.12221088188314201,0.14034631687452706
FAIR1M-v1.0/24,S,0,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,1.0,1.0
FAIR1M-v1.0/24,S,2,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.9446350119615867,0.9532826408988839
FAIR1M-v1.0/24,S,5,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.7473939849958251,0.7693894319806832
FAIR1M-v1.0/24,S,10,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.3218658360505636,0.34883730948244945
FAIR1M-v1.0/24,S,15,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.14544151901704144,0.16484542947546976
FAIR1M-v1.0/24,S,20,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.12359676799824408,0.14081894341772938
FAIR1M-v1.0/24,S,25,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.12181209581645723,0.13930875368838702
FAIR1M-v1.0/24,S,30,all,1000,20260806,PASS_IMAGE_CLUSTER_BOOTSTRAP,0.1223111365457258,0.13982362263427292
SODA-A/23,P,0,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,P,2,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,P,5,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,P,10,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,P,15,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,P,20,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,P,25,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,P,30,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,D,0,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,D,2,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,D,5,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,D,10,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,D,15,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,D,20,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,D,25,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,D,30,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,S,0,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,S,2,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,S,5,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,S,10,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,S,15,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,S,20,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,S,25,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/23,S,30,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,P,0,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,P,2,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,P,5,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,P,10,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,P,15,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,P,20,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,P,25,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,P,30,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,D,0,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,D,2,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,D,5,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,D,10,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,D,15,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,D,20,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,D,25,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,D,30,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,S,0,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,S,2,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,S,5,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,S,10,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,S,15,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,S,20,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,S,25,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
SODA-A/4,S,30,all,0,20260806,NOT_RUN_EVALUATOR_R010,,
