evaluation_unit,dataset,detector,score,risk_endpoint,alpha_label,alpha,alpha_type,grid_index,fit_n,cal_event_k,cal_event_n,scene_event_hb_scalar,scene_event_hb_exact_integer,scene_event_exact_match,match_test
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,5,588,1,591,0.042685,0.042685,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,6,664,2,682,0.090561,0.090561,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,7,770,5,798,0.521079,0.521079,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,8,914,19,965,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,9,1062,30,1145,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,10,1253,35,1361,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,11,1480,53,1612,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,absolute,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,0,49,0,54,0.581059,0.581059,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,1,107,0,107,0.341042,0.341042,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,2,184,0,175,0.172147,0.172147,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,3,352,0,352,0.029045,0.029045,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,4,508,0,507,0.006114,0.006114,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,5,588,1,591,0.042614,0.042614,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,6,664,2,682,0.090404,0.090404,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,7,770,5,798,0.520403,0.520403,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,8,914,19,965,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,9,1062,30,1145,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,10,1253,35,1361,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,11,1480,53,1612,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,0,49,0,54,0.762793,0.762793,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,1,107,0,107,0.584778,0.584778,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,2,184,0,175,0.415825,0.415825,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,3,352,0,352,0.171185,0.171185,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,4,508,0,507,0.078692,0.078692,False,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,5,588,1,591,0.416691,0.416691,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,6,664,2,682,0.708353,0.708353,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,7,770,5,798,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,8,914,19,965,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,9,1062,30,1145,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,10,1253,35,1361,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,11,1480,53,1612,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,0,92,4,83,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,1,191,6,197,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,2,302,7,330,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,3,459,13,518,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,4,652,16,717,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,5,803,22,903,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,6,947,23,1037,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,7,1103,26,1211,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,8,1254,28,1353,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,9,1361,30,1489,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,10,1471,37,1583,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,11,1563,44,1677,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,absolute,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,0,92,4,83,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,1,191,6,197,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,2,302,7,330,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,3,459,13,518,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,4,652,16,717,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,5,803,22,903,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,6,947,23,1037,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,7,1103,26,1211,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,8,1254,28,1353,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,9,1361,30,1489,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,10,1471,37,1583,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,11,1563,44,1677,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,0,92,4,83,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,1,191,6,197,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,2,302,7,330,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,3,459,13,518,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,4,652,16,717,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,5,803,22,903,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,6,947,23,1037,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,7,1103,26,1211,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,8,1254,28,1353,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,9,1361,30,1489,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,10,1471,37,1583,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,11,1563,44,1677,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,absolute,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,0,92,4,83,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,1,191,6,197,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,2,302,7,330,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,3,459,13,518,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,4,652,16,717,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,5,803,22,903,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,6,947,23,1037,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,7,1103,26,1211,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,8,1254,28,1353,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,9,1361,30,1489,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,10,1471,37,1583,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,11,1563,44,1677,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,absolute_0.01,0.010000,absolute,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,0,92,4,83,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,1,191,6,197,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,2,302,7,330,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,3,459,13,518,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,4,652,16,717,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,5,803,22,903,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,6,947,23,1037,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,7,1103,26,1211,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,8,1254,28,1353,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,9,1361,30,1489,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,10,1471,37,1583,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,11,1563,44,1677,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,0.010003,relative,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,0,92,4,83,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,1,191,6,197,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,2,302,7,330,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,3,459,13,518,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,4,652,16,717,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,5,803,22,903,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,6,947,23,1037,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,7,1103,26,1211,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,8,1254,28,1353,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,9,1361,30,1489,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,10,1471,37,1583,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,11,1563,44,1677,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,0.005002,relative,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,0,90,0,97,0.907512,0.907512,False,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,1,205,1,254,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,2,389,5,451,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,3,622,10,694,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,4,770,12,857,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,5,859,14,943,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,6,944,17,1028,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,7,1025,21,1138,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,8,1178,23,1312,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,9,1284,27,1431,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,10,1362,33,1499,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,11,1546,42,1672,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,0.001000,absolute,12,1673,76,1794,1.000000,1.000000,True,family
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.0025,0.002500,absolute,0,90,0,97,0.784426,0.784426,False,family
