identity_key,evaluation_unit,dataset,detector,score,risk_endpoint,alpha_label,alpha_type,alpha,r_fit,trivial_guarantee,actual_feasible,actual_practical,actual_target_coverage,actual_selected_count,n_max_calibration_scenes,zero_loss_hb_ucb_delta_0.1,oracle_primary_feasible,oracle_chosen_coverage,attribution
A|tta_circular_consistency|geometry_normalized_severe|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|geometry_normalized_severe|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|geometry_normalized_severe|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|source_supervised_leave_geometry|geometry_normalized_severe|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|geometry_normalized_severe|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|geometry_normalized_severe|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|geometry_normalized_severe|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|geometry_normalized_severe|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,relative_0.5_r_fit,relative,0.010003,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|geometry_normalized_severe|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,relative_0.25_r_fit,relative,0.005002,0.020007,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_5deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|detection_score|angle_error_gt_5deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_5deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_5deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_5deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_5deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_5deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|tta_circular_consistency|angle_error_gt_5deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_5deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_5deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_5deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_5deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_5deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_5deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_5deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_5deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_5deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.081887,False,True,False,0.025000,646,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_5deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_5deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_5deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_5deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_5deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_5deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.081887,False,True,True,0.500000,12491,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_5deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.081887,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_10deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|detection_score|angle_error_gt_10deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_10deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_10deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_10deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.009388,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_10deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.004694,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_10deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|tta_circular_consistency|angle_error_gt_10deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_10deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_10deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_10deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.009388,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_10deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.004694,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_10deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_10deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_10deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_10deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_10deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.009388,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_10deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.004694,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_10deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_10deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_10deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_10deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_10deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.009388,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|target_gt_nonlinear_geometry_upper_bound|angle_error_gt_10deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.004694,0.018776,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_15deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|detection_score|angle_error_gt_15deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_15deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_15deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,0.009917,True,False,False,0.000000,0,1794,0.001283,False,0.000000,TRIVIAL_BUDGET
A|detection_score|angle_error_gt_15deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.004958,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|detection_score|angle_error_gt_15deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002479,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_15deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|tta_circular_consistency|angle_error_gt_15deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_15deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_15deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,0.009917,True,False,False,0.000000,0,1794,0.001283,False,0.000000,TRIVIAL_BUDGET
A|tta_circular_consistency|angle_error_gt_15deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.004958,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|tta_circular_consistency|angle_error_gt_15deg|relative_0.25_r_fit,A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002479,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_15deg|absolute_0.001,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,STRUCTURAL_POWER_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_15deg|absolute_0.0025,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_15deg|absolute_0.005,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
A|source_supervised_leave_geometry|angle_error_gt_15deg|absolute_0.01,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,0.009917,True,False,False,0.000000,0,1794,0.001283,False,0.000000,TRIVIAL_BUDGET
A|source_supervised_leave_geometry|angle_error_gt_15deg|relative_0.5_r_fit,A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.004958,0.009917,False,False,False,0.000000,0,1794,0.001283,False,0.000000,ORACLE_DATA_OR_GRID_LIMIT
