cell,track,dose_deg,ar_bin,reps,seed,same_pair_ci_low,same_pair_ci_high,rematched_ci_low,rematched_ci_high
DIOR-R/3,S,15,"[2.1,3)",1000,20260806+row_index,0.13426705663025973,0.15160449874519488,0.13493196847729869,0.15212682565837574
DIOR-R/3,P,15,"[3,5)",1000,20260806+row_index,0.0032355735614566306,0.005820670071976037,0.0032148161250563525,0.005838476463826431
DIOR-R/3,D,15,"[3,5)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/3,+,15,"[3,5)",1000,20260806+row_index,0.0031705478936786594,0.005911247852543725,0.00327598788624136,0.005807085471988267
DIOR-R/3,-,15,"[3,5)",1000,20260806+row_index,0.0028773467927798485,0.005256284506418966,0.0029275228617602986,0.005209558238420226
DIOR-R/3,S,15,"[3,5)",1000,20260806+row_index,0.003355667994201781,0.005243650914016067,0.0033528854822898893,0.005234498837407577
DIOR-R/3,P,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/3,D,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/3,+,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/3,-,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/3,S,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/61,P,15,"[2.1,3)",1000,20260806+row_index,0.1496621656394524,0.1692836689445537,0.1487570831076148,0.16978173387827425
DIOR-R/61,D,15,"[2.1,3)",1000,20260806+row_index,0.011855526968202695,0.015709368890624444,0.011734385624192246,0.015766953226861204
DIOR-R/61,+,15,"[2.1,3)",1000,20260806+row_index,0.14860412540443257,0.16894042410026802,0.14867019497352987,0.17097443650196234
DIOR-R/61,-,15,"[2.1,3)",1000,20260806+row_index,0.15078021011104345,0.1717568995271655,0.15081007313320946,0.17231026837090635
DIOR-R/61,S,15,"[2.1,3)",1000,20260806+row_index,0.15033741422226263,0.1699764732972187,0.15070360312922212,0.17064984543373282
DIOR-R/61,P,15,"[3,5)",1000,20260806+row_index,0.0036832658084568217,0.006313758953652651,0.003787108085622517,0.006200934246702686
DIOR-R/61,D,15,"[3,5)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/61,+,15,"[3,5)",1000,20260806+row_index,0.003768715019297802,0.006097825211640478,0.003615219279591812,0.006077538301575801
DIOR-R/61,-,15,"[3,5)",1000,20260806+row_index,0.0037453249535210212,0.006977943465344475,0.003746481131005993,0.006880986248052982
DIOR-R/61,S,15,"[3,5)",1000,20260806+row_index,0.00407034055874297,0.006100569093414107,0.003998529297992132,0.006140820928594171
DIOR-R/61,P,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/61,D,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/61,+,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/61,-,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
DIOR-R/61,S,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
FAIR1M-v1.0/24,P,15,"[2.1,3)",1000,20260806+row_index,0.22127234095973722,0.24844333336913693,0.22091375141560546,0.24703597757284856
FAIR1M-v1.0/24,D,15,"[2.1,3)",1000,20260806+row_index,0.0,0.0005193489968872986,0.0,0.0004223612121837034
FAIR1M-v1.0/24,+,15,"[2.1,3)",1000,20260806+row_index,0.22092992558215024,0.24802081730214307,0.22104645586661129,0.24705903726588843
FAIR1M-v1.0/24,-,15,"[2.1,3)",1000,20260806+row_index,0.2138283816521224,0.23775835302483986,0.2134033924548599,0.23868864430704212
FAIR1M-v1.0/24,S,15,"[2.1,3)",1000,20260806+row_index,0.21814649174756148,0.24395925391604958,0.2167379686825416,0.2422319863552637
FAIR1M-v1.0/24,P,15,"[3,5)",1000,20260806+row_index,0.002059714563805401,0.006597745008824178,0.002091211905375301,0.006567952756939941
FAIR1M-v1.0/24,D,15,"[3,5)",1000,20260806+row_index,0.0,0.0,0.0,0.0
FAIR1M-v1.0/24,+,15,"[3,5)",1000,20260806+row_index,0.0020772583805741367,0.00660421634855148,0.00196446666504275,0.006682337958167933
FAIR1M-v1.0/24,-,15,"[3,5)",1000,20260806+row_index,0.0003492748274968624,0.0034411562284927736,0.0003534662045709163,0.0034342135977197897
FAIR1M-v1.0/24,S,15,"[3,5)",1000,20260806+row_index,0.0015957164075576398,0.004478164654402287,0.001547415426568199,0.004467932624681729
FAIR1M-v1.0/24,P,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
FAIR1M-v1.0/24,D,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
FAIR1M-v1.0/24,+,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
FAIR1M-v1.0/24,-,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
FAIR1M-v1.0/24,S,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/23,P,15,"[2.1,3)",1000,20260806+row_index,0.10777341900304423,0.12256865165302354,0.10696248771861891,0.12251067281789088
SODA-A/23,D,15,"[2.1,3)",1000,20260806+row_index,0.0,4.7100883526107486e-05,0.0,4.721095924548664e-05
SODA-A/23,+,15,"[2.1,3)",1000,20260806+row_index,0.10722490030866295,0.12248098421470839,0.10698728969642426,0.1228634146735425
SODA-A/23,-,15,"[2.1,3)",1000,20260806+row_index,0.10574246604475429,0.12143591681397559,0.10434340650625272,0.12188457419191025
SODA-A/23,S,15,"[2.1,3)",1000,20260806+row_index,0.10650939427298102,0.12117085220595042,0.10621271143175193,0.12182110691393148
SODA-A/23,P,15,"[3,5)",1000,20260806+row_index,0.000707273123344159,0.0019281416594947478,0.0006984169598629012,0.0019324403622787056
SODA-A/23,D,15,"[3,5)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/23,+,15,"[3,5)",1000,20260806+row_index,0.0007295812513650966,0.0018856904658670244,0.0007251013979197747,0.001927916859187074
SODA-A/23,-,15,"[3,5)",1000,20260806+row_index,0.000598591175874828,0.001823402503063231,0.0006188692694455428,0.0018218765451215226
SODA-A/23,S,15,"[3,5)",1000,20260806+row_index,0.0007777486919228779,0.0016289112835313573,0.0007803480818675612,0.0016400646683040043
SODA-A/23,P,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/23,D,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/23,+,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/23,-,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/23,S,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/4,P,15,"[2.1,3)",1000,20260806+row_index,0.15358051392794367,0.16975492943089865,0.1539599843632574,0.16933408200996522
SODA-A/4,D,15,"[2.1,3)",1000,20260806+row_index,0.0,6.35449843274654e-05,0.0,6.530030987920274e-05
SODA-A/4,+,15,"[2.1,3)",1000,20260806+row_index,0.15327862534193165,0.16963497931822435,0.15361536956870087,0.16925450597386987
SODA-A/4,-,15,"[2.1,3)",1000,20260806+row_index,0.14921754881151036,0.164545496225591,0.14957485312531607,0.164430730312931
SODA-A/4,S,15,"[2.1,3)",1000,20260806+row_index,0.15143430541127717,0.1662807887854552,0.15205228313344918,0.1664971937338251
SODA-A/4,P,15,"[3,5)",1000,20260806+row_index,0.000712374518211515,0.001589161669363264,0.0007035327138985675,0.0016078422909207768
SODA-A/4,D,15,"[3,5)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/4,+,15,"[3,5)",1000,20260806+row_index,0.0007310710065924869,0.0015601921278964247,0.0007101717666512657,0.0016083953626656166
SODA-A/4,-,15,"[3,5)",1000,20260806+row_index,0.0011212569442746601,0.0025944707048596895,0.0011469574721563514,0.0025789554845987695
SODA-A/4,S,15,"[3,5)",1000,20260806+row_index,0.0010263004017157555,0.0019806294743623487,0.0010295029132792294,0.0019737160292646145
SODA-A/4,P,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/4,D,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/4,+,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/4,-,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
SODA-A/4,S,15,"[5,+inf)",1000,20260806+row_index,0.0,0.0,0.0,0.0
