cell,track,dose_deg,stratum,matched_count,severe_count,severe_rate,AP50,AP75,fp50
DIOR-R/22,P,25,all,32641,32464,0.9945773720167888,0.45113589340268845,0.21705593138712573,166880
DIOR-R/22,P,25,ar21_3,24011,23945,0.9972512598392403,0.45113589340268845,0.21705593138712573,166880
DIOR-R/22,P,25,ar3_5,5128,5118,0.9980499219968799,0.45113589340268845,0.21705593138712573,166880
DIOR-R/22,P,25,ar5_plus,2,2,1.0,0.45113589340268845,0.21705593138712573,166880
DIOR-R/22,P,30,all,18807,18750,0.9969692135906844,0.4164062452069789,0.21705578499096015,180714
DIOR-R/22,P,30,ar21_3,15152,15134,0.9988120380147836,0.4164062452069789,0.21705578499096015,180714
DIOR-R/22,P,30,ar3_5,422,421,0.9976303317535545,0.4164062452069789,0.21705578499096015,180714
DIOR-R/22,P,30,ar5_plus,0,0,,0.4164062452069789,0.21705578499096015,180714
DIOR-R/3,D,0,all,54945,304,0.005532805532805533,0.6447894886876371,0.4275101445973607,38208
DIOR-R/3,D,0,ar21_3,30696,83,0.0027039353661714883,0.6447894886876371,0.4275101445973607,38208
DIOR-R/3,D,0,ar3_5,17084,111,0.00649730742214938,0.6447894886876371,0.4275101445973607,38208
DIOR-R/3,D,0,ar5_plus,3168,85,0.02683080808080808,0.6447894886876371,0.4275101445973607,38208
DIOR-R/3,D,2,all,54788,922,0.016828502591808424,0.6409904850284919,0.4195962685823248,38365
DIOR-R/3,D,2,ar21_3,30680,191,0.006225554106910039,0.6409904850284919,0.4195962685823248,38365
DIOR-R/3,D,2,ar3_5,17054,292,0.017122082795825028,0.6409904850284919,0.4195962685823248,38365
DIOR-R/3,D,2,ar5_plus,3074,402,0.13077423552374756,0.6409904850284919,0.4195962685823248,38365
DIOR-R/3,D,5,all,54311,4446,0.08186186960284289,0.627404035681389,0.3916217011856751,38842
DIOR-R/3,D,5,ar21_3,30641,787,0.025684540321791065,0.627404035681389,0.3916217011856751,38842
DIOR-R/3,D,5,ar3_5,16971,1566,0.09227505745094573,0.627404035681389,0.3916217011856751,38842
DIOR-R/3,D,5,ar5_plus,2734,2005,0.7333577176298464,0.627404035681389,0.3916217011856751,38842
DIOR-R/3,D,10,all,52510,25037,0.476804418206056,0.5907633390794192,0.3195073338176523,40643
DIOR-R/3,D,10,ar21_3,30526,8566,0.2806132477232523,0.5907633390794192,0.3195073338176523,40643
DIOR-R/3,D,10,ar3_5,16587,14645,0.8829203593175379,0.5907633390794192,0.3195073338176523,40643
DIOR-R/3,D,10,ar5_plus,1481,1481,1.0,0.5907633390794192,0.3195073338176523,40643
DIOR-R/3,D,15,all,49296,47326,0.9600373255436546,0.5592183041599361,0.25327363652899404,43857
DIOR-R/3,D,15,ar21_3,30276,29926,0.9884396882018761,0.5592183041599361,0.25327363652899404,43857
DIOR-R/3,D,15,ar3_5,15099,15099,1.0,0.5592183041599361,0.25327363652899404,43857
DIOR-R/3,D,15,ar5_plus,85,85,1.0,0.5592183041599361,0.25327363652899404,43857
DIOR-R/3,D,20,all,44414,44377,0.9991669293466025,0.524810766380192,0.2528627454046408,48739
DIOR-R/3,D,20,ar21_3,29482,29482,1.0,0.524810766380192,0.2528627454046408,48739
DIOR-R/3,D,20,ar3_5,11207,11207,1.0,0.524810766380192,0.2528627454046408,48739
DIOR-R/3,D,20,ar5_plus,0,0,,0.524810766380192,0.2528627454046408,48739
DIOR-R/3,D,25,all,33342,33341,0.9999700077979725,0.48469566583388185,0.2528627454046408,59811
DIOR-R/3,D,25,ar21_3,26102,26102,1.0,0.48469566583388185,0.2528627454046408,59811
DIOR-R/3,D,25,ar3_5,3686,3686,1.0,0.48469566583388185,0.2528627454046408,59811
DIOR-R/3,D,25,ar5_plus,0,0,,0.48469566583388185,0.2528627454046408,59811
DIOR-R/3,D,30,all,17694,17693,0.9999434836667797,0.44038493211877033,0.2528627454046408,75459
DIOR-R/3,D,30,ar21_3,14414,14414,1.0,0.44038493211877033,0.2528627454046408,75459
DIOR-R/3,D,30,ar3_5,11,11,1.0,0.44038493211877033,0.2528627454046408,75459
DIOR-R/3,D,30,ar5_plus,0,0,,0.44038493211877033,0.2528627454046408,75459
DIOR-R/61,S,0,all,53388,471,0.008822207237581479,0.6462051923401344,0.4515185112144726,110494
DIOR-R/61,S,0,ar21_3,30015,134,0.004464434449441946,0.6462051923401344,0.4515185112144726,110494
DIOR-R/61,S,0,ar3_5,16687,151,0.009048960268472463,0.6462051923401344,0.4515185112144726,110494
DIOR-R/61,S,0,ar5_plus,2993,147,0.04911460073504845,0.6462051923401344,0.4515185112144726,110494
DIOR-R/61,S,2,all,53327,716,0.013426594408085961,0.6449571366427362,0.44666312504547456,110555
DIOR-R/61,S,2,ar21_3,30012,144,0.004798080767692923,0.6449571366427362,0.44666312504547456,110555
DIOR-R/61,S,2,ar3_5,16681,239,0.014327678196750794,0.6449571366427362,0.44666312504547456,110555
DIOR-R/61,S,2,ar5_plus,2954,293,0.0991875423155044,0.6449571366427362,0.44666312504547456,110555
DIOR-R/61,S,5,all,53001,2652,0.05003679175864607,0.6366021637933904,0.4213883929333092,110881
DIOR-R/61,S,5,ar21_3,29975,384,0.01281067556296914,0.6366021637933904,0.4213883929333092,110881
DIOR-R/61,S,5,ar3_5,16612,913,0.054960269684565376,0.6366021637933904,0.4213883929333092,110881
DIOR-R/61,S,5,ar5_plus,2750,1307,0.4752727272727273,0.6366021637933904,0.4213883929333092,110881
DIOR-R/61,S,10,all,51648,15703,0.30403887856257744,0.6094557848185802,0.36184316097669267,112234
DIOR-R/61,S,10,ar21_3,29887,4475,0.14973065212299663,0.6094557848185802,0.36184316097669267,112234
DIOR-R/61,S,10,ar3_5,16356,9384,0.5737344093910491,0.6094557848185802,0.36184316097669267,112234
DIOR-R/61,S,10,ar5_plus,1778,1684,0.9471316085489314,0.6094557848185802,0.36184316097669267,112234
DIOR-R/61,S,15,all,49107,39354,0.801392876779278,0.5759374506427776,0.27880794959026084,114775
DIOR-R/61,S,15,ar21_3,29711,23006,0.7743260072027195,0.5759374506427776,0.27880794959026084,114775
DIOR-R/61,S,15,ar3_5,15412,14950,0.9700233584220088,0.5759374506427776,0.27880794959026084,114775
DIOR-R/61,S,15,ar5_plus,411,404,0.9829683698296837,0.5759374506427776,0.27880794959026084,114775
DIOR-R/61,S,20,all,45248,44069,0.9739435997171145,0.5440324559194372,0.26121117056234494,118634
DIOR-R/61,S,20,ar21_3,29207,28628,0.9801759852090253,0.5440324559194372,0.26121117056234494,118634
DIOR-R/61,S,20,ar3_5,12531,12474,0.9954512808235576,0.5440324559194372,0.26121117056234494,118634
DIOR-R/61,S,20,ar5_plus,26,24,0.9230769230769231,0.5440324559194372,0.26121117056234494,118634
DIOR-R/61,S,25,all,37345,37089,0.9931449993305663,0.5057964711531171,0.261157050622445,126537
DIOR-R/61,S,25,ar21_3,27443,27344,0.9963925226833801,0.5057964711531171,0.261157050622445,126537
DIOR-R/61,S,25,ar3_5,6533,6528,0.999234654829328,0.5057964711531171,0.261157050622445,126537
DIOR-R/61,S,25,ar5_plus,6,5,0.8333333333333334,0.5057964711531171,0.261157050622445,126537
DIOR-R/61,S,30,all,22928,22849,0.9965544312630844,0.4604342139004708,0.26115550348544797,140954
DIOR-R/61,S,30,ar21_3,19027,18999,0.9985284070005781,0.4604342139004708,0.26115550348544797,140954
DIOR-R/61,S,30,ar3_5,718,715,0.9958217270194986,0.4604342139004708,0.26115550348544797,140954
DIOR-R/61,S,30,ar5_plus,1,1,1.0,0.4604342139004708,0.26115550348544797,140954
FAIR1M-v1.0/24,P,0,all,29391,130,0.004423122724643598,0.3466768548763771,0.24236736977228823,275272
FAIR1M-v1.0/24,P,0,ar21_3,16532,46,0.002782482458262763,0.3466768548763771,0.24236736977228823,275272
FAIR1M-v1.0/24,P,0,ar3_5,8083,63,0.007794135840653223,0.3466768548763771,0.24236736977228823,275272
FAIR1M-v1.0/24,P,0,ar5_plus,1883,13,0.006903876792352629,0.3466768548763771,0.24236736977228823,275272
FAIR1M-v1.0/24,P,2,all,29388,218,0.007417993738941064,0.3464481864197556,0.240662668666208,275275
FAIR1M-v1.0/24,P,2,ar21_3,16545,56,0.0033847083711090963,0.3464481864197556,0.240662668666208,275275
FAIR1M-v1.0/24,P,2,ar3_5,8075,88,0.010897832817337461,0.3464481864197556,0.240662668666208,275275
FAIR1M-v1.0/24,P,2,ar5_plus,1870,66,0.03529411764705882,0.3464481864197556,0.240662668666208,275275
FAIR1M-v1.0/24,P,5,all,29288,1354,0.04623053810434308,0.34576234370105047,0.22973028180678795,275375
FAIR1M-v1.0/24,P,5,ar21_3,16531,194,0.011735527191337487,0.34576234370105047,0.22973028180678795,275375
FAIR1M-v1.0/24,P,5,ar3_5,8057,424,0.05262504654337843,0.34576234370105047,0.22973028180678795,275375
FAIR1M-v1.0/24,P,5,ar5_plus,1803,724,0.40155296727676093,0.34576234370105047,0.22973028180678795,275375
FAIR1M-v1.0/24,P,10,all,28563,8617,0.30168399677904983,0.3390119001852433,0.21550594748035728,276100
FAIR1M-v1.0/24,P,10,ar21_3,16450,2768,0.1682674772036474,0.3390119001852433,0.21550594748035728,276100
FAIR1M-v1.0/24,P,10,ar3_5,7842,4385,0.5591685794440194,0.3390119001852433,0.21550594748035728,276100
FAIR1M-v1.0/24,P,10,ar5_plus,1373,1356,0.98761835396941,0.3390119001852433,0.21550594748035728,276100
FAIR1M-v1.0/24,P,15,all,26140,19540,0.7475133894414691,0.31814591607154113,0.20500272985635304,278523
FAIR1M-v1.0/24,P,15,ar21_3,16069,11776,0.7328396290995084,0.31814591607154113,0.20500272985635304,278523
FAIR1M-v1.0/24,P,15,ar3_5,7020,6765,0.9636752136752137,0.31814591607154113,0.20500272985635304,278523
FAIR1M-v1.0/24,P,15,ar5_plus,183,183,1.0,0.31814591607154113,0.20500272985635304,278523
FAIR1M-v1.0/24,P,20,all,22662,21554,0.9511075809725532,0.30455251719915405,0.2043121301625861,282001
FAIR1M-v1.0/24,P,20,ar21_3,14971,14483,0.9674036470509652,0.30455251719915405,0.2043121301625861,282001
FAIR1M-v1.0/24,P,20,ar3_5,4904,4880,0.9951060358890701,0.30455251719915405,0.2043121301625861,282001
FAIR1M-v1.0/24,P,20,ar5_plus,0,0,,0.30455251719915405,0.2043121301625861,282001
FAIR1M-v1.0/24,P,25,all,16478,16334,0.9912610753732249,0.2899958171984066,0.20430916654510278,288185
FAIR1M-v1.0/24,P,25,ar21_3,12060,12019,0.9966003316749585,0.2899958171984066,0.20430916654510278,288185
FAIR1M-v1.0/24,P,25,ar3_5,1801,1798,0.9983342587451416,0.2899958171984066,0.20430916654510278,288185
FAIR1M-v1.0/24,P,25,ar5_plus,0,0,,0.2899958171984066,0.20430916654510278,288185
FAIR1M-v1.0/24,P,30,all,9219,9198,0.9977220956719818,0.2756215930033872,0.20430886670290208,295444
FAIR1M-v1.0/24,P,30,ar21_3,6726,6720,0.9991079393398751,0.2756215930033872,0.20430886670290208,295444
FAIR1M-v1.0/24,P,30,ar3_5,197,196,0.9949238578680203,0.2756215930033872,0.20430886670290208,295444
FAIR1M-v1.0/24,P,30,ar5_plus,0,0,,0.2756215930033872,0.20430886670290208,295444
SODA-A/23,D,0,all,219127,582,0.002655994012604563,0.6030454864020368,0.2745748095604141,675333
SODA-A/23,D,0,ar21_3,127767,279,0.002183662448049966,0.6030454864020368,0.2745748095604141,675333
SODA-A/23,D,0,ar3_5,32908,138,0.004193509177099793,0.6030454864020368,0.2745748095604141,675333
SODA-A/23,D,0,ar5_plus,16438,23,0.0013991969826012897,0.6030454864020368,0.2745748095604141,675333
SODA-A/23,D,2,all,218693,1418,0.006483975252980205,0.6028334346297095,0.2662371788397661,675767
SODA-A/23,D,2,ar21_3,127607,644,0.005046745084517307,0.6028334346297095,0.2662371788397661,675767
SODA-A/23,D,2,ar3_5,32788,338,0.0103086495059168,0.6028334346297095,0.2662371788397661,675767
SODA-A/23,D,2,ar5_plus,16401,186,0.011340771904152187,0.6028334346297095,0.2662371788397661,675767
SODA-A/23,D,5,all,217767,12529,0.05753396979340304,0.6021144194299546,0.2336146995396674,676693
SODA-A/23,D,5,ar21_3,127279,2467,0.01938261614249012,0.6021144194299546,0.2336146995396674,676693
SODA-A/23,D,5,ar3_5,32535,3497,0.10748424773321039,0.6021144194299546,0.2336146995396674,676693
SODA-A/23,D,5,ar5_plus,16289,6074,0.37288968015225,0.6021144194299546,0.2336146995396674,676693
SODA-A/23,D,10,all,213081,77181,0.36221436918354993,0.5935094327501408,0.20439682797595482,681379
SODA-A/23,D,10,ar21_3,126245,29652,0.23487662877737733,0.5935094327501408,0.20439682797595482,681379
SODA-A/23,D,10,ar3_5,31133,29862,0.9591751517682202,0.5935094327501408,0.20439682797595482,681379
SODA-A/23,D,10,ar5_plus,14541,14541,1.0,0.5935094327501408,0.20439682797595482,681379
SODA-A/23,D,15,all,184108,167094,0.9075868511960371,0.5444061616038187,0.1845965838744109,710352
SODA-A/23,D,15,ar21_3,124115,123591,0.9957781090118035,0.5444061616038187,0.1845965838744109,710352
SODA-A/23,D,15,ar3_5,19040,19040,1.0,0.5444061616038187,0.1845965838744109,710352
SODA-A/23,D,15,ar5_plus,571,571,1.0,0.5444061616038187,0.1845965838744109,710352
SODA-A/23,D,20,all,166844,166535,0.9981479705593249,0.5198455993329962,0.1843402650761048,727616
SODA-A/23,D,20,ar21_3,118541,118541,1.0,0.5198455993329962,0.1843402650761048,727616
SODA-A/23,D,20,ar3_5,9287,9287,1.0,0.5198455993329962,0.1843402650761048,727616
SODA-A/23,D,20,ar5_plus,0,0,,0.5198455993329962,0.1843402650761048,727616
SODA-A/23,D,25,all,143276,143270,0.9999581227839973,0.4735031049393201,0.1843402650761048,751184
SODA-A/23,D,25,ar21_3,103969,103969,1.0,0.4735031049393201,0.1843402650761048,751184
SODA-A/23,D,25,ar3_5,3031,3031,1.0,0.4735031049393201,0.1843402650761048,751184
SODA-A/23,D,25,ar5_plus,0,0,,0.4735031049393201,0.1843402650761048,751184
SODA-A/23,D,30,all,99958,99958,1.0,0.4384844345460353,0.1843402650761048,794502
SODA-A/23,D,30,ar21_3,68405,68405,1.0,0.4384844345460353,0.1843402650761048,794502
SODA-A/23,D,30,ar3_5,42,42,1.0,0.4384844345460353,0.1843402650761048,794502
SODA-A/23,D,30,ar5_plus,0,0,,0.4384844345460353,0.1843402650761048,794502
SODA-A/4,S,0,all,262335,948,0.0036137000400251586,0.729527646331421,0.3805299193553744,223930
SODA-A/4,S,0,ar21_3,151944,416,0.0027378507871321013,0.729527646331421,0.3805299193553744,223930
SODA-A/4,S,0,ar3_5,38665,183,0.00473296262769947,0.729527646331421,0.3805299193553744,223930
SODA-A/4,S,0,ar5_plus,17691,132,0.0074614210615567235,0.729527646331421,0.3805299193553744,223930
SODA-A/4,S,2,all,262304,1303,0.004967518604367452,0.729424304754581,0.37467524466093716,223961
SODA-A/4,S,2,ar21_3,151944,584,0.003843521297320065,0.729424304754581,0.37467524466093716,223961
SODA-A/4,S,2,ar3_5,38654,291,0.007528328245459719,0.729424304754581,0.37467524466093716,223961
SODA-A/4,S,2,ar5_plus,17686,163,0.009216329300011308,0.729424304754581,0.37467524466093716,223961
SODA-A/4,S,5,all,262002,8315,0.03173639895878658,0.7288254313456305,0.3045769225802714,224263
SODA-A/4,S,5,ar21_3,151870,1840,0.012115625205768091,0.7288254313456305,0.3045769225802714,224263
SODA-A/4,S,5,ar3_5,38545,2115,0.05487093008172266,0.7288254313456305,0.3045769225802714,224263
SODA-A/4,S,5,ar5_plus,17633,3838,0.21766006918845346,0.7288254313456305,0.3045769225802714,224263
SODA-A/4,S,10,all,260038,68568,0.2636845384136165,0.7144980890374357,0.2406864731841495,226227
SODA-A/4,S,10,ar21_3,151497,20165,0.1331049459725275,0.7144980890374357,0.2406864731841495,226227
SODA-A/4,S,10,ar3_5,37986,29026,0.7641236244932343,0.7144980890374357,0.2406864731841495,226227
SODA-A/4,S,10,ar5_plus,16811,16509,0.9820355719469395,0.7144980890374357,0.2406864731841495,226227
SODA-A/4,S,15,all,239535,156668,0.6540505562861377,0.6321988216077143,0.20853499881609638,246730
SODA-A/4,S,15,ar21_3,150588,105227,0.6987741387095917,0.6321988216077143,0.20853499881609638,246730
SODA-A/4,S,15,ar3_5,31577,31004,0.9818538809893277,0.6321988216077143,0.20853499881609638,246730
SODA-A/4,S,15,ar5_plus,4047,4000,0.9883864591055103,0.6321988216077143,0.20853499881609638,246730
SODA-A/4,S,20,all,216090,200199,0.9264611967235874,0.5898393520092957,0.20608499904112598,270175
SODA-A/4,S,20,ar21_3,148353,143029,0.9641126232701732,0.5898393520092957,0.20608499904112598,270175
SODA-A/4,S,20,ar3_5,15057,15011,0.9969449425516371,0.5898393520092957,0.20608499904112598,270175
SODA-A/4,S,20,ar5_plus,162,154,0.9506172839506173,0.5898393520092957,0.20608499904112598,270175
SODA-A/4,S,25,all,198912,196476,0.9877533783783784,0.5622442089177841,0.20594976130850762,287353
SODA-A/4,S,25,ar21_3,140738,140111,0.9955449132430474,0.5622442089177841,0.20594976130850762,287353
SODA-A/4,S,25,ar3_5,7225,7218,0.9990311418685122,0.5622442089177841,0.20594976130850762,287353
SODA-A/4,S,25,ar5_plus,20,18,0.9,0.5622442089177841,0.20594976130850762,287353
SODA-A/4,S,30,all,163314,162847,0.9971404778524805,0.5092906169868922,0.20593819312204634,322951
SODA-A/4,S,30,ar21_3,114465,114381,0.9992661512252654,0.5092906169868922,0.20593819312204634,322951
SODA-A/4,S,30,ar3_5,1251,1251,1.0,0.5092906169868922,0.20593819312204634,322951
SODA-A/4,S,30,ar5_plus,4,4,1.0,0.5092906169868922,0.20593819312204634,322951
