cell,dataset,detector,track,dose_deg,AP50,AP75,matched_ar21,severe_rate,status
DIOR-R/3,DIOR-R,oriented_rcnn,S,15,0.5684337991920256,0.2665151494516387,50530,0.81171581238868,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,S,20,0.53974493261104,0.25288034949713567,46502,0.9748612962883317,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,S,25,0.4994544624377938,0.2528650510851891,37927,0.9937775199725789,COMPUTED_R010
DIOR-R/3,DIOR-R,oriented_rcnn,S,30,0.45454518036367864,0.2528624129808953,23235,0.9973316117925544,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,0,0.6462051923401344,0.45151851121447273,53388,0.008822207237581479,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,2,0.6449571366427362,0.44666312504547456,53327,0.013426594408085961,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,5,0.6366021637933902,0.42138839293330915,53001,0.05003679175864607,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,10,0.6094557848185802,0.36184316097669267,51648,0.30403887856257744,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,15,0.5759374506427777,0.2788079495902608,49107,0.801392876779278,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,20,0.5440324559194372,0.26121117056234494,45248,0.9739435997171145,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,25,0.5057964711531172,0.261157050622445,37345,0.9931449993305663,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,30,0.4604342139004708,0.261155503485448,22928,0.9965544312630844,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,0,0.6462051923401344,0.45151851121447273,53388,0.008822207237581479,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,2,0.6428407896598609,0.44231134601881844,53228,0.0217366799428872,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,5,0.6307038440929007,0.409874351920008,52750,0.08686255924170616,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,10,0.5990043444252535,0.3397650953908508,50965,0.49796919454527616,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,15,0.567088836578758,0.26285193197972906,47801,0.9583063115834397,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,20,0.5281722729524061,0.261155503485448,43293,0.9986371930797127,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,25,0.48943765387911925,0.261155503485448,32696,0.9995718130658184,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,30,0.4431962811758089,0.261155503485448,16924,0.9994682108248641,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,0,0.6462051923401344,0.45151851121447273,53388,0.008822207237581479,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,2,0.6449516343932958,0.4471189533392106,53327,0.013426594408085961,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,5,0.6372125532387378,0.4220076615141388,53001,0.05003679175864607,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,10,0.6103780886519333,0.35909510168239817,51648,0.30403887856257744,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,15,0.5763779746606863,0.28146958312484494,49107,0.801392876779278,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,20,0.5435433588541145,0.2622351009757997,45248,0.9739435997171145,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,25,0.5061359115327506,0.2611571183558679,37345,0.9931449993305663,COMPUTED_R010
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,30,0.45942464670304695,0.26115576134161417,22928,0.9965544312630844,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,0,0.3466768548763771,0.24236736977228823,29391,0.004423122724643598,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,2,0.3464481864197555,0.24066266866620808,29388,0.007417993738941064,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,5,0.34576234370105047,0.22973028180678795,29288,0.04623053810434308,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,10,0.3390118379310504,0.2155059474803573,28563,0.30168399677904983,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,15,0.31814591607154113,0.20500272985635304,26140,0.7475133894414691,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,20,0.30455251719915405,0.20431213016258604,22662,0.9511075809725532,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,25,0.28999581719840656,0.20430916654510273,16478,0.9912610753732249,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,30,0.2756215930033871,0.20430886670290205,9219,0.9977220956719818,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,0,0.3466768548763771,0.24236736977228823,29391,0.004423122724643598,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,2,0.34632866167478243,0.23807924915933715,29375,0.012357446808510638,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,5,0.3451773482672651,0.22420802290388736,29210,0.08859979459089352,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,10,0.3355300466971733,0.20908965703383453,28125,0.4987377777777778,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,15,0.31388603241930807,0.20430886670290205,25146,0.9498528593016782,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,20,0.3009595055503007,0.20430886670290205,20790,0.9975949975949976,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,25,0.28594159684363074,0.20430886670290205,13193,0.9990904267414538,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,30,0.2709324124588338,0.20430886670290205,5898,0.9993218040013564,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,0,0.3466768548763771,0.24236736977228823,29391,0.004423122724643598,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,2,0.3465198003980818,0.24046481160242084,29388,0.007417993738941064,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,5,0.345945356590038,0.23019141514771513,29288,0.04623053810434308,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,10,0.3396099537263925,0.21596905326142335,28563,0.30168399677904983,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,15,0.31791094718176605,0.2049966224908496,26140,0.7475133894414691,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,20,0.3051626613350409,0.20431097531641285,22662,0.9511075809725532,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,25,0.29110553737577227,0.20430921888752612,16478,0.9912610753732249,COMPUTED_R010
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,30,0.2757211670269183,0.20430886670290205,9219,0.9977220956719818,COMPUTED_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,P,0,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,P,2,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,P,5,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,P,10,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,P,15,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,P,20,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,P,25,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,P,30,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,D,0,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,D,2,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,D,5,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,D,10,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,D,15,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,D,20,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,D,25,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,D,30,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,S,0,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,S,2,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,S,5,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,S,10,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,S,15,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,S,20,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,S,25,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/23,SODA-A,rotated_retinanet_psc,S,30,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,P,0,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,P,2,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,P,5,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,P,10,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,P,15,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,P,20,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,P,25,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,P,30,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,D,0,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,D,2,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,D,5,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,D,10,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,D,15,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,D,20,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,D,25,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,D,30,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,S,0,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,S,2,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,S,5,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,S,10,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,S,15,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,S,20,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,S,25,,,,,NOT_RUN_EVALUATOR_R010
SODA-A/4,SODA-A,oriented_rcnn,S,30,,,,,NOT_RUN_EVALUATOR_R010
