cell,track,dose_deg,stratum,matched_count,severe_count,status,severe_rate,mean_angle_error_deg
DIOR-R/22,D,25,"[2.1,3)",25479,25464,COMPUTED_R011,0.9994112798775462,26.225808108757676
DIOR-R/22,D,25,"[3,5)",3128,3126,COMPUTED_R011,0.9993606138107417,25.520235775405258
DIOR-R/22,D,25,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,D,30,all,14696,14685,COMPUTED_R011,0.999251497005988,30.964767705235825
DIOR-R/22,D,30,"[2.1,3)",14678,14667,COMPUTED_R011,0.9992505790979698,30.969514622968287
DIOR-R/22,D,30,"[3,5)",18,18,COMPUTED_R011,1.0,27.093920012073465
DIOR-R/22,D,30,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,0,all,,,COMPUTED_COMPONENT_ALL_R011,0.00601174199774811,
DIOR-R/22,+,0,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,0,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,0,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,2,all,,,COMPUTED_COMPONENT_ALL_R011,0.0090996939925914,
DIOR-R/22,+,2,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,2,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,2,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,5,all,,,COMPUTED_COMPONENT_ALL_R011,0.036749073680374174,
DIOR-R/22,+,5,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,5,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,5,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,10,all,,,COMPUTED_COMPONENT_ALL_R011,0.27942363828333644,
DIOR-R/22,+,10,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,10,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,10,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,15,all,,,COMPUTED_COMPONENT_ALL_R011,0.8115113853641578,
DIOR-R/22,+,15,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,15,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,15,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,20,all,,,COMPUTED_COMPONENT_ALL_R011,0.978820657636529,
DIOR-R/22,+,20,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,20,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,20,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,25,all,,,COMPUTED_COMPONENT_ALL_R011,0.9945773720167888,
DIOR-R/22,+,25,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,25,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,25,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,30,all,,,COMPUTED_COMPONENT_ALL_R011,0.9969692135906844,
DIOR-R/22,+,30,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,30,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,+,30,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,0,all,,,COMPUTED_COMPONENT_ALL_R011,0.00601174199774811,
DIOR-R/22,-,0,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,0,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,0,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,2,all,,,COMPUTED_COMPONENT_ALL_R011,0.009755803194271231,
DIOR-R/22,-,2,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,2,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,2,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,5,all,,,COMPUTED_COMPONENT_ALL_R011,0.037325668481671154,
DIOR-R/22,-,5,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,5,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,5,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,10,all,,,COMPUTED_COMPONENT_ALL_R011,0.2673706004140787,
DIOR-R/22,-,10,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,10,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,10,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,15,all,,,COMPUTED_COMPONENT_ALL_R011,0.8035846670446121,
DIOR-R/22,-,15,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,15,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,15,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,20,all,,,COMPUTED_COMPONENT_ALL_R011,0.9790500789209355,
DIOR-R/22,-,20,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,20,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,20,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,25,all,,,COMPUTED_COMPONENT_ALL_R011,0.9946702198534311,
DIOR-R/22,-,25,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,25,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,25,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,30,all,,,COMPUTED_COMPONENT_ALL_R011,0.9967825307241943,
DIOR-R/22,-,30,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,30,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,-,30,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,0,all,,,COMPUTED_SYMMETRIC_ALL_R011,0.00601174199774811,
DIOR-R/22,S,0,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,0,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,0,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,2,all,,,COMPUTED_SYMMETRIC_ALL_R011,0.009427748593431316,
DIOR-R/22,S,2,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,2,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,2,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,5,all,,,COMPUTED_SYMMETRIC_ALL_R011,0.03703737108102266,
DIOR-R/22,S,5,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,5,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,5,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,10,all,,,COMPUTED_SYMMETRIC_ALL_R011,0.2733971193487076,
DIOR-R/22,S,10,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,10,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,10,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,15,all,,,COMPUTED_SYMMETRIC_ALL_R011,0.8075480262043849,
DIOR-R/22,S,15,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,15,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,15,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,20,all,,,COMPUTED_SYMMETRIC_ALL_R011,0.9789353682787323,
DIOR-R/22,S,20,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,20,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,20,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,25,all,,,COMPUTED_SYMMETRIC_ALL_R011,0.9946237959351099,
DIOR-R/22,S,25,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,25,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,25,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,30,all,,,COMPUTED_SYMMETRIC_ALL_R011,0.9968758721574393,
DIOR-R/22,S,30,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,30,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/22,S,30,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,P,0,all,54945,304,COMPUTED_R011,0.005532805532805533,1.8705606991536274
DIOR-R/3,P,0,"[2.1,3)",34693,108,COMPUTED_R011,0.003113019917562621,2.0079230132126225
DIOR-R/3,P,0,"[3,5)",17084,111,COMPUTED_R011,0.00649730742214938,1.691337344855112
DIOR-R/3,P,0,"[5,+inf)",3168,85,COMPUTED_R011,0.02683080808080808,1.3327895574831274
DIOR-R/3,P,2,all,54899,522,COMPUTED_R011,0.009508369915663308,2.6831996044777346
DIOR-R/3,P,2,"[2.1,3)",34683,127,COMPUTED_R011,0.0036617362973214544,2.78429263799505
DIOR-R/3,P,2,"[3,5)",17078,181,COMPUTED_R011,0.01059843072959363,2.5570646556323284
DIOR-R/3,P,2,"[5,+inf)",3138,214,COMPUTED_R011,0.06819630337794774,2.2523273848798535
DIOR-R/3,P,5,all,54596,2568,COMPUTED_R011,0.04703641292402374,5.1666966152600455
DIOR-R/3,P,5,"[2.1,3)",34656,419,COMPUTED_R011,0.012090258541089567,5.205014485117248
DIOR-R/3,P,5,"[3,5)",17038,829,COMPUTED_R011,0.04865594553351332,5.133679321770266
DIOR-R/3,P,5,"[5,+inf)",2902,1320,COMPUTED_R011,0.4548587181254307,4.902949044173625
DIOR-R/3,P,10,all,53164,15840,COMPUTED_R011,0.2979459784816793,9.972067295192707
DIOR-R/3,P,10,"[2.1,3)",34532,4419,COMPUTED_R011,0.12796826132283098,9.988211799881258
DIOR-R/3,P,10,"[3,5)",16762,9619,COMPUTED_R011,0.5738575349003698,9.990418033119663
DIOR-R/3,P,10,"[5,+inf)",1870,1802,COMPUTED_R011,0.9636363636363636,9.50944852244847
DIOR-R/3,P,15,all,50530,41016,COMPUTED_R011,0.81171581238868,14.893819571709608
DIOR-R/3,P,15,"[2.1,3)",34298,25179,COMPUTED_R011,0.7341244387427839,14.930368756018744
DIOR-R/3,P,15,"[3,5)",15850,15458,COMPUTED_R011,0.9752681388012618,14.861803773972978
DIOR-R/3,P,15,"[5,+inf)",382,379,COMPUTED_R011,0.9921465968586387,12.940642793407509
DIOR-R/3,P,20,all,46502,45333,COMPUTED_R011,0.9748612962883317,19.79390000580568
DIOR-R/3,P,20,"[2.1,3)",33768,32638,COMPUTED_R011,0.9665363657900972,19.86894706072955
DIOR-R/3,P,20,"[3,5)",12717,12678,COMPUTED_R011,0.9969332389714556,19.603598988000666
DIOR-R/3,P,20,"[5,+inf)",17,17,COMPUTED_R011,1.0,13.08031722636479
DIOR-R/3,P,25,all,37927,37691,COMPUTED_R011,0.9937775199725789,24.512156812629517
DIOR-R/3,P,25,"[2.1,3)",31671,31446,COMPUTED_R011,0.992895709008241,24.65105404423959
DIOR-R/3,P,25,"[3,5)",6254,6243,COMPUTED_R011,0.9982411256795651,23.812288037087647
DIOR-R/3,P,25,"[5,+inf)",2,2,COMPUTED_R011,1.0,13.494706767294856
DIOR-R/3,P,30,all,23235,23173,COMPUTED_R011,0.9973316117925544,29.077664685605743
DIOR-R/3,P,30,"[2.1,3)",22712,22651,COMPUTED_R011,0.9973141951391336,29.170074739084033
DIOR-R/3,P,30,"[3,5)",523,522,COMPUTED_R011,0.9980879541108987,25.064630011421684
DIOR-R/3,P,30,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,D,0,all,54945,304,COMPUTED_R011,0.005532805532805533,1.8705606991536274
DIOR-R/3,D,0,"[2.1,3)",34693,108,COMPUTED_R011,0.003113019917562621,2.0079230132126225
DIOR-R/3,D,0,"[3,5)",17084,111,COMPUTED_R011,0.00649730742214938,1.691337344855112
DIOR-R/3,D,0,"[5,+inf)",3168,85,COMPUTED_R011,0.02683080808080808,1.3327895574831274
DIOR-R/3,D,2,all,54823,926,COMPUTED_R011,0.016890721047735438,3.8636685102031856
DIOR-R/3,D,2,"[2.1,3)",34671,229,COMPUTED_R011,0.0066049436128176285,4.003991583250219
DIOR-R/3,D,2,"[3,5)",17063,293,COMPUTED_R011,0.01717165797339272,3.6821903761585295
DIOR-R/3,D,2,"[5,+inf)",3089,404,COMPUTED_R011,0.13078666235027517,3.291127278603738
DIOR-R/3,D,5,all,54358,4450,COMPUTED_R011,0.08186467493285257,6.852856840032248
DIOR-R/3,D,5,"[2.1,3)",34629,877,COMPUTED_R011,0.02532559415518785,6.997271071042346
DIOR-R/3,D,5,"[3,5)",16984,1567,COMPUTED_R011,0.09226330664154499,6.663670901629262
DIOR-R/3,D,5,"[5,+inf)",2745,2006,COMPUTED_R011,0.7307832422586521,6.2015685238897555
DIOR-R/3,D,10,all,52553,25047,COMPUTED_R011,0.47660457062394157,11.830197655892507
DIOR-R/3,D,10,"[2.1,3)",34466,8916,COMPUTED_R011,0.25868972320547784,11.9766770873435
DIOR-R/3,D,10,"[3,5)",16597,14647,COMPUTED_R011,0.8825088871482798,11.600596793977989
DIOR-R/3,D,10,"[5,+inf)",1490,1484,COMPUTED_R011,0.9959731543624161,10.999409347712506
DIOR-R/3,D,15,all,49325,47336,COMPUTED_R011,0.9596756208819057,16.78804184308807
DIOR-R/3,D,15,"[2.1,3)",34132,32151,COMPUTED_R011,0.9419606234618539,16.93331485749313
DIOR-R/3,D,15,"[3,5)",15108,15100,COMPUTED_R011,0.9994704792163093,16.467370101686793
DIOR-R/3,D,15,"[5,+inf)",85,85,COMPUTED_R011,1.0,15.449808212710035
DIOR-R/3,D,20,all,44432,44382,COMPUTED_R011,0.9988746849117753,21.686673576934922
DIOR-R/3,D,20,"[2.1,3)",33219,33175,COMPUTED_R011,0.9986754568168819,21.83587241358047
DIOR-R/3,D,20,"[3,5)",11213,11207,COMPUTED_R011,0.9994649068046018,21.244665536756102
DIOR-R/3,D,20,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,D,25,all,33356,33346,COMPUTED_R011,0.9997002038613743,26.476295764474127
DIOR-R/3,D,25,"[2.1,3)",29666,29660,COMPUTED_R011,0.9997977482640059,26.57150718990959
DIOR-R/3,D,25,"[3,5)",3690,3686,COMPUTED_R011,0.9989159891598915,25.710837188059916
DIOR-R/3,D,25,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,D,30,all,17703,17698,COMPUTED_R011,0.9997175619951421,31.31153405975922
DIOR-R/3,D,30,"[2.1,3)",17690,17685,COMPUTED_R011,0.9997173544375353,31.31455768648633
DIOR-R/3,D,30,"[3,5)",13,13,COMPUTED_R011,1.0,27.197075844163333
DIOR-R/3,D,30,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,0,all,,,COMPUTED_COMPONENT_ALL_R011,0.005532805532805533,
DIOR-R/3,+,0,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,0,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,0,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,2,all,,,COMPUTED_COMPONENT_ALL_R011,0.009508369915663308,
DIOR-R/3,+,2,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,2,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,2,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,5,all,,,COMPUTED_COMPONENT_ALL_R011,0.04703641292402374,
DIOR-R/3,+,5,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,5,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,5,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,10,all,,,COMPUTED_COMPONENT_ALL_R011,0.2979459784816793,
DIOR-R/3,+,10,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,10,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,10,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,15,all,,,COMPUTED_COMPONENT_ALL_R011,0.81171581238868,
DIOR-R/3,+,15,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,15,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,15,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,20,all,,,COMPUTED_COMPONENT_ALL_R011,0.9748612962883317,
DIOR-R/3,+,20,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,20,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,20,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,25,all,,,COMPUTED_COMPONENT_ALL_R011,0.9937775199725789,
DIOR-R/3,+,25,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,25,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,25,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,30,all,,,COMPUTED_COMPONENT_ALL_R011,0.9973316117925544,
DIOR-R/3,+,30,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,30,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,+,30,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,-,0,all,,,COMPUTED_COMPONENT_ALL_R011,0.005532805532805533,
DIOR-R/3,-,0,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,-,0,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,-,0,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,-,2,all,,,COMPUTED_COMPONENT_ALL_R011,0.009967927691522705,
DIOR-R/3,-,2,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,-,2,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,-,2,"[5,+inf)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,-,5,all,,,COMPUTED_COMPONENT_ALL_R011,0.046408475228651554,
DIOR-R/3,-,5,"[2.1,3)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
DIOR-R/3,-,5,"[3,5)",,,NOT_AVAILABLE_COMPONENT_STRATUM_R011,,
