dataset,tile_id,mother_scene_id,mapping_source,mapping_confidence,verified
DIOR-R,15931,15931,original_image_identity,HIGH,True
DIOR-R,14359,14359,original_image_identity,HIGH,True
DIOR-R,20790,20790,original_image_identity,HIGH,True
DIOR-R,12517,12517,original_image_identity,HIGH,True
DIOR-R,15579,15579,original_image_identity,HIGH,True
DIOR-R,16596,16596,original_image_identity,HIGH,True
DIOR-R,17391,17391,original_image_identity,HIGH,True
DIOR-R,12372,12372,original_image_identity,HIGH,True
DIOR-R,20451,20451,original_image_identity,HIGH,True
DIOR-R,14683,14683,original_image_identity,HIGH,True
DIOR-R,20963,20963,original_image_identity,HIGH,True
DIOR-R,22555,22555,original_image_identity,HIGH,True
DIOR-R,13020,13020,original_image_identity,HIGH,True
DIOR-R,13685,13685,original_image_identity,HIGH,True
DIOR-R,15333,15333,original_image_identity,HIGH,True
DIOR-R,18383,18383,original_image_identity,HIGH,True
DIOR-R,22456,22456,original_image_identity,HIGH,True
DIOR-R,12014,12014,original_image_identity,HIGH,True
DIOR-R,12969,12969,original_image_identity,HIGH,True
DIOR-R,22590,22590,original_image_identity,HIGH,True
DIOR-R,18336,18336,original_image_identity,HIGH,True
DIOR-R,16403,16403,original_image_identity,HIGH,True
DIOR-R,13941,13941,original_image_identity,HIGH,True
DIOR-R,12160,12160,original_image_identity,HIGH,True
DIOR-R,12296,12296,original_image_identity,HIGH,True
DIOR-R,21696,21696,original_image_identity,HIGH,True
DIOR-R,13755,13755,original_image_identity,HIGH,True
DIOR-R,18650,18650,original_image_identity,HIGH,True
DIOR-R,12503,12503,original_image_identity,HIGH,True
DIOR-R,12513,12513,original_image_identity,HIGH,True
DIOR-R,13248,13248,original_image_identity,HIGH,True
DIOR-R,22595,22595,original_image_identity,HIGH,True
DIOR-R,13166,13166,original_image_identity,HIGH,True
DIOR-R,18632,18632,original_image_identity,HIGH,True
DIOR-R,14519,14519,original_image_identity,HIGH,True
DIOR-R,22893,22893,original_image_identity,HIGH,True
DIOR-R,19399,19399,original_image_identity,HIGH,True
DIOR-R,21060,21060,original_image_identity,HIGH,True
DIOR-R,14159,14159,original_image_identity,HIGH,True
DIOR-R,20499,20499,original_image_identity,HIGH,True
DIOR-R,15694,15694,original_image_identity,HIGH,True
DIOR-R,15582,15582,original_image_identity,HIGH,True
DIOR-R,16714,16714,original_image_identity,HIGH,True
DIOR-R,22442,22442,original_image_identity,HIGH,True
DIOR-R,23018,23018,original_image_identity,HIGH,True
DIOR-R,18669,18669,original_image_identity,HIGH,True
DIOR-R,21344,21344,original_image_identity,HIGH,True
DIOR-R,15327,15327,original_image_identity,HIGH,True
DIOR-R,14203,14203,original_image_identity,HIGH,True
DIOR-R,22699,22699,original_image_identity,HIGH,True
DIOR-R,12224,12224,original_image_identity,HIGH,True
DIOR-R,17725,17725,original_image_identity,HIGH,True
DIOR-R,20866,20866,original_image_identity,HIGH,True
DIOR-R,17407,17407,original_image_identity,HIGH,True
DIOR-R,12929,12929,original_image_identity,HIGH,True
DIOR-R,21706,21706,original_image_identity,HIGH,True
DIOR-R,15209,15209,original_image_identity,HIGH,True
DIOR-R,16324,16324,original_image_identity,HIGH,True
DIOR-R,23015,23015,original_image_identity,HIGH,True
DIOR-R,19539,19539,original_image_identity,HIGH,True
DIOR-R,14809,14809,original_image_identity,HIGH,True
DIOR-R,18251,18251,original_image_identity,HIGH,True
DIOR-R,21906,21906,original_image_identity,HIGH,True
DIOR-R,12510,12510,original_image_identity,HIGH,True
DIOR-R,13206,13206,original_image_identity,HIGH,True
DIOR-R,12456,12456,original_image_identity,HIGH,True
DIOR-R,16988,16988,original_image_identity,HIGH,True
DIOR-R,12362,12362,original_image_identity,HIGH,True
DIOR-R,18205,18205,original_image_identity,HIGH,True
DIOR-R,13239,13239,original_image_identity,HIGH,True
DIOR-R,13631,13631,original_image_identity,HIGH,True
DIOR-R,16123,16123,original_image_identity,HIGH,True
DIOR-R,13061,13061,original_image_identity,HIGH,True
DIOR-R,14191,14191,original_image_identity,HIGH,True
DIOR-R,14549,14549,original_image_identity,HIGH,True
DIOR-R,18326,18326,original_image_identity,HIGH,True
DIOR-R,22574,22574,original_image_identity,HIGH,True
DIOR-R,12046,12046,original_image_identity,HIGH,True
DIOR-R,23087,23087,original_image_identity,HIGH,True
DIOR-R,19894,19894,original_image_identity,HIGH,True
DIOR-R,19048,19048,original_image_identity,HIGH,True
DIOR-R,23023,23023,original_image_identity,HIGH,True
DIOR-R,12178,12178,original_image_identity,HIGH,True
DIOR-R,16618,16618,original_image_identity,HIGH,True
DIOR-R,12118,12118,original_image_identity,HIGH,True
DIOR-R,11754,11754,original_image_identity,HIGH,True
DIOR-R,23251,23251,original_image_identity,HIGH,True
DIOR-R,15585,15585,original_image_identity,HIGH,True
DIOR-R,12388,12388,original_image_identity,HIGH,True
DIOR-R,22713,22713,original_image_identity,HIGH,True
DIOR-R,15966,15966,original_image_identity,HIGH,True
DIOR-R,14243,14243,original_image_identity,HIGH,True
DIOR-R,18929,18929,original_image_identity,HIGH,True
DIOR-R,12003,12003,original_image_identity,HIGH,True
DIOR-R,16378,16378,original_image_identity,HIGH,True
DIOR-R,20049,20049,original_image_identity,HIGH,True
DIOR-R,14081,14081,original_image_identity,HIGH,True
DIOR-R,18885,18885,original_image_identity,HIGH,True
DIOR-R,23383,23383,original_image_identity,HIGH,True
DIOR-R,18794,18794,original_image_identity,HIGH,True
DIOR-R,21570,21570,original_image_identity,HIGH,True
DIOR-R,16479,16479,original_image_identity,HIGH,True
DIOR-R,12561,12561,original_image_identity,HIGH,True
DIOR-R,15773,15773,original_image_identity,HIGH,True
DIOR-R,22761,22761,original_image_identity,HIGH,True
DIOR-R,18260,18260,original_image_identity,HIGH,True
DIOR-R,18514,18514,original_image_identity,HIGH,True
DIOR-R,12361,12361,original_image_identity,HIGH,True
DIOR-R,22901,22901,original_image_identity,HIGH,True
DIOR-R,12043,12043,original_image_identity,HIGH,True
DIOR-R,18450,18450,original_image_identity,HIGH,True
DIOR-R,17907,17907,original_image_identity,HIGH,True
DIOR-R,19265,19265,original_image_identity,HIGH,True
DIOR-R,12013,12013,original_image_identity,HIGH,True
DIOR-R,19431,19431,original_image_identity,HIGH,True
DIOR-R,15409,15409,original_image_identity,HIGH,True
DIOR-R,19813,19813,original_image_identity,HIGH,True
DIOR-R,17576,17576,original_image_identity,HIGH,True
DIOR-R,18146,18146,original_image_identity,HIGH,True
DIOR-R,19829,19829,original_image_identity,HIGH,True
DIOR-R,23409,23409,original_image_identity,HIGH,True
DIOR-R,16587,16587,original_image_identity,HIGH,True
DIOR-R,20618,20618,original_image_identity,HIGH,True
DIOR-R,21861,21861,original_image_identity,HIGH,True
DIOR-R,13065,13065,original_image_identity,HIGH,True
DIOR-R,16045,16045,original_image_identity,HIGH,True
DIOR-R,22746,22746,original_image_identity,HIGH,True
DIOR-R,14649,14649,original_image_identity,HIGH,True
DIOR-R,21275,21275,original_image_identity,HIGH,True
DIOR-R,13124,13124,original_image_identity,HIGH,True
DIOR-R,23291,23291,original_image_identity,HIGH,True
DIOR-R,17844,17844,original_image_identity,HIGH,True
DIOR-R,17730,17730,original_image_identity,HIGH,True
DIOR-R,21340,21340,original_image_identity,HIGH,True
DIOR-R,17597,17597,original_image_identity,HIGH,True
DIOR-R,18806,18806,original_image_identity,HIGH,True
DIOR-R,11916,11916,original_image_identity,HIGH,True
DIOR-R,20612,20612,original_image_identity,HIGH,True
DIOR-R,15424,15424,original_image_identity,HIGH,True
DIOR-R,19551,19551,original_image_identity,HIGH,True
DIOR-R,19900,19900,original_image_identity,HIGH,True
DIOR-R,20337,20337,original_image_identity,HIGH,True
DIOR-R,17301,17301,original_image_identity,HIGH,True
DIOR-R,18969,18969,original_image_identity,HIGH,True
DIOR-R,20193,20193,original_image_identity,HIGH,True
DIOR-R,12144,12144,original_image_identity,HIGH,True
DIOR-R,19220,19220,original_image_identity,HIGH,True
DIOR-R,22137,22137,original_image_identity,HIGH,True
DIOR-R,21699,21699,original_image_identity,HIGH,True
DIOR-R,19059,19059,original_image_identity,HIGH,True
DIOR-R,13278,13278,original_image_identity,HIGH,True
DIOR-R,21203,21203,original_image_identity,HIGH,True
DIOR-R,13639,13639,original_image_identity,HIGH,True
DIOR-R,13560,13560,original_image_identity,HIGH,True
DIOR-R,20282,20282,original_image_identity,HIGH,True
DIOR-R,22628,22628,original_image_identity,HIGH,True
DIOR-R,13466,13466,original_image_identity,HIGH,True
DIOR-R,22123,22123,original_image_identity,HIGH,True
DIOR-R,13747,13747,original_image_identity,HIGH,True
DIOR-R,13953,13953,original_image_identity,HIGH,True
DIOR-R,13007,13007,original_image_identity,HIGH,True
DIOR-R,13265,13265,original_image_identity,HIGH,True
DIOR-R,14508,14508,original_image_identity,HIGH,True
DIOR-R,13184,13184,original_image_identity,HIGH,True
DIOR-R,23202,23202,original_image_identity,HIGH,True
DIOR-R,21733,21733,original_image_identity,HIGH,True
DIOR-R,23007,23007,original_image_identity,HIGH,True
DIOR-R,18795,18795,original_image_identity,HIGH,True
DIOR-R,13742,13742,original_image_identity,HIGH,True
DIOR-R,19323,19323,original_image_identity,HIGH,True
DIOR-R,14512,14512,original_image_identity,HIGH,True
DIOR-R,15030,15030,original_image_identity,HIGH,True
DIOR-R,16244,16244,original_image_identity,HIGH,True
DIOR-R,20858,20858,original_image_identity,HIGH,True
DIOR-R,15640,15640,original_image_identity,HIGH,True
DIOR-R,15371,15371,original_image_identity,HIGH,True
DIOR-R,20537,20537,original_image_identity,HIGH,True
DIOR-R,23145,23145,original_image_identity,HIGH,True
DIOR-R,17964,17964,original_image_identity,HIGH,True
DIOR-R,15853,15853,original_image_identity,HIGH,True
DIOR-R,21003,21003,original_image_identity,HIGH,True
DIOR-R,13029,13029,original_image_identity,HIGH,True
DIOR-R,19030,19030,original_image_identity,HIGH,True
DIOR-R,15480,15480,original_image_identity,HIGH,True
DIOR-R,17302,17302,original_image_identity,HIGH,True
DIOR-R,23387,23387,original_image_identity,HIGH,True
DIOR-R,15732,15732,original_image_identity,HIGH,True
DIOR-R,15681,15681,original_image_identity,HIGH,True
DIOR-R,16543,16543,original_image_identity,HIGH,True
DIOR-R,21863,21863,original_image_identity,HIGH,True
DIOR-R,12492,12492,original_image_identity,HIGH,True
DIOR-R,12402,12402,original_image_identity,HIGH,True
DIOR-R,15476,15476,original_image_identity,HIGH,True
DIOR-R,11905,11905,original_image_identity,HIGH,True
DIOR-R,23194,23194,original_image_identity,HIGH,True
DIOR-R,13216,13216,original_image_identity,HIGH,True
DIOR-R,17180,17180,original_image_identity,HIGH,True
DIOR-R,11986,11986,original_image_identity,HIGH,True
DIOR-R,23392,23392,original_image_identity,HIGH,True
DIOR-R,14733,14733,original_image_identity,HIGH,True
DIOR-R,19746,19746,original_image_identity,HIGH,True
DIOR-R,22870,22870,original_image_identity,HIGH,True
DIOR-R,17674,17674,original_image_identity,HIGH,True
DIOR-R,19264,19264,original_image_identity,HIGH,True
DIOR-R,16082,16082,original_image_identity,HIGH,True
DIOR-R,17985,17985,original_image_identity,HIGH,True
DIOR-R,17362,17362,original_image_identity,HIGH,True
DIOR-R,11977,11977,original_image_identity,HIGH,True
DIOR-R,12914,12914,original_image_identity,HIGH,True
DIOR-R,18749,18749,original_image_identity,HIGH,True
DIOR-R,19666,19666,original_image_identity,HIGH,True
DIOR-R,17039,17039,original_image_identity,HIGH,True
DIOR-R,21015,21015,original_image_identity,HIGH,True
DIOR-R,17889,17889,original_image_identity,HIGH,True
DIOR-R,19079,19079,original_image_identity,HIGH,True
DIOR-R,20234,20234,original_image_identity,HIGH,True
DIOR-R,23377,23377,original_image_identity,HIGH,True
DIOR-R,14114,14114,original_image_identity,HIGH,True
DIOR-R,18566,18566,original_image_identity,HIGH,True
DIOR-R,14117,14117,original_image_identity,HIGH,True
DIOR-R,15312,15312,original_image_identity,HIGH,True
DIOR-R,18619,18619,original_image_identity,HIGH,True
DIOR-R,14648,14648,original_image_identity,HIGH,True
DIOR-R,16875,16875,original_image_identity,HIGH,True
DIOR-R,13707,13707,original_image_identity,HIGH,True
DIOR-R,22430,22430,original_image_identity,HIGH,True
DIOR-R,20583,20583,original_image_identity,HIGH,True
DIOR-R,22057,22057,original_image_identity,HIGH,True
DIOR-R,15550,15550,original_image_identity,HIGH,True
DIOR-R,21627,21627,original_image_identity,HIGH,True
DIOR-R,20815,20815,original_image_identity,HIGH,True
DIOR-R,22939,22939,original_image_identity,HIGH,True
DIOR-R,12345,12345,original_image_identity,HIGH,True
DIOR-R,12824,12824,original_image_identity,HIGH,True
DIOR-R,16845,16845,original_image_identity,HIGH,True
DIOR-R,17197,17197,original_image_identity,HIGH,True
DIOR-R,13192,13192,original_image_identity,HIGH,True
DIOR-R,19700,19700,original_image_identity,HIGH,True
DIOR-R,11809,11809,original_image_identity,HIGH,True
DIOR-R,15624,15624,original_image_identity,HIGH,True
DIOR-R,17427,17427,original_image_identity,HIGH,True
DIOR-R,18180,18180,original_image_identity,HIGH,True
DIOR-R,21574,21574,original_image_identity,HIGH,True
DIOR-R,16174,16174,original_image_identity,HIGH,True
DIOR-R,19873,19873,original_image_identity,HIGH,True
DIOR-R,14957,14957,original_image_identity,HIGH,True
DIOR-R,16781,16781,original_image_identity,HIGH,True
DIOR-R,22048,22048,original_image_identity,HIGH,True
DIOR-R,15212,15212,original_image_identity,HIGH,True
DIOR-R,19864,19864,original_image_identity,HIGH,True
DIOR-R,16241,16241,original_image_identity,HIGH,True
DIOR-R,21383,21383,original_image_identity,HIGH,True
DIOR-R,15237,15237,original_image_identity,HIGH,True
DIOR-R,22692,22692,original_image_identity,HIGH,True
DIOR-R,20756,20756,original_image_identity,HIGH,True
DIOR-R,18694,18694,original_image_identity,HIGH,True
DIOR-R,16339,16339,original_image_identity,HIGH,True
DIOR-R,17327,17327,original_image_identity,HIGH,True
DIOR-R,21739,21739,original_image_identity,HIGH,True
DIOR-R,20270,20270,original_image_identity,HIGH,True
DIOR-R,18160,18160,original_image_identity,HIGH,True
DIOR-R,12690,12690,original_image_identity,HIGH,True
DIOR-R,15786,15786,original_image_identity,HIGH,True
DIOR-R,16099,16099,original_image_identity,HIGH,True
DIOR-R,16750,16750,original_image_identity,HIGH,True
DIOR-R,16131,16131,original_image_identity,HIGH,True
DIOR-R,14279,14279,original_image_identity,HIGH,True
DIOR-R,12902,12902,original_image_identity,HIGH,True
DIOR-R,12815,12815,original_image_identity,HIGH,True
DIOR-R,18367,18367,original_image_identity,HIGH,True
DIOR-R,20034,20034,original_image_identity,HIGH,True
DIOR-R,21777,21777,original_image_identity,HIGH,True
DIOR-R,22111,22111,original_image_identity,HIGH,True
DIOR-R,22408,22408,original_image_identity,HIGH,True
DIOR-R,17237,17237,original_image_identity,HIGH,True
DIOR-R,16572,16572,original_image_identity,HIGH,True
DIOR-R,13038,13038,original_image_identity,HIGH,True
DIOR-R,22706,22706,original_image_identity,HIGH,True
DIOR-R,12675,12675,original_image_identity,HIGH,True
DIOR-R,14525,14525,original_image_identity,HIGH,True
DIOR-R,14082,14082,original_image_identity,HIGH,True
DIOR-R,18322,18322,original_image_identity,HIGH,True
DIOR-R,12538,12538,original_image_identity,HIGH,True
DIOR-R,20215,20215,original_image_identity,HIGH,True
DIOR-R,18763,18763,original_image_identity,HIGH,True
DIOR-R,13195,13195,original_image_identity,HIGH,True
DIOR-R,14086,14086,original_image_identity,HIGH,True
DIOR-R,15650,15650,original_image_identity,HIGH,True
DIOR-R,22075,22075,original_image_identity,HIGH,True
DIOR-R,16494,16494,original_image_identity,HIGH,True
DIOR-R,12495,12495,original_image_identity,HIGH,True
DIOR-R,11807,11807,original_image_identity,HIGH,True
DIOR-R,16074,16074,original_image_identity,HIGH,True
DIOR-R,12937,12937,original_image_identity,HIGH,True
DIOR-R,13117,13117,original_image_identity,HIGH,True
DIOR-R,12864,12864,original_image_identity,HIGH,True
DIOR-R,21826,21826,original_image_identity,HIGH,True
DIOR-R,21960,21960,original_image_identity,HIGH,True
DIOR-R,18796,18796,original_image_identity,HIGH,True
DIOR-R,16909,16909,original_image_identity,HIGH,True
DIOR-R,22785,22785,original_image_identity,HIGH,True
DIOR-R,21054,21054,original_image_identity,HIGH,True
DIOR-R,21558,21558,original_image_identity,HIGH,True
DIOR-R,23231,23231,original_image_identity,HIGH,True
DIOR-R,16270,16270,original_image_identity,HIGH,True
DIOR-R,18720,18720,original_image_identity,HIGH,True
DIOR-R,16870,16870,original_image_identity,HIGH,True
DIOR-R,12146,12146,original_image_identity,HIGH,True
DIOR-R,23205,23205,original_image_identity,HIGH,True
DIOR-R,18461,18461,original_image_identity,HIGH,True
DIOR-R,15506,15506,original_image_identity,HIGH,True
DIOR-R,14277,14277,original_image_identity,HIGH,True
DIOR-R,22632,22632,original_image_identity,HIGH,True
DIOR-R,17829,17829,original_image_identity,HIGH,True
DIOR-R,17453,17453,original_image_identity,HIGH,True
DIOR-R,14622,14622,original_image_identity,HIGH,True
DIOR-R,19861,19861,original_image_identity,HIGH,True
DIOR-R,23216,23216,original_image_identity,HIGH,True
DIOR-R,16017,16017,original_image_identity,HIGH,True
DIOR-R,18285,18285,original_image_identity,HIGH,True
DIOR-R,18828,18828,original_image_identity,HIGH,True
DIOR-R,21145,21145,original_image_identity,HIGH,True
DIOR-R,20890,20890,original_image_identity,HIGH,True
DIOR-R,20820,20820,original_image_identity,HIGH,True
DIOR-R,17328,17328,original_image_identity,HIGH,True
DIOR-R,22905,22905,original_image_identity,HIGH,True
DIOR-R,19691,19691,original_image_identity,HIGH,True
DIOR-R,14199,14199,original_image_identity,HIGH,True
DIOR-R,12418,12418,original_image_identity,HIGH,True
DIOR-R,17962,17962,original_image_identity,HIGH,True
DIOR-R,21011,21011,original_image_identity,HIGH,True
DIOR-R,18807,18807,original_image_identity,HIGH,True
DIOR-R,20494,20494,original_image_identity,HIGH,True
DIOR-R,13285,13285,original_image_identity,HIGH,True
DIOR-R,20896,20896,original_image_identity,HIGH,True
DIOR-R,15836,15836,original_image_identity,HIGH,True
DIOR-R,18688,18688,original_image_identity,HIGH,True
DIOR-R,15970,15970,original_image_identity,HIGH,True
DIOR-R,16474,16474,original_image_identity,HIGH,True
DIOR-R,16085,16085,original_image_identity,HIGH,True
DIOR-R,18297,18297,original_image_identity,HIGH,True
DIOR-R,20013,20013,original_image_identity,HIGH,True
DIOR-R,21508,21508,original_image_identity,HIGH,True
DIOR-R,12519,12519,original_image_identity,HIGH,True
DIOR-R,16472,16472,original_image_identity,HIGH,True
DIOR-R,18435,18435,original_image_identity,HIGH,True
DIOR-R,13972,13972,original_image_identity,HIGH,True
DIOR-R,22395,22395,original_image_identity,HIGH,True
DIOR-R,20929,20929,original_image_identity,HIGH,True
DIOR-R,23336,23336,original_image_identity,HIGH,True
DIOR-R,13557,13557,original_image_identity,HIGH,True
DIOR-R,12281,12281,original_image_identity,HIGH,True
DIOR-R,14898,14898,original_image_identity,HIGH,True
DIOR-R,22325,22325,original_image_identity,HIGH,True
DIOR-R,22811,22811,original_image_identity,HIGH,True
DIOR-R,18426,18426,original_image_identity,HIGH,True
DIOR-R,16922,16922,original_image_identity,HIGH,True
DIOR-R,17914,17914,original_image_identity,HIGH,True
DIOR-R,20431,20431,original_image_identity,HIGH,True
DIOR-R,16800,16800,original_image_identity,HIGH,True
DIOR-R,20813,20813,original_image_identity,HIGH,True
DIOR-R,20637,20637,original_image_identity,HIGH,True
DIOR-R,18457,18457,original_image_identity,HIGH,True
DIOR-R,22062,22062,original_image_identity,HIGH,True
DIOR-R,18824,18824,original_image_identity,HIGH,True
DIOR-R,22859,22859,original_image_identity,HIGH,True
DIOR-R,12101,12101,original_image_identity,HIGH,True
DIOR-R,18460,18460,original_image_identity,HIGH,True
DIOR-R,23069,23069,original_image_identity,HIGH,True
DIOR-R,18056,18056,original_image_identity,HIGH,True
DIOR-R,15134,15134,original_image_identity,HIGH,True
DIOR-R,12211,12211,original_image_identity,HIGH,True
DIOR-R,20048,20048,original_image_identity,HIGH,True
DIOR-R,20829,20829,original_image_identity,HIGH,True
DIOR-R,14747,14747,original_image_identity,HIGH,True
DIOR-R,21787,21787,original_image_identity,HIGH,True
DIOR-R,14972,14972,original_image_identity,HIGH,True
DIOR-R,16622,16622,original_image_identity,HIGH,True
DIOR-R,12360,12360,original_image_identity,HIGH,True
DIOR-R,22013,22013,original_image_identity,HIGH,True
DIOR-R,23191,23191,original_image_identity,HIGH,True
DIOR-R,11875,11875,original_image_identity,HIGH,True
DIOR-R,21966,21966,original_image_identity,HIGH,True
DIOR-R,18437,18437,original_image_identity,HIGH,True
DIOR-R,14845,14845,original_image_identity,HIGH,True
DIOR-R,19085,19085,original_image_identity,HIGH,True
DIOR-R,17873,17873,original_image_identity,HIGH,True
DIOR-R,19929,19929,original_image_identity,HIGH,True
DIOR-R,14412,14412,original_image_identity,HIGH,True
DIOR-R,14385,14385,original_image_identity,HIGH,True
DIOR-R,16111,16111,original_image_identity,HIGH,True
DIOR-R,18936,18936,original_image_identity,HIGH,True
DIOR-R,16357,16357,original_image_identity,HIGH,True
DIOR-R,19541,19541,original_image_identity,HIGH,True
DIOR-R,21549,21549,original_image_identity,HIGH,True
DIOR-R,17502,17502,original_image_identity,HIGH,True
DIOR-R,21658,21658,original_image_identity,HIGH,True
DIOR-R,15096,15096,original_image_identity,HIGH,True
DIOR-R,12395,12395,original_image_identity,HIGH,True
DIOR-R,12964,12964,original_image_identity,HIGH,True
DIOR-R,19510,19510,original_image_identity,HIGH,True
DIOR-R,23460,23460,original_image_identity,HIGH,True
DIOR-R,14454,14454,original_image_identity,HIGH,True
DIOR-R,17166,17166,original_image_identity,HIGH,True
DIOR-R,15516,15516,original_image_identity,HIGH,True
DIOR-R,23214,23214,original_image_identity,HIGH,True
DIOR-R,18635,18635,original_image_identity,HIGH,True
DIOR-R,19322,19322,original_image_identity,HIGH,True
DIOR-R,22079,22079,original_image_identity,HIGH,True
DIOR-R,12044,12044,original_image_identity,HIGH,True
DIOR-R,20527,20527,original_image_identity,HIGH,True
DIOR-R,22201,22201,original_image_identity,HIGH,True
DIOR-R,21219,21219,original_image_identity,HIGH,True
DIOR-R,18308,18308,original_image_identity,HIGH,True
DIOR-R,17294,17294,original_image_identity,HIGH,True
DIOR-R,20179,20179,original_image_identity,HIGH,True
DIOR-R,18886,18886,original_image_identity,HIGH,True
DIOR-R,14317,14317,original_image_identity,HIGH,True
DIOR-R,12206,12206,original_image_identity,HIGH,True
DIOR-R,20484,20484,original_image_identity,HIGH,True
DIOR-R,15413,15413,original_image_identity,HIGH,True
DIOR-R,18901,18901,original_image_identity,HIGH,True
DIOR-R,16467,16467,original_image_identity,HIGH,True
DIOR-R,18204,18204,original_image_identity,HIGH,True
DIOR-R,16188,16188,original_image_identity,HIGH,True
DIOR-R,19269,19269,original_image_identity,HIGH,True
DIOR-R,17144,17144,original_image_identity,HIGH,True
DIOR-R,16897,16897,original_image_identity,HIGH,True
DIOR-R,15156,15156,original_image_identity,HIGH,True
DIOR-R,18862,18862,original_image_identity,HIGH,True
DIOR-R,22903,22903,original_image_identity,HIGH,True
DIOR-R,17620,17620,original_image_identity,HIGH,True
DIOR-R,21191,21191,original_image_identity,HIGH,True
DIOR-R,17358,17358,original_image_identity,HIGH,True
DIOR-R,13039,13039,original_image_identity,HIGH,True
DIOR-R,20144,20144,original_image_identity,HIGH,True
DIOR-R,19493,19493,original_image_identity,HIGH,True
DIOR-R,18362,18362,original_image_identity,HIGH,True
DIOR-R,14111,14111,original_image_identity,HIGH,True
DIOR-R,16595,16595,original_image_identity,HIGH,True
DIOR-R,22233,22233,original_image_identity,HIGH,True
DIOR-R,13764,13764,original_image_identity,HIGH,True
DIOR-R,20613,20613,original_image_identity,HIGH,True
DIOR-R,21428,21428,original_image_identity,HIGH,True
DIOR-R,12270,12270,original_image_identity,HIGH,True
DIOR-R,17467,17467,original_image_identity,HIGH,True
DIOR-R,15214,15214,original_image_identity,HIGH,True
DIOR-R,12288,12288,original_image_identity,HIGH,True
DIOR-R,23211,23211,original_image_identity,HIGH,True
DIOR-R,21662,21662,original_image_identity,HIGH,True
DIOR-R,15345,15345,original_image_identity,HIGH,True
