evaluation_unit,dataset,risk_endpoint,alpha_label,alpha_type,alpha,delta,n_max_calibration_scenes,zero_loss_hb_ucb,zero_event_cp_ucb,structural_power_limit,role
A,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.01,1794,0.002564,0.002564,True,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.01,1794,0.002564,0.002564,True,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.040944,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.020472,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.1,1794,0.001283,0.001283,True,PRIMARY
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.05,1794,0.001668,0.001668,True,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.01,1794,0.002564,0.002564,True,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.01,1794,0.002564,0.002564,True,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.009388,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.009388,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.009388,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.004694,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.004694,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.004694,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,0.1,1794,0.001283,0.001283,True,PRIMARY
A,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,0.05,1794,0.001668,0.001668,True,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,0.01,1794,0.002564,0.002564,True,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,0.01,1794,0.002564,0.002564,True,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.004958,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.004958,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.004958,0.01,1794,0.002564,0.002564,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002479,0.1,1794,0.001283,0.001283,False,PRIMARY
A,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002479,0.05,1794,0.001668,0.001668,False,SENSITIVITY_ONLY
A,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002479,0.01,1794,0.002564,0.002564,True,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.1,1870,0.001231,0.001231,True,PRIMARY
B,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.05,1870,0.001601,0.001601,True,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.01,1870,0.002460,0.002460,True,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.012520,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.012520,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.012520,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.006260,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.006260,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.006260,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.1,1870,0.001231,0.001231,True,PRIMARY
B,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.05,1870,0.001601,0.001601,True,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.01,1870,0.002460,0.002460,True,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.042347,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.042347,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.042347,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.021173,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.021173,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.021173,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.1,1870,0.001231,0.001231,True,PRIMARY
B,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.05,1870,0.001601,0.001601,True,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.01,1870,0.002460,0.002460,True,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.011203,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.011203,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.011203,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.005602,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.005602,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.005602,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,0.1,1870,0.001231,0.001231,True,PRIMARY
B,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,0.05,1870,0.001601,0.001601,True,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,0.01,1870,0.002460,0.002460,True,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.005946,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.005946,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.005946,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002973,0.1,1870,0.001231,0.001231,False,PRIMARY
B,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002973,0.05,1870,0.001601,0.001601,False,SENSITIVITY_ONLY
B,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002973,0.01,1870,0.002460,0.002460,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.1,1877,0.001226,0.001226,True,PRIMARY
C,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.05,1877,0.001595,0.001595,True,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,0.01,1877,0.002450,0.002450,True,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.017373,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.017373,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.017373,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.008687,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.008687,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.008687,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.1,1877,0.001226,0.001226,True,PRIMARY
C,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.05,1877,0.001595,0.001595,True,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,0.01,1877,0.002450,0.002450,True,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.052584,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.052584,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.052584,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.026292,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.026292,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.026292,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.1,1877,0.001226,0.001226,True,PRIMARY
C,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.05,1877,0.001595,0.001595,True,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,0.01,1877,0.002450,0.002450,True,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.014889,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.014889,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.014889,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.007445,0.1,1877,0.001226,0.001226,False,PRIMARY
C,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.007445,0.05,1877,0.001595,0.001595,False,SENSITIVITY_ONLY
C,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.007445,0.01,1877,0.002450,0.002450,False,SENSITIVITY_ONLY
