scenario_index,evaluation_unit,score,alpha_label,alpha,replicates,fit_nonempty_profile,calibration_nonempty_profile,split_fst_false_rejections,split_fst_empirical_fwer,split_fst_cp95_upper,split_fst_pass,holm_false_rejections,holm_empirical_fwer,holm_cp95_upper,holm_pass,seed,endpoint
11,A,tta_circular_consistency,relative_0.25_r_fit,0.005002,50000,92;191;302;459;652;803;947;1103;1254;1361;1471;1563;1673,83;197;330;518;717;903;1037;1211;1353;1489;1583;1677;1794,1838,0.036760,0.038174,True,1055,0.021100,0.022188,True,20260805,geometry_normalized_severe
12,A,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,607,0.012140,0.012977,True,398,0.007960,0.008645,True,20260805,geometry_normalized_severe
13,A,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,2215,0.044300,0.045843,True,453,0.009060,0.009789,True,20260805,geometry_normalized_severe
14,A,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,1486,0.029720,0.031000,True,1241,0.024820,0.025995,True,20260805,geometry_normalized_severe
15,A,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,2157,0.043140,0.044664,True,1227,0.024540,0.025709,True,20260805,geometry_normalized_severe
16,A,source_supervised_leave_geometry,relative_0.5_r_fit,0.010003,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,2144,0.042880,0.044400,True,1321,0.026420,0.027630,True,20260805,geometry_normalized_severe
17,A,source_supervised_leave_geometry,relative_0.25_r_fit,0.005002,50000,90;205;389;622;770;859;944;1025;1178;1284;1362;1546;1673,97;254;451;694;857;943;1028;1138;1312;1431;1499;1672;1794,1450,0.029000,0.030265,True,1314,0.026280,0.027487,True,20260805,geometry_normalized_severe
18,B,detection_score,absolute_0.001,0.001000,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,587,0.011740,0.012564,True,444,0.008880,0.009602,True,20260805,geometry_normalized_severe
19,B,detection_score,absolute_0.0025,0.002500,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,1567,0.031340,0.032652,True,486,0.009720,0.010473,True,20260805,geometry_normalized_severe
20,B,detection_score,absolute_0.005,0.005000,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,1965,0.039300,0.040759,True,1126,0.022520,0.023642,True,20260805,geometry_normalized_severe
21,B,detection_score,absolute_0.01,0.010000,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,1933,0.038660,0.040108,True,1261,0.025220,0.026404,True,20260805,geometry_normalized_severe
22,B,detection_score,relative_0.5_r_fit,0.012520,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,1828,0.036560,0.037971,True,1358,0.027160,0.028386,True,20260805,geometry_normalized_severe
23,B,detection_score,relative_0.25_r_fit,0.006260,50000,60;146;276;466;639;749;847;953;1097;1238;1418;1597;1749,71;158;286;465;685;785;874;997;1156;1335;1523;1714;1870,1726,0.034520,0.035893,True,1531,0.030620,0.031918,True,20260805,geometry_normalized_severe
24,B,tta_circular_consistency,absolute_0.001,0.001000,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,576,0.011520,0.012336,True,424,0.008480,0.009186,True,20260805,geometry_normalized_severe
25,B,tta_circular_consistency,absolute_0.0025,0.002500,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,1833,0.036660,0.038072,True,633,0.012660,0.013514,True,20260805,geometry_normalized_severe
26,B,tta_circular_consistency,absolute_0.005,0.005000,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,1907,0.038140,0.039579,True,1284,0.025680,0.026874,True,20260805,geometry_normalized_severe
27,B,tta_circular_consistency,absolute_0.01,0.010000,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,1907,0.038140,0.039579,True,1593,0.031860,0.033182,True,20260805,geometry_normalized_severe
28,B,tta_circular_consistency,relative_0.5_r_fit,0.012520,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,1812,0.036240,0.037645,True,1255,0.025100,0.026281,True,20260805,geometry_normalized_severe
29,B,tta_circular_consistency,relative_0.25_r_fit,0.006260,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,1736,0.034720,0.036097,True,1474,0.029480,0.030755,True,20260805,geometry_normalized_severe
30,B,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,671,0.013420,0.014298,True,380,0.007600,0.008271,True,20260805,geometry_normalized_severe
31,B,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,1891,0.037820,0.039253,True,496,0.009920,0.010680,True,20260805,geometry_normalized_severe
32,B,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,1944,0.038880,0.040332,True,1139,0.022780,0.023908,True,20260805,geometry_normalized_severe
33,B,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,1968,0.039360,0.040820,True,1526,0.030520,0.031816,True,20260805,geometry_normalized_severe
34,B,source_supervised_leave_geometry,relative_0.5_r_fit,0.012520,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,1830,0.036600,0.038011,True,1456,0.029120,0.030387,True,20260805,geometry_normalized_severe
35,B,source_supervised_leave_geometry,relative_0.25_r_fit,0.006260,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,1755,0.035100,0.036484,True,1388,0.027760,0.028999,True,20260805,geometry_normalized_severe
36,C,detection_score,absolute_0.001,0.001000,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,584,0.011680,0.012502,True,391,0.007820,0.008500,True,20260805,geometry_normalized_severe
37,C,detection_score,absolute_0.0025,0.002500,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,2067,0.041340,0.042834,True,489,0.009780,0.010535,True,20260805,geometry_normalized_severe
38,C,detection_score,absolute_0.005,0.005000,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,1882,0.037640,0.039070,True,1167,0.023340,0.024481,True,20260805,geometry_normalized_severe
39,C,detection_score,absolute_0.01,0.010000,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,1801,0.036020,0.037421,True,1229,0.024580,0.025750,True,20260805,geometry_normalized_severe
40,C,detection_score,relative_0.5_r_fit,0.017373,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,1955,0.039100,0.040556,True,1788,0.035760,0.037156,True,20260805,geometry_normalized_severe
41,C,detection_score,relative_0.25_r_fit,0.008687,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,2108,0.042160,0.043668,True,1098,0.021960,0.023069,True,20260805,geometry_normalized_severe
42,C,tta_circular_consistency,absolute_0.001,0.001000,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,556,0.011120,0.011923,True,406,0.008120,0.008812,True,20260805,geometry_normalized_severe
43,C,tta_circular_consistency,absolute_0.0025,0.002500,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,1894,0.037880,0.039314,True,488,0.009760,0.010515,True,20260805,geometry_normalized_severe
44,C,tta_circular_consistency,absolute_0.005,0.005000,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,1827,0.036540,0.037950,True,1056,0.021120,0.022208,True,20260805,geometry_normalized_severe
45,C,tta_circular_consistency,absolute_0.01,0.010000,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,1921,0.038420,0.039864,True,1347,0.026940,0.028162,True,20260805,geometry_normalized_severe
46,C,tta_circular_consistency,relative_0.5_r_fit,0.017373,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,2025,0.040500,0.041980,True,1676,0.033520,0.034874,True,20260805,geometry_normalized_severe
47,C,tta_circular_consistency,relative_0.25_r_fit,0.008687,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,1951,0.039020,0.040474,True,1165,0.023300,0.024440,True,20260805,geometry_normalized_severe
48,C,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,580,0.011600,0.012419,True,467,0.009340,0.010079,True,20260805,geometry_normalized_severe
49,C,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,1349,0.026980,0.028202,True,430,0.008600,0.009311,True,20260805,geometry_normalized_severe
50,C,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,1794,0.035880,0.037278,True,1160,0.023200,0.024338,True,20260805,geometry_normalized_severe
51,C,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,2624,0.052480,0.054150,True,1350,0.027000,0.028223,True,20260805,geometry_normalized_severe
52,C,source_supervised_leave_geometry,relative_0.5_r_fit,0.017373,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,1953,0.039060,0.040515,True,1546,0.030920,0.032224,True,20260805,geometry_normalized_severe
53,C,source_supervised_leave_geometry,relative_0.25_r_fit,0.008687,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,1691,0.033820,0.035180,True,1215,0.024300,0.025463,True,20260805,geometry_normalized_severe
54,D,detection_score,absolute_0.001,0.001000,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,630,0.012600,0.013452,True,403,0.008060,0.008749,True,20260805,geometry_normalized_severe
55,D,detection_score,absolute_0.0025,0.002500,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,666,0.013320,0.014195,True,502,0.010040,0.010805,True,20260805,geometry_normalized_severe
56,D,detection_score,absolute_0.005,0.005000,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,2544,0.050880,0.052526,True,623,0.012460,0.013307,True,20260805,geometry_normalized_severe
57,D,detection_score,absolute_0.01,0.010000,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,1738,0.034760,0.036138,True,1931,0.038620,0.040067,True,20260805,geometry_normalized_severe
58,D,detection_score,relative_0.5_r_fit,0.001529,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,667,0.013340,0.014215,True,557,0.011140,0.011943,True,20260805,geometry_normalized_severe
59,D,detection_score,relative_0.25_r_fit,0.000764,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,605,0.012100,0.012936,True,440,0.008800,0.009519,True,20260805,geometry_normalized_severe
60,D,tta_circular_consistency,absolute_0.001,0.001000,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,572,0.011440,0.012254,True,369,0.007380,0.008041,True,20260805,geometry_normalized_severe
61,D,tta_circular_consistency,absolute_0.0025,0.002500,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,751,0.015020,0.015946,True,455,0.009100,0.009830,True,20260805,geometry_normalized_severe
62,D,tta_circular_consistency,absolute_0.005,0.005000,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,2318,0.046360,0.047936,True,493,0.009860,0.010618,True,20260805,geometry_normalized_severe
63,D,tta_circular_consistency,absolute_0.01,0.010000,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,1487,0.029740,0.031020,True,1499,0.029980,0.031265,True,20260805,geometry_normalized_severe
64,D,tta_circular_consistency,relative_0.5_r_fit,0.001529,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,625,0.012500,0.013349,True,408,0.008160,0.008853,True,20260805,geometry_normalized_severe
65,D,tta_circular_consistency,relative_0.25_r_fit,0.000764,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,554,0.011080,0.011881,True,641,0.012820,0.013679,True,20260805,geometry_normalized_severe
66,D,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,688,0.013760,0.014648,True,301,0.006020,0.006621,True,20260805,geometry_normalized_severe
67,D,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,779,0.015580,0.016522,True,740,0.014800,0.015719,True,20260805,geometry_normalized_severe
68,D,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,2700,0.054000,0.055692,True,460,0.009200,0.009934,True,20260805,geometry_normalized_severe
69,D,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,1501,0.030020,0.031306,True,1336,0.026720,0.027937,True,20260805,geometry_normalized_severe
70,D,source_supervised_leave_geometry,relative_0.5_r_fit,0.001529,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,699,0.013980,0.014875,True,316,0.006320,0.006935,True,20260805,geometry_normalized_severe
71,D,source_supervised_leave_geometry,relative_0.25_r_fit,0.000764,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,618,0.012360,0.013204,True,651,0.013020,0.013885,True,20260805,geometry_normalized_severe
72,E,detection_score,absolute_0.001,0.001000,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,594,0.011880,0.012708,True,506,0.010120,0.010888,True,20260805,geometry_normalized_severe
73,E,detection_score,absolute_0.0025,0.002500,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,1774,0.035480,0.036871,True,435,0.008700,0.009415,True,20260805,geometry_normalized_severe
74,E,detection_score,absolute_0.005,0.005000,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,1858,0.037160,0.038581,True,1514,0.030280,0.031571,True,20260805,geometry_normalized_severe
75,E,detection_score,absolute_0.01,0.010000,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,1949,0.038980,0.040434,True,1452,0.029040,0.030306,True,20260805,geometry_normalized_severe
76,E,detection_score,relative_0.5_r_fit,0.002188,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,2037,0.040740,0.042224,True,533,0.010660,0.011447,True,20260805,geometry_normalized_severe
77,E,detection_score,relative_0.25_r_fit,0.001094,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,745,0.014900,0.015822,True,560,0.011200,0.012006,True,20260805,geometry_normalized_severe
78,E,tta_circular_consistency,absolute_0.001,0.001000,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,611,0.012220,0.013060,True,423,0.008460,0.009165,True,20260805,geometry_normalized_severe
79,E,tta_circular_consistency,absolute_0.0025,0.002500,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,1835,0.036700,0.038113,True,462,0.009240,0.009975,True,20260805,geometry_normalized_severe
80,E,tta_circular_consistency,absolute_0.005,0.005000,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,1925,0.038500,0.039945,True,1125,0.022500,0.023622,True,20260805,geometry_normalized_severe
81,E,tta_circular_consistency,absolute_0.01,0.010000,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,2066,0.041320,0.042814,True,1647,0.032940,0.034283,True,20260805,geometry_normalized_severe
82,E,tta_circular_consistency,relative_0.5_r_fit,0.002188,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,1838,0.036760,0.038174,True,561,0.011220,0.012026,True,20260805,geometry_normalized_severe
83,E,tta_circular_consistency,relative_0.25_r_fit,0.001094,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,676,0.013520,0.014401,True,482,0.009640,0.010390,True,20260805,geometry_normalized_severe
84,E,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,594,0.011880,0.012708,True,415,0.008300,0.008999,True,20260805,geometry_normalized_severe
85,E,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,1622,0.032440,0.033773,True,411,0.008220,0.008916,True,20260805,geometry_normalized_severe
86,E,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,1698,0.033960,0.035323,True,1135,0.022700,0.023826,True,20260805,geometry_normalized_severe
87,E,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,1920,0.038400,0.039843,True,1527,0.030540,0.031836,True,20260805,geometry_normalized_severe
88,E,source_supervised_leave_geometry,relative_0.5_r_fit,0.002188,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,2177,0.043540,0.045071,True,577,0.011540,0.012357,True,20260805,geometry_normalized_severe
89,E,source_supervised_leave_geometry,relative_0.25_r_fit,0.001094,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,765,0.015300,0.016234,True,431,0.008620,0.009332,True,20260805,geometry_normalized_severe
90,F,detection_score,absolute_0.001,0.001000,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,622,0.012440,0.013287,True,475,0.009500,0.010245,True,20260805,geometry_normalized_severe
91,F,detection_score,absolute_0.0025,0.002500,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,1722,0.034440,0.035812,True,474,0.009480,0.010224,True,20260805,geometry_normalized_severe
92,F,detection_score,absolute_0.005,0.005000,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,1636,0.032720,0.034059,True,1486,0.029720,0.031000,True,20260805,geometry_normalized_severe
93,F,detection_score,absolute_0.01,0.010000,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,1703,0.034060,0.035424,True,1520,0.030400,0.031693,True,20260805,geometry_normalized_severe
94,F,detection_score,relative_0.5_r_fit,0.001813,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,2181,0.043620,0.045152,True,471,0.009420,0.010162,True,20260805,geometry_normalized_severe
95,F,detection_score,relative_0.25_r_fit,0.000907,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,663,0.013260,0.014133,True,364,0.007280,0.007937,True,20260805,geometry_normalized_severe
96,F,tta_circular_consistency,absolute_0.001,0.001000,50000,319;585;837;1142;1450;1633;1745;1816;1869;1918;1947;1979;2011,280;507;763;1055;1336;1478;1592;1657;1727;1780;1827;1860;1886,593,0.011860,0.012688,True,379,0.007580,0.008250,True,20260805,geometry_normalized_severe
97,F,tta_circular_consistency,absolute_0.0025,0.002500,50000,319;585;837;1142;1450;1633;1745;1816;1869;1918;1947;1979;2011,280;507;763;1055;1336;1478;1592;1657;1727;1780;1827;1860;1886,1616,0.032320,0.033651,True,532,0.010640,0.011426,True,20260805,geometry_normalized_severe
98,F,tta_circular_consistency,absolute_0.005,0.005000,50000,319;585;837;1142;1450;1633;1745;1816;1869;1918;1947;1979;2011,280;507;763;1055;1336;1478;1592;1657;1727;1780;1827;1860;1886,1931,0.038620,0.040067,True,1361,0.027220,0.028448,True,20260805,geometry_normalized_severe
