scenario_index,evaluation_unit,score,alpha_label,alpha,replicates,fit_nonempty_profile,calibration_nonempty_profile,split_fst_false_rejections,split_fst_empirical_fwer,split_fst_cp95_upper,split_fst_pass,holm_false_rejections,holm_empirical_fwer,holm_cp95_upper,holm_pass,seed,endpoint
28,B,tta_circular_consistency,relative_0.5_r_fit,0.012520,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,20750,0.415000,0.418638,False,49991,0.999820,0.999906,False,20260805,geometry_normalized_severe
29,B,tta_circular_consistency,relative_0.25_r_fit,0.006260,50000,88;171;288;464;736;929;1078;1211;1332;1444;1537;1632;1749,90;179;300;523;808;1016;1180;1318;1422;1526;1629;1737;1870,22022,0.440440,0.444104,False,49985,0.999700,0.999815,False,20260805,geometry_normalized_severe
30,B,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,19240,0.384800,0.388394,False,49952,0.999040,0.999256,False,20260805,geometry_normalized_severe
31,B,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,21930,0.438600,0.442263,False,49985,0.999700,0.999815,False,20260805,geometry_normalized_severe
32,B,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,22788,0.455760,0.459435,False,49989,0.999780,0.999877,False,20260805,geometry_normalized_severe
33,B,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,19900,0.398000,0.401615,False,49986,0.999720,0.999831,False,20260805,geometry_normalized_severe
34,B,source_supervised_leave_geometry,relative_0.5_r_fit,0.012520,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,23696,0.473920,0.477604,False,49992,0.999840,0.999920,False,20260805,geometry_normalized_severe
35,B,source_supervised_leave_geometry,relative_0.25_r_fit,0.006260,50000,91;259;449;643;778;928;1106;1218;1259;1353;1461;1600;1749,114;299;521;737;861;1027;1200;1331;1373;1472;1593;1755;1870,25236,0.504720,0.508408,False,49991,0.999820,0.999906,False,20260805,geometry_normalized_severe
36,C,detection_score,absolute_0.001,0.001000,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,17982,0.359640,0.363186,False,49934,0.998680,0.998935,False,20260805,geometry_normalized_severe
37,C,detection_score,absolute_0.0025,0.002500,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,19326,0.386520,0.390117,False,49970,0.999400,0.999568,False,20260805,geometry_normalized_severe
38,C,detection_score,absolute_0.005,0.005000,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,22528,0.450560,0.454232,False,49983,0.999660,0.999783,False,20260805,geometry_normalized_severe
39,C,detection_score,absolute_0.01,0.010000,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,26518,0.530360,0.534040,False,49994,0.999880,0.999948,False,20260805,geometry_normalized_severe
40,C,detection_score,relative_0.5_r_fit,0.017373,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,24344,0.486880,0.490567,False,49991,0.999820,0.999906,False,20260805,geometry_normalized_severe
41,C,detection_score,relative_0.25_r_fit,0.008687,50000,74;147;278;457;675;803;893;973;1068;1194;1387;1582;1731,80;168;279;469;719;846;954;1037;1134;1282;1497;1710;1877,23097,0.461940,0.465619,False,49987,0.999740,0.999846,False,20260805,geometry_normalized_severe
42,C,tta_circular_consistency,absolute_0.001,0.001000,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,17666,0.353320,0.356852,False,49955,0.999100,0.999309,False,20260805,geometry_normalized_severe
43,C,tta_circular_consistency,absolute_0.0025,0.002500,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,20738,0.414760,0.418398,False,49979,0.999580,0.999719,False,20260805,geometry_normalized_severe
44,C,tta_circular_consistency,absolute_0.005,0.005000,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,21031,0.420620,0.424265,False,49987,0.999740,0.999846,False,20260805,geometry_normalized_severe
45,C,tta_circular_consistency,absolute_0.01,0.010000,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,18446,0.368920,0.372485,False,49985,0.999700,0.999815,False,20260805,geometry_normalized_severe
46,C,tta_circular_consistency,relative_0.5_r_fit,0.017373,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,25555,0.511100,0.514787,False,49989,0.999780,0.999877,False,20260805,geometry_normalized_severe
47,C,tta_circular_consistency,relative_0.25_r_fit,0.008687,50000,103;201;313;481;710;880;1028;1160;1286;1395;1504;1612;1731,102;202;319;511;754;967;1132;1272;1387;1512;1635;1756;1877,27988,0.559760,0.563419,False,49989,0.999780,0.999877,False,20260805,geometry_normalized_severe
48,C,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,18682,0.373640,0.377214,False,49976,0.999520,0.999669,False,20260805,geometry_normalized_severe
49,C,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,22255,0.445100,0.448768,False,49973,0.999460,0.999619,False,20260805,geometry_normalized_severe
50,C,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,19491,0.389820,0.393422,False,49988,0.999760,0.999862,False,20260805,geometry_normalized_severe
51,C,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,23257,0.465140,0.468820,False,49994,0.999880,0.999948,False,20260805,geometry_normalized_severe
52,C,source_supervised_leave_geometry,relative_0.5_r_fit,0.017373,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,21172,0.423440,0.427088,False,49988,0.999760,0.999862,False,20260805,geometry_normalized_severe
53,C,source_supervised_leave_geometry,relative_0.25_r_fit,0.008687,50000,214;230;419;648;772;1047;1215;1467;1559;1597;1641;1676;1731,235;257;464;699;834;1134;1321;1574;1676;1731;1785;1813;1877,18179,0.363580,0.367134,False,49976,0.999520,0.999669,False,20260805,geometry_normalized_severe
54,D,detection_score,absolute_0.001,0.001000,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,13992,0.279840,0.283162,False,49764,0.995280,0.995773,False,20260805,geometry_normalized_severe
55,D,detection_score,absolute_0.0025,0.002500,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,17828,0.356560,0.360099,False,49897,0.997940,0.998262,False,20260805,geometry_normalized_severe
56,D,detection_score,absolute_0.005,0.005000,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,17350,0.347000,0.350518,False,49956,0.999120,0.999326,False,20260805,geometry_normalized_severe
57,D,detection_score,absolute_0.01,0.010000,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,22820,0.456400,0.460076,False,49979,0.999580,0.999719,False,20260805,geometry_normalized_severe
58,D,detection_score,relative_0.5_r_fit,0.001529,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,17300,0.346000,0.349516,False,49985,0.999700,0.999815,False,20260805,geometry_normalized_severe
59,D,detection_score,relative_0.25_r_fit,0.000764,50000,47;99;209;322;408;453;478;505;531;551;586;614;638,39;94;210;321;408;455;491;514;535;560;581;612;646,11983,0.239660,0.242821,False,49251,0.985020,0.985903,False,20260805,geometry_normalized_severe
60,D,tta_circular_consistency,absolute_0.001,0.001000,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,13702,0.274040,0.277341,False,49765,0.995300,0.995792,False,20260805,geometry_normalized_severe
61,D,tta_circular_consistency,absolute_0.0025,0.002500,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,16246,0.324920,0.328383,False,49912,0.998240,0.998537,False,20260805,geometry_normalized_severe
62,D,tta_circular_consistency,absolute_0.005,0.005000,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,18640,0.372800,0.376372,False,49958,0.999160,0.999361,False,20260805,geometry_normalized_severe
63,D,tta_circular_consistency,absolute_0.01,0.010000,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,22821,0.456420,0.460096,False,49975,0.999500,0.999652,False,20260805,geometry_normalized_severe
64,D,tta_circular_consistency,relative_0.5_r_fit,0.001529,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,16282,0.325640,0.329105,False,49986,0.999720,0.999831,False,20260805,geometry_normalized_severe
65,D,tta_circular_consistency,relative_0.25_r_fit,0.000764,50000,56;103;133;184;279;384;483;543;574;602;620;631;638,61;96;150;208;302;420;504;561;590;608;619;637;646,12116,0.242320,0.245493,False,49183,0.983660,0.984582,False,20260805,geometry_normalized_severe
66,D,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,14875,0.297500,0.300881,False,49850,0.997000,0.997391,False,20260805,geometry_normalized_severe
67,D,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,17086,0.341720,0.345226,False,49941,0.998820,0.999061,False,20260805,geometry_normalized_severe
68,D,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,19833,0.396660,0.400273,False,49971,0.999420,0.999585,False,20260805,geometry_normalized_severe
69,D,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,22272,0.445440,0.449108,False,49979,0.999580,0.999719,False,20260805,geometry_normalized_severe
70,D,source_supervised_leave_geometry,relative_0.5_r_fit,0.001529,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,17597,0.351940,0.355469,False,49994,0.999880,0.999948,False,20260805,geometry_normalized_severe
71,D,source_supervised_leave_geometry,relative_0.25_r_fit,0.000764,50000,40;108;185;287;457;532;573;586;598;604;618;628;638,27;89;177;285;468;546;584;598;607;615;629;634;646,12798,0.255960,0.259191,False,49442,0.988840,0.989602,False,20260805,geometry_normalized_severe
72,E,detection_score,absolute_0.001,0.001000,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,18457,0.369140,0.372705,False,49981,0.999620,0.999751,False,20260805,geometry_normalized_severe
73,E,detection_score,absolute_0.0025,0.002500,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,23030,0.460600,0.464278,False,49986,0.999720,0.999831,False,20260805,geometry_normalized_severe
74,E,detection_score,absolute_0.005,0.005000,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,22958,0.459160,0.462837,False,49985,0.999700,0.999815,False,20260805,geometry_normalized_severe
75,E,detection_score,absolute_0.01,0.010000,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,22762,0.455240,0.458915,False,49983,0.999660,0.999783,False,20260805,geometry_normalized_severe
76,E,detection_score,relative_0.5_r_fit,0.002188,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,22915,0.458300,0.461977,False,49984,0.999680,0.999799,False,20260805,geometry_normalized_severe
77,E,detection_score,relative_0.25_r_fit,0.001094,50000,224;414;598;823;1100;1252;1361;1466;1541;1632;1728;1831;1971,214;397;541;733;974;1141;1251;1347;1423;1516;1613;1714;1858,18718,0.374360,0.377935,False,49960,0.999200,0.999396,False,20260805,geometry_normalized_severe
78,E,tta_circular_consistency,absolute_0.001,0.001000,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,20196,0.403920,0.407544,False,49985,0.999700,0.999815,False,20260805,geometry_normalized_severe
79,E,tta_circular_consistency,absolute_0.0025,0.002500,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,24888,0.497760,0.501448,False,49993,0.999860,0.999934,False,20260805,geometry_normalized_severe
80,E,tta_circular_consistency,absolute_0.005,0.005000,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,23685,0.473700,0.477384,False,49987,0.999740,0.999846,False,20260805,geometry_normalized_severe
81,E,tta_circular_consistency,absolute_0.01,0.010000,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,26186,0.523720,0.527403,False,49994,0.999880,0.999948,False,20260805,geometry_normalized_severe
82,E,tta_circular_consistency,relative_0.5_r_fit,0.002188,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,22311,0.446220,0.449889,False,49982,0.999640,0.999767,False,20260805,geometry_normalized_severe
83,E,tta_circular_consistency,relative_0.25_r_fit,0.001094,50000,330;596;796;1016;1281;1460;1603;1694;1773;1840;1889;1933;1971,300;539;735;945;1185;1358;1484;1582;1654;1716;1770;1815;1858,20358,0.407160,0.410788,False,49994,0.999880,0.999948,False,20260805,geometry_normalized_severe
84,E,source_supervised_leave_geometry,absolute_0.001,0.001000,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,16236,0.324720,0.328182,False,49928,0.998560,0.998827,False,20260805,geometry_normalized_severe
85,E,source_supervised_leave_geometry,absolute_0.0025,0.002500,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,24348,0.486960,0.490647,False,49993,0.999860,0.999934,False,20260805,geometry_normalized_severe
86,E,source_supervised_leave_geometry,absolute_0.005,0.005000,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,21496,0.429920,0.433575,False,49993,0.999860,0.999934,False,20260805,geometry_normalized_severe
87,E,source_supervised_leave_geometry,absolute_0.01,0.010000,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,20684,0.413680,0.417316,False,49990,0.999800,0.999891,False,20260805,geometry_normalized_severe
88,E,source_supervised_leave_geometry,relative_0.5_r_fit,0.002188,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,22505,0.450100,0.453772,False,49973,0.999460,0.999619,False,20260805,geometry_normalized_severe
89,E,source_supervised_leave_geometry,relative_0.25_r_fit,0.001094,50000,217;313;396;556;861;1219;1379;1542;1542;1550;1611;1862;1971,219;303;358;515;761;1099;1253;1388;1388;1399;1473;1743;1858,17190,0.343800,0.347311,False,49962,0.999240,0.999431,False,20260805,geometry_normalized_severe
90,F,detection_score,absolute_0.001,0.001000,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,16747,0.334940,0.338429,False,49966,0.999320,0.999500,False,20260805,geometry_normalized_severe
91,F,detection_score,absolute_0.0025,0.002500,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,19643,0.392860,0.396467,False,49993,0.999860,0.999934,False,20260805,geometry_normalized_severe
92,F,detection_score,absolute_0.005,0.005000,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,23503,0.470060,0.473743,False,49995,0.999900,0.999961,False,20260805,geometry_normalized_severe
93,F,detection_score,absolute_0.01,0.010000,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,27823,0.556460,0.560122,False,49998,0.999960,0.999993,False,20260805,geometry_normalized_severe
94,F,detection_score,relative_0.5_r_fit,0.001813,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,17636,0.352720,0.356251,False,49943,0.998860,0.999096,False,20260805,geometry_normalized_severe
95,F,detection_score,relative_0.25_r_fit,0.000907,50000,112;222;403;720;1093;1300;1480;1628;1740;1808;1865;1935;2011,100;186;347;644;994;1180;1357;1493;1596;1675;1742;1820;1886,17198,0.343960,0.347471,False,49925,0.998500,0.998773,False,20260805,geometry_normalized_severe
96,F,tta_circular_consistency,absolute_0.001,0.001000,50000,319;585;837;1142;1450;1633;1745;1816;1869;1918;1947;1979;2011,280;507;763;1055;1336;1478;1592;1657;1727;1780;1827;1860;1886,19289,0.385780,0.389376,False,49986,0.999720,0.999831,False,20260805,geometry_normalized_severe
97,F,tta_circular_consistency,absolute_0.0025,0.002500,50000,319;585;837;1142;1450;1633;1745;1816;1869;1918;1947;1979;2011,280;507;763;1055;1336;1478;1592;1657;1727;1780;1827;1860;1886,23785,0.475700,0.479385,False,49990,0.999800,0.999891,False,20260805,geometry_normalized_severe
