cell,dataset,detector,track,dose_deg,AP50,AP75,matched_ar21,severe_rate
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,2,0.5375084779404169,0.3480372549105468,49672,0.0090996939925914
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,5,0.5350318653898569,0.33734014476823615,49389,0.036749073680374174
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,10,0.5222237846396598,0.2946092637028589,48303,0.27942363828333644
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,15,0.5042682891712633,0.22805380011454066,46024,0.8115113853641578
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,20,0.48254384677829565,0.21709280166490816,41786,0.978820657636529
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,25,0.451030378376988,0.21705494109201778,32641,0.9945773720167888
DIOR-R/22,DIOR-R,rotated_retinanet_psc,S,30,0.4164544731533039,0.21705486789393502,18807,0.9969692135906844
DIOR-R/3,DIOR-R,oriented_rcnn,P,0,0.6447894824490825,0.4275096655454352,54945,0.005532805532805533
DIOR-R/3,DIOR-R,oriented_rcnn,P,2,0.6430871044134634,0.4239903700184944,54899,0.009508369915663308
DIOR-R/3,DIOR-R,oriented_rcnn,P,5,0.635259662530012,0.4052769897261898,54596,0.04703641292402374
DIOR-R/3,DIOR-R,oriented_rcnn,P,10,0.6056598701370193,0.3417645227040689,53164,0.2979459784816793
DIOR-R/3,DIOR-R,oriented_rcnn,P,15,0.5681996646526173,0.26288089230105294,50530,0.81171581238868
DIOR-R/3,DIOR-R,oriented_rcnn,P,20,0.5407155771939552,0.2528797668534247,46502,0.9748612962883317
DIOR-R/3,DIOR-R,oriented_rcnn,P,25,0.49872000076377176,0.252866628694224,37927,0.9937775199725789
DIOR-R/3,DIOR-R,oriented_rcnn,P,30,0.4551021700722565,0.25286234844594707,23235,0.9973316117925544
DIOR-R/3,DIOR-R,oriented_rcnn,D,0,0.6447894824490825,0.4275096655454352,54945,0.005532805532805533
DIOR-R/3,DIOR-R,oriented_rcnn,D,2,0.6414799884076172,0.4195956659359946,54823,0.016890721047735438
DIOR-R/3,DIOR-R,oriented_rcnn,D,5,0.6280356799150445,0.3916212711561203,54358,0.08186467493285257
DIOR-R/3,DIOR-R,oriented_rcnn,D,10,0.5909177366952589,0.3195068347345554,52553,0.47660457062394157
DIOR-R/3,DIOR-R,oriented_rcnn,D,15,0.559256548433808,0.2532732395703003,49325,0.9596756208819057
DIOR-R/3,DIOR-R,oriented_rcnn,D,20,0.5248261011979987,0.25286234844594707,44432,0.9988746849117753
DIOR-R/3,DIOR-R,oriented_rcnn,D,25,0.4847219297551549,0.25286234844594707,33356,0.9997002038613743
DIOR-R/3,DIOR-R,oriented_rcnn,D,30,0.44041066755770253,0.25286234844594707,17703,0.9997175619951421
DIOR-R/3,DIOR-R,oriented_rcnn,S,0,0.6447894824490825,0.4275096655454352,54945,0.005532805532805533
DIOR-R/3,DIOR-R,oriented_rcnn,S,2,0.6431264282740308,0.423929127616275,54899,0.009508369915663308
DIOR-R/3,DIOR-R,oriented_rcnn,S,5,0.6361903509117703,0.40640139253768925,54596,0.04703641292402374
DIOR-R/3,DIOR-R,oriented_rcnn,S,10,0.6060530726635183,0.34104826646677866,53164,0.2979459784816793
DIOR-R/3,DIOR-R,oriented_rcnn,S,15,0.5684337991920256,0.2665151494516387,50530,0.81171581238868
DIOR-R/3,DIOR-R,oriented_rcnn,S,20,0.53974493261104,0.25288034949713567,46502,0.9748612962883317
DIOR-R/3,DIOR-R,oriented_rcnn,S,25,0.4994544624377938,0.2528650510851891,37927,0.9937775199725789
DIOR-R/3,DIOR-R,oriented_rcnn,S,30,0.45454518036367864,0.2528624129808953,23235,0.9973316117925544
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,0,0.6462051923401344,0.45151851121447273,53388,0.008822207237581479
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,2,0.6449571366427362,0.44666312504547456,53327,0.013426594408085961
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,5,0.6366021637933902,0.42138839293330915,53001,0.05003679175864607
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,10,0.6094557848185802,0.36184316097669267,51648,0.30403887856257744
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,15,0.5759374506427777,0.2788079495902608,49107,0.801392876779278
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,20,0.5440324559194372,0.26121117056234494,45248,0.9739435997171145
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,25,0.5057964711531172,0.261157050622445,37345,0.9931449993305663
DIOR-R/61,DIOR-R,rotated_rtmdet_s,P,30,0.4604342139004708,0.261155503485448,22928,0.9965544312630844
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,0,0.6462051923401344,0.45151851121447273,53388,0.008822207237581479
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,2,0.6428407896598609,0.44231134601881844,53228,0.0217366799428872
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,5,0.6307038440929007,0.409874351920008,52750,0.08686255924170616
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,10,0.5990043444252535,0.3397650953908508,50965,0.49796919454527616
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,15,0.567088836578758,0.26285193197972906,47801,0.9583063115834397
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,20,0.5281722729524061,0.261155503485448,43293,0.9986371930797127
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,25,0.48943765387911925,0.261155503485448,32696,0.9995718130658184
DIOR-R/61,DIOR-R,rotated_rtmdet_s,D,30,0.4431962811758089,0.261155503485448,16924,0.9994682108248641
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,0,0.6462051923401344,0.45151851121447273,53388,0.008822207237581479
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,2,0.6449516343932958,0.4471189533392106,53327,0.013426594408085961
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,5,0.6372125532387378,0.4220076615141388,53001,0.05003679175864607
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,10,0.6103780886519333,0.35909510168239817,51648,0.30403887856257744
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,15,0.5763779746606863,0.28146958312484494,49107,0.801392876779278
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,20,0.5435433588541145,0.2622351009757997,45248,0.9739435997171145
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,25,0.5061359115327506,0.2611571183558679,37345,0.9931449993305663
DIOR-R/61,DIOR-R,rotated_rtmdet_s,S,30,0.45942464670304695,0.26115576134161417,22928,0.9965544312630844
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,0,0.3466768548763771,0.24236736977228823,29391,0.004423122724643598
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,2,0.3464481864197555,0.24066266866620808,29388,0.007417993738941064
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,5,0.34576234370105047,0.22973028180678795,29288,0.04623053810434308
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,10,0.3390118379310504,0.2155059474803573,28563,0.30168399677904983
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,15,0.31814591607154113,0.20500272985635304,26140,0.7475133894414691
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,20,0.30455251719915405,0.20431213016258604,22662,0.9511075809725532
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,25,0.28999581719840656,0.20430916654510273,16478,0.9912610753732249
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,P,30,0.2756215930033871,0.20430886670290205,9219,0.9977220956719818
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,0,0.3466768548763771,0.24236736977228823,29391,0.004423122724643598
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,2,0.34632866167478243,0.23807924915933715,29375,0.012357446808510638
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,5,0.3451773482672651,0.22420802290388736,29210,0.08859979459089352
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,10,0.3355300466971733,0.20908965703383453,28125,0.4987377777777778
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,15,0.31388603241930807,0.20430886670290205,25146,0.9498528593016782
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,20,0.3009595055503007,0.20430886670290205,20790,0.9975949975949976
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,25,0.28594159684363074,0.20430886670290205,13193,0.9990904267414538
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,D,30,0.2709324124588338,0.20430886670290205,5898,0.9993218040013564
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,0,0.3466768548763771,0.24236736977228823,29391,0.004423122724643598
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,2,0.3465198003980818,0.24046481160242084,29388,0.007417993738941064
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,5,0.345945356590038,0.23019141514771513,29288,0.04623053810434308
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,10,0.3396099537263925,0.21596905326142335,28563,0.30168399677904983
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,15,0.31791094718176605,0.2049966224908496,26140,0.7475133894414691
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,20,0.3051626613350409,0.20431097531641285,22662,0.9511075809725532
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,25,0.29110553737577227,0.20430921888752612,16478,0.9912610753732249
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,S,30,0.2757211670269183,0.20430886670290205,9219,0.9977220956719818
SODA-A/23,SODA-A,rotated_retinanet_psc,P,0,0.5991243955179268,0.2734833358642954,219127,0.002655994012604563
SODA-A/23,SODA-A,rotated_retinanet_psc,P,2,0.5991235155399833,0.2699179201048643,219018,0.00401336876421116
SODA-A/23,SODA-A,rotated_retinanet_psc,P,5,0.5988161585287661,0.24145727161497854,218655,0.03247124465482152
SODA-A/23,SODA-A,rotated_retinanet_psc,P,10,0.5937343402774077,0.21040654535347922,215637,0.261457913066867
SODA-A/23,SODA-A,rotated_retinanet_psc,P,15,0.5474386191903303,0.18639928893436228,191742,0.66459617611165
SODA-A/23,SODA-A,rotated_retinanet_psc,P,20,0.5246997925304436,0.18410800326334775,172982,0.9398492328681597
SODA-A/23,SODA-A,rotated_retinanet_psc,P,25,0.48747969684791936,0.18335430363335065,154498,0.9906730184209505
SODA-A/23,SODA-A,rotated_retinanet_psc,P,30,0.44955860525056834,0.18327961341039714,119830,0.997429692063757
SODA-A/23,SODA-A,rotated_retinanet_psc,D,0,0.5991243955179268,0.2734833358642954,219127,0.002655994012604563
SODA-A/23,SODA-A,rotated_retinanet_psc,D,2,0.5989159145128844,0.26496203344738206,218810,0.005986929299392167
SODA-A/23,SODA-A,rotated_retinanet_psc,D,5,0.5982215637944113,0.23280285518676078,218117,0.05584158960557866
SODA-A/23,SODA-A,rotated_retinanet_psc,D,10,0.5896464519885147,0.19833181651502618,213933,0.3468235382105613
SODA-A/23,SODA-A,rotated_retinanet_psc,D,15,0.5411939645499788,0.18470809535238908,185740,0.7717454506299127
SODA-A/23,SODA-A,rotated_retinanet_psc,D,20,0.5167796954613744,0.18470809535238908,169844,0.7534678881797414
SODA-A/23,SODA-A,rotated_retinanet_psc,D,25,0.470065311194083,0.18470809535238908,149016,0.7190100391904225
SODA-A/23,SODA-A,rotated_retinanet_psc,D,30,0.43254563399112983,0.18470809535238908,110462,0.6209375169741631
SODA-A/23,SODA-A,rotated_retinanet_psc,S,0,0.5991243955179268,0.2734833358642954,219127,0.002655994012604563
SODA-A/23,SODA-A,rotated_retinanet_psc,S,2,0.5991021382685782,0.2700317211751704,219018,0.00401336876421116
SODA-A/23,SODA-A,rotated_retinanet_psc,S,5,0.5987617942930247,0.2435425999509152,218655,0.03247124465482152
SODA-A/23,SODA-A,rotated_retinanet_psc,S,10,0.5933847867360819,0.20927399455703322,215637,0.261457913066867
SODA-A/23,SODA-A,rotated_retinanet_psc,S,15,0.5479067211967938,0.18600963778906698,191742,0.66459617611165
SODA-A/23,SODA-A,rotated_retinanet_psc,S,20,0.5256875740702085,0.18373082162090626,172982,0.9398492328681597
SODA-A/23,SODA-A,rotated_retinanet_psc,S,25,0.48705279778599614,0.1833169585218739,154498,0.9906730184209505
SODA-A/23,SODA-A,rotated_retinanet_psc,S,30,0.44965728652909354,0.18327961341039714,119830,0.997429692063757
SODA-A/4,SODA-A,oriented_rcnn,P,0,0.7295276463314209,0.3805299193553744,262335,0.0036137000400251586
SODA-A/4,SODA-A,oriented_rcnn,P,2,0.729424304754581,0.37467524466093716,262304,0.004967518604367452
SODA-A/4,SODA-A,oriented_rcnn,P,5,0.7288254313456306,0.3045769225802714,262002,0.03173639895878658
SODA-A/4,SODA-A,oriented_rcnn,P,10,0.7144980890374357,0.24068647318414957,260038,0.2636845384136165
SODA-A/4,SODA-A,oriented_rcnn,P,15,0.6321988216077142,0.20853499881609638,239535,0.6540505562861377
SODA-A/4,SODA-A,oriented_rcnn,P,20,0.5898393520092956,0.20608499904112595,216090,0.9264611967235874
SODA-A/4,SODA-A,oriented_rcnn,P,25,0.5622445203425143,0.20594976130850756,198912,0.9877533783783784
SODA-A/4,SODA-A,oriented_rcnn,P,30,0.5092910023090159,0.20593819312204634,163314,0.9971404778524805
SODA-A/4,SODA-A,oriented_rcnn,D,0,0.7295276463314209,0.3805299193553744,262335,0.0036137000400251586
SODA-A/4,SODA-A,oriented_rcnn,D,2,0.729286029683558,0.3676963898798664,262195,0.008699631953317188
SODA-A/4,SODA-A,oriented_rcnn,D,5,0.7285074555962145,0.2827842967191855,261659,0.06284515342487741
SODA-A/4,SODA-A,oriented_rcnn,D,10,0.7058275548042743,0.2297951692778699,258339,0.3813748601643577
SODA-A/4,SODA-A,oriented_rcnn,D,15,0.6190353862803266,0.20593926654067582,229908,0.9136480679228213
SODA-A/4,SODA-A,oriented_rcnn,D,20,0.5857241101639907,0.20592523910401814,210470,0.99859837506533
SODA-A/4,SODA-A,oriented_rcnn,D,25,0.5412287251907382,0.20592523910401814,188134,0.999750178064571
SODA-A/4,SODA-A,oriented_rcnn,D,30,0.48705411668924964,0.20592523910401814,139479,0.9998351006244668
SODA-A/4,SODA-A,oriented_rcnn,S,0,0.7295276463314209,0.3805299193553744,262335,0.0036137000400251586
SODA-A/4,SODA-A,oriented_rcnn,S,2,0.7294286424822567,0.37543475659094006,262304,0.004967518604367452
SODA-A/4,SODA-A,oriented_rcnn,S,5,0.7288809849424843,0.3066880576488883,262002,0.03173639895878658
SODA-A/4,SODA-A,oriented_rcnn,S,10,0.7151295273589592,0.24091071235599576,260038,0.2636845384136165
SODA-A/4,SODA-A,oriented_rcnn,S,15,0.6344064106544601,0.20854746206523428,239535,0.6540505562861377
SODA-A/4,SODA-A,oriented_rcnn,S,20,0.5900293560976281,0.20604838505962997,216090,0.9264611967235874
SODA-A/4,SODA-A,oriented_rcnn,S,25,0.5633040557422436,0.20595068017602325,198912,0.9877533783783784
SODA-A/4,SODA-A,oriented_rcnn,S,30,0.5111373969587151,0.20593187052888556,163314,0.9971404778524805
