evaluation_unit,dataset,detector,risk_endpoint,alpha_label,alpha_type,r_fit,alpha,n_max_calibration_scenes,zero_loss_hb_ucb_delta_0.1,zero_event_cp_ucb_delta_0.1,zero_loss_hb_ucb_delta_0.05,zero_event_cp_ucb_delta_0.05,zero_loss_hb_ucb_delta_0.01,zero_event_cp_ucb_delta_0.01,structural_power_limit_delta_0.1
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_5deg,absolute_0.0025,absolute,0.105167,0.002500,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_5deg,absolute_0.005,absolute,0.105167,0.005000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_5deg,absolute_0.01,absolute,0.105167,0.010000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.105167,0.052584,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.105167,0.026292,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_10deg,absolute_0.001,absolute,0.029779,0.001000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,True
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_10deg,absolute_0.0025,absolute,0.029779,0.002500,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_10deg,absolute_0.005,absolute,0.029779,0.005000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_10deg,absolute_0.01,absolute,0.029779,0.010000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.029779,0.014889,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.029779,0.007445,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_15deg,absolute_0.001,absolute,0.014370,0.001000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,True
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_15deg,absolute_0.0025,absolute,0.014370,0.002500,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_15deg,absolute_0.005,absolute,0.014370,0.005000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_15deg,absolute_0.01,absolute,0.014370,0.010000,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.014370,0.007185,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
C,DIOR-R,rotated_rtmdet_s,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.014370,0.003593,1877,0.001226,0.001226,0.001595,0.001595,0.002450,0.002450,False
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.001,absolute,0.003058,0.001000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.0025,absolute,0.003058,0.002500,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.005,absolute,0.003058,0.005000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.01,absolute,0.003058,0.010000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_normalized_severe,relative_0.5_r_fit,relative,0.003058,0.001529,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,geometry_normalized_severe,relative_0.25_r_fit,relative,0.003058,0.000764,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.001,absolute,0.067069,0.001000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.0025,absolute,0.067069,0.002500,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.005,absolute,0.067069,0.005000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.01,absolute,0.067069,0.010000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.067069,0.033535,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.067069,0.016767,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.001,absolute,0.005167,0.001000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.0025,absolute,0.005167,0.002500,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.005,absolute,0.005167,0.005000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.01,absolute,0.005167,0.010000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.005167,0.002584,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.005167,0.001292,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.001,absolute,0.000676,0.001000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.0025,absolute,0.000676,0.002500,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.005,absolute,0.000676,0.005000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.01,absolute,0.000676,0.010000,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,False
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.000676,0.000338,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
D,FAIR1M-v1.0,rotated_retinanet_psc,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.000676,0.000169,646,0.003558,0.003558,0.004627,0.004627,0.007103,0.007103,True
E,SODA-A,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.001,absolute,0.004376,0.001000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,True
E,SODA-A,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.0025,absolute,0.004376,0.002500,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.005,absolute,0.004376,0.005000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,geometry_normalized_severe,absolute_0.01,absolute,0.004376,0.010000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,geometry_normalized_severe,relative_0.5_r_fit,relative,0.004376,0.002188,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,geometry_normalized_severe,relative_0.25_r_fit,relative,0.004376,0.001094,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,True
E,SODA-A,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.001,absolute,0.093766,0.001000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,True
E,SODA-A,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.0025,absolute,0.093766,0.002500,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.005,absolute,0.093766,0.005000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_5deg,absolute_0.01,absolute,0.093766,0.010000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.093766,0.046883,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.093766,0.023442,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.001,absolute,0.013505,0.001000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,True
E,SODA-A,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.0025,absolute,0.013505,0.002500,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.005,absolute,0.013505,0.005000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_10deg,absolute_0.01,absolute,0.013505,0.010000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.013505,0.006752,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.013505,0.003376,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.001,absolute,0.002932,0.001000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,True
E,SODA-A,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.0025,absolute,0.002932,0.002500,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.005,absolute,0.002932,0.005000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_15deg,absolute_0.01,absolute,0.002932,0.010000,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.002932,0.001466,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,False
E,SODA-A,rotated_retinanet_psc,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002932,0.000733,1858,0.001239,0.001239,0.001611,0.001611,0.002475,0.002475,True
F,SODA-A,oriented_rcnn,geometry_normalized_severe,absolute_0.001,absolute,0.003627,0.001000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,True
F,SODA-A,oriented_rcnn,geometry_normalized_severe,absolute_0.0025,absolute,0.003627,0.002500,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,geometry_normalized_severe,absolute_0.005,absolute,0.003627,0.005000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,geometry_normalized_severe,absolute_0.01,absolute,0.003627,0.010000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,geometry_normalized_severe,relative_0.5_r_fit,relative,0.003627,0.001813,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,geometry_normalized_severe,relative_0.25_r_fit,relative,0.003627,0.000907,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,True
F,SODA-A,oriented_rcnn,angle_error_gt_5deg,absolute_0.001,absolute,0.101299,0.001000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,True
F,SODA-A,oriented_rcnn,angle_error_gt_5deg,absolute_0.0025,absolute,0.101299,0.002500,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_5deg,absolute_0.005,absolute,0.101299,0.005000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_5deg,absolute_0.01,absolute,0.101299,0.010000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.101299,0.050650,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.101299,0.025325,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_10deg,absolute_0.001,absolute,0.013052,0.001000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,True
F,SODA-A,oriented_rcnn,angle_error_gt_10deg,absolute_0.0025,absolute,0.013052,0.002500,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_10deg,absolute_0.005,absolute,0.013052,0.005000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_10deg,absolute_0.01,absolute,0.013052,0.010000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.013052,0.006526,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.013052,0.003263,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_15deg,absolute_0.001,absolute,0.002382,0.001000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,True
F,SODA-A,oriented_rcnn,angle_error_gt_15deg,absolute_0.0025,absolute,0.002382,0.002500,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_15deg,absolute_0.005,absolute,0.002382,0.005000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_15deg,absolute_0.01,absolute,0.002382,0.010000,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,False
F,SODA-A,oriented_rcnn,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.002382,0.001191,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,True
F,SODA-A,oriented_rcnn,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002382,0.000596,1886,0.001220,0.001220,0.001587,0.001587,0.002439,0.002439,True
