evaluation_unit,dataset,risk_endpoint,alpha_label,alpha_type,alpha,outcome_score,calibration_hb_ucb,calibration_nonempty_scene_rate,calibration_selected_count,audit_conditional_risk,audit_nonempty_scene_rate,audit_selected_instance_coverage,audit_selected_count,practical,not_deployable
A,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001299,0.987179,13188,0.000000,0.986548,0.991622,24855,True,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001301,0.986065,13160,0.000000,0.989410,0.990106,24817,True,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001301,0.986065,13160,0.000000,0.989410,0.990106,24817,True,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001301,0.986065,13160,0.000000,0.989410,0.990106,24817,True,True
A,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001301,0.986065,13160,0.000000,0.989410,0.990106,24817,True,True
A,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.009388,1-event (target-aware; non-deployable),0.001301,0.986065,13160,0.000000,0.989410,0.990106,24817,True,True
A,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.004694,1-event (target-aware; non-deployable),0.001301,0.986065,13160,0.000000,0.989410,0.990106,24817,True,True
A,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001296,0.989967,13236,0.000000,0.992272,0.996888,24987,True,True
A,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001296,0.989967,13236,0.000000,0.992272,0.996888,24987,True,True
A,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001296,0.989967,13236,0.000000,0.992272,0.996888,24987,True,True
A,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001296,0.989967,13236,0.000000,0.992272,0.996888,24987,False,True
A,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.004958,1-event (target-aware; non-deployable),0.001296,0.989967,13236,0.000000,0.992272,0.996888,24987,True,True
A,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002479,1-event (target-aware; non-deployable),0.001296,0.989967,13236,0.000000,0.992272,0.996888,24987,True,True
B,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001247,0.987166,14142,0.000000,0.986542,0.991363,27432,True,True
B,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001247,0.987166,14142,0.000000,0.986542,0.991363,27432,True,True
B,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001247,0.987166,14142,0.000000,0.986542,0.991363,27432,True,True
B,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001247,0.987166,14142,0.000000,0.986542,0.991363,27432,True,True
B,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.012520,1-event (target-aware; non-deployable),0.001247,0.987166,14142,0.000000,0.986542,0.991363,27432,True,True
B,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.006260,1-event (target-aware; non-deployable),0.001247,0.987166,14142,0.000000,0.986542,0.991363,27432,True,True
B,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001277,0.963636,13184,0.000000,0.966218,0.922410,25524,True,True
B,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001277,0.963636,13184,0.000000,0.966218,0.922410,25524,True,True
B,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001277,0.963636,13184,0.000000,0.966218,0.922410,25524,True,True
B,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001277,0.963636,13184,0.000000,0.966218,0.922410,25524,True,True
B,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.042347,1-event (target-aware; non-deployable),0.001277,0.963636,13184,0.000000,0.966218,0.922410,25524,True,True
B,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.021173,1-event (target-aware; non-deployable),0.001277,0.963636,13184,0.000000,0.966218,0.922410,25524,True,True
B,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001242,0.990909,14112,0.000000,0.987641,0.988869,27363,True,True
B,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001242,0.990909,14112,0.000000,0.987641,0.988869,27363,True,True
B,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001242,0.990909,14112,0.000000,0.987641,0.988869,27363,True,True
B,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001242,0.990909,14112,0.000000,0.987641,0.988869,27363,True,True
B,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.011203,1-event (target-aware; non-deployable),0.001242,0.990909,14112,0.000000,0.987641,0.988869,27363,True,True
B,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.005602,1-event (target-aware; non-deployable),0.001242,0.990909,14112,0.000000,0.987641,0.988869,27363,True,True
B,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001238,0.994118,14193,0.000000,0.991761,0.996025,27561,True,True
B,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001238,0.994118,14193,0.000000,0.991761,0.996025,27561,True,True
B,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001238,0.994118,14193,0.000000,0.991761,0.996025,27561,True,True
B,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001238,0.994118,14193,0.000000,0.991761,0.996025,27561,True,True
B,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.005946,1-event (target-aware; non-deployable),0.001238,0.994118,14193,0.000000,0.991761,0.996025,27561,True,True
B,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002973,1-event (target-aware; non-deployable),0.001238,0.994118,14193,0.000000,0.991761,0.996025,27561,True,True
C,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001247,0.982952,13938,0.000000,0.978591,0.983714,26939,True,True
C,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001247,0.982952,13938,0.000000,0.978591,0.983714,26939,True,True
C,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001247,0.982952,13938,0.000000,0.978591,0.983714,26939,True,True
C,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001247,0.982952,13938,0.000000,0.978591,0.983714,26939,True,True
C,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.017373,1-event (target-aware; non-deployable),0.001247,0.982952,13938,0.000000,0.978591,0.983714,26939,True,True
C,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.008687,1-event (target-aware; non-deployable),0.001247,0.982952,13938,0.000000,0.978591,0.983714,26939,True,True
C,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001290,0.950453,12925,0.000000,0.954472,0.910060,24922,True,True
C,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001290,0.950453,12925,0.000000,0.954472,0.910060,24922,True,True
C,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001290,0.950453,12925,0.000000,0.954472,0.910060,24922,True,True
C,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001290,0.950453,12925,0.000000,0.954472,0.910060,24922,True,True
C,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.052584,1-event (target-aware; non-deployable),0.001290,0.950453,12925,0.000000,0.954472,0.910060,24922,True,True
C,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.026292,1-event (target-aware; non-deployable),0.001290,0.950453,12925,0.000000,0.954472,0.910060,24922,True,True
C,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001245,0.985083,13897,0.000000,0.984824,0.981559,26880,True,True
C,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001245,0.985083,13897,0.000000,0.984824,0.981559,26880,True,True
C,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001245,0.985083,13897,0.000000,0.984824,0.981559,26880,True,True
C,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001245,0.985083,13897,0.000000,0.984824,0.981559,26880,True,True
C,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.014889,1-event (target-aware; non-deployable),0.001245,0.985083,13897,0.000000,0.984824,0.981559,26880,True,True
C,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.007445,1-event (target-aware; non-deployable),0.001245,0.985083,13897,0.000000,0.984824,0.981559,26880,True,True
C,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001238,0.990410,14021,0.000000,0.990515,0.991565,27154,True,True
C,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001238,0.990410,14021,0.000000,0.990515,0.991565,27154,True,True
C,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001238,0.990410,14021,0.000000,0.990515,0.991565,27154,True,True
C,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001238,0.990410,14021,0.000000,0.990515,0.991565,27154,True,True
C,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.007185,1-event (target-aware; non-deployable),0.001238,0.990410,14021,0.000000,0.990515,0.991565,27154,True,True
C,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.003593,1-event (target-aware; non-deployable),0.001238,0.990410,14021,0.000000,0.990515,0.991565,27154,True,True
D,FAIR1M-v1.0,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.003558,1.000000,8416,0.000000,0.999181,0.994378,15035,True,True
D,FAIR1M-v1.0,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.003558,1.000000,8416,0.000000,0.999181,0.994378,15035,True,True
D,FAIR1M-v1.0,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.003558,1.000000,8416,0.000000,0.999181,0.994378,15035,False,True
D,FAIR1M-v1.0,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.003558,1.000000,8416,0.000000,0.999181,0.994378,15035,False,True
D,FAIR1M-v1.0,geometry_normalized_severe,relative_0.5_r_fit,relative,0.001529,1-event (target-aware; non-deployable),0.003558,1.000000,8416,0.000000,0.999181,0.994378,15035,True,True
D,FAIR1M-v1.0,geometry_normalized_severe,relative_0.25_r_fit,relative,0.000764,1-event (target-aware; non-deployable),0.003558,1.000000,8416,0.000000,0.999181,0.994378,15035,True,True
D,FAIR1M-v1.0,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.003569,0.996904,7531,0.000000,0.990172,0.886574,13405,True,True
D,FAIR1M-v1.0,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.003569,0.996904,7531,0.000000,0.990172,0.886574,13405,True,True
D,FAIR1M-v1.0,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.003569,0.996904,7531,0.000000,0.990172,0.886574,13405,True,True
D,FAIR1M-v1.0,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.003569,0.996904,7531,0.000000,0.990172,0.886574,13405,True,True
D,FAIR1M-v1.0,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.033535,1-event (target-aware; non-deployable),0.003569,0.996904,7531,0.000000,0.990172,0.886574,13405,True,True
D,FAIR1M-v1.0,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.016767,1-event (target-aware; non-deployable),0.003569,0.996904,7531,0.000000,0.990172,0.886574,13405,True,True
D,FAIR1M-v1.0,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.003558,1.000000,8389,0.000000,1.000000,0.989087,14955,True,True
D,FAIR1M-v1.0,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.003558,1.000000,8389,0.000000,1.000000,0.989087,14955,True,True
D,FAIR1M-v1.0,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.003558,1.000000,8389,0.000000,1.000000,0.989087,14955,True,True
D,FAIR1M-v1.0,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.003558,1.000000,8389,0.000000,1.000000,0.989087,14955,False,True
D,FAIR1M-v1.0,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.002584,1-event (target-aware; non-deployable),0.003558,1.000000,8389,0.000000,1.000000,0.989087,14955,True,True
D,FAIR1M-v1.0,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.001292,1-event (target-aware; non-deployable),0.003558,1.000000,8389,0.000000,1.000000,0.989087,14955,True,True
D,FAIR1M-v1.0,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.003558,1.000000,8442,0.000000,1.000000,0.998148,15092,False,True
D,FAIR1M-v1.0,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.003558,1.000000,8442,0.000000,1.000000,0.998148,15092,False,True
D,FAIR1M-v1.0,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.003558,1.000000,8442,0.000000,1.000000,0.998148,15092,False,True
D,FAIR1M-v1.0,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.003558,1.000000,8442,0.000000,1.000000,0.998148,15092,False,True
D,FAIR1M-v1.0,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.000338,1-event (target-aware; non-deployable),0.003558,1.000000,8442,0.000000,1.000000,0.998148,15092,True,True
D,FAIR1M-v1.0,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.000169,1-event (target-aware; non-deployable),0.003558,1.000000,8442,0.000000,1.000000,0.998148,15092,True,True
E,SODA-A,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001240,0.998924,44084,0.000000,0.999509,0.996172,100715,True,True
E,SODA-A,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001240,0.998924,44084,0.000000,0.999509,0.996172,100715,True,True
E,SODA-A,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001240,0.998924,44084,0.000000,0.999509,0.996172,100715,False,True
E,SODA-A,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001240,0.998924,44084,0.000000,0.999509,0.996172,100715,False,True
E,SODA-A,geometry_normalized_severe,relative_0.5_r_fit,relative,0.002188,1-event (target-aware; non-deployable),0.001240,0.998924,44084,0.000000,0.999509,0.996172,100715,True,True
E,SODA-A,geometry_normalized_severe,relative_0.25_r_fit,relative,0.001094,1-event (target-aware; non-deployable),0.001240,0.998924,44084,0.000000,0.999509,0.996172,100715,True,True
E,SODA-A,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001265,0.979010,40398,0.000000,0.982826,0.914957,92504,True,True
E,SODA-A,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001265,0.979010,40398,0.000000,0.982826,0.914957,92504,True,True
E,SODA-A,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001265,0.979010,40398,0.000000,0.982826,0.914957,92504,True,True
E,SODA-A,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001265,0.979010,40398,0.000000,0.982826,0.914957,92504,True,True
E,SODA-A,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.046883,1-event (target-aware; non-deployable),0.001265,0.979010,40398,0.000000,0.982826,0.914957,92504,True,True
E,SODA-A,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.023442,1-event (target-aware; non-deployable),0.001265,0.979010,40398,0.000000,0.982826,0.914957,92504,True,True
E,SODA-A,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001240,0.998924,43775,0.000000,0.997792,0.989812,100072,True,True
E,SODA-A,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001240,0.998924,43775,0.000000,0.997792,0.989812,100072,True,True
E,SODA-A,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001240,0.998924,43775,0.000000,0.997792,0.989812,100072,True,True
E,SODA-A,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001240,0.998924,43775,0.000000,0.997792,0.989812,100072,True,True
E,SODA-A,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.006752,1-event (target-aware; non-deployable),0.001240,0.998924,43775,0.000000,0.997792,0.989812,100072,True,True
E,SODA-A,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.003376,1-event (target-aware; non-deployable),0.001240,0.998924,43775,0.000000,0.997792,0.989812,100072,True,True
E,SODA-A,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001240,0.998924,44144,0.000000,0.999509,0.998032,100903,True,True
E,SODA-A,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001240,0.998924,44144,0.000000,0.999509,0.998032,100903,True,True
E,SODA-A,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001240,0.998924,44144,0.000000,0.999509,0.998032,100903,False,True
E,SODA-A,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001240,0.998924,44144,0.000000,0.999509,0.998032,100903,False,True
E,SODA-A,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.001466,1-event (target-aware; non-deployable),0.001240,0.998924,44144,0.000000,0.999509,0.998032,100903,True,True
E,SODA-A,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.000733,1-event (target-aware; non-deployable),0.001240,0.998924,44144,0.000000,0.999509,0.998032,100903,True,True
F,SODA-A,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001220,1.000000,52616,0.000000,0.998786,0.994195,120223,True,True
F,SODA-A,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001220,1.000000,52616,0.000000,0.998786,0.994195,120223,True,True
F,SODA-A,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001220,1.000000,52616,0.000000,0.998786,0.994195,120223,False,True
F,SODA-A,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001220,1.000000,52616,0.000000,0.998786,0.994195,120223,False,True
F,SODA-A,geometry_normalized_severe,relative_0.5_r_fit,relative,0.001813,1-event (target-aware; non-deployable),0.001220,1.000000,52616,0.000000,0.998786,0.994195,120223,True,True
F,SODA-A,geometry_normalized_severe,relative_0.25_r_fit,relative,0.000907,1-event (target-aware; non-deployable),0.001220,1.000000,52616,0.000000,0.998786,0.994195,120223,True,True
F,SODA-A,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001235,0.987805,47093,0.000000,0.986408,0.892421,107916,True,True
F,SODA-A,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001235,0.987805,47093,0.000000,0.986408,0.892421,107916,True,True
F,SODA-A,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001235,0.987805,47093,0.000000,0.986408,0.892421,107916,True,True
F,SODA-A,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001235,0.987805,47093,0.000000,0.986408,0.892421,107916,True,True
F,SODA-A,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.050650,1-event (target-aware; non-deployable),0.001235,0.987805,47093,0.000000,0.986408,0.892421,107916,True,True
F,SODA-A,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.025325,1-event (target-aware; non-deployable),0.001235,0.987805,47093,0.000000,0.986408,0.892421,107916,True,True
F,SODA-A,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001221,0.999470,52080,0.000000,0.997330,0.985396,119159,True,True
F,SODA-A,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001221,0.999470,52080,0.000000,0.997330,0.985396,119159,True,True
F,SODA-A,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001221,0.999470,52080,0.000000,0.997330,0.985396,119159,True,True
F,SODA-A,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001221,0.999470,52080,0.000000,0.997330,0.985396,119159,True,True
F,SODA-A,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.006526,1-event (target-aware; non-deployable),0.001221,0.999470,52080,0.000000,0.997330,0.985396,119159,True,True
F,SODA-A,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.003263,1-event (target-aware; non-deployable),0.001221,0.999470,52080,0.000000,0.997330,0.985396,119159,True,True
F,SODA-A,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,1-event (target-aware; non-deployable),0.001220,1.000000,52731,0.000000,0.999029,0.997147,120580,True,True
F,SODA-A,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,1-event (target-aware; non-deployable),0.001220,1.000000,52731,0.000000,0.999029,0.997147,120580,False,True
F,SODA-A,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,1-event (target-aware; non-deployable),0.001220,1.000000,52731,0.000000,0.999029,0.997147,120580,False,True
F,SODA-A,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,1-event (target-aware; non-deployable),0.001220,1.000000,52731,0.000000,0.999029,0.997147,120580,False,True
F,SODA-A,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.001191,1-event (target-aware; non-deployable),0.001220,1.000000,52731,0.000000,0.999029,0.997147,120580,True,True
F,SODA-A,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.000596,1-event (target-aware; non-deployable),0.001220,1.000000,52731,0.000000,0.999029,0.997147,120580,True,True
