evaluation_unit,dataset,detector,tau,aspect_ratio_bin,size_bin,n,mean_deg,median_deg,p10_deg,p90_deg,definition
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,2.1_to_3,medium,386,30.8122,30.0,18.5,42.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,2.1_to_3,small,21334,27.9811,28.0,19.0,38.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,3_to_5,all,8161,19.257,20.0,12.5,25.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,3_to_5,large,57,13.4211,13.5,10.0,16.2,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,3_to_5,medium,968,16.7164,16.5,12.0,21.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,3_to_5,small,7136,19.6482,20.5,12.5,25.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,ge5,all,1883,10.542,11.0,6.5,13.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,ge5,large,389,11.1054,11.5,8.4,13.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,ge5,medium,1044,10.3396,11.0,6.5,13.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.50,ge5,small,450,10.5244,11.0,5.5,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,all_ar21,all,31801,2.111,0.0,0.0,8.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,all_ar21,large,483,2.6708,3.0,0.0,5.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,all_ar21,medium,2398,2.599,2.0,0.0,6.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,all_ar21,small,28920,2.0612,0.0,0.0,8.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,2.1_to_3,all,21757,2.2449,0.0,0.0,8.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,2.1_to_3,large,37,5.3243,7.5,0.0,9.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,2.1_to_3,medium,386,4.0687,1.0,0.0,11.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,2.1_to_3,small,21334,2.2066,0.0,0.0,8.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,3_to_5,all,8161,1.856,0.0,0.0,6.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,3_to_5,large,57,1.4123,0.0,0.0,4.7,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,3_to_5,medium,968,2.9132,3.0,0.0,6.65,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,3_to_5,small,7136,1.7161,0.0,0.0,6.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,ge5,all,1883,1.6694,0.0,0.0,4.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,ge5,large,389,2.6028,3.0,0.0,5.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,ge5,medium,1044,1.7644,1.0,0.0,4.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
D,FAIR1M-v1.0,rotated_retinanet_psc,0.75,ge5,small,450,0.6422,0.0,0.0,3.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,all_ar21,all,197529,26.5842,28.5,13.5,36.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,all_ar21,medium,3442,18.5481,14.0,8.5,37.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,all_ar21,small,194087,26.7267,28.5,13.5,36.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,2.1_to_3,all,147924,30.2075,31.0,22.0,37.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,2.1_to_3,medium,886,34.4904,35.0,23.75,44.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,2.1_to_3,small,147038,30.1817,31.0,22.0,37.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,3_to_5,all,33167,17.3381,16.0,12.0,25.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,3_to_5,medium,1354,15.6185,15.0,11.0,21.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,3_to_5,small,31813,17.4113,16.0,12.0,25.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,ge5,all,16438,12.6341,13.0,10.0,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,ge5,medium,1202,10.0969,10.5,7.5,12.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.50,ge5,small,15236,12.8343,13.0,10.5,14.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,all_ar21,all,197529,3.1424,0.0,0.0,9.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,all_ar21,medium,3442,2.1438,0.0,0.0,7.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,all_ar21,small,194087,3.1601,0.0,0.0,9.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,2.1_to_3,all,147924,3.3974,0.0,0.0,10.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,2.1_to_3,medium,886,4.6174,3.5,0.0,11.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,2.1_to_3,small,147038,3.39,0.0,0.0,10.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,3_to_5,all,33167,2.1791,0.0,0.0,6.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,3_to_5,medium,1354,1.3933,0.0,0.0,5.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,3_to_5,small,31813,2.2125,0.0,0.0,6.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,ge5,all,16438,2.7912,3.5,0.0,5.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,ge5,medium,1202,1.166,0.0,0.0,4.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
E,SODA-A,rotated_retinanet_psc,0.75,ge5,small,15236,2.9195,3.5,0.0,5.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,all_ar21,all,235428,27.9447,30.0,14.5,37.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,all_ar21,medium,3711,19.0007,15.0,9.5,36.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,all_ar21,small,231717,28.0879,30.0,14.5,37.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,2.1_to_3,all,178871,31.5454,32.0,24.5,38.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,2.1_to_3,medium,925,33.7935,35.0,23.2,44.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,2.1_to_3,small,177946,31.5337,32.0,24.5,38.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,3_to_5,all,38866,18.2078,17.0,13.5,25.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,3_to_5,medium,1455,17.0467,17.0,12.5,22.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,3_to_5,small,37411,18.2529,17.0,13.5,26.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,ge5,all,17691,12.93,13.5,10.5,15.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,ge5,medium,1331,10.8561,11.0,9.0,13.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.50,ge5,small,16360,13.0988,13.5,11.0,15.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,all_ar21,all,235428,4.3165,4.0,0.0,10.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,all_ar21,medium,3711,3.4887,3.5,0.0,8.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,all_ar21,small,231717,4.3298,4.0,0.0,10.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,2.1_to_3,all,178871,4.6245,4.5,0.0,11.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,2.1_to_3,medium,925,5.2195,5.5,0.0,11.8,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,2.1_to_3,small,177946,4.6215,4.5,0.0,11.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,3_to_5,all,38866,3.2629,3.5,0.0,7.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,3_to_5,medium,1455,3.1777,3.5,0.0,7.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,3_to_5,small,37411,3.2662,3.5,0.0,7.0,fixed-pair actual-geometry approximation; full rematching not performed per instance
F,SODA-A,oriented_rcnn,0.75,ge5,all,17691,3.517,4.0,0.0,5.5,fixed-pair actual-geometry approximation; full rematching not performed per instance
