evaluation_unit,dataset,detector,dose_deg,prediction_identity_preserved,score_class_center_size_preserved,ar_mask,AP50,AP75,delta_AP50,delta_AP75,mean_angle_error,fixed_5deg_event_rate,geometry_severe_event_rate,full_evaluator_status,first_material_AP75_drop,AP75_knee,AP50_weak_sensitivity_range
DIOR-R/3,DIOR-R,oriented_rcnn,adaptive_tau50_boundary,True,True,historical K1 full-evaluator protocol,0.6448,0.0484,0.0,-0.3791,40.041,,,AUTHORITATIVE_K1_ADAPTIVE_ENDPOINT_NOT_A_FIXED_DOSE,adaptive endpoint exceeds 0.05 drop,not identifiable from two points,through adaptive IoU50 boundary
DIOR-R/61,DIOR-R,rotated_rtmdet_s,0,True,True,ar>=2.1,0.6462,0.4515,0,0,,,,AUTHORITATIVE_K1_BASELINE,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/61,DIOR-R,rotated_rtmdet_s,2,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/61,DIOR-R,rotated_rtmdet_s,5,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/61,DIOR-R,rotated_rtmdet_s,10,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/61,DIOR-R,rotated_rtmdet_s,15,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/61,DIOR-R,rotated_rtmdet_s,20,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/61,DIOR-R,rotated_rtmdet_s,25,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/61,DIOR-R,rotated_rtmdet_s,30,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
DIOR-R/61,DIOR-R,rotated_rtmdet_s,adaptive_tau50_boundary,True,True,historical K1 full-evaluator protocol,0.6462,0.0532,0.0,-0.3983,40.541,,,AUTHORITATIVE_K1_ADAPTIVE_ENDPOINT_NOT_A_FIXED_DOSE,adaptive endpoint exceeds 0.05 drop,not identifiable from two points,through adaptive IoU50 boundary
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,0,True,True,ar>=2.1,0.3462,0.2422,0,0,,,,AUTHORITATIVE_K1_BASELINE,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,2,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,5,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,10,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,15,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,20,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,25,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,30,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
FAIR1M-v1.0/24,FAIR1M-v1.0,rotated_retinanet_psc,adaptive_tau50_boundary,True,True,historical K1 full-evaluator protocol,0.3462,0.0665,0.0,-0.1757,36.516,,,AUTHORITATIVE_K1_ADAPTIVE_ENDPOINT_NOT_A_FIXED_DOSE,adaptive endpoint exceeds 0.05 drop,not identifiable from two points,through adaptive IoU50 boundary
SODA-A/23,SODA-A,rotated_retinanet_psc,0,True,True,ar>=2.1,0.5991,0.2735,0,0,,,,AUTHORITATIVE_K1_BASELINE,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/23,SODA-A,rotated_retinanet_psc,2,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/23,SODA-A,rotated_retinanet_psc,5,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/23,SODA-A,rotated_retinanet_psc,10,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/23,SODA-A,rotated_retinanet_psc,15,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/23,SODA-A,rotated_retinanet_psc,20,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/23,SODA-A,rotated_retinanet_psc,25,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/23,SODA-A,rotated_retinanet_psc,30,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/23,SODA-A,rotated_retinanet_psc,adaptive_tau50_boundary,True,True,historical K1 full-evaluator protocol,0.5991,0.0448,0.0,-0.22870000000000001,34.416,,,AUTHORITATIVE_K1_ADAPTIVE_ENDPOINT_NOT_A_FIXED_DOSE,adaptive endpoint exceeds 0.05 drop,not identifiable from two points,through adaptive IoU50 boundary
SODA-A/4,SODA-A,oriented_rcnn,0,True,True,ar>=2.1,0.7295,0.3805,0,0,,,,AUTHORITATIVE_K1_BASELINE,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/4,SODA-A,oriented_rcnn,2,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/4,SODA-A,oriented_rcnn,5,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/4,SODA-A,oriented_rcnn,10,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/4,SODA-A,oriented_rcnn,15,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/4,SODA-A,oriented_rcnn,20,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/4,SODA-A,oriented_rcnn,25,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/4,SODA-A,oriented_rcnn,30,True,True,ar>=2.1,,,,,,,,NOT_RUN_COMPLETE_GRID_REQUIRES_COMPLETE_RAW_PREDICTIONS_FOR_ALL_SIX_UNITS,NOT_IDENTIFIED,NOT_IDENTIFIED,ONLY_ADAPTIVE_BOUNDARY_EVIDENCE
SODA-A/4,SODA-A,oriented_rcnn,adaptive_tau50_boundary,True,True,historical K1 full-evaluator protocol,0.7295,0.0278,0.0,-0.3527,35.893,,,AUTHORITATIVE_K1_ADAPTIVE_ENDPOINT_NOT_A_FIXED_DOSE,adaptive endpoint exceeds 0.05 drop,not identifiable from two points,through adaptive IoU50 boundary
DOTA-v1.0/orcnn,DOTA-v1.0,oriented_rcnn,0,True,True,ar>=2.1,0.7061,0.4517,0,0,,,,AUTHORITATIVE_CLEAN_BASELINE,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/orcnn,DOTA-v1.0,oriented_rcnn,2,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/orcnn,DOTA-v1.0,oriented_rcnn,5,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/orcnn,DOTA-v1.0,oriented_rcnn,10,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/orcnn,DOTA-v1.0,oriented_rcnn,15,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/orcnn,DOTA-v1.0,oriented_rcnn,20,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/orcnn,DOTA-v1.0,oriented_rcnn,25,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/orcnn,DOTA-v1.0,oriented_rcnn,30,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/rtmdet,DOTA-v1.0,rotated_rtmdet_m,0,True,True,ar>=2.1,0.7161,0.4868,0,0,,,,AUTHORITATIVE_CLEAN_BASELINE,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/rtmdet,DOTA-v1.0,rotated_rtmdet_m,2,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/rtmdet,DOTA-v1.0,rotated_rtmdet_m,5,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/rtmdet,DOTA-v1.0,rotated_rtmdet_m,10,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/rtmdet,DOTA-v1.0,rotated_rtmdet_m,15,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/rtmdet,DOTA-v1.0,rotated_rtmdet_m,20,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/rtmdet,DOTA-v1.0,rotated_rtmdet_m,25,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
DOTA-v1.0/rtmdet,DOTA-v1.0,rotated_rtmdet_m,30,False,False,ar>=2.1,,,,,,,,NOT_RUN_NO_COMPLETE_PERSISTENT_RAW_PREDICTION_DUMP,NOT_IDENTIFIED,NOT_IDENTIFIED,NOT_IDENTIFIED
