evaluation_unit,dataset,detector,score,risk_endpoint,alpha_label,alpha_type,r_fit,base_risk,alpha,alpha_gt_base_risk,trivial_guarantee,selected_threshold,target_coverage,certified_risk_ucb,mean_calibration_risk,mean_audit_risk,audit_risk_ucb,nonempty_scene_rate,selected_instance_coverage,selected_count,calibration_scene_count,audit_scene_count,feasible,certified,nontrivial_certified,practical,reason
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.005,absolute,0.020007,0.020007,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,absolute_0.01,absolute,0.020007,0.020007,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,relative_0.5_r_fit,relative,0.020007,0.020007,0.010003,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,geometry_normalized_severe,relative_0.25_r_fit,relative,0.020007,0.020007,0.005002,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.001,absolute,0.081887,0.081887,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.0025,absolute,0.081887,0.081887,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.005,absolute,0.081887,0.081887,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,absolute_0.01,absolute,0.081887,0.081887,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.081887,0.081887,0.040944,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.081887,0.081887,0.020472,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,absolute_0.001,absolute,0.081887,0.081887,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,absolute_0.0025,absolute,0.081887,0.081887,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,absolute_0.005,absolute,0.081887,0.081887,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,absolute_0.01,absolute,0.081887,0.081887,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.081887,0.081887,0.040944,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.081887,0.081887,0.020472,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,absolute_0.001,absolute,0.081887,0.081887,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,absolute_0.0025,absolute,0.081887,0.081887,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,absolute_0.005,absolute,0.081887,0.081887,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,absolute_0.01,absolute,0.081887,0.081887,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.081887,0.081887,0.040944,False,False,-1.195240,0.025000,0.031987,0.011811,0.017688,0.034297,0.130796,0.025773,646,1794,3494,True,True,True,False,certified
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.081887,0.081887,0.020472,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,absolute_0.001,absolute,0.081887,0.081887,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,absolute_0.0025,absolute,0.081887,0.081887,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,absolute_0.005,absolute,0.081887,0.081887,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,absolute_0.01,absolute,0.081887,0.081887,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.081887,0.081887,0.040944,False,False,-1.613411,0.500000,0.035814,0.025076,0.021787,0.028431,0.613051,0.498344,12491,1794,3494,True,True,True,True,certified
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.081887,0.081887,0.020472,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,absolute_0.001,absolute,0.018776,0.018776,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,absolute_0.0025,absolute,0.018776,0.018776,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,absolute_0.005,absolute,0.018776,0.018776,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,absolute_0.01,absolute,0.018776,0.018776,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.018776,0.018776,0.009388,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.018776,0.018776,0.004694,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,absolute_0.001,absolute,0.018776,0.018776,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,absolute_0.0025,absolute,0.018776,0.018776,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,absolute_0.005,absolute,0.018776,0.018776,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,absolute_0.01,absolute,0.018776,0.018776,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.018776,0.018776,0.009388,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.018776,0.018776,0.004694,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,absolute_0.001,absolute,0.018776,0.018776,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,absolute_0.0025,absolute,0.018776,0.018776,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,absolute_0.005,absolute,0.018776,0.018776,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,absolute_0.01,absolute,0.018776,0.018776,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.018776,0.018776,0.009388,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.018776,0.018776,0.004694,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,absolute_0.001,absolute,0.018776,0.018776,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,absolute_0.0025,absolute,0.018776,0.018776,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,absolute_0.005,absolute,0.018776,0.018776,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,absolute_0.01,absolute,0.018776,0.018776,0.010000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.018776,0.018776,0.009388,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.018776,0.018776,0.004694,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,absolute_0.001,absolute,0.009917,0.009917,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,absolute_0.0025,absolute,0.009917,0.009917,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,absolute_0.005,absolute,0.009917,0.009917,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,absolute_0.01,absolute,0.009917,0.009917,0.010000,True,True,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.009917,0.009917,0.004958,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,detection_score,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.009917,0.009917,0.002479,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,absolute_0.001,absolute,0.009917,0.009917,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,absolute_0.0025,absolute,0.009917,0.009917,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,absolute_0.005,absolute,0.009917,0.009917,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,absolute_0.01,absolute,0.009917,0.009917,0.010000,True,True,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.009917,0.009917,0.004958,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,tta_circular_consistency,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.009917,0.009917,0.002479,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,absolute_0.001,absolute,0.009917,0.009917,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,absolute_0.0025,absolute,0.009917,0.009917,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,absolute_0.005,absolute,0.009917,0.009917,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,absolute_0.01,absolute,0.009917,0.009917,0.010000,True,True,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.009917,0.009917,0.004958,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,source_supervised_leave_geometry,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.009917,0.009917,0.002479,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_15deg,absolute_0.001,absolute,0.009917,0.009917,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_15deg,absolute_0.0025,absolute,0.009917,0.009917,0.002500,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_15deg,absolute_0.005,absolute,0.009917,0.009917,0.005000,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_15deg,absolute_0.01,absolute,0.009917,0.009917,0.010000,True,True,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.009917,0.009917,0.004958,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
A,DIOR-R,rotated_retinanet_psc,target_gt_nonlinear_geometry_upper_bound,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.009917,0.009917,0.002479,False,False,,0.000000,,,,,0.000000,0.000000,0,1794,3494,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
B,DIOR-R,oriented_rcnn,detection_score,geometry_normalized_severe,absolute_0.001,absolute,0.025040,0.025040,0.001000,False,False,,0.000000,,,,,0.000000,0.000000,0,1870,3641,False,False,False,False,no fixed-sequence candidate satisfies conditional scene-risk UCB
