candidate_id,checkpoint_sha256,same_hash_candidates,repository_checkpoint_hit,repository_config_hit,prior_prediction_or_result_path_hit,protocol_participation,prior_outcome_exposure,known_internal_old_project_overlap,selection_lineage,status,first_failed_gate,evidence
DIOR-R|registered|RotatedRetinaNet|PSC|seed2|dd1068986f47,dd1068986f47a1e5040ac9b14b3de6332805c5e8331b867806d0084266b5ff35,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|direct_regression_le90|seed0|9121ae7940f3,9121ae7940f364a7e8db24e185c32fb9f709d61f4fc464f0d075b3ed40d6c033,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|direct_regression_le90|seed1|3ce0cd835cf9,3ce0cd835cf9f88dc6acc19bf08905f3a5b02cd1e513cb9137a9ed1767dbe28a,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DIOR-R|registered|RotatedRetinaNet|direct_regression_le90|seed2|2c8a0d1a2af9,2c8a0d1a2af9221679e9c05a7fd37688ebeaac1511789255ab14e28822abb072,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
DOTA|v1.0|RHINO|positive Hungarian classification head|seed42|55a90abbace4,55a90abbace429276e593f8e4418fad002240ff1951912172367d997b474f9d9,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,prior persistent prediction/reliability lineage
DOTA|v1.0|RotatedFCOS|PSCD dual-frequency|seed0|e2b7edcc3041,e2b7edcc30417384ada93a8cc08889c3912b710b051640b586531958ac5c965a,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,B4 external candidate and intervention outcomes
DOTA|v1.0|RotatedFCOS|PSCD dual-frequency|seed1|c6991079cc1a,c6991079cc1ae72bd2508349c27312b6f844d387f7987184a36f5931ab9bb0e2,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,B4 external candidate and intervention outcomes
DOTA|v1.0|RotatedFCOS|PSCD dual-frequency|seed2|f60d06dfbaa8,f60d06dfbaa8db0b2b1f15497777eba50d5fd8009c7c42e6aba9ceadbd67dda7,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,B4 external candidate and intervention outcomes
DOTA|v1.5|RotatedRTDETR|direct le90 query head|seed42|3e32fa11114c,3e32fa11114ced82c2fb5ecdb25031ff45c1d2815b034a315b1af11ef8487e32,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,A4 host perturbation/design asset
FAIR1M|v1.0|RotatedRetinaNet|CSL|seed0|b5884ea5d830,b5884ea5d830607c72d8d33a389f59e7c7eab66cb141e8793a06b6c6a8cea712,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,M4 third-dataset evaluation and native-score analysis
FAIR1M|v1.0|RotatedRetinaNet|CSL|seed1|088ef67e666c,088ef67e666cee806448f85eeb1c9fd423bd43a3f1e6e912044ae3137c40ff55,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,M4 third-dataset evaluation and native-score analysis
FAIR1M|v1.0|RotatedRetinaNet|CSL|seed2|a984d18eb13c,a984d18eb13c074951ae5ac73b92302aede1a0fe5dc787f5292f7357ddd1a2d1,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,M4 third-dataset evaluation and native-score analysis
FAIR1M|v1.0|RotatedRetinaNet|DCL|seed0|fdfbcaadd376,fdfbcaadd3769b137e0249fa228b5a7686070f07b65b24308d13f35c8aa8348d,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,M4 third-dataset evaluation and native-score analysis
FAIR1M|v1.0|RotatedRetinaNet|DCL|seed1|acfe76992f7f,acfe76992f7f19ff9cb439be8fc56191d1a1147cc4b7e1ea58e2df495b7a31c4,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,M4 third-dataset evaluation and native-score analysis
FAIR1M|v1.0|RotatedRetinaNet|DCL|seed2|655503dd7f77,655503dd7f7787511f185477d5b067c9c05fbd8e534658858f498c3d7838a24b,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,M4 third-dataset evaluation and native-score analysis
FAIR1M|v1.0|RotatedRetinaNet|PSC|seed0|194de87e7224,194de87e72248cc15e6941e040e7d8660cdf3615685fd462deca1d7946cb75a1,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,M4 third-dataset evaluation and native-score analysis
FAIR1M|v1.0|RotatedRetinaNet|PSC|seed1|e1e3b1ae09ac,e1e3b1ae09ac4acba91f76cce601d5288b4b357df2eb113793b4129bf83cda9a,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,M4 third-dataset evaluation and native-score analysis
FAIR1M|v1.0|RotatedRetinaNet|PSC|seed2|60d0d05b3f78,60d0d05b3f78755429363261414917a3d44e3f664ac5f6ae0a78cb864899de36,,True,True,True,True,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,M4 third-dataset evaluation and native-score analysis
SODA-A|registered|RotatedRetinaNet|CSL|seed0|b777eb8fa651,b777eb8fa6516adb10acd2887d968560d85e6a0b08d32842f5af9c4f1e987241,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|CSL|seed1|60892eef4b9d,60892eef4b9d8beb8b3171359ba5d204b46d6fa80fcce446a54ec147728a1ea9,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|CSL|seed2|fa075ed3087b,fa075ed3087bcaa1d0b8bbd8664f32bdb400f1f792bac9283fdb1dcec4daee3b,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|DCL|seed0|cf63e803ff3e,cf63e803ff3e26ede1c7cdfeb3347a814b77c76f1bd5c0e87705de347d35bcd1,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|DCL|seed1|76e6f54db65e,76e6f54db65e637b5f84a473784d21e3177c9e71f1b2203ca2e8426f8c853504,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|DCL|seed2|d7f6ab834c87,d7f6ab834c87372e1dd24906cc348eda0c335ef24f50d1bf8b61a29db4fd24b6,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|PSC|seed0|709dd4a3cf70,709dd4a3cf70c80ff3b89f6a896f4769f47b7b50174583a8cb798aa957e9b25e,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|PSC|seed1|29b4a959cde7,29b4a959cde7ecda42f02022d4532aaa6fd2143346413082d09eaf7c8120f085,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|PSC|seed2|6af6f1b924c8,6af6f1b924c8f04e8c883364384b4171be6e5d8016012dddeb4fdd18cba36731,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|direct_regression_le90|seed0|34c143c476d4,34c143c476d4a905ea6c27d2a66eab45cf97a8171fae8e48946acc81ecd18457,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|direct_regression_le90|seed1|d707407a1841,d707407a18414c81a2839dc1104b27682104c547a4df58443f7cd19eaad7e329,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
SODA-A|registered|RotatedRetinaNet|direct_regression_le90|seed2|2a51b7b15906,2a51b7b15906053496b5aede03de8aff42eb955c0b339dd3d354252870715240,,True,True,False,True,False,NOT_READ; identity remains UNKNOWN and cannot support PASS,best detector mAP checkpoint; target risk not used for checkpoint selection,EXCLUDED,PRIOR_OUTCOME_OR_PROTOCOL_PARTICIPATION,K2 full-converged angle-head and native-score outcomes
Strip-RCNN_DIOR-R/47,,,False,False,True,False,True,NOT_READ; identity remains UNKNOWN and cannot support PASS,historical detector criterion; exact source unavailable,EXCLUDED,PRIOR_OUTCOME_EXPOSURE,5859-image legacy universe; prior NRC inspected
