evaluation_unit,dataset,score,risk_endpoint,alpha_label,alpha,grid_index,target_coverage,threshold,fit_nonempty_scenes,fit_conditional_risk,fit_hb_pvalue,ordering_tuple,split_fst_order,calibration_nonempty_scenes,calibration_conditional_risk,calibration_hb_pvalue,split_fst_pass,historical_pass,holm_pass,any_grid_pointwise_pass,scene_event_k,scene_event_n,scene_event_hb_scalar,scene_event_hb_exact_integer,scene_event_exact_match
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,11,0.900000,0.182900,1480,0.015987,1.000000,"(1,-1480,-0.90000000000000002,11)",6,1612,0.015052,1.000000,False,False,False,False,53,1612,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.001,0.001000,12,1.000000,0.050030,1673,0.020007,1.000000,"(1,-1673,-1,12)",5,1794,0.018426,1.000000,False,False,False,False,76,1794,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,0,0.010000,0.998718,49,0.000000,0.884570,"(0.88457021953077741,-49,-0.01,0)",4,54,0.000000,0.873568,False,False,False,False,0,54,0.873568,0.873568,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,1,0.025000,0.997215,107,0.000000,0.765034,"(0.76503405415125669,-107,-0.025000000000000001,1)",3,107,0.000000,0.765034,False,False,False,False,0,107,0.765034,0.765034,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,2,0.050000,0.992413,184,0.000000,0.630920,"(0.63092015861028461,-184,-0.050000000000000003,2)",2,175,0.000000,0.645295,False,False,False,False,0,175,0.645295,0.645295,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,3,0.100000,0.977553,352,0.000000,0.414326,"(0.41432614360687564,-352,-0.10000000000000001,3)",1,352,0.000000,0.414326,False,False,False,False,0,352,0.414326,0.414326,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,4,0.200000,0.946557,508,0.000000,0.280385,"(0.28038541523864269,-508,-0.20000000000000001,4)",0,507,0.000000,0.281088,False,False,False,False,0,507,0.281088,0.281088,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,5,0.300000,0.907102,588,0.002011,0.970239,"(0.97023935846479559,-588,-0.29999999999999999,5)",5,591,0.000019,0.243499,False,False,False,False,1,591,0.916364,0.916364,True
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,6,0.400000,0.846244,664,0.003208,1.000000,"(1,-664,-0.40000000000000002,6)",12,682,0.000032,0.203710,False,False,False,False,2,682,1.000000,0.976063,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,7,0.500000,0.741407,770,0.004482,1.000000,"(1,-770,-0.5,7)",11,798,0.000049,0.164469,False,False,False,False,5,798,1.000000,0.202980,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,8,0.600000,0.593042,914,0.011465,1.000000,"(1,-914,-0.59999999999999998,8)",10,965,0.008974,1.000000,False,False,False,False,19,965,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,9,0.700000,0.443605,1062,0.014613,1.000000,"(1,-1062,-0.69999999999999996,9)",9,1145,0.014668,1.000000,False,False,False,False,30,1145,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,10,0.800000,0.313010,1253,0.014229,1.000000,"(1,-1253,-0.80000000000000004,10)",8,1361,0.012495,1.000000,False,False,False,False,35,1361,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,11,0.900000,0.182900,1480,0.015987,1.000000,"(1,-1480,-0.90000000000000002,11)",7,1612,0.015052,1.000000,False,False,False,False,53,1612,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.0025,0.002500,12,1.000000,0.050030,1673,0.020007,1.000000,"(1,-1673,-1,12)",6,1794,0.018426,1.000000,False,False,False,False,76,1794,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,0,0.010000,0.998718,49,0.000000,0.782224,"(0.78222367634038326,-49,-0.01,0)",5,54,0.000000,0.762863,False,False,False,False,0,54,0.762863,0.762863,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,1,0.025000,0.997215,107,0.000000,0.584884,"(0.58488386511912827,-107,-0.025000000000000001,1)",4,107,0.000000,0.584884,False,False,False,False,0,107,0.584884,0.584884,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,2,0.050000,0.992413,184,0.000000,0.397600,"(0.39760044251382487,-184,-0.050000000000000003,2)",2,175,0.000000,0.415948,False,False,False,False,0,175,0.415948,0.415948,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,3,0.100000,0.977553,352,0.000000,0.171287,"(0.17128700909708661,-352,-0.10000000000000001,3)",1,352,0.000000,0.171287,False,False,False,False,0,352,0.171287,0.171287,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,4,0.200000,0.946557,508,0.000000,0.078366,"(0.078365520766243577,-508,-0.20000000000000001,4)",0,507,0.000000,0.078759,True,False,False,True,0,507,0.078759,0.078759,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,5,0.300000,0.907102,588,0.002011,0.505046,"(0.505046398880584,-588,-0.29999999999999999,5)",3,591,0.000019,0.055699,False,False,False,True,1,591,0.416967,0.416967,True
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,6,0.400000,0.846244,664,0.003208,0.782256,"(0.78225574417282606,-664,-0.40000000000000002,6)",6,682,0.000032,0.037349,False,False,False,True,2,682,0.708692,0.708692,True
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,7,0.500000,0.741407,770,0.004482,0.978739,"(0.97873894012945928,-770,-0.5,7)",7,798,0.000049,0.022813,False,False,False,True,5,798,1.000000,0.887918,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,8,0.600000,0.593042,914,0.011465,1.000000,"(1,-914,-0.59999999999999998,8)",12,965,0.008974,1.000000,False,False,False,False,19,965,1.000000,0.000006,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,9,0.700000,0.443605,1062,0.014613,1.000000,"(1,-1062,-0.69999999999999996,9)",11,1145,0.014668,1.000000,False,False,False,False,30,1145,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,10,0.800000,0.313010,1253,0.014229,1.000000,"(1,-1253,-0.80000000000000004,10)",10,1361,0.012495,1.000000,False,False,False,False,35,1361,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,11,0.900000,0.182900,1480,0.015987,1.000000,"(1,-1480,-0.90000000000000002,11)",9,1612,0.015052,1.000000,False,False,False,False,53,1612,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.005,0.005000,12,1.000000,0.050030,1673,0.020007,1.000000,"(1,-1673,-1,12)",8,1794,0.018426,1.000000,False,False,False,False,76,1794,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,0,0.010000,0.998718,49,0.000000,0.611117,"(0.61111724025261172,-49,-0.01,0)",7,54,0.000000,0.581166,False,False,False,False,0,54,0.581166,0.581166,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,1,0.025000,0.997215,107,0.000000,0.341166,"(0.34116606239146463,-107,-0.025000000000000001,1)",6,107,0.000000,0.341166,False,False,False,False,0,107,0.341166,0.341166,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,2,0.050000,0.992413,184,0.000000,0.157353,"(0.15735328280369898,-184,-0.050000000000000003,2)",4,175,0.000000,0.172250,False,False,False,False,0,175,0.172250,0.172250,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,3,0.100000,0.977553,352,0.000000,0.029080,"(0.029079604931833865,-352,-0.10000000000000001,3)",1,352,0.000000,0.029080,True,False,False,True,0,352,0.029080,0.029080,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,4,0.200000,0.946557,508,0.000000,0.006063,"(0.0060628784412456475,-508,-0.20000000000000001,4)",0,507,0.000000,0.006124,True,False,True,True,0,507,0.006124,0.006124,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,5,0.300000,0.907102,588,0.002011,0.059624,"(0.059624040248452075,-588,-0.29999999999999999,5)",2,591,0.000019,0.002859,True,False,True,True,1,591,0.042685,0.042685,True
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,6,0.400000,0.846244,664,0.003208,0.122046,"(0.12204581397997893,-664,-0.40000000000000002,6)",3,682,0.000032,0.001221,True,False,True,True,2,682,0.090561,0.090561,True
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,7,0.500000,0.741407,770,0.004482,0.225174,"(0.22517354316699709,-770,-0.5,7)",5,798,0.000049,0.000421,False,False,True,True,5,798,0.521079,0.521079,True
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,8,0.600000,0.593042,914,0.011465,1.000000,"(1,-914,-0.59999999999999998,8)",12,965,0.008974,0.948296,False,False,False,False,19,965,1.000000,0.028211,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,9,0.700000,0.443605,1062,0.014613,1.000000,"(1,-1062,-0.69999999999999996,9)",11,1145,0.014668,1.000000,False,False,False,False,30,1145,1.000000,0.000028,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,10,0.800000,0.313010,1253,0.014229,1.000000,"(1,-1253,-0.80000000000000004,10)",10,1361,0.012495,1.000000,False,False,False,False,35,1361,1.000000,0.000007,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,11,0.900000,0.182900,1480,0.015987,1.000000,"(1,-1480,-0.90000000000000002,11)",9,1612,0.015052,1.000000,False,False,False,False,53,1612,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,absolute_0.01,0.010000,12,1.000000,0.050030,1673,0.020007,1.000000,"(1,-1673,-1,12)",8,1794,0.018426,1.000000,False,False,False,False,76,1794,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,0,0.010000,0.998718,49,0.000000,0.611015,"(0.61101511880404369,-49,-0.01,0)",7,54,0.000000,0.581059,False,False,False,False,0,54,0.581059,0.581059,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,1,0.025000,0.997215,107,0.000000,0.341042,"(0.34104158141160323,-107,-0.025000000000000001,1)",6,107,0.000000,0.341042,False,False,False,False,0,107,0.341042,0.341042,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,2,0.050000,0.992413,184,0.000000,0.157255,"(0.15725456624518025,-184,-0.050000000000000003,2)",4,175,0.000000,0.172147,False,False,False,False,0,175,0.172147,0.172147,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,3,0.100000,0.977553,352,0.000000,0.029045,"(0.029044714757593532,-352,-0.10000000000000001,3)",1,352,0.000000,0.029045,True,False,False,True,0,352,0.029045,0.029045,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,4,0.200000,0.946557,508,0.000000,0.006052,"(0.0060523830401654957,-508,-0.20000000000000001,4)",0,507,0.000000,0.006114,True,False,True,True,0,507,0.006114,0.006114,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,5,0.300000,0.907102,588,0.002011,0.059529,"(0.059528587651304074,-588,-0.29999999999999999,5)",2,591,0.000019,0.002853,True,False,True,True,1,591,0.042614,0.042614,True
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,6,0.400000,0.846244,664,0.003208,0.121858,"(0.12185822451725782,-664,-0.40000000000000002,6)",3,682,0.000032,0.001218,True,False,True,True,2,682,0.090404,0.090404,True
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,7,0.500000,0.741407,770,0.004482,0.224847,"(0.22484744987365801,-770,-0.5,7)",5,798,0.000049,0.000420,False,False,True,True,5,798,0.520403,0.520403,True
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,8,0.600000,0.593042,914,0.011465,1.000000,"(1,-914,-0.59999999999999998,8)",12,965,0.008974,0.947975,False,False,False,False,19,965,1.000000,0.028301,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,9,0.700000,0.443605,1062,0.014613,1.000000,"(1,-1062,-0.69999999999999996,9)",11,1145,0.014668,1.000000,False,False,False,False,30,1145,1.000000,0.000028,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,10,0.800000,0.313010,1253,0.014229,1.000000,"(1,-1253,-0.80000000000000004,10)",10,1361,0.012495,1.000000,False,False,False,False,35,1361,1.000000,0.000007,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,11,0.900000,0.182900,1480,0.015987,1.000000,"(1,-1480,-0.90000000000000002,11)",9,1612,0.015052,1.000000,False,False,False,False,53,1612,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.5_r_fit,0.010003,12,1.000000,0.050030,1673,0.020007,1.000000,"(1,-1673,-1,12)",8,1794,0.018426,1.000000,False,False,False,False,76,1794,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,0,0.010000,0.998718,49,0.000000,0.782159,"(0.7821586449005743,-49,-0.01,0)",6,54,0.000000,0.762793,False,False,False,False,0,54,0.762793,0.762793,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,1,0.025000,0.997215,107,0.000000,0.584778,"(0.58477768862483281,-107,-0.025000000000000001,1)",4,107,0.000000,0.584778,False,False,False,False,0,107,0.584778,0.584778,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,2,0.050000,0.992413,184,0.000000,0.397476,"(0.39747633122757731,-184,-0.050000000000000003,2)",2,175,0.000000,0.415825,False,False,False,False,0,175,0.415825,0.415825,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,3,0.100000,0.977553,352,0.000000,0.171185,"(0.17118473826475511,-352,-0.10000000000000001,3)",1,352,0.000000,0.171185,False,False,False,False,0,352,0.171185,0.171185,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,4,0.200000,0.946557,508,0.000000,0.078298,"(0.078298003326224927,-508,-0.20000000000000001,4)",0,507,0.000000,0.078692,True,False,False,True,0,507,0.078692,0.078692,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,5,0.300000,0.907102,588,0.002011,0.504745,"(0.50474525017819494,-588,-0.29999999999999999,5)",3,591,0.000019,0.055643,False,False,False,True,1,591,0.416691,0.416691,True
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,6,0.400000,0.846244,664,0.003208,0.781940,"(0.78193988635872191,-664,-0.40000000000000002,6)",5,682,0.000032,0.037306,False,False,False,True,2,682,0.708353,0.708353,True
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,7,0.500000,0.741407,770,0.004482,0.978606,"(0.97860636395900691,-770,-0.5,7)",7,798,0.000049,0.022782,False,False,False,True,5,798,1.000000,0.888222,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,8,0.600000,0.593042,914,0.011465,1.000000,"(1,-914,-0.59999999999999998,8)",12,965,0.008974,1.000000,False,False,False,False,19,965,1.000000,0.000006,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,9,0.700000,0.443605,1062,0.014613,1.000000,"(1,-1062,-0.69999999999999996,9)",11,1145,0.014668,1.000000,False,False,False,False,30,1145,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,10,0.800000,0.313010,1253,0.014229,1.000000,"(1,-1253,-0.80000000000000004,10)",10,1361,0.012495,1.000000,False,False,False,False,35,1361,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,11,0.900000,0.182900,1480,0.015987,1.000000,"(1,-1480,-0.90000000000000002,11)",9,1612,0.015052,1.000000,False,False,False,False,53,1612,1.000000,0.000000,False
A,DIOR-R,detection_score,geometry_normalized_severe,relative_0.25_r_fit,0.005002,12,1.000000,0.050030,1673,0.020007,1.000000,"(1,-1673,-1,12)",8,1794,0.018426,1.000000,False,False,False,False,76,1794,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,0,0.010000,-0.000000,92,0.000000,0.912063,"(0.91206316750514171,-92,-0.01,0)",0,83,0.048193,1.000000,False,False,False,False,4,83,1.000000,0.000008,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,1,0.025000,-0.000001,191,0.010471,1.000000,"(1,-191,-0.025000000000000001,1)",12,197,0.030457,1.000000,False,False,False,False,6,197,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,2,0.050000,-0.000002,302,0.019868,1.000000,"(1,-302,-0.050000000000000003,2)",11,330,0.019697,1.000000,False,False,False,False,7,330,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,3,0.100000,-0.000005,459,0.017429,1.000000,"(1,-459,-0.10000000000000001,3)",10,518,0.023488,1.000000,False,False,False,False,13,518,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,4,0.200000,-0.000012,652,0.016871,1.000000,"(1,-652,-0.20000000000000001,4)",9,717,0.019526,1.000000,False,False,False,False,16,717,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,5,0.300000,-0.000024,803,0.016189,1.000000,"(1,-803,-0.29999999999999999,5)",8,903,0.020276,1.000000,False,False,False,False,22,903,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,6,0.400000,-0.000043,947,0.014608,1.000000,"(1,-947,-0.40000000000000002,6)",7,1037,0.018544,1.000000,False,False,False,False,23,1037,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,7,0.500000,-0.000079,1103,0.012794,1.000000,"(1,-1103,-0.5,7)",6,1211,0.017190,1.000000,False,False,False,False,26,1211,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,8,0.600000,-0.000147,1254,0.013519,1.000000,"(1,-1254,-0.59999999999999998,8)",5,1353,0.015465,1.000000,False,False,False,False,28,1353,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,9,0.700000,-0.000276,1361,0.014607,1.000000,"(1,-1361,-0.69999999999999996,9)",4,1489,0.013810,1.000000,False,False,False,False,30,1489,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,10,0.800000,-0.000493,1471,0.014674,1.000000,"(1,-1471,-0.80000000000000004,10)",3,1583,0.014055,1.000000,False,False,False,False,37,1583,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,11,0.900000,-0.001071,1563,0.014093,1.000000,"(1,-1563,-0.90000000000000002,11)",2,1677,0.013408,1.000000,False,False,False,False,44,1677,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.001,0.001000,12,1.000000,-1.999997,1673,0.020007,1.000000,"(1,-1673,-1,12)",1,1794,0.018426,1.000000,False,False,False,False,76,1794,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,0,0.010000,-0.000000,92,0.000000,0.794305,"(0.79430482726109919,-92,-0.01,0)",0,83,0.048193,1.000000,False,False,False,False,4,83,1.000000,0.000294,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,1,0.025000,-0.000001,191,0.010471,1.000000,"(1,-191,-0.025000000000000001,1)",12,197,0.030457,1.000000,False,False,False,False,6,197,1.000000,0.000070,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,2,0.050000,-0.000002,302,0.019868,1.000000,"(1,-302,-0.050000000000000003,2)",11,330,0.019697,1.000000,False,False,False,False,7,330,1.000000,0.000143,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,3,0.100000,-0.000005,459,0.017429,1.000000,"(1,-459,-0.10000000000000001,3)",10,518,0.023488,1.000000,False,False,False,False,13,518,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,4,0.200000,-0.000012,652,0.016871,1.000000,"(1,-652,-0.20000000000000001,4)",9,717,0.019526,1.000000,False,False,False,False,16,717,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,5,0.300000,-0.000024,803,0.016189,1.000000,"(1,-803,-0.29999999999999999,5)",8,903,0.020276,1.000000,False,False,False,False,22,903,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,6,0.400000,-0.000043,947,0.014608,1.000000,"(1,-947,-0.40000000000000002,6)",7,1037,0.018544,1.000000,False,False,False,False,23,1037,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,7,0.500000,-0.000079,1103,0.012794,1.000000,"(1,-1103,-0.5,7)",6,1211,0.017190,1.000000,False,False,False,False,26,1211,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,8,0.600000,-0.000147,1254,0.013519,1.000000,"(1,-1254,-0.59999999999999998,8)",5,1353,0.015465,1.000000,False,False,False,False,28,1353,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,9,0.700000,-0.000276,1361,0.014607,1.000000,"(1,-1361,-0.69999999999999996,9)",4,1489,0.013810,1.000000,False,False,False,False,30,1489,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,10,0.800000,-0.000493,1471,0.014674,1.000000,"(1,-1471,-0.80000000000000004,10)",3,1583,0.014055,1.000000,False,False,False,False,37,1583,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,11,0.900000,-0.001071,1563,0.014093,1.000000,"(1,-1563,-0.90000000000000002,11)",2,1677,0.013408,1.000000,False,False,False,False,44,1677,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.0025,0.002500,12,1.000000,-1.999997,1673,0.020007,1.000000,"(1,-1673,-1,12)",1,1794,0.018426,1.000000,False,False,False,False,76,1794,1.000000,0.000000,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,0,0.010000,-0.000000,92,0.000000,0.630556,"(0.63055566170943611,-92,-0.01,0)",0,83,0.048193,1.000000,False,False,False,False,4,83,1.000000,0.003860,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,1,0.025000,-0.000001,191,0.010471,1.000000,"(1,-191,-0.025000000000000001,1)",12,197,0.030457,1.000000,False,False,False,False,6,197,1.000000,0.002764,False
A,DIOR-R,tta_circular_consistency,geometry_normalized_severe,absolute_0.005,0.005000,2,0.050000,-0.000002,302,0.019868,1.000000,"(1,-302,-0.050000000000000003,2)",11,330,0.019697,1.000000,False,False,False,False,7,330,1.000000,0.008150,False
