evaluation_unit,dataset,risk_endpoint,alpha_label,alpha_type,alpha,eligible_calibration_scenes,zero_risk_scenes,all_event_scenes,scene_order_sha256,search_n_start,search_n_end,searched_n_count,chosen_n_delta_0.1,chosen_mean_delta_0.1,min_hb_ucb_delta_0.1,feasible_delta_0.1,chosen_n_delta_0.05,chosen_mean_delta_0.05,min_hb_ucb_delta_0.05,feasible_delta_0.05,chosen_n_delta_0.01,chosen_mean_delta_0.01,min_hb_ucb_delta_0.01,feasible_delta_0.01
A,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.004694,1794,1769,25,c086de0c8d1d355f1af3793706897801ba72cadf9fe8b588213a9d5e28b109c8,1,1794,1794,1769,0.000000,0.001301,True,1769,0.000000,0.001692,True,1769,0.000000,0.002600,True
A,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,1794,1776,18,9d32b2dfc9ea20ce89ab9a3dce4635f1fbebe2b908fc6806137f7fb287e18b99,1,1794,1794,1776,0.000000,0.001296,False,1776,0.000000,0.001685,False,1776,0.000000,0.002590,False
A,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,1794,1776,18,9d32b2dfc9ea20ce89ab9a3dce4635f1fbebe2b908fc6806137f7fb287e18b99,1,1794,1794,1776,0.000000,0.001296,True,1776,0.000000,0.001685,True,1776,0.000000,0.002590,False
A,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,1794,1776,18,9d32b2dfc9ea20ce89ab9a3dce4635f1fbebe2b908fc6806137f7fb287e18b99,1,1794,1794,1776,0.000000,0.001296,True,1776,0.000000,0.001685,True,1776,0.000000,0.002590,True
A,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,1794,1776,18,9d32b2dfc9ea20ce89ab9a3dce4635f1fbebe2b908fc6806137f7fb287e18b99,1,1794,1794,1776,0.000000,0.001296,True,1776,0.000000,0.001685,True,1776,0.000000,0.002590,True
A,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.004958,1794,1776,18,9d32b2dfc9ea20ce89ab9a3dce4635f1fbebe2b908fc6806137f7fb287e18b99,1,1794,1794,1776,0.000000,0.001296,True,1776,0.000000,0.001685,True,1776,0.000000,0.002590,True
A,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002479,1794,1776,18,9d32b2dfc9ea20ce89ab9a3dce4635f1fbebe2b908fc6806137f7fb287e18b99,1,1794,1794,1776,0.000000,0.001296,True,1776,0.000000,0.001685,True,1776,0.000000,0.002590,False
B,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1870,1846,24,b444f1ba20dabf30fd7033caa4ad617263b588583ead215b76f5432f84afcae3,1,1870,1870,1846,0.000000,0.001247,False,1846,0.000000,0.001622,False,1846,0.000000,0.002492,False
B,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1870,1846,24,b444f1ba20dabf30fd7033caa4ad617263b588583ead215b76f5432f84afcae3,1,1870,1870,1846,0.000000,0.001247,True,1846,0.000000,0.001622,True,1846,0.000000,0.002492,True
B,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1870,1846,24,b444f1ba20dabf30fd7033caa4ad617263b588583ead215b76f5432f84afcae3,1,1870,1870,1846,0.000000,0.001247,True,1846,0.000000,0.001622,True,1846,0.000000,0.002492,True
B,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1870,1846,24,b444f1ba20dabf30fd7033caa4ad617263b588583ead215b76f5432f84afcae3,1,1870,1870,1846,0.000000,0.001247,True,1846,0.000000,0.001622,True,1846,0.000000,0.002492,True
B,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.012520,1870,1846,24,b444f1ba20dabf30fd7033caa4ad617263b588583ead215b76f5432f84afcae3,1,1870,1870,1846,0.000000,0.001247,True,1846,0.000000,0.001622,True,1846,0.000000,0.002492,True
B,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.006260,1870,1846,24,b444f1ba20dabf30fd7033caa4ad617263b588583ead215b76f5432f84afcae3,1,1870,1870,1846,0.000000,0.001247,True,1846,0.000000,0.001622,True,1846,0.000000,0.002492,True
B,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1870,1802,68,63cd50add85e93f1d3284f27b5c9c2a4152fd3b3c49de4aae52d0e5e68c92f6b,1,1870,1870,1802,0.000000,0.001277,False,1802,0.000000,0.001661,False,1802,0.000000,0.002552,False
B,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1870,1802,68,63cd50add85e93f1d3284f27b5c9c2a4152fd3b3c49de4aae52d0e5e68c92f6b,1,1870,1870,1802,0.000000,0.001277,True,1802,0.000000,0.001661,True,1802,0.000000,0.002552,False
B,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1870,1802,68,63cd50add85e93f1d3284f27b5c9c2a4152fd3b3c49de4aae52d0e5e68c92f6b,1,1870,1870,1802,0.000000,0.001277,True,1802,0.000000,0.001661,True,1802,0.000000,0.002552,True
B,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1870,1802,68,63cd50add85e93f1d3284f27b5c9c2a4152fd3b3c49de4aae52d0e5e68c92f6b,1,1870,1870,1802,0.000000,0.001277,True,1802,0.000000,0.001661,True,1802,0.000000,0.002552,True
B,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.042347,1870,1802,68,63cd50add85e93f1d3284f27b5c9c2a4152fd3b3c49de4aae52d0e5e68c92f6b,1,1870,1870,1802,0.000000,0.001277,True,1802,0.000000,0.001661,True,1802,0.000000,0.002552,True
B,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.021173,1870,1802,68,63cd50add85e93f1d3284f27b5c9c2a4152fd3b3c49de4aae52d0e5e68c92f6b,1,1870,1870,1802,0.000000,0.001277,True,1802,0.000000,0.001661,True,1802,0.000000,0.002552,True
B,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1870,1853,17,a41d94057e06c3d40e3b8bf005d7746ecff9e77410f681e88d571fbe225a90ae,1,1870,1870,1853,0.000000,0.001242,False,1853,0.000000,0.001615,False,1853,0.000000,0.002482,False
B,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1870,1853,17,a41d94057e06c3d40e3b8bf005d7746ecff9e77410f681e88d571fbe225a90ae,1,1870,1870,1853,0.000000,0.001242,True,1853,0.000000,0.001615,True,1853,0.000000,0.002482,True
B,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,1870,1853,17,a41d94057e06c3d40e3b8bf005d7746ecff9e77410f681e88d571fbe225a90ae,1,1870,1870,1853,0.000000,0.001242,True,1853,0.000000,0.001615,True,1853,0.000000,0.002482,True
B,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,1870,1853,17,a41d94057e06c3d40e3b8bf005d7746ecff9e77410f681e88d571fbe225a90ae,1,1870,1870,1853,0.000000,0.001242,True,1853,0.000000,0.001615,True,1853,0.000000,0.002482,True
B,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.011203,1870,1853,17,a41d94057e06c3d40e3b8bf005d7746ecff9e77410f681e88d571fbe225a90ae,1,1870,1870,1853,0.000000,0.001242,True,1853,0.000000,0.001615,True,1853,0.000000,0.002482,True
B,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.005602,1870,1853,17,a41d94057e06c3d40e3b8bf005d7746ecff9e77410f681e88d571fbe225a90ae,1,1870,1870,1853,0.000000,0.001242,True,1853,0.000000,0.001615,True,1853,0.000000,0.002482,True
B,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,1870,1859,11,53fd25338b4519a0479d584aa7698bc163b4390ad214005f1163c4d33c280c51,1,1870,1870,1859,0.000000,0.001238,False,1859,0.000000,0.001610,False,1859,0.000000,0.002474,False
B,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,1870,1859,11,53fd25338b4519a0479d584aa7698bc163b4390ad214005f1163c4d33c280c51,1,1870,1870,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
B,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,1870,1859,11,53fd25338b4519a0479d584aa7698bc163b4390ad214005f1163c4d33c280c51,1,1870,1870,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
B,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,1870,1859,11,53fd25338b4519a0479d584aa7698bc163b4390ad214005f1163c4d33c280c51,1,1870,1870,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
B,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.005946,1870,1859,11,53fd25338b4519a0479d584aa7698bc163b4390ad214005f1163c4d33c280c51,1,1870,1870,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
B,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.002973,1870,1859,11,53fd25338b4519a0479d584aa7698bc163b4390ad214005f1163c4d33c280c51,1,1870,1870,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
C,DIOR-R,geometry_normalized_severe,absolute_0.001,absolute,0.001000,1877,1845,32,21761353a78600135b041d45e75a5f65baedbe3febaddcbdf9295e5285374d33,1,1877,1877,1845,0.000000,0.001247,False,1845,0.000000,0.001622,False,1845,0.000000,0.002493,False
C,DIOR-R,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,1877,1845,32,21761353a78600135b041d45e75a5f65baedbe3febaddcbdf9295e5285374d33,1,1877,1877,1845,0.000000,0.001247,True,1845,0.000000,0.001622,True,1845,0.000000,0.002493,True
C,DIOR-R,geometry_normalized_severe,absolute_0.005,absolute,0.005000,1877,1845,32,21761353a78600135b041d45e75a5f65baedbe3febaddcbdf9295e5285374d33,1,1877,1877,1845,0.000000,0.001247,True,1845,0.000000,0.001622,True,1845,0.000000,0.002493,True
C,DIOR-R,geometry_normalized_severe,absolute_0.01,absolute,0.010000,1877,1845,32,21761353a78600135b041d45e75a5f65baedbe3febaddcbdf9295e5285374d33,1,1877,1877,1845,0.000000,0.001247,True,1845,0.000000,0.001622,True,1845,0.000000,0.002493,True
C,DIOR-R,geometry_normalized_severe,relative_0.5_r_fit,relative,0.017373,1877,1845,32,21761353a78600135b041d45e75a5f65baedbe3febaddcbdf9295e5285374d33,1,1877,1877,1845,0.000000,0.001247,True,1845,0.000000,0.001622,True,1845,0.000000,0.002493,True
C,DIOR-R,geometry_normalized_severe,relative_0.25_r_fit,relative,0.008687,1877,1845,32,21761353a78600135b041d45e75a5f65baedbe3febaddcbdf9295e5285374d33,1,1877,1877,1845,0.000000,0.001247,True,1845,0.000000,0.001622,True,1845,0.000000,0.002493,True
C,DIOR-R,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,1877,1784,93,86ebf44778512731fd715a25156124e3e6a80a2cef296087853bb5f5475a5814,1,1877,1877,1784,0.000000,0.001290,False,1784,0.000000,0.001678,False,1784,0.000000,0.002578,False
C,DIOR-R,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,1877,1784,93,86ebf44778512731fd715a25156124e3e6a80a2cef296087853bb5f5475a5814,1,1877,1877,1784,0.000000,0.001290,True,1784,0.000000,0.001678,True,1784,0.000000,0.002578,False
C,DIOR-R,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,1877,1784,93,86ebf44778512731fd715a25156124e3e6a80a2cef296087853bb5f5475a5814,1,1877,1877,1784,0.000000,0.001290,True,1784,0.000000,0.001678,True,1784,0.000000,0.002578,True
C,DIOR-R,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,1877,1784,93,86ebf44778512731fd715a25156124e3e6a80a2cef296087853bb5f5475a5814,1,1877,1877,1784,0.000000,0.001290,True,1784,0.000000,0.001678,True,1784,0.000000,0.002578,True
C,DIOR-R,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.052584,1877,1784,93,86ebf44778512731fd715a25156124e3e6a80a2cef296087853bb5f5475a5814,1,1877,1877,1784,0.000000,0.001290,True,1784,0.000000,0.001678,True,1784,0.000000,0.002578,True
C,DIOR-R,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.026292,1877,1784,93,86ebf44778512731fd715a25156124e3e6a80a2cef296087853bb5f5475a5814,1,1877,1877,1784,0.000000,0.001290,True,1784,0.000000,0.001678,True,1784,0.000000,0.002578,True
C,DIOR-R,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,1877,1849,28,ca0079a94e289cdaeb7c25258eb6c57aa47bfbf1c7de9284ca153d08217c1983,1,1877,1877,1849,0.000000,0.001245,False,1849,0.000000,0.001619,False,1849,0.000000,0.002488,False
C,DIOR-R,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,1877,1849,28,ca0079a94e289cdaeb7c25258eb6c57aa47bfbf1c7de9284ca153d08217c1983,1,1877,1877,1849,0.000000,0.001245,True,1849,0.000000,0.001619,True,1849,0.000000,0.002488,True
C,DIOR-R,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,1877,1849,28,ca0079a94e289cdaeb7c25258eb6c57aa47bfbf1c7de9284ca153d08217c1983,1,1877,1877,1849,0.000000,0.001245,True,1849,0.000000,0.001619,True,1849,0.000000,0.002488,True
C,DIOR-R,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,1877,1849,28,ca0079a94e289cdaeb7c25258eb6c57aa47bfbf1c7de9284ca153d08217c1983,1,1877,1877,1849,0.000000,0.001245,True,1849,0.000000,0.001619,True,1849,0.000000,0.002488,True
C,DIOR-R,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.014889,1877,1849,28,ca0079a94e289cdaeb7c25258eb6c57aa47bfbf1c7de9284ca153d08217c1983,1,1877,1877,1849,0.000000,0.001245,True,1849,0.000000,0.001619,True,1849,0.000000,0.002488,True
C,DIOR-R,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.007445,1877,1849,28,ca0079a94e289cdaeb7c25258eb6c57aa47bfbf1c7de9284ca153d08217c1983,1,1877,1877,1849,0.000000,0.001245,True,1849,0.000000,0.001619,True,1849,0.000000,0.002488,True
C,DIOR-R,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,1877,1859,18,298fb6ffcca0f7373d40b017fc4380e080d1a230774e6dfd20d2b77e2b7a7121,1,1877,1877,1859,0.000000,0.001238,False,1859,0.000000,0.001610,False,1859,0.000000,0.002474,False
C,DIOR-R,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,1877,1859,18,298fb6ffcca0f7373d40b017fc4380e080d1a230774e6dfd20d2b77e2b7a7121,1,1877,1877,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
C,DIOR-R,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,1877,1859,18,298fb6ffcca0f7373d40b017fc4380e080d1a230774e6dfd20d2b77e2b7a7121,1,1877,1877,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
C,DIOR-R,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,1877,1859,18,298fb6ffcca0f7373d40b017fc4380e080d1a230774e6dfd20d2b77e2b7a7121,1,1877,1877,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
C,DIOR-R,angle_error_gt_15deg,relative_0.5_r_fit,relative,0.007185,1877,1859,18,298fb6ffcca0f7373d40b017fc4380e080d1a230774e6dfd20d2b77e2b7a7121,1,1877,1877,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
C,DIOR-R,angle_error_gt_15deg,relative_0.25_r_fit,relative,0.003593,1877,1859,18,298fb6ffcca0f7373d40b017fc4380e080d1a230774e6dfd20d2b77e2b7a7121,1,1877,1877,1859,0.000000,0.001238,True,1859,0.000000,0.001610,True,1859,0.000000,0.002474,True
D,FAIR1M-v1.0,geometry_normalized_severe,absolute_0.001,absolute,0.001000,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,geometry_normalized_severe,absolute_0.0025,absolute,0.002500,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,geometry_normalized_severe,absolute_0.005,absolute,0.005000,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,True,646,0.000000,0.004627,True,646,0.000000,0.007103,False
D,FAIR1M-v1.0,geometry_normalized_severe,absolute_0.01,absolute,0.010000,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,True,646,0.000000,0.004627,True,646,0.000000,0.007103,True
D,FAIR1M-v1.0,geometry_normalized_severe,relative_0.5_r_fit,relative,0.001529,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,geometry_normalized_severe,relative_0.25_r_fit,relative,0.000764,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,angle_error_gt_5deg,absolute_0.001,absolute,0.001000,646,644,2,db84fcf09e0070cc50eeea4a9e42f5715264c913285de6626383a10990b5481b,1,646,646,644,0.000000,0.003569,False,644,0.000000,0.004641,False,644,0.000000,0.007125,False
D,FAIR1M-v1.0,angle_error_gt_5deg,absolute_0.0025,absolute,0.002500,646,644,2,db84fcf09e0070cc50eeea4a9e42f5715264c913285de6626383a10990b5481b,1,646,646,644,0.000000,0.003569,False,644,0.000000,0.004641,False,644,0.000000,0.007125,False
D,FAIR1M-v1.0,angle_error_gt_5deg,absolute_0.005,absolute,0.005000,646,644,2,db84fcf09e0070cc50eeea4a9e42f5715264c913285de6626383a10990b5481b,1,646,646,644,0.000000,0.003569,True,644,0.000000,0.004641,True,644,0.000000,0.007125,False
D,FAIR1M-v1.0,angle_error_gt_5deg,absolute_0.01,absolute,0.010000,646,644,2,db84fcf09e0070cc50eeea4a9e42f5715264c913285de6626383a10990b5481b,1,646,646,644,0.000000,0.003569,True,644,0.000000,0.004641,True,644,0.000000,0.007125,True
D,FAIR1M-v1.0,angle_error_gt_5deg,relative_0.5_r_fit,relative,0.033535,646,644,2,db84fcf09e0070cc50eeea4a9e42f5715264c913285de6626383a10990b5481b,1,646,646,644,0.000000,0.003569,True,644,0.000000,0.004641,True,644,0.000000,0.007125,True
D,FAIR1M-v1.0,angle_error_gt_5deg,relative_0.25_r_fit,relative,0.016767,646,644,2,db84fcf09e0070cc50eeea4a9e42f5715264c913285de6626383a10990b5481b,1,646,646,644,0.000000,0.003569,True,644,0.000000,0.004641,True,644,0.000000,0.007125,True
D,FAIR1M-v1.0,angle_error_gt_10deg,absolute_0.001,absolute,0.001000,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,angle_error_gt_10deg,absolute_0.0025,absolute,0.002500,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,angle_error_gt_10deg,absolute_0.005,absolute,0.005000,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,True,646,0.000000,0.004627,True,646,0.000000,0.007103,False
D,FAIR1M-v1.0,angle_error_gt_10deg,absolute_0.01,absolute,0.010000,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,True,646,0.000000,0.004627,True,646,0.000000,0.007103,True
D,FAIR1M-v1.0,angle_error_gt_10deg,relative_0.5_r_fit,relative,0.002584,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,angle_error_gt_10deg,relative_0.25_r_fit,relative,0.001292,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,angle_error_gt_15deg,absolute_0.001,absolute,0.001000,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,angle_error_gt_15deg,absolute_0.0025,absolute,0.002500,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,False,646,0.000000,0.004627,False,646,0.000000,0.007103,False
D,FAIR1M-v1.0,angle_error_gt_15deg,absolute_0.005,absolute,0.005000,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,True,646,0.000000,0.004627,True,646,0.000000,0.007103,False
D,FAIR1M-v1.0,angle_error_gt_15deg,absolute_0.01,absolute,0.010000,646,646,0,aa2efee5caf17d6649a67a50b9fe6c9bc2e73067a70bf03cbf5af341d218e067,1,646,646,646,0.000000,0.003558,True,646,0.000000,0.004627,True,646,0.000000,0.007103,True
