dataset,replicate,sha256
SODA-A,8,ec92eda290f221aecc4bce64a141b4c6e559026f2b064d36316e52b9af797154
SODA-A,9,544a21b143fb4040505c808dd126f2573639468fb342fba8b11c83747cf37c69
SODA-A,10,213abd6b58c0d556dae46c6f93d7d9e8872d45d985c81b21f955f34b1888d3f6
SODA-A,11,b8840abea1ad7572882e657f020d294ee34f4eacc2d25cda9593d4a965d2fb95
SODA-A,12,14518265239c46c61cce84f8d5d840a0279bf3a98d9dfe40e6a5e6dc5c8e932d
SODA-A,13,b73b8b171de758f983edc3dba787c07867b41c3171a2279cb6966694527fe570
SODA-A,14,e8072073a5d5a53cf9ab177ef8f4a3d8dc9495d89dc4fe20d3f09b183019595e
SODA-A,15,a07dc4ec82f623f7387207100c932eec90fe681bd88d8a78b4795d8412037a91
SODA-A,16,a71a3acb45dfac24f818d020dca1d03c9692db9222695d7e0b58519b765b1c75
SODA-A,17,658ac47c72cd72fa54dfbbfa9d3f74c79d71f6cc408fdbc89eb2cc2165cd40b3
SODA-A,18,77f7c3ac895763301628e49fe35afbb9854b40c36c37904ff922637bd0f0ed3c
SODA-A,19,a9a02f70788de5e502bd08fbb6dc0a6376f0ca670c1aa78ae75cd587918f3af7
DOTA-v1.0,0,06a604b83d91f96e204c3239978c1e76a4c37beae7512f88372c935453ea92b6
DOTA-v1.0,1,4f0512bf34d642627acf3fc3d8166cbeb12acf357c937b2ef1f770a7e35fa750
DOTA-v1.0,2,a35af39622a1e5ce05348ad1653cfc0854aba1a06975b216eb91ff150a779ba5
DOTA-v1.0,3,ca32b92ca9a46c95ed2983913201d9a6214c49b73cc47dfc0bd878a13acb0f68
DOTA-v1.0,4,568bdc9911b945ab957f96df8ce92a087ae39f6a6532ec86ca22b9f9f363a2de
DOTA-v1.0,5,50f190e117668ad3d9cfa98af44f6861e0828e4c3a03365fde5901030ef8e792
DOTA-v1.0,6,5818384937b9d8e26ea694fe24750126ccbbc7673e8445234e75779bd0e9d977
DOTA-v1.0,7,bae835cd82be83b8f1f10bffe6e7f05d2d0261161e9c45a3f9f03f51bd538b0b
DOTA-v1.0,8,808f4b4795820cf2761361ac70a0e829fcee1f69bd40fe1798da04822aeec6c2
DOTA-v1.0,9,edaabbd75f4708bdfc0341c7fe9c0153e6d74110c20ba0fff0345e767595f0d0
DOTA-v1.0,10,9034c1cb8edf69adf03227e63211149ae5f2d00050652503a4eee9c9a1c9ef6f
DOTA-v1.0,11,36de1af437b93c9d7a8ec38a1cf6946f3c820d4d51d28088074f7f785b838ba0
DOTA-v1.0,12,26b1fcc274d8640f8e76138aca25a2a57944e7895d23bfe38b13315762ecc56a
DOTA-v1.0,13,a7ddc8a74ad811e885956b7ec4ac1352b57f74aaaa27599f4bda52867994088a
DOTA-v1.0,14,48d85ad8e244773964079995dc271722491f2e43cbcf9b3739dd7f0e6c53760b
DOTA-v1.0,15,5183d48adad4b931580032af9588b7584986a0b90aab2b5beecc14af34ce9962
DOTA-v1.0,16,8d31ecaf7292a98e8ce26fe8f4cb00d38cb44985240616cb1f0217dc94279e96
DOTA-v1.0,17,7a991b561acd2d356259a11c9c7a215d5495a5b714029d6f5dd30c9395e33197
DOTA-v1.0,18,c06a0c2578b643bacfeeaa1faf891ea45a248625e40254e1a31c27e0e5afb9ad
DOTA-v1.0,19,400e03daddc0c67c971d64b732bc2c3d165ac277b199bb81d0929c18eb744f0b
