level,key,dataset,risk,eligibility,estimand,ranker,rows,classes,AUGRC,Risk@70
unit,B,DIOR-R,R_raw,all-AR,pooled,probe,47887,20,0.028209338237728275,0.05082651541077149
unit,B,DIOR-R,R_raw,all-AR,class-standardized,conf,47887,20,0.04219116581788159,0.08491837297055618
unit,B,DIOR-R,R_raw,all-AR,class-standardized,ARonly,47887,20,0.06454163429616713,0.11818295416335838
unit,B,DIOR-R,R_raw,all-AR,class-standardized,oracleAR,47887,20,0.06465811176872535,0.11754921427319998
unit,B,DIOR-R,R_raw,all-AR,class-standardized,probe,47887,20,0.0369858733203317,0.07379366886857694
unit,C,DIOR-R,R_norm,AR>=2.1,pooled,conf,27410,18,0.02412686078598819,0.0480817459141519
unit,C,DIOR-R,R_norm,AR>=2.1,pooled,ARonly,27410,18,0.03305515025048258,0.06342926064545806
unit,C,DIOR-R,R_norm,AR>=2.1,pooled,oracleAR,27410,18,0.03028854667125302,0.06076154157412623
unit,C,DIOR-R,R_norm,AR>=2.1,pooled,probe,27410,18,0.026971164932709908,0.052412743426860746
unit,C,DIOR-R,R_norm,AR>=2.1,class-standardized,conf,27410,18,0.040808826333317366,0.08631208945372665
unit,C,DIOR-R,R_norm,AR>=2.1,class-standardized,ARonly,27410,18,0.051068407086966715,0.0974396032289613
unit,C,DIOR-R,R_norm,AR>=2.1,class-standardized,oracleAR,27410,18,0.043590332684229016,0.08788344811183586
unit,C,DIOR-R,R_norm,AR>=2.1,class-standardized,probe,27410,18,0.03893015363171398,0.07705504558007378
unit,C,DIOR-R,R_norm,all-AR,pooled,conf,47881,20,0.05039712376526445,0.09818307220466597
unit,C,DIOR-R,R_norm,all-AR,pooled,ARonly,47881,20,0.09106940254500975,0.15741431605485365
unit,C,DIOR-R,R_norm,all-AR,pooled,oracleAR,47881,20,0.08984035955668052,0.1552677853620322
unit,C,DIOR-R,R_norm,all-AR,pooled,probe,47881,20,0.03975204726446964,0.07657377853804936
unit,C,DIOR-R,R_norm,all-AR,class-standardized,conf,47881,20,0.05409263899054079,0.11034952053501121
unit,C,DIOR-R,R_norm,all-AR,class-standardized,ARonly,47881,20,0.07656094774491176,0.14234795105012502
unit,C,DIOR-R,R_norm,all-AR,class-standardized,oracleAR,47881,20,0.07438876762790363,0.13878218309704576
unit,C,DIOR-R,R_norm,all-AR,class-standardized,probe,47881,20,0.051237990532478704,0.1040970771208661
unit,C,DIOR-R,R_raw,AR>=2.1,pooled,conf,27410,18,0.008986714330387955,0.017931544907696263
unit,C,DIOR-R,R_raw,AR>=2.1,pooled,ARonly,27410,18,0.013676651480415202,0.02622574655716251
unit,C,DIOR-R,R_raw,AR>=2.1,pooled,oracleAR,27410,18,0.012852574370226234,0.025755095259684675
unit,C,DIOR-R,R_raw,AR>=2.1,pooled,probe,27410,18,0.00895298149344658,0.01773656843464726
unit,C,DIOR-R,R_raw,AR>=2.1,class-standardized,conf,27410,18,0.013915027400573102,0.029544638779342665
unit,C,DIOR-R,R_raw,AR>=2.1,class-standardized,ARonly,27410,18,0.019293092076242184,0.035913397758185445
unit,C,DIOR-R,R_raw,AR>=2.1,class-standardized,oracleAR,27410,18,0.017039224519955643,0.03394127815857503
unit,C,DIOR-R,R_raw,AR>=2.1,class-standardized,probe,27410,18,0.011695810031349495,0.02338174814677009
unit,C,DIOR-R,R_raw,all-AR,pooled,conf,47881,20,0.038846520299510655,0.07447277307167223
unit,C,DIOR-R,R_raw,all-AR,pooled,ARonly,47881,20,0.07857578017246965,0.13180716883249854
unit,C,DIOR-R,R_raw,all-AR,pooled,oracleAR,47881,20,0.07838093967006197,0.13123489845351055
unit,C,DIOR-R,R_raw,all-AR,pooled,probe,47881,20,0.02461918699305407,0.04654170740520323
unit,C,DIOR-R,R_raw,all-AR,class-standardized,conf,47881,20,0.039072069985862434,0.07925188834720512
unit,C,DIOR-R,R_raw,all-AR,class-standardized,ARonly,47881,20,0.05965524796638668,0.10929947420090777
unit,C,DIOR-R,R_raw,all-AR,class-standardized,oracleAR,47881,20,0.05924596650595465,0.10856004001165313
unit,C,DIOR-R,R_raw,all-AR,class-standardized,probe,47881,20,0.03328613330428428,0.06841691350026279
unit,D,FAIR1M,R_norm,AR>=2.1,pooled,conf,15132,23,0.03193682148765096,0.06394912364531259
unit,D,FAIR1M,R_norm,AR>=2.1,pooled,ARonly,15132,23,0.03413110208716648,0.06763201727001794
unit,D,FAIR1M,R_norm,AR>=2.1,pooled,oracleAR,15132,23,0.032291788386089794,0.06462272514963312
unit,D,FAIR1M,R_norm,AR>=2.1,pooled,probe,15132,23,0.03231278079845012,0.06452054969996383
unit,D,FAIR1M,R_norm,AR>=2.1,class-standardized,conf,15132,23,0.034593442733161915,0.06973446113841412
unit,D,FAIR1M,R_norm,AR>=2.1,class-standardized,ARonly,15132,23,0.035525575988396556,0.07034873807263198
unit,D,FAIR1M,R_norm,AR>=2.1,class-standardized,oracleAR,15132,23,0.0340581440904743,0.06899863518518344
unit,D,FAIR1M,R_norm,AR>=2.1,class-standardized,probe,15132,23,0.03413530142629911,0.06727488694939052
unit,D,FAIR1M,R_norm,all-AR,pooled,conf,26108,34,0.045576693865798934,0.08591842200033531
unit,D,FAIR1M,R_norm,all-AR,pooled,ARonly,26108,34,0.05062797464312226,0.09204785244248366
unit,D,FAIR1M,R_norm,all-AR,pooled,oracleAR,26108,34,0.04951904399652647,0.08917765701123341
unit,D,FAIR1M,R_norm,all-AR,pooled,probe,26108,34,0.04859832467756975,0.0895900136218706
unit,D,FAIR1M,R_norm,all-AR,class-standardized,conf,26108,34,0.05496811418353921,0.11062016557498806
unit,D,FAIR1M,R_norm,all-AR,class-standardized,ARonly,26108,34,0.06717309068062463,0.12838183972105863
unit,D,FAIR1M,R_norm,all-AR,class-standardized,oracleAR,26108,34,0.0646367197126581,0.12501963102829738
unit,D,FAIR1M,R_norm,all-AR,class-standardized,probe,26108,34,0.053630531597836414,0.10748918757488306
unit,D,FAIR1M,R_raw,AR>=2.1,pooled,conf,15132,23,0.012717973854876592,0.025643195853388433
unit,D,FAIR1M,R_raw,AR>=2.1,pooled,ARonly,15132,23,0.01456813689787812,0.028796716414615
unit,D,FAIR1M,R_raw,AR>=2.1,pooled,oracleAR,15132,23,0.014163326374739365,0.028196526460235256
unit,D,FAIR1M,R_raw,AR>=2.1,pooled,probe,15132,23,0.01191724805415863,0.02436499448505744
unit,D,FAIR1M,R_raw,AR>=2.1,class-standardized,conf,15132,23,0.012426084103902895,0.02495428846575503
unit,D,FAIR1M,R_raw,AR>=2.1,class-standardized,ARonly,15132,23,0.0133071770963725,0.026093618806703193
unit,D,FAIR1M,R_raw,AR>=2.1,class-standardized,oracleAR,15132,23,0.013178661818107259,0.02629576932998761
unit,D,FAIR1M,R_raw,AR>=2.1,class-standardized,probe,15132,23,0.012085835899302105,0.0237355392856357
unit,D,FAIR1M,R_raw,all-AR,pooled,conf,26108,34,0.03200424101349835,0.05819338547156579
unit,D,FAIR1M,R_raw,all-AR,pooled,ARonly,26108,34,0.0382248723761172,0.06548198034101475
unit,D,FAIR1M,R_raw,all-AR,pooled,oracleAR,26108,34,0.03795924626914913,0.0648134394804688
unit,D,FAIR1M,R_raw,all-AR,pooled,probe,26108,34,0.03439386140007969,0.06024698222159354
unit,D,FAIR1M,R_raw,all-AR,class-standardized,conf,26108,34,0.041551550189908325,0.0837729684922214
unit,D,FAIR1M,R_raw,all-AR,class-standardized,ARonly,26108,34,0.05371278480255749,0.10127303799579138
unit,D,FAIR1M,R_raw,all-AR,class-standardized,oracleAR,26108,34,0.052084713755690626,0.0992032010144579
unit,D,FAIR1M,R_raw,all-AR,class-standardized,probe,26108,34,0.040218183450303986,0.08081865603802565
unit,E,SODA-A,R_norm,AR>=2.1,pooled,conf,101160,8,0.025867630593730758,0.05127798570828881
unit,E,SODA-A,R_norm,AR>=2.1,pooled,ARonly,101160,8,0.02963266218418808,0.05678403011728553
unit,E,SODA-A,R_norm,AR>=2.1,pooled,oracleAR,101160,8,0.027973462745762366,0.05602911212035525
unit,E,SODA-A,R_norm,AR>=2.1,pooled,probe,101160,8,0.025835131822848557,0.05096037787686278
unit,E,SODA-A,R_norm,AR>=2.1,class-standardized,conf,101160,8,0.03414017360139588,0.06530396680063814
unit,E,SODA-A,R_norm,AR>=2.1,class-standardized,ARonly,101160,8,0.031249092745202926,0.060532335242594715
unit,E,SODA-A,R_norm,AR>=2.1,class-standardized,oracleAR,101160,8,0.03402221564985379,0.06822743990056172
unit,E,SODA-A,R_norm,AR>=2.1,class-standardized,probe,101160,8,0.03262811688367554,0.06543058965016382
unit,E,SODA-A,R_norm,all-AR,pooled,conf,157586,9,0.0481062997854491,0.08786098787732968
unit,E,SODA-A,R_norm,all-AR,pooled,ARonly,157586,9,0.05695003119916085,0.09881769424869814
unit,E,SODA-A,R_norm,all-AR,pooled,oracleAR,157586,9,0.05571745522823515,0.09727414401546228
unit,E,SODA-A,R_norm,all-AR,pooled,probe,157586,9,0.05061241863404378,0.09077765084154854
unit,E,SODA-A,R_norm,all-AR,class-standardized,conf,157586,9,0.06569369125878918,0.12996011064076202
unit,E,SODA-A,R_norm,all-AR,class-standardized,ARonly,157586,9,0.08712024301133095,0.1660082317260234
unit,E,SODA-A,R_norm,all-AR,class-standardized,oracleAR,157586,9,0.08554316177287886,0.1630724587585483
unit,E,SODA-A,R_norm,all-AR,class-standardized,probe,157586,9,0.06767167688178842,0.13301012868746256
unit,E,SODA-A,R_raw,AR>=2.1,pooled,conf,101160,8,0.010356344554280335,0.02086018321833528
unit,E,SODA-A,R_raw,AR>=2.1,pooled,ARonly,101160,8,0.013125072763730655,0.025526213643684795
unit,E,SODA-A,R_raw,AR>=2.1,pooled,oracleAR,101160,8,0.012674097660060429,0.025599298921554027
unit,E,SODA-A,R_raw,AR>=2.1,pooled,probe,101160,8,0.010513088178654905,0.020884535484113113
unit,E,SODA-A,R_raw,AR>=2.1,class-standardized,conf,101160,8,0.014417883129032678,0.027348336800429113
unit,E,SODA-A,R_raw,AR>=2.1,class-standardized,ARonly,101160,8,0.013039376113643815,0.024985414772882332
unit,E,SODA-A,R_raw,AR>=2.1,class-standardized,oracleAR,101160,8,0.01490066662449202,0.029585460822185612
unit,E,SODA-A,R_raw,AR>=2.1,class-standardized,probe,101160,8,0.013689792167255924,0.027445579246976298
unit,E,SODA-A,R_raw,all-AR,pooled,conf,157586,9,0.03512639990441858,0.06182521321290772
unit,E,SODA-A,R_raw,all-AR,pooled,ARonly,157586,9,0.043692318183735424,0.07233243897001836
unit,E,SODA-A,R_raw,all-AR,pooled,oracleAR,157586,9,0.043405178168492514,0.0721691312929294
unit,E,SODA-A,R_raw,all-AR,pooled,probe,157586,9,0.03784588665803042,0.06494166612319517
unit,E,SODA-A,R_raw,all-AR,class-standardized,conf,157586,9,0.053853614283154,0.10622806179138454
unit,E,SODA-A,R_raw,all-AR,class-standardized,ARonly,157586,9,0.07364512818503947,0.13943685122128738
unit,E,SODA-A,R_raw,all-AR,class-standardized,oracleAR,157586,9,0.07315900115812997,0.1384344503477764
unit,E,SODA-A,R_raw,all-AR,class-standardized,probe,157586,9,0.05584033154733164,0.10919570810657042
unit,F,SODA-A,R_norm,AR>=2.1,pooled,conf,120947,8,0.028098070165466473,0.056517490933275925
unit,F,SODA-A,R_norm,AR>=2.1,pooled,ARonly,120947,8,0.03289762709178852,0.06355561215349395
unit,F,SODA-A,R_norm,AR>=2.1,pooled,oracleAR,120947,8,0.03126998167060617,0.06263603525716119
unit,F,SODA-A,R_norm,AR>=2.1,pooled,probe,120947,8,0.02802310293942983,0.056325126457318395
unit,F,SODA-A,R_norm,AR>=2.1,class-standardized,conf,120947,8,0.02799479378083165,0.056146271120182376
unit,F,SODA-A,R_norm,AR>=2.1,class-standardized,ARonly,120947,8,0.033114684103188644,0.06498290749354692
unit,F,SODA-A,R_norm,AR>=2.1,class-standardized,oracleAR,120947,8,0.030910491226852434,0.0607332070072212
unit,F,SODA-A,R_norm,AR>=2.1,class-standardized,probe,120947,8,0.028072373997346557,0.05641416358310054
unit,F,SODA-A,R_norm,all-AR,pooled,conf,192249,9,0.04633545414276303,0.0890165947696256
unit,F,SODA-A,R_norm,all-AR,pooled,ARonly,192249,9,0.05685111263043293,0.10031372158143653
unit,F,SODA-A,R_norm,all-AR,pooled,oracleAR,192249,9,0.05575275479780681,0.0988661094202226
unit,F,SODA-A,R_norm,all-AR,pooled,probe,192249,9,0.04810734729487765,0.09031373048669611
unit,F,SODA-A,R_norm,all-AR,class-standardized,conf,192249,9,0.06598180670667105,0.13226671836492518
unit,F,SODA-A,R_norm,all-AR,class-standardized,ARonly,192249,9,0.08663677618249604,0.16469927285299363
unit,F,SODA-A,R_norm,all-AR,class-standardized,oracleAR,192249,9,0.0854674114114639,0.16461410003720064
unit,F,SODA-A,R_norm,all-AR,class-standardized,probe,192249,9,0.06729316750264427,0.13395437825313078
unit,F,SODA-A,R_raw,AR>=2.1,pooled,conf,120947,8,0.01120696595908937,0.022945577174729673
unit,F,SODA-A,R_raw,AR>=2.1,pooled,ARonly,120947,8,0.014644927568091836,0.028722485214601527
unit,F,SODA-A,R_raw,AR>=2.1,pooled,oracleAR,120947,8,0.014223585403443689,0.028736066257734883
unit,F,SODA-A,R_raw,AR>=2.1,pooled,probe,120947,8,0.011236865723458363,0.022901390597160096
unit,F,SODA-A,R_raw,AR>=2.1,class-standardized,conf,120947,8,0.011022209155804218,0.022114032741453037
unit,F,SODA-A,R_raw,AR>=2.1,class-standardized,ARonly,120947,8,0.013723604147430051,0.026666646108318096
unit,F,SODA-A,R_raw,AR>=2.1,class-standardized,oracleAR,120947,8,0.013093431707491453,0.025440943346189508
unit,F,SODA-A,R_raw,AR>=2.1,class-standardized,probe,120947,8,0.011083010918604369,0.022281109801333174
unit,F,SODA-A,R_raw,all-AR,pooled,conf,192249,9,0.03201040475810763,0.060088902163358916
unit,F,SODA-A,R_raw,all-AR,pooled,ARonly,192249,9,0.04206472490666058,0.07062655574484113
unit,F,SODA-A,R_raw,all-AR,pooled,oracleAR,192249,9,0.041916194651531846,0.07059460781192516
unit,F,SODA-A,R_raw,all-AR,pooled,probe,192249,9,0.03393990678953552,0.06147432007396046
unit,F,SODA-A,R_raw,all-AR,class-standardized,conf,192249,9,0.053262747463670185,0.10665673254277926
unit,F,SODA-A,R_raw,all-AR,class-standardized,ARonly,192249,9,0.07196897971436034,0.13597047975193172
unit,F,SODA-A,R_raw,all-AR,class-standardized,oracleAR,192249,9,0.07221170527254943,0.13797441645326292
unit,F,SODA-A,R_raw,all-AR,class-standardized,probe,192249,9,0.05455043403851681,0.10837869638760364
unit,G,DOTA-v1.0,R_norm,AR>=2.1,pooled,conf,33030,11,0.026330781620593387,0.052908569281744616
unit,G,DOTA-v1.0,R_norm,AR>=2.1,pooled,ARonly,33030,11,0.028348627117808476,0.057391290596279135
unit,G,DOTA-v1.0,R_norm,AR>=2.1,pooled,oracleAR,33030,11,0.02797308111948405,0.05715056846341413
unit,G,DOTA-v1.0,R_norm,AR>=2.1,pooled,probe,33030,11,0.026684801848114337,0.05401728439892741
unit,G,DOTA-v1.0,R_norm,AR>=2.1,class-standardized,conf,33030,11,0.02421916495757676,0.049349787787974934
unit,G,DOTA-v1.0,R_norm,AR>=2.1,class-standardized,ARonly,33030,11,0.02726297620890853,0.053611257228026045
unit,G,DOTA-v1.0,R_norm,AR>=2.1,class-standardized,oracleAR,33030,11,0.024929678277648002,0.05136234374451276
unit,G,DOTA-v1.0,R_norm,AR>=2.1,class-standardized,probe,33030,11,0.025103984493818454,0.048872160720110844
unit,G,DOTA-v1.0,R_norm,all-AR,pooled,conf,48889,15,0.04873665202616412,0.09426208622350205
unit,G,DOTA-v1.0,R_norm,all-AR,pooled,ARonly,48889,15,0.06600404351554165,0.11337901010315064
unit,G,DOTA-v1.0,R_norm,all-AR,pooled,oracleAR,48889,15,0.06573380442458507,0.1131740300130503
unit,G,DOTA-v1.0,R_norm,all-AR,pooled,probe,48889,15,0.03642116712803054,0.07129828747226179
unit,G,DOTA-v1.0,R_norm,all-AR,class-standardized,conf,48889,15,0.07700957891330983,0.1531108618602396
unit,G,DOTA-v1.0,R_norm,all-AR,class-standardized,ARonly,48889,15,0.0903111305265425,0.17589622732395513
unit,G,DOTA-v1.0,R_norm,all-AR,class-standardized,oracleAR,48889,15,0.08892901025829088,0.17263965113024896
unit,G,DOTA-v1.0,R_norm,all-AR,class-standardized,probe,48889,15,0.07325833091604464,0.1497378112580856
unit,G,DOTA-v1.0,R_raw,AR>=2.1,pooled,conf,33030,11,0.009278750174561333,0.01873197570698458
unit,G,DOTA-v1.0,R_raw,AR>=2.1,pooled,ARonly,33030,11,0.011426678652732935,0.023116460462244488
unit,G,DOTA-v1.0,R_raw,AR>=2.1,pooled,oracleAR,33030,11,0.011468739142854994,0.02327131716171339
unit,G,DOTA-v1.0,R_raw,AR>=2.1,pooled,probe,33030,11,0.008740790734314066,0.018046001750836937
unit,G,DOTA-v1.0,R_raw,AR>=2.1,class-standardized,conf,33030,11,0.009316825342636809,0.019055816042849325
unit,G,DOTA-v1.0,R_raw,AR>=2.1,class-standardized,ARonly,33030,11,0.011360809482473016,0.02227282046539253
unit,G,DOTA-v1.0,R_raw,AR>=2.1,class-standardized,oracleAR,33030,11,0.01058121581783321,0.021729072536375037
unit,G,DOTA-v1.0,R_raw,AR>=2.1,class-standardized,probe,33030,11,0.009213707698065203,0.017960519527449627
unit,G,DOTA-v1.0,R_raw,all-AR,pooled,conf,48889,15,0.035639955025496176,0.067028271484325
unit,G,DOTA-v1.0,R_raw,all-AR,pooled,ARonly,48889,15,0.053983126163632295,0.08802223373251315
unit,G,DOTA-v1.0,R_raw,all-AR,pooled,oracleAR,48889,15,0.05401111892193318,0.08821909231024003
unit,G,DOTA-v1.0,R_raw,all-AR,pooled,probe,48889,15,0.02134741041825146,0.04094011389245538
unit,G,DOTA-v1.0,R_raw,all-AR,class-standardized,conf,48889,15,0.06480885128123588,0.12882187377114693
unit,G,DOTA-v1.0,R_raw,all-AR,class-standardized,ARonly,48889,15,0.07718420957205367,0.1501715438651825
unit,G,DOTA-v1.0,R_raw,all-AR,class-standardized,oracleAR,48889,15,0.07667835301684321,0.14801910062256954
unit,G,DOTA-v1.0,R_raw,all-AR,class-standardized,probe,48889,15,0.06062606401017033,0.1247944014322747
unit,H,DOTA-v1.0,R_norm,AR>=2.1,pooled,conf,34385,12,0.025077941153996072,0.05021434716148424
unit,H,DOTA-v1.0,R_norm,AR>=2.1,pooled,ARonly,34385,12,0.0278102044764977,0.055485450033059935
unit,H,DOTA-v1.0,R_norm,AR>=2.1,pooled,oracleAR,34385,12,0.027288710746229225,0.055090603099195
unit,H,DOTA-v1.0,R_norm,AR>=2.1,pooled,probe,34385,12,0.027440798535929966,0.05455362926074631
unit,H,DOTA-v1.0,R_norm,AR>=2.1,class-standardized,conf,34385,12,0.048890700788995045,0.08208740585982484
unit,H,DOTA-v1.0,R_norm,AR>=2.1,class-standardized,ARonly,34385,12,0.05126583917484015,0.0839645946476482
unit,H,DOTA-v1.0,R_norm,AR>=2.1,class-standardized,oracleAR,34385,12,0.03263062833607413,0.08270267173297319
unit,H,DOTA-v1.0,R_norm,AR>=2.1,class-standardized,probe,34385,12,0.05001016561606523,0.08318134790106671
unit,H,DOTA-v1.0,R_norm,all-AR,pooled,conf,51736,15,0.04504209507939958,0.0842819114456542
unit,H,DOTA-v1.0,R_norm,all-AR,pooled,ARonly,51736,15,0.0667226549886128,0.11400693669505949
unit,H,DOTA-v1.0,R_norm,all-AR,pooled,oracleAR,51736,15,0.06627901837653585,0.11373256201777693
unit,H,DOTA-v1.0,R_norm,all-AR,pooled,probe,51736,15,0.0314322300984928,0.054678255971630764
unit,H,DOTA-v1.0,R_norm,all-AR,class-standardized,conf,51736,15,0.07128157136144755,0.14536984386075258
unit,H,DOTA-v1.0,R_norm,all-AR,class-standardized,ARonly,51736,15,0.08771228783079851,0.17247502113301305
unit,H,DOTA-v1.0,R_norm,all-AR,class-standardized,oracleAR,51736,15,0.08514760936565818,0.16716256055829637
unit,H,DOTA-v1.0,R_norm,all-AR,class-standardized,probe,51736,15,0.06919561141213593,0.13956514312211207
unit,H,DOTA-v1.0,R_raw,AR>=2.1,pooled,conf,34385,12,0.009003765296946409,0.01818097669815544
unit,H,DOTA-v1.0,R_raw,AR>=2.1,pooled,ARonly,34385,12,0.011290127556401798,0.022552642910622346
unit,H,DOTA-v1.0,R_raw,AR>=2.1,pooled,oracleAR,34385,12,0.011250579015232444,0.022608225256933123
unit,H,DOTA-v1.0,R_raw,AR>=2.1,pooled,probe,34385,12,0.008498102193015436,0.01748811940769043
unit,H,DOTA-v1.0,R_raw,AR>=2.1,class-standardized,conf,34385,12,0.021013152233509216,0.034636278468565804
unit,H,DOTA-v1.0,R_raw,AR>=2.1,class-standardized,ARonly,34385,12,0.02268696926154441,0.03673681362542173
unit,H,DOTA-v1.0,R_raw,AR>=2.1,class-standardized,oracleAR,34385,12,0.014176776843421857,0.03654695564527528
