unit,dataset,detector,semantic_role,absolute_path,exists,bytes,sha256,format,schema,row_count,read_only,witness_source
A,DIOR-R,Rotated RetinaNet PSC,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,True,54259732,e9a7652af54a6613590f8a5bdf70aa9c47c831350b5951c38263b29df2748560,parquet,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,515559,True,frozen existing asset; r032 read-only
F,SODA-A,Oriented R-CNN,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/soda_tile_to_mother_r014.csv,True,1418786,7bf9cc5698b0af2796fbb990e387603f3284231e541b1d711fd35c576e8b787f,csv,dataset|tile_id|mother_scene_id|mapping_source|verified,22994,True,frozen existing asset; r032 read-only
G,DOTA-v1.0 val,Oriented R-CNN,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_orcnn.parquet,True,2566084,99e2c19b1f604fa673966d922e9208b4d2698dbf499f08b98dd1eb42ef582111,parquet,image_id|mother|pred_id|gt_id|class_id|iou|ar|angle_error|risk|raw_confidence|linear_source_frozen,48889,True,frozen existing asset; r032 read-only
G,DOTA-v1.0 val,Oriented R-CNN,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_features/orcnn.parquet,True,35893737,8510897cac2ac3be020efc99a457e0d2a99029be9849c32fbce1bf59899e6968,parquet,image_id|pred_id|class_id|detection_score|logit_score|log_pred_ar|half_log_pred_area|support_fraction|missing_fraction|axial_dispersion|u_axis|iou_loss|center_dispersion|long_side_dispersion|short_side_dispersion|score_dispersion|association_margin,101874,True,frozen existing asset; r032 read-only
G,DOTA-v1.0 val,Oriented R-CNN,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_scores/orcnn.parquet,True,3212905,bc89992056011c1f18e0b438112f582b0f6c4a522d2faec6c375114ced02643d,parquet,image_id|pred_id|detection_score|linear_score|eqs_rc_score|standalone_score,101874,True,frozen existing asset; r032 read-only
G,DOTA-v1.0 val,Oriented R-CNN,matched_geometry,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_orcnn.jsonl,True,35316997,055d415b6e9ec86b4f339c33a17108a02317b4bde7edf3190bbc36178dbbf79d,jsonl,angle_error|aspect_ratio|cell_id|class|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|is_real_detector_output|match_iou|near_square|phase_mod|pred_id|pred_obb|score|size|size_bin|split,48889,True,frozen existing asset; r032 read-only
G,DOTA-v1.0 val,Oriented R-CNN,cluster_map,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/tile_to_mother.csv,True,656105,c76833d1d9470f1846af3ecc9b5040f8c8d6a285c8b6793b377a9d6f199fe3a1,csv,stem|path|mother,5297,True,frozen existing asset; r032 read-only
H,DOTA-v1.0 val,Rotated RTMDet-M,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_rtmdet.parquet,True,2731372,507353fee671a594bbd69c3cf99d1d9069bfa2459015200595565bd2aa9b40cc,parquet,image_id|mother|pred_id|gt_id|class_id|iou|ar|angle_error|risk|raw_confidence|linear_source_frozen,51736,True,frozen existing asset; r032 read-only
H,DOTA-v1.0 val,Rotated RTMDet-M,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_features/rtmdet.parquet,True,45469877,1013b727c62afb6d40a53288b56b87dc206836faf92dfa784d96065c3bf81da0,parquet,image_id|pred_id|class_id|detection_score|logit_score|log_pred_ar|half_log_pred_area|support_fraction|missing_fraction|axial_dispersion|u_axis|iou_loss|center_dispersion|long_side_dispersion|short_side_dispersion|score_dispersion|association_margin,189991,True,frozen existing asset; r032 read-only
H,DOTA-v1.0 val,Rotated RTMDet-M,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_scores/rtmdet.parquet,True,5342179,eddabbb54ad077cd67dc74b25fc9bf41db85000158fe4293206d612c520fcd19,parquet,image_id|pred_id|detection_score|linear_score|eqs_rc_score|standalone_score,189991,True,frozen existing asset; r032 read-only
H,DOTA-v1.0 val,Rotated RTMDet-M,matched_geometry,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_rtmdet.jsonl,True,37595709,4c19f140c395757b83ca868aab7763fdd0e01f99de2e345461f330a7a8c73e3e,jsonl,angle_error|aspect_ratio|cell_id|class|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|is_real_detector_output|match_iou|near_square|phase_mod|pred_id|pred_obb|score|size|size_bin|split,51736,True,frozen existing asset; r032 read-only
H,DOTA-v1.0 val,Rotated RTMDet-M,cluster_map,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/tile_to_mother.csv,True,656105,c76833d1d9470f1846af3ecc9b5040f8c8d6a285c8b6793b377a9d6f199fe3a1,csv,stem|path|mother,5297,True,frozen existing asset; r032 read-only
