unit,source_role,source_path,key_type,schema,row_count,unique_key_count,duplicate_count,finite_count,missing_count,cohort_key_count,cohort_missing_count,cohort_drop_count,extra_count,extras_sorted_key_sha256,status
B,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/image_universe.csv,image_id,cell|dataset|image_id|image_path|d_cal_daudit_split_flag|n_gt|n_predictions,11738,11738,0,11738,0,5455,0,0,6283,42b29d2e4fb2132ac49aa127a78575eafb61c6eb72a3204c8e63a9420043394d,PASS
B,class_labels,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/B.parquet,row_key,image_id|pred_id|class_id,177967,177967,0,177967,0,47887,0,0,130080,12d34de0020a8e31eed884aa5c843b5288fa9861deaabd3b2dfaff7770e83275,PASS
C,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,row_key,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,47881,47881,0,47881,0,47881,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
C,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/C.parquet,row_key,image_id|pred_id,358782,358782,0,358782,0,47881,0,0,310901,7bafd6d5a5aa5aa75ad0c6f533830f8b0cca0db234d23bad0c3a0d853567f3a7,PASS
C,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/C.parquet,row_key,image_id|pred_id,358782,358782,0,358782,0,47881,0,0,310901,7bafd6d5a5aa5aa75ad0c6f533830f8b0cca0db234d23bad0c3a0d853567f3a7,PASS
C,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,row_key,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,94961,94961,0,94961,0,47881,0,0,47080,289f55bf1a385d34bdda651b7ae61a514316246b2f3e776bd2c5b3486d61a261,PASS
C,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/image_universe.csv,image_id,cell|dataset|image_id|image_path|d_cal_daudit_split_flag|n_gt|n_predictions,11738,11738,0,11738,0,5525,0,0,6213,b8f58bad0148f57b4b5c50e03e5382e8c36f319274c1fbe98f17bceb54fcef6f,PASS
C,class_labels,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/C.parquet,row_key,image_id|pred_id|class_id,358782,358782,0,358782,0,47881,0,0,310901,7bafd6d5a5aa5aa75ad0c6f533830f8b0cca0db234d23bad0c3a0d853567f3a7,PASS
D,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,row_key,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,26108,26108,0,26108,0,26108,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
D,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/D.parquet,row_key,image_id|pred_id,488194,488194,0,488194,0,26108,0,0,462086,e5f15fc2659c06bb72b077b61e021d6e4bc415cb032a92705cb44791af6f421f,PASS
D,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/D.parquet,row_key,image_id|pred_id,488194,488194,0,488194,0,26108,0,0,462086,e5f15fc2659c06bb72b077b61e021d6e4bc415cb032a92705cb44791af6f421f,PASS
D,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,row_key,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,54768,54768,0,54768,0,26108,0,0,28660,5aa4e5afeb88a54a5caf30560d45b69fe986b7a1c719cebf7339bfecebf3da90,PASS
D,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/image_universe.csv,image_id,cell|dataset|image_id|image_path|d_cal_daudit_split_flag|n_gt|n_predictions,4362,4362,0,4362,0,1876,0,0,2486,743226e71f98ea1f51d30a60ae05263792d3c36da4e53a4b5a869604066f2f1d,PASS
D,class_labels,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/D.parquet,row_key,image_id|pred_id|class_id,488194,488194,0,488194,0,26108,0,0,462086,e5f15fc2659c06bb72b077b61e021d6e4bc415cb032a92705cb44791af6f421f,PASS
E,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,row_key,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,157586,157586,0,157586,0,157586,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
E,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/E.parquet,row_key,image_id|pred_id,1663631,1663631,0,1663631,0,157586,0,0,1506045,3934e8f9f5f2311cf2a662699526683fe72b5ed7970d3c9b756266e924ff8cfc,PASS
E,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/E.parquet,row_key,image_id|pred_id,1663631,1663631,0,1663631,0,157586,0,0,1506045,3934e8f9f5f2311cf2a662699526683fe72b5ed7970d3c9b756266e924ff8cfc,PASS
E,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,row_key,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,309218,309218,0,309218,0,157586,0,0,151632,996e23e10e0d9d50309fa8aab526c64fe9663916a61e37d24aa9981bf7b64682,PASS
E,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/soda_tile_to_mother_r014.csv,image_id,dataset|tile_id|mother_scene_id|mapping_source|verified,22994,22994,0,22994,0,6347,0,0,16647,83b879d3360654e2d0d1d80bb5faf13217a74cf84380caa068785c375ff476d4,PASS
E,class_labels,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/E.parquet,row_key,image_id|pred_id|class_id,1663631,1663631,0,1663631,0,157586,0,0,1506045,3934e8f9f5f2311cf2a662699526683fe72b5ed7970d3c9b756266e924ff8cfc,PASS
F,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dior/rows.parquet,row_key,unit|dataset|detector|image_id|pred_id|row_sequence|ar|e_can|e_raw|cluster|detection_score_feature|u_axis|missing_fraction|iou_loss|detection_score_score|score_ar_size_linear|risk_main|risk_raw_theta|risk_no_geonorm|raw_confidence|linear_source_frozen|tta_angle|tta_localization|S0_descriptive,192249,192249,0,192249,0,192249,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
F,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/F.parquet,row_key,image_id|pred_id,749109,749109,0,749109,0,192249,0,0,556860,8c2626492515b0402457e403fa1a9d44a19f279fb4487fd60d787588497dc8c7,PASS
F,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/F.parquet,row_key,image_id|pred_id,749109,749109,0,749109,0,192249,0,0,556860,8c2626492515b0402457e403fa1a9d44a19f279fb4487fd60d787588497dc8c7,PASS
F,matched_geometry,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,row_key,angle_error|aspect_ratio|cell|cell_id|checkpoint_sha256|class|config_path|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|image_path|is_real_detector_output|is_synthetic_or_proxy|lineage|match_iou|n_tta_angles|near_square|phase_mod|phase_vector|pred_id|pred_obb|score|size|size_bin|source_checkpoint|split|tta_circular_variance|tta_stable_key,376754,376754,0,376754,0,192249,0,0,184505,68494f6e3651b7b0542366f21dba4d0257c1c9bd3b7ded5d6c7ce14e94237585,PASS
F,cluster_map,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/soda_tile_to_mother_r014.csv,image_id,dataset|tile_id|mother_scene_id|mapping_source|verified,22994,22994,0,22994,0,6379,0,0,16615,f3cdf306d67cdd37c15e2c513da6e2d287410f854c2fbd63336715ca00e25bef,PASS
F,class_labels,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/F.parquet,row_key,image_id|pred_id|class_id,749109,749109,0,749109,0,192249,0,0,556860,8c2626492515b0402457e403fa1a9d44a19f279fb4487fd60d787588497dc8c7,PASS
G,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_orcnn.parquet,row_key,image_id|mother|pred_id|gt_id|class_id|iou|ar|angle_error|risk|raw_confidence|linear_source_frozen,48889,48889,0,48889,0,48889,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
G,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_features/orcnn.parquet,row_key,image_id|pred_id,101874,101874,0,101874,0,48889,0,0,52985,a2b54fa50aad5b759c3ff02fb59dcc98157cb93940139759f098312f303f5cc5,PASS
G,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_scores/orcnn.parquet,row_key,image_id|pred_id,101874,101874,0,101874,0,48889,0,0,52985,a2b54fa50aad5b759c3ff02fb59dcc98157cb93940139759f098312f303f5cc5,PASS
G,matched_geometry,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_orcnn.jsonl,row_key,angle_error|aspect_ratio|cell_id|class|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|is_real_detector_output|match_iou|near_square|phase_mod|pred_id|pred_obb|score|size|size_bin|split,48889,48889,0,48889,0,48889,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
G,cluster_map,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/tile_to_mother.csv,image_id,stem|path|mother,5297,5297,0,5297,0,2906,0,0,2391,417a0c9af6fa68d7385b13a7a6ac6225addc511f08394dd663b92d5a1297f618,PASS
G,class_labels,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_orcnn.parquet,row_key,image_id|pred_id|class_id,48889,48889,0,48889,0,48889,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
H,cohort,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_rtmdet.parquet,row_key,image_id|mother|pred_id|gt_id|class_id|iou|ar|angle_error|risk|raw_confidence|linear_source_frozen,51736,51736,0,51736,0,51736,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
H,features,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_features/rtmdet.parquet,row_key,image_id|pred_id,189991,189991,0,189991,0,51736,0,0,138255,dbea03b1deaed7d1072c24bf9ca9ec02a7df90d59a7c01e2fdf8ad426ce90348,PASS
H,scores,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_scores/rtmdet.parquet,row_key,image_id|pred_id,189991,189991,0,189991,0,51736,0,0,138255,dbea03b1deaed7d1072c24bf9ca9ec02a7df90d59a7c01e2fdf8ad426ce90348,PASS
H,matched_geometry,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_rtmdet.jsonl,row_key,angle_error|aspect_ratio|cell_id|class|d_cal_daudit_split_flag|dataset|detector|gt_id|gt_obb|image_id|is_real_detector_output|match_iou|near_square|phase_mod|pred_id|pred_obb|score|size|size_bin|split,51736,51736,0,51736,0,51736,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
H,cluster_map,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/tile_to_mother.csv,image_id,stem|path|mother,5297,5297,0,5297,0,2916,0,0,2381,19ebc1beeff645aa8f974418ff2ed6020fb071031d457474e16abf04c744d8a2,PASS
H,class_labels,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_rtmdet.parquet,row_key,image_id|pred_id|class_id,51736,51736,0,51736,0,51736,0,0,0,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,PASS
