unit,field,status,source_path,source_column,transform_needed,transform_source_path,transform_line,witness
A,split_role,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/A/matched_fullval.jsonl,d_cal_daudit_split_flag,,,,frozen split flag
A,official_annotation_id,MISSING,,,not available,,,gt_id is only a processed/tiled per-image ordinal; no frozen raw-object back-map
B,predicted_ar,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,pred_obb.obb_w|pred_obb.obb_h,long-side ratio,/home/rspip/cqc/pro/study/orientbench_r032_clean/scripts/m069_common.py,55-78,frozen geometry transform
B,gt_ar,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,aspect_ratio,,,,frozen matched label
B,class_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/B.parquet,class_id,,,,frozen class label
B,confidence,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/B.parquet,detection_score,,,,frozen detector confidence
B,predicted_width,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,pred_obb.obb_w,,,,frozen matched geometry
B,predicted_height,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,pred_obb.obb_h,,,,frozen matched geometry
B,canonical_angle_error,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,angle_error,,,,canonical long-side error persisted
B,row_key,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,image_id|pred_id,"tuple(image_id,pred_id)",/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,112-118,existing uniqueness contract
B,image_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,image_id,,,,frozen identifier
B,mother_scene_id,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,image_id,identity(image_id),/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,104-106,non-tiled image is its cluster
B,split_role,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/B/matched_fullval.jsonl,d_cal_daudit_split_flag,,,,frozen split flag
B,official_annotation_id,MISSING,,,not available,,,gt_id is only a processed/tiled per-image ordinal; no frozen raw-object back-map
C,predicted_ar,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,pred_obb.obb_w|pred_obb.obb_h,long-side ratio,/home/rspip/cqc/pro/study/orientbench_r032_clean/scripts/m069_common.py,55-78,frozen geometry transform
C,gt_ar,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,aspect_ratio,,,,frozen matched label
C,class_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/C.parquet,class_id,,,,frozen class label
C,confidence,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/C.parquet,detection_score,,,,frozen detector confidence
C,predicted_width,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,pred_obb.obb_w,,,,frozen matched geometry
C,predicted_height,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,pred_obb.obb_h,,,,frozen matched geometry
C,canonical_angle_error,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,angle_error,,,,canonical long-side error persisted
C,row_key,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,image_id|pred_id,"tuple(image_id,pred_id)",/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,112-118,existing uniqueness contract
C,image_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,image_id,,,,frozen identifier
C,mother_scene_id,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,image_id,identity(image_id),/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,104-106,non-tiled image is its cluster
C,split_role,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/C/matched_fullval.jsonl,d_cal_daudit_split_flag,,,,frozen split flag
C,official_annotation_id,MISSING,,,not available,,,gt_id is only a processed/tiled per-image ordinal; no frozen raw-object back-map
D,predicted_ar,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,pred_obb.obb_w|pred_obb.obb_h,long-side ratio,/home/rspip/cqc/pro/study/orientbench_r032_clean/scripts/m069_common.py,55-78,frozen geometry transform
D,gt_ar,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,aspect_ratio,,,,frozen matched label
D,class_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/D.parquet,class_id,,,,frozen class label
D,confidence,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/D.parquet,detection_score,,,,frozen detector confidence
D,predicted_width,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,pred_obb.obb_w,,,,frozen matched geometry
D,predicted_height,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,pred_obb.obb_h,,,,frozen matched geometry
D,canonical_angle_error,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,angle_error,,,,canonical long-side error persisted
D,row_key,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,image_id|pred_id,"tuple(image_id,pred_id)",/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,112-118,existing uniqueness contract
D,image_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,image_id,,,,frozen identifier
D,mother_scene_id,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,image_id,identity(image_id),/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,104-106,non-tiled image is its cluster
D,split_role,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/D/matched_fullval.jsonl,d_cal_daudit_split_flag,,,,frozen split flag
D,official_annotation_id,MISSING,,,not available,,,gt_id is only a processed/tiled per-image ordinal; no frozen raw-object back-map
E,predicted_ar,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,pred_obb.obb_w|pred_obb.obb_h,long-side ratio,/home/rspip/cqc/pro/study/orientbench_r032_clean/scripts/m069_common.py,55-78,frozen geometry transform
E,gt_ar,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,aspect_ratio,,,,frozen matched label
E,class_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/E.parquet,class_id,,,,frozen class label
E,confidence,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/E.parquet,detection_score,,,,frozen detector confidence
E,predicted_width,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,pred_obb.obb_w,,,,frozen matched geometry
E,predicted_height,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,pred_obb.obb_h,,,,frozen matched geometry
E,canonical_angle_error,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,angle_error,,,,canonical long-side error persisted
E,row_key,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,image_id|pred_id,"tuple(image_id,pred_id)",/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,112-118,existing uniqueness contract
E,image_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,image_id,,,,frozen identifier
E,mother_scene_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/soda_tile_to_mother_r014.csv,mother_scene_id,,,,frozen tile mapping
E,split_role,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/E/matched_fullval.jsonl,d_cal_daudit_split_flag,,,,frozen split flag
E,official_annotation_id,MISSING,,,not available,,,gt_id is only a processed/tiled per-image ordinal; no frozen raw-object back-map
F,predicted_ar,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,pred_obb.obb_w|pred_obb.obb_h,long-side ratio,/home/rspip/cqc/pro/study/orientbench_r032_clean/scripts/m069_common.py,55-78,frozen geometry transform
F,gt_ar,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,aspect_ratio,,,,frozen matched label
F,class_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/features/F.parquet,class_id,,,,frozen class label
F,confidence,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/scores/F.parquet,detection_score,,,,frozen detector confidence
F,predicted_width,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,pred_obb.obb_w,,,,frozen matched geometry
F,predicted_height,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,pred_obb.obb_h,,,,frozen matched geometry
F,canonical_angle_error,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,angle_error,,,,canonical long-side error persisted
F,row_key,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,image_id|pred_id,"tuple(image_id,pred_id)",/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,112-118,existing uniqueness contract
F,image_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,image_id,,,,frozen identifier
F,mother_scene_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r014/soda_tile_to_mother_r014.csv,mother_scene_id,,,,frozen tile mapping
F,split_role,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/m069_fullval_reliability/F/matched_fullval.jsonl,d_cal_daudit_split_flag,,,,frozen split flag
F,official_annotation_id,MISSING,,,not available,,,gt_id is only a processed/tiled per-image ordinal; no frozen raw-object back-map
G,predicted_ar,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_orcnn.jsonl,pred_obb.obb_w|pred_obb.obb_h,long-side ratio,/home/rspip/cqc/pro/study/orientbench_r032_clean/scripts/m069_common.py,55-78,frozen geometry transform
G,gt_ar,DIRECT,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_orcnn.parquet,ar,,,,frozen matched label
G,class_id,DIRECT,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_orcnn.parquet,class_id,,,,frozen class label
G,confidence,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_scores/orcnn.parquet,detection_score,,,,frozen detector confidence
G,predicted_width,DIRECT,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_orcnn.jsonl,pred_obb.obb_w,,,,frozen matched geometry
G,predicted_height,DIRECT,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_orcnn.jsonl,pred_obb.obb_h,,,,frozen matched geometry
G,canonical_angle_error,DIRECT,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_orcnn.parquet,angle_error,,,,canonical long-side error persisted
G,row_key,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_orcnn.jsonl,image_id|pred_id,"tuple(image_id,pred_id)",/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,112-118,existing uniqueness contract
G,image_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_orcnn.jsonl,image_id,,,,frozen identifier
G,mother_scene_id,DIRECT,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/tile_to_mother.csv,mother,,,,frozen tile mapping
G,split_role,DIRECT,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_orcnn.jsonl,d_cal_daudit_split_flag,,,,frozen split flag
G,official_annotation_id,MISSING,,,not available,,,gt_id is only a processed/tiled per-image ordinal; no frozen raw-object back-map
H,predicted_ar,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_rtmdet.jsonl,pred_obb.obb_w|pred_obb.obb_h,long-side ratio,/home/rspip/cqc/pro/study/orientbench_r032_clean/scripts/m069_common.py,55-78,frozen geometry transform
H,gt_ar,DIRECT,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_rtmdet.parquet,ar,,,,frozen matched label
H,class_id,DIRECT,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_rtmdet.parquet,class_id,,,,frozen class label
H,confidence,DIRECT,/home/rspip/cqc/pro/study/orientbench/outputs/persistent_artifacts/orientbench_r019/prelabel/target_scores/rtmdet.parquet,detection_score,,,,frozen detector confidence
H,predicted_width,DIRECT,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_rtmdet.jsonl,pred_obb.obb_w,,,,frozen matched geometry
H,predicted_height,DIRECT,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_rtmdet.jsonl,pred_obb.obb_h,,,,frozen matched geometry
H,canonical_angle_error,DIRECT,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/matched_rtmdet.parquet,angle_error,,,,canonical long-side error persisted
H,row_key,DERIVABLE,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_rtmdet.jsonl,image_id|pred_id,"tuple(image_id,pred_id)",/home/rspip/cqc/pro/study/orientbench_r032_clean/p3_selector/deployable_proxy_r014/scripts/evaluate_eqs_r014.py,112-118,existing uniqueness contract
H,image_id,DIRECT,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_rtmdet.jsonl,image_id,,,,frozen identifier
H,mother_scene_id,DIRECT,/home/rspip/cqc/pro/study/orientbench_r032_clean/audit_bundles/r028/dota/tile_to_mother.csv,mother,,,,frozen tile mapping
H,split_role,DIRECT,/home/rspip/cqc/pro/study/orientbench/top_journal_v3_reaudit_055/reports/m_dota_clean_perinstance/DOTA_rtmdet.jsonl,d_cal_daudit_split_flag,,,,frozen split flag
H,official_annotation_id,MISSING,,,not available,,,gt_id is only a processed/tiled per-image ordinal; no frozen raw-object back-map
